,Sales Rank
2022-12-14,708
2022-12-15,795
2022-12-16,756
2022-12-17,785
2022-12-18,835
2022-12-19,803
2022-12-20,751
2022-12-21,793
2022-12-22,729
2022-12-23,729
2022-12-24,683
2022-12-25,659
2022-12-26,578
2022-12-27,491
2022-12-28,454
2022-12-29,457
2022-12-30,447
2022-12-31,488
2023-01-01,453
2023-01-02,422
2023-01-03,443
2023-01-04,458
2023-01-05,466
2023-01-06,480
2023-01-07,480
2023-01-08,490
2023-01-09,495
2023-01-10,507
2023-01-11,518
2023-01-12,513
2023-01-13,472
2023-01-14,437
2023-01-15,409
2023-01-16,429
2023-01-17,386
2023-01-18,422
2023-01-19,456
2023-01-20,513
2023-01-21,487
2023-01-22,478
2023-01-23,478
2023-01-24,485
2023-01-25,430
2023-01-26,467
2023-01-27,479
2023-01-28,513
2023-01-29,519
2023-01-30,465
2023-01-31,468
2023-02-01,492
2023-02-02,500
2023-02-03,470
2023-02-04,476
2023-02-05,476
2023-02-06,468
2023-02-07,447
2023-02-08,434
2023-02-09,448
2023-02-10,436
2023-02-11,431
2023-02-12,470
2023-02-13,421
2023-02-14,463
2023-02-15,468
2023-02-16,497
2023-02-17,504
2023-02-18,496
2023-02-19,487
2023-02-20,436
2023-02-21,462
2023-02-22,477
2023-02-23,470
2023-02-24,450
2023-02-25,485
2023-02-26,477
2023-02-27,420
2023-02-28,444
2023-03-01,430
2023-03-02,445
2023-03-03,475
2023-03-04,481
2023-03-05,448
2023-03-06,453
2023-03-07,437
2023-03-08,478
2023-03-09,470
2023-03-10,462
2023-03-11,492
2023-03-12,502
2023-03-13,443
2023-03-14,464
2023-03-15,465
2023-03-16,450
2023-03-17,486
2023-03-18,482
2023-03-19,476
2023-03-20,464
2023-03-21,479
2023-03-22,507
2023-03-23,501
2023-03-24,467
2023-03-25,468
2023-03-26,492
2023-03-27,424
2023-03-28,419
2023-03-29,423
2023-03-30,463
2023-03-31,418
2023-04-01,461
2023-04-02,462
2023-04-03,429
2023-04-04,441
2023-04-05,419
2023-04-06,431
2023-04-07,427
2023-04-08,425
2023-04-09,451
2023-04-10,409
2023-04-11,442
2023-04-12,432
2023-04-13,452
2023-04-14,469
2023-04-15,450
2023-04-16,431
2023-04-17,448
2023-04-18,426
2023-04-19,473
2023-04-20,471
2023-04-21,429
2023-04-22,475
2023-04-23,479
2023-04-24,421
2023-04-25,462
2023-04-26,490
2023-04-27,446
2023-04-28,443
2023-04-29,530
2023-04-30,506
2023-05-01,455
2023-05-02,466
2023-05-03,528
2023-05-04,556
2023-05-05,431
2023-05-06,447
2023-05-07,433
2023-05-08,402
2023-05-09,430
2023-05-10,424
2023-05-11,434
2023-05-12,397
2023-05-13,409
2023-05-14,465
2023-05-15,448
2023-05-16,454
2023-05-17,449
2023-05-18,454
2023-05-19,468
2023-05-20,489
2023-05-21,452
2023-05-22,414
2023-05-23,490
2023-05-24,467
2023-05-25,468
2023-05-26,418
2023-05-27,454
2023-05-28,486
2023-05-30,378
2023-05-31,394
2023-06-01,409
2023-06-02,378
2023-06-03,422
2023-06-04,439
2023-06-05,435
2023-06-06,434
2023-06-07,454
2023-06-08,397
2023-06-09,380
2023-06-10,406
2023-06-11,426
2023-06-12,393
2023-06-13,423
2023-06-14,428
2023-06-15,432
2023-06-16,394
2023-06-17,443
2023-06-18,482
2023-06-19,454
2023-06-20,451
2023-06-21,481
2023-06-22,466
2023-06-23,467
2023-06-24,441
2023-06-25,456
2023-06-26,451
2023-06-27,440
2023-06-28,466
2023-06-29,459
2023-06-30,412
2023-07-01,441
2023-07-02,437
2023-07-03,383
2023-07-04,451
2023-07-05,422
2023-07-06,416
2023-07-07,432
2023-07-08,480
2023-07-09,473
2023-07-10,440
2023-07-11,682
2023-07-12,731
2023-07-13,732
2023-07-14,543
2023-07-15,535
2023-07-16,521
2023-07-17,436
2023-07-18,412
2023-07-19,428
2023-07-20,409
2023-07-21,400
2023-07-22,400
2023-07-23,428
2023-07-24,395
2023-07-25,384
2023-07-26,404
2023-07-27,425
2023-07-28,404
2023-07-29,435
2023-07-30,419
2023-07-31,392
2023-08-01,363
2023-08-02,407
2023-08-03,416
2023-08-04,431
2023-08-05,386
2023-08-06,435
2023-08-07,429
2023-08-08,382
2023-08-09,412
2023-08-10,380
2023-08-11,368
2023-08-12,434
2023-08-13,446
2023-08-14,365
2023-08-15,374
2023-08-16,378
2023-08-17,389
2023-08-18,382
2023-08-19,393
2023-08-20,439
2023-08-21,364
2023-08-22,383
2023-08-23,392
2023-08-24,405
2023-08-25,371
2023-08-26,413
2023-08-27,421
2023-08-28,356
2023-08-29,348
2023-08-30,406
2023-08-31,399
2023-09-01,399
2023-09-02,427
2023-09-03,441
2023-09-04,346
2023-09-05,422
2023-09-06,394
2023-09-07,400
2023-09-08,366
2023-09-09,378
2023-09-10,413
2023-09-11,304
2023-09-12,296
2023-09-13,387
2023-09-14,349
2023-09-15,323
2023-09-16,429
2023-09-17,399
2023-09-18,330
2023-09-19,371
2023-09-20,332
2023-09-21,346
2023-09-22,316
2023-09-23,353
2023-09-24,340
2023-09-25,321
2023-09-26,318
2023-09-27,349
2023-09-28,373
2023-09-29,340
2023-09-30,355
2023-10-01,355
2023-10-02,309
2023-10-03,310
2023-10-04,327
2023-10-05,371
2023-10-06,365
2023-10-07,400
2023-10-08,387
2023-10-09,315
2023-10-10,340
2023-10-11,552
2023-10-12,523
2023-10-13,374
2023-10-14,361
2023-10-15,390
2023-10-16,335
2023-10-17,400
2023-10-18,374
2023-10-19,370
2023-10-20,358
2023-10-21,380
2023-10-22,417
2023-10-23,336
2023-10-24,384
2023-10-25,349
2023-10-26,354
2023-10-27,344
2023-10-28,367
2023-10-29,355
2023-10-30,282
2023-10-31,322
2023-11-01,323
2023-11-02,332
2023-11-03,319
2023-11-04,323
2023-11-05,317
2023-11-06,306
2023-11-07,335
2023-11-08,305
2023-11-09,321
2023-11-10,318
2023-11-11,363
2023-11-12,410
2023-11-13,346
2023-11-14,327
2023-11-15,366
2023-11-16,362
2023-11-17,365
2023-11-18,382
2023-11-19,434
2023-11-20,396
2023-11-21,367
2023-11-22,434
2023-11-23,413
2023-11-24,454
2023-11-25,513
2023-11-26,554
2023-11-27,498
2023-11-28,506
2023-11-29,477
2023-11-30,452
2023-12-01,424
2023-12-02,459
2023-12-03,455
2023-12-04,359
2023-12-05,400
2023-12-06,395
2023-12-07,419
2023-12-08,416
2023-12-09,483
2023-12-10,485
2023-12-11,543
2023-12-12,464
2023-12-13,416
2023-12-14,390
2023-12-15,437
2023-12-16,454
2023-12-17,508
2023-12-18,502
2023-12-19,454
2023-12-20,487
2023-12-21,473
2023-12-22,407
2023-12-23,386
2023-12-24,371
2023-12-25,279
2023-12-26,250
2023-12-27,282
2023-12-28,275
2023-12-29,287
2023-12-30,295
2023-12-31,323
2024-01-01,265
2024-01-02,264
2024-01-03,293
2024-01-04,271
2024-01-05,282
2024-01-06,301
2024-01-07,300
2024-01-08,272
2024-01-09,274
2024-01-10,290
2024-01-11,303
2024-01-12,293
2024-01-13,349
2024-01-14,426
2024-01-15,358
2024-01-16,341
2024-01-17,397
2024-01-18,375
2024-01-19,378
2024-01-20,340
2024-01-21,402
2024-01-22,326
2024-01-23,343
2024-01-24,329
2024-01-25,300
2024-01-26,283
2024-01-27,290
2024-01-28,357
2024-01-29,264
2024-01-30,299
2024-01-31,296
2024-02-01,301
2024-02-02,263
2024-02-03,293
2024-02-04,282
2024-02-05,285
2024-02-06,288
2024-02-07,303
2024-02-08,293
2024-02-09,310
2024-02-10,350
2024-02-11,371
2024-02-12,319
2024-02-13,305
2024-02-14,345
2024-02-15,325
2024-02-16,310
2024-02-17,348
2024-02-18,407
2024-02-19,339
2024-02-20,335
2024-02-21,379
2024-02-22,340
2024-02-23,346
2024-02-24,345
2024-02-25,443
2024-02-26,361
2024-02-27,393
2024-02-28,405
2024-02-29,389
2024-03-01,348
2024-03-02,376
2024-03-03,421
2024-03-04,329
2024-03-05,342
2024-03-06,378
2024-03-07,367
2024-03-08,361
2024-03-09,375
2024-03-10,371
2024-03-11,337
2024-03-12,339
2024-03-13,331
2024-03-14,376
2024-03-15,356
2024-03-16,361
2024-03-17,365
2024-03-18,330
2024-03-19,366
2024-03-20,369
2024-03-21,355
2024-03-22,349
2024-03-23,362
2024-03-24,339
2024-03-25,304
2024-03-26,317
2024-03-27,339
2024-03-28,362
2024-03-29,323
2024-03-30,355
2024-03-31,358
2024-04-01,326
2024-04-02,335
2024-04-03,347
2024-04-04,332
2024-04-05,362
2024-04-06,366
2024-04-07,403
2024-04-08,321
2024-04-09,342
2024-04-10,352
2024-04-11,348
2024-04-12,309
2024-04-13,340
2024-04-14,353
2024-04-15,340
2024-04-16,360
2024-04-17,358
2024-04-18,336
2024-04-19,342
2024-04-20,399
2024-04-21,402
2024-04-22,350
2024-04-23,323
2024-04-24,308
2024-04-25,323
2024-04-26,319
2024-04-27,308
2024-04-28,329
2024-04-29,302
2024-04-30,302
2024-05-01,323
2024-05-02,306
2024-05-03,331
2024-05-04,311
2024-05-05,350
2024-05-06,319
2024-05-07,387
2024-05-08,395
2024-05-09,382
2024-05-10,369
2024-05-11,356
2024-05-12,346
2024-05-13,289
2024-05-14,294
2024-05-15,303
2024-05-16,306
2024-05-17,310
2024-05-18,390
2024-05-19,336
2024-05-20,296
2024-05-21,311
2024-05-22,343
2024-05-23,336
2024-05-24,313
2024-05-25,319
2024-05-26,356
2024-05-27,323
2024-05-28,304
2024-05-29,315
2024-05-30,324
2024-05-31,291
2024-06-01,330
2024-06-02,351
2024-06-03,288
2024-06-04,298
2024-06-05,302
2024-06-06,387
2024-06-07,350
2024-06-08,364
2024-06-09,437
2024-06-10,376
2024-06-11,357
2024-06-12,433
2024-06-13,399
2024-06-14,90092
2024-06-15,90578
2024-06-16,90429
2024-06-17,90962
2024-06-18,89432
2024-06-19,92084
2024-06-20,90053
2024-06-21,91131
2024-06-22,91123
2024-06-23,91423
2024-06-24,76083
2024-06-25,85195
2024-06-26,88381
2024-06-27,89814
2024-06-28,90559
2024-06-29,91982
2024-06-30,302
2024-07-01,284
2024-07-02,263
2024-07-03,80865
2024-07-04,93363
2024-07-05,70818
2024-07-06,85376
2024-07-07,90150
2024-07-08,61151
2024-07-09,50194
2024-07-10,68249
2024-07-11,78401
2024-07-12,44277
2024-07-13,75184
2024-07-14,78115
2024-07-15,88025
2024-07-16,58873
2024-07-17,87617
2024-07-18,94096
2024-07-19,91300
2024-07-20,89239
2024-07-21,89338
2024-07-22,91386
2024-07-23,91431
2024-07-24,91647
2024-07-25,92435
2024-07-26,92601
2024-07-27,92052
2024-07-28,91709
2024-07-29,93590
2024-07-30,94091
2024-07-31,95448
2024-08-01,95646
2024-08-02,99393
2024-08-03,95279
2024-08-04,96211
2024-08-05,97803
2024-08-06,96269
2024-08-07,76063
2024-08-08,73471
2024-08-09,88856
2024-08-11,84080
2024-08-12,90814
2024-08-13,71406
2024-08-14,78788
2024-08-15,82512
2024-08-16,90725
2024-08-17,58280
2024-08-18,62427
2024-08-19,81691
2024-08-20,73611
2024-08-21,65587
2024-08-22,89264
2024-08-23,92541
2024-08-24,96092
2024-08-25,94760
2024-08-26,97240
2024-08-27,99607
2024-08-28,99326
2024-08-29,99850
2024-08-30,97417
2024-08-31,77573
2024-09-01,74066
2024-09-02,68371
2024-09-03,85168
2024-09-04,91006
2024-09-05,92718
2024-09-06,96064
2024-09-07,96055
2024-09-08,98802
2024-09-09,99555
2024-09-10,98433
2024-09-11,100018
2024-09-12,97557
2024-09-13,98192
2024-09-14,72346
2024-09-15,85283
2024-09-16,94272
2024-09-17,98822
2024-09-18,96663
2024-09-19,51905
2024-09-20,78326
2024-09-21,86849
2024-09-22,93468
2024-09-23,98044
2024-09-24,97613
2024-09-25,99278
2024-09-26,100462
2024-09-27,97851
2024-09-28,99030
2024-09-29,101566
2024-09-30,101357
2024-10-01,77861
2024-10-02,94132
2024-10-03,96742
2024-10-04,98319
2024-10-05,98482
2024-10-06,100811
2024-10-07,100022
2024-10-08,101979
2024-10-09,107832
2024-10-10,108291
2024-10-11,103611
2024-10-12,102923
2024-10-13,100549
2024-10-14,102368
2024-10-15,79884
2024-10-16,92861
2024-10-17,97313
2024-10-18,83644
2024-10-19,95202
2024-10-20,96867
2024-10-21,101285
2024-10-22,101679
2024-10-23,78590
2024-10-24,92344
2024-10-25,88276
2024-10-26,63891
2024-10-27,87500
2024-10-28,96340
2024-10-29,63284
2024-10-30,88958
2024-10-31,91801
2024-11-01,96382
2024-11-02,77397
2024-11-03,93938
2024-11-04,96749
2024-11-05,98650
2024-11-06,97717
2024-11-07,99344
2024-11-08,67840
2024-11-09,88605
2024-11-10,98050
