,Sales Rank
2022-12-14,137
2022-12-15,134
2022-12-16,177
2022-12-17,155
2022-12-18,170
2022-12-19,161
2022-12-20,147
2022-12-21,145
2022-12-22,125
2022-12-23,97
2022-12-24,104
2022-12-25,91
2022-12-26,87
2022-12-27,102
2022-12-28,105
2022-12-29,89
2022-12-30,81
2022-12-31,98
2023-01-01,77
2023-01-02,73
2023-01-03,94
2023-01-04,79
2023-01-05,77
2023-01-06,75
2023-01-07,84
2023-01-08,84
2023-01-09,85
2023-01-10,84
2023-01-11,84
2023-01-12,83
2023-01-13,76
2023-01-14,110
2023-01-15,78
2023-01-16,71
2023-01-17,71
2023-01-18,107
2023-01-19,70
2023-01-20,74
2023-01-21,103
2023-01-22,85
2023-01-23,72
2023-01-24,73
2023-01-25,49
2023-01-26,38
2023-01-27,40
2023-01-28,91
2023-01-29,106
2023-01-30,59
2023-01-31,57
2023-02-01,60
2023-02-02,54
2023-02-03,81
2023-02-04,129
2023-02-05,99
2023-02-06,79
2023-02-07,60
2023-02-08,49
2023-02-09,55
2023-02-10,76
2023-02-11,65
2023-02-12,51
2023-02-13,44
2023-02-14,72
2023-02-15,57
2023-02-16,40
2023-02-17,47
2023-02-18,61
2023-02-19,63
2023-02-20,48
2023-02-21,64
2023-02-22,127
2023-02-23,53
2023-02-24,65
2023-02-25,98
2023-02-26,67
2023-02-27,67
2023-02-28,88
2023-03-01,108
2023-03-02,79
2023-03-03,82
2023-03-04,80
2023-03-05,121
2023-03-06,95
2023-03-07,66
2023-03-08,80
2023-03-09,77
2023-03-10,78
2023-03-11,87
2023-03-12,87
2023-03-13,72
2023-03-14,128
2023-03-15,140
2023-03-16,68
2023-03-17,75
2023-03-18,96
2023-03-19,102
2023-03-20,74
2023-03-21,90
2023-03-22,92
2023-03-23,52
2023-03-24,75
2023-03-25,81
2023-03-26,102
2023-03-27,74
2023-03-28,89
2023-03-29,148
2023-03-30,59
2023-03-31,69
2023-04-01,94
2023-04-02,97
2023-04-03,76
2023-04-04,108
2023-04-05,93
2023-04-06,71
2023-04-07,72
2023-04-08,82
2023-04-09,81
2023-04-10,73
2023-04-11,84
2023-04-12,181
2023-04-13,57
2023-04-14,71
2023-04-15,79
2023-04-16,94
2023-04-17,58
2023-04-18,64
2023-04-19,80
2023-04-20,68
2023-04-21,64
2023-04-22,77
2023-04-23,74
2023-04-24,59
2023-04-25,72
2023-04-26,65
2023-04-27,56
2023-04-28,68
2023-04-29,82
2023-04-30,101
2023-05-01,84
2023-05-02,120
2023-05-03,105
