,Sales Rank
2022-12-14,174
2022-12-15,184
2022-12-16,205
2022-12-17,236
2022-12-18,227
2022-12-19,209
2022-12-20,198
2022-12-21,178
2022-12-22,171
2022-12-23,152
2022-12-24,155
2022-12-25,140
2022-12-26,134
2022-12-27,146
2022-12-28,145
2022-12-29,155
2022-12-30,167
2022-12-31,165
2023-01-01,155
2023-01-02,155
2023-01-03,162
2023-01-04,142
2023-01-05,137
2023-01-06,137
2023-01-07,144
2023-01-08,144
2023-01-09,137
2023-01-10,142
2023-01-11,144
2023-01-12,136
2023-01-13,132
2023-01-14,136
2023-01-15,150
2023-01-16,128
2023-01-17,136
2023-01-18,135
2023-01-19,143
2023-01-20,146
2023-01-22,154
2023-01-23,138
2023-01-24,138
2023-01-25,139
2023-01-26,158
2023-01-27,154
2023-01-28,170
2023-01-29,168
2023-01-30,156
2023-01-31,164
2023-02-01,170
2023-02-02,169
2023-02-03,158
2023-02-04,180
2023-02-05,169
2023-02-06,156
2023-02-07,157
2023-02-08,141
2023-02-09,157
2023-02-10,158
2023-02-11,170
2023-02-12,144
2023-02-13,150
2023-02-14,141
2023-02-15,150
2023-02-16,194
2023-02-17,205
2023-02-18,195
2023-02-19,245
2023-02-20,183
2023-02-21,163
2023-02-22,159
2023-02-23,107
2023-02-24,159
2023-02-25,148
2023-02-26,137
2023-02-27,160
2023-02-28,163
2023-03-01,176
2023-03-02,157
2023-03-03,169
2023-03-04,180
2023-03-05,186
2023-03-06,164
2023-03-07,149
2023-03-08,154
2023-03-09,167
2023-03-10,171
2023-03-11,178
2023-03-12,196
2023-03-13,157
2023-03-14,146
2023-03-15,184
2023-03-16,158
2023-03-17,164
2023-03-18,197
2023-03-19,180
2023-03-20,163
2023-03-21,155
2023-03-22,154
2023-03-23,147
2023-03-24,138
2023-03-25,147
2023-03-26,169
2023-03-27,149
2023-03-28,143
2023-03-29,133
2023-03-30,154
2023-03-31,156
2023-04-01,178
2023-04-02,188
2023-04-03,163
2023-04-04,146
2023-04-05,161
2023-04-06,156
2023-04-07,173
2023-04-08,179
2023-04-09,186
2023-04-10,154
2023-04-11,156
2023-04-12,165
2023-04-13,156
2023-04-14,163
2023-04-15,211
2023-04-16,175
2023-04-17,168
2023-04-18,153
2023-04-19,169
2023-04-20,166
2023-04-21,174
2023-04-22,181
2023-04-23,11818
2023-04-24,10588
2023-04-25,11947
2023-04-26,12189
2023-04-27,13359
2023-04-28,21965
2023-04-29,11688
2023-04-30,15962
2023-05-01,12553
2023-05-02,5375
2023-05-03,3297
2023-05-04,4164
2023-05-05,6839
2023-05-06,9252
2023-05-07,12004
2023-05-08,12297
2023-05-09,11682
2023-05-10,10938
2023-05-11,13056
2023-05-12,13838
2023-05-13,18914
2023-05-14,11653
2023-05-15,13831
2023-05-16,12790
2023-05-17,15206
2023-05-18,14477
2023-05-19,12019
2023-05-20,16260
2023-05-21,15363
2023-05-22,11361
2023-05-23,13975
2023-05-24,15256
2023-05-25,13572
2023-05-26,11666
2023-05-27,17543
2023-05-28,18591
2023-05-30,14523
2023-05-31,10996
2023-06-01,13165
2023-06-02,11590
2023-06-03,15671
2023-06-04,14514
2023-06-05,14586
2023-06-06,14932
2023-06-07,11334
2023-06-08,10037
2023-06-09,13236
2023-06-10,12292
2023-06-11,12527
2023-06-12,11294
2023-06-13,10838
2023-06-14,11537
2023-06-15,14585
2023-06-16,13923
2023-06-17,14784
2023-06-18,16783
2023-06-19,13545
2023-06-20,14354
2023-06-21,14613
2023-06-22,13811
2023-06-23,13238
