,Sales Rank
2022-12-14,440
2022-12-15,433
2022-12-16,439
2022-12-17,458
2022-12-18,443
2022-12-19,483
2022-12-20,508
2022-12-21,449
2022-12-22,379
2022-12-23,339
2022-12-24,401
2022-12-25,590
2022-12-26,683
2022-12-27,817
2022-12-28,834
2022-12-29,820
2022-12-30,895
2022-12-31,927
2023-01-01,972
2023-01-02,962
2023-01-03,928
2023-01-04,903
2023-01-05,861
2023-01-06,838
2023-01-07,820
2023-01-08,736
2023-01-09,695
2023-01-10,634
2023-01-11,612
2023-01-12,675
2023-01-13,821
2023-01-14,1016
2023-01-15,1051
2023-01-16,1149
2023-01-17,1207
2023-01-18,1225
2023-01-19,1239
2023-01-20,1214
2023-01-21,1243
2023-01-22,1475
2023-01-23,1631
2023-01-24,1512
2023-01-25,1367
2023-01-26,1483
2023-01-27,1375
2023-01-28,1520
2023-01-29,1435
2023-01-30,1332
2023-01-31,1573
2023-02-01,1610
2023-02-02,1598
2023-02-03,1264
2023-02-04,1193
2023-02-05,1577
2023-02-06,1630
2023-02-07,1458
2023-02-08,1672
2023-02-09,1565
2023-02-10,1524
2023-02-11,1646
2023-02-12,1776
2023-02-13,1803
2023-02-14,1808
2023-02-15,1695
2023-02-16,1734
2023-02-17,1651
2023-02-18,1418
2023-02-19,1474
2023-02-20,1538
2023-02-21,1861
2023-02-22,1611
2023-02-23,1767
2023-02-24,1654
2023-02-25,1786
2023-02-26,1570
2023-02-27,1771
2023-02-28,1690
2023-03-01,1711
2023-03-02,1603
2023-03-03,1748
2023-03-04,1882
2023-03-05,1956
2023-03-06,1959
2023-03-07,1709
2023-03-08,1647
2023-03-09,1578
2023-03-10,1366
2023-03-11,1310
2023-03-12,1165
2023-03-13,1241
2023-03-14,1195
2023-03-15,1140
2023-03-16,1197
2023-03-17,1368
2023-03-18,1389
2023-03-19,1511
2023-03-20,1493
2023-03-21,1409
2023-03-22,855
2023-03-23,79
2023-03-24,175
2023-03-25,242
2023-03-26,239
2023-03-27,493
2023-03-28,699
2023-03-29,831
2023-03-30,810
2023-03-31,932
2023-04-01,1000
2023-04-02,1053
2023-04-03,984
2023-04-04,1032
2023-04-05,883
2023-04-06,908
2023-04-07,957
2023-04-08,975
2023-04-09,993
2023-04-10,1031
2023-04-11,985
2023-04-12,1115
2023-04-13,1052
2023-04-14,1151
2023-04-15,1172
2023-04-16,1279
2023-04-17,1199
2023-04-18,1068
2023-04-19,1136
2023-04-20,1051
2023-04-21,1144
2023-04-22,925
2023-04-23,1021
2023-04-24,1072
2023-04-25,1016
2023-04-26,994
2023-04-27,1072
2023-04-28,987
2023-04-29,1094
2023-04-30,993
2023-05-01,960
2023-05-02,1018
2023-05-03,970
2023-05-04,933
2023-05-05,1000
2023-05-06,989
2023-05-07,1008
2023-05-08,991
2023-05-09,1007
2023-05-10,967
2023-05-11,1017
2023-05-12,1002
2023-05-13,955
2023-05-14,1041
2023-05-15,1173
2023-05-16,1156
2023-05-17,1137
2023-05-18,1290
2023-05-19,2368
2023-05-20,1696
2023-05-21,1635
2023-05-22,1490
2023-05-23,1753
2023-05-24,2225
2023-05-25,2098
2023-05-26,1606
2023-05-27,1223
2023-05-28,1106
2023-05-30,1028
2023-05-31,1084
2023-06-01,1002
2023-06-02,937
2023-06-03,987
2023-06-04,1034
2023-06-05,1102
2023-06-06,1123
2023-06-07,1036
2023-06-08,820
2023-06-09,757
2023-06-10,726
2023-06-11,797
2023-06-12,886
2023-06-13,869
2023-06-14,849
2023-06-15,874
2023-06-16,830
2023-06-17,824
2023-06-18,966
2023-06-19,855
2023-06-20,755
2023-06-21,732
2023-06-22,793
2023-06-23,844
2023-06-24,867
2023-06-25,814
2023-06-26,829
2023-06-27,903
2023-06-28,874
2023-06-29,817
2023-06-30,872
2023-07-01,931
2023-07-02,797
2023-07-03,826
2023-07-04,896
2023-07-05,993
2023-07-06,915
2023-07-07,890
2023-07-08,902
2023-07-09,876
2023-07-10,899
2023-07-11,443
2023-07-12,1551
2023-07-13,2219
2023-07-14,1396
2023-07-15,1022
2023-07-16,971
2023-07-17,919
2023-07-18,2121
2023-07-19,3621
2023-07-20,4650
2023-07-21,4959
2023-07-22,5308
2023-07-23,6215
2023-07-24,6398
2023-07-25,5907
2023-07-26,5932
2023-07-27,4070
2023-07-28,2621
2023-07-29,4613
2023-07-30,6400
2023-07-31,6444
2023-08-01,7350
2023-08-02,3884
2023-08-03,2907
2023-08-04,2589
2023-08-05,2124
2023-08-06,1858
2023-08-07,2136
2023-08-08,1847
2023-08-09,1794
2023-08-10,1336
2023-08-11,1176
2023-08-12,1277
2023-08-13,1361
2023-08-14,1216
2023-08-15,1115
2023-08-16,1166
2023-08-17,886
2023-08-18,784
2023-08-19,627
2023-08-20,659
2023-08-21,606
2023-08-22,607
2023-08-23,633
2023-08-24,582
2023-08-25,623
2023-08-26,530
2023-08-27,533
2023-08-28,559
2023-08-29,594
2023-08-30,604
2023-08-31,601
2023-09-01,599
2023-09-02,493
2023-09-03,522
2023-09-04,574
2023-09-05,544
2023-09-06,554
2023-09-07,530
2023-09-08,486
2023-09-09,569
2023-09-10,677
2023-09-11,742
2023-09-12,715
2023-09-13,732
2023-09-14,685
2023-09-15,696
2023-09-16,684
2023-09-17,710
2023-09-18,799
2023-09-19,816
2023-09-20,781
2023-09-21,777
2023-09-22,839
2023-09-23,802
2023-09-24,928
2023-09-25,976
2023-09-26,963
2023-09-27,796
2023-09-28,802
2023-09-29,773
2023-09-30,671
2023-10-01,659
2023-10-02,661
2023-10-03,650
2023-10-04,651
2023-10-05,619
2023-10-06,615
2023-10-07,585
2023-10-08,719
2023-10-09,902
2023-10-10,908
2023-10-11,1204
2023-10-12,1209
2023-10-13,1079
2023-10-14,934
2023-10-15,884
2023-10-16,984
2023-10-17,984
2023-10-18,1024
2023-10-19,967
2023-10-20,1056
2023-10-21,1001
2023-10-22,982
2023-10-23,1083
2023-10-24,1061
2023-10-25,1075
2023-10-26,1055
2023-10-27,1051
2023-10-28,1052
2023-10-29,1038
2023-10-30,1132
2023-10-31,1147
2023-11-01,1271
2023-11-02,1299
2023-11-03,1221
2023-11-04,1120
2023-11-05,1139
2023-11-06,983
2023-11-07,794
2023-11-08,796
2023-11-09,669
2023-11-10,616
2023-11-11,606
2023-11-12,728
2023-11-13,773
2023-11-14,781
2023-11-15,849
2023-11-16,925
2023-11-17,752
2023-11-18,606
2023-11-19,550
2023-11-20,672
2023-11-21,782
2023-11-22,892
2023-11-23,1005
2023-11-24,1093
2023-11-25,1010
2023-11-26,1079
2023-11-27,1073
2023-11-28,983
2023-11-29,939
2023-11-30,871
2023-12-01,709
2023-12-02,635
2023-12-03,612
2023-12-04,604
2023-12-05,591
2023-12-06,602
2023-12-07,380
2023-12-08,379
2023-12-09,287
2023-12-10,275
2023-12-11,265
2023-12-12,281
2023-12-13,257
2023-12-14,235
2023-12-15,203
2023-12-16,171
2023-12-17,142
2023-12-18,140
2023-12-19,149
2023-12-20,229
2023-12-21,265
2023-12-22,264
2023-12-23,314
2023-12-24,374
2023-12-25,586
2023-12-26,714
2023-12-27,727
2023-12-28,583
2023-12-29,434
2023-12-30,393
2023-12-31,387
2024-01-01,433
2024-01-02,385
2024-01-03,435
2024-01-04,415
2024-01-05,385
2024-01-06,331
2024-01-07,350
2024-01-08,429
2024-01-09,538
2024-01-10,555
2024-01-11,459
2024-01-12,433
2024-01-13,379
2024-01-14,379
2024-01-15,427
2024-01-16,409
2024-01-17,395
2024-01-18,399
2024-01-19,375
2024-01-20,443
2024-01-21,410
2024-01-22,386
2024-01-23,429
2024-01-24,441
2024-01-25,439
2024-01-26,427
2024-01-27,397
2024-01-28,414
2024-01-29,495
2024-01-30,459
2024-01-31,441
2024-02-01,465
2024-02-02,401
2024-02-03,373
2024-02-04,418
2024-02-05,407
2024-02-06,445
2024-02-07,465
2024-02-08,465
2024-02-09,423
2024-02-10,453
2024-02-11,463
2024-02-12,517
2024-02-13,506
2024-02-14,540
2024-02-15,553
2024-02-16,526
2024-02-17,430
2024-02-18,473
2024-02-19,561
2024-02-20,623
2024-02-21,578
2024-02-22,560
2024-02-23,606
2024-02-24,577
2024-02-25,584
2024-02-26,675
2024-02-27,644
2024-02-28,640
2024-02-29,644
2024-03-01,581
2024-03-02,549
2024-03-03,582
2024-03-04,600
2024-03-05,607
2024-03-06,621
2024-03-07,610
2024-03-08,602
2024-03-09,582
2024-03-10,541
2024-03-11,553
2024-03-12,543
2024-03-13,516
2024-03-14,523
2024-03-15,501
2024-03-16,507
2024-03-17,503
2024-03-18,565
2024-03-19,547
2024-03-20,535
2024-03-21,562
2024-03-22,558
2024-03-23,518
2024-03-24,520
2024-03-25,563
2024-03-26,515
2024-03-27,539
2024-03-28,550
2024-03-29,552
2024-03-30,509
2024-03-31,543
2024-04-01,605
2024-04-02,569
2024-04-03,570
2024-04-04,558
2024-04-05,530
2024-04-06,525
2024-04-07,704
2024-04-08,857
2024-04-09,807
2024-04-10,849
2024-04-11,841
2024-04-12,851
2024-04-13,886
2024-04-14,954
2024-04-15,1061
2024-04-16,989
2024-04-17,932
2024-04-18,711
2024-04-19,589
2024-04-20,532
2024-04-21,597
2024-04-22,563
2024-04-23,623
2024-04-24,579
2024-04-25,599
2024-04-26,502
2024-04-27,492
2024-04-28,521
2024-04-29,487
2024-04-30,533
2024-05-01,503
2024-05-02,480
