,Sales Rank
2022-12-14,306
2022-12-15,363
2022-12-16,388
2022-12-17,382
2022-12-18,407
2022-12-19,421
2022-12-20,406
2022-12-21,355
2022-12-22,326
2022-12-23,284
2022-12-24,271
2022-12-25,247
2022-12-26,254
2022-12-27,255
2022-12-28,217
2022-12-29,227
2022-12-30,231
2022-12-31,241
2023-01-01,241
2023-01-02,253
2023-01-03,238
2023-01-04,236
2023-01-05,238
2023-01-06,226
2023-01-07,240
2023-01-08,240
2023-01-09,235
2023-01-10,240
2023-01-11,244
2023-01-12,260
2023-01-13,321
2023-01-14,593
2023-01-15,395
2023-01-16,251
2023-01-17,262
2023-01-18,310
2023-01-19,291
2023-01-20,313
2023-01-21,320
2023-01-22,304
2023-01-23,229
2023-01-24,267
2023-01-25,293
2023-01-26,299
2023-01-27,292
2023-01-28,258
2023-01-29,305
2023-01-30,289
2023-01-31,296
2023-02-01,287
2023-02-02,267
2023-02-03,268
2023-02-04,928
2023-02-05,353
2023-02-06,285
2023-02-07,285
2023-02-08,311
2023-02-09,279
2023-02-10,284
2023-02-11,297
2023-02-12,334
2023-02-13,381
2023-02-14,339
2023-02-15,275
2023-02-16,273
2023-02-17,288
2023-02-18,283
2023-02-19,297
2023-02-20,265
2023-02-21,205
2023-02-22,197
2023-02-23,240
2023-02-24,231
2023-02-25,256
2023-02-26,281
2023-02-27,276
2023-02-28,247
2023-03-01,254
2023-03-02,256
2023-03-03,231
2023-03-04,240
2023-03-05,276
2023-03-06,273
2023-03-07,210
2023-03-08,244
2023-03-09,247
2023-03-10,241
2023-03-11,239
2023-03-12,274
2023-03-13,265
2023-03-14,244
2023-03-15,249
2023-03-16,245
2023-03-17,243
2023-03-18,271
2023-03-19,298
2023-03-20,273
2023-03-21,241
2023-03-22,232
2023-03-23,257
2023-03-24,278
2023-03-25,278
2023-03-26,276
2023-03-27,267
2023-03-28,251
2023-03-29,238
2023-03-30,296
2023-03-31,311
2023-04-01,410
2023-04-02,441
2023-04-03,380
2023-04-04,335
2023-04-05,392
2023-04-06,419
2023-04-07,409
2023-04-08,437
2023-04-09,394
2023-04-10,295
2023-04-11,359
2023-04-12,447
2023-04-13,333
2023-04-14,323
2023-04-15,396
2023-04-16,531
2023-04-17,310
2023-04-18,329
2023-04-19,508
2023-04-20,602
2023-04-21,506
2023-04-22,401
2023-04-23,369
2023-04-24,339
2023-04-25,147
2023-04-26,219
2023-04-27,251
2023-04-28,286
2023-04-29,321
2023-04-30,319
2023-05-01,310
2023-05-02,275
2023-05-03,264
2023-05-04,285
2023-05-05,288
2023-05-06,286
2023-05-07,304
2023-05-08,284
2023-05-09,242
2023-05-10,257
2023-05-11,315
2023-05-12,317
2023-05-13,346
2023-05-14,290
2023-05-15,306
2023-05-16,319
2023-05-17,247
2023-05-18,277
2023-05-19,287
2023-05-20,263
2023-05-21,284
2023-05-22,306
2023-05-23,275
2023-05-24,236
2023-05-25,258
2023-05-26,266
2023-05-27,228
2023-05-28,264
2023-05-30,307
2023-05-31,240
2023-06-01,246
2023-06-02,268
2023-06-03,268
2023-06-04,262
2023-06-05,308
2023-06-06,285
2023-06-07,284
2023-06-08,265
2023-06-09,258
2023-06-10,237
2023-06-11,260
2023-06-12,277
2023-06-13,305
2023-06-14,240
2023-06-15,259
2023-06-16,274
2023-06-17,270
2023-06-18,259
2023-06-19,280
2023-06-20,315
2023-06-21,277
2023-06-22,259
2023-06-23,276
2023-06-24,272
2023-06-25,248
2023-06-26,254
2023-06-27,307
2023-06-28,283
2023-06-29,291
2023-06-30,252
2023-07-01,271
2023-07-02,279
2023-07-03,331
2023-07-04,320
2023-07-05,245
2023-07-06,254
2023-07-07,270
2023-07-08,266
2023-07-09,266
2023-07-10,283
2023-07-11,352
2023-07-12,432
2023-07-13,468
2023-07-14,291
2023-07-15,263
2023-07-16,266
2023-07-17,286
2023-07-18,316
2023-07-19,247
2023-07-20,247
2023-07-21,296
2023-07-22,304
2023-07-23,267
2023-07-24,291
2023-07-25,275
2023-07-26,258
2023-07-27,268
2023-07-28,259
2023-07-29,269
2023-07-30,257
2023-07-31,294
2023-08-01,298
2023-08-02,259
2023-08-03,239
2023-08-04,280
2023-08-05,273
2023-08-06,274
2023-08-07,283
2023-08-08,302
2023-08-09,261
2023-08-10,248
2023-08-11,249
2023-08-12,281
2023-08-13,265
2023-08-14,261
2023-08-15,290
2023-08-16,236
2023-08-17,245
2023-08-18,254
2023-08-19,254
2023-08-20,241
2023-08-21,272
2023-08-22,286
2023-08-23,219
2023-08-24,249
2023-08-25,247
2023-08-26,260
2023-08-27,228
2023-08-28,256
2023-08-29,279
2023-08-30,263
2023-08-31,262
2023-09-01,289
2023-09-02,271
2023-09-03,263
2023-09-04,286
2023-09-05,263
2023-09-06,226
2023-09-07,264
2023-09-08,280
2023-09-09,254
2023-09-10,237
2023-09-11,272
2023-09-12,284
2023-09-13,269
2023-09-14,273
2023-09-15,260
2023-09-16,261
2023-09-17,251
2023-09-18,265
2023-09-19,274
2023-09-20,241
2023-09-21,264
