,Sales Rank
2022-12-14,84236
2022-12-15,99347
2022-12-16,103544
2022-12-17,106364
2022-12-18,90088
2022-12-19,94731
2022-12-20,101063
2022-12-21,77736
2022-12-22,89652
2022-12-23,94722
2022-12-24,97621
2022-12-25,98931
2022-12-26,103288
2022-12-27,51739
2022-12-28,61492
2022-12-29,88168
2022-12-30,58051
2022-12-31,82913
2023-01-01,72940
2023-01-02,91070
2023-01-03,76581
2023-01-04,84415
2023-01-05,88554
2023-01-06,87058
2023-01-07,85825
2023-01-08,68028
2023-01-09,60980
2023-01-10,64077
2023-01-11,65637
2023-01-12,54572
2023-01-13,47171
2023-01-14,32069
2023-01-15,42642
2023-01-16,43672
2023-01-17,44071
2023-01-18,48316
2023-01-19,71933
2023-01-20,82313
2023-01-21,87969
2023-01-22,93750
2023-01-23,99327
2023-01-24,100599
2023-01-25,54056
2023-01-26,62792
2023-01-27,80435
2023-01-28,89976
2023-01-29,97613
2023-01-30,65561
2023-01-31,82240
2023-02-01,56008
2023-02-02,75580
2023-02-03,85954
2023-02-04,95062
2023-02-05,61183
2023-02-06,80268
2023-02-07,92845
2023-02-08,98557
2023-02-09,82616
2023-02-10,68331
2023-02-11,86425
2023-02-12,95730
2023-02-13,101027
2023-02-14,102704
2023-02-15,105398
2023-02-16,108297
2023-02-17,62832
2023-02-18,48433
2023-02-19,47945
2023-02-20,77524
2023-02-21,65119
2023-02-22,50736
2023-02-23,81043
2023-02-24,49817
2023-02-25,40728
2023-02-26,72588
2023-02-27,81820
2023-02-28,91914
2023-03-01,41290
2023-03-02,52630
2023-03-03,70537
2023-03-04,74905
2023-03-05,50998
2023-03-06,56518
2023-03-07,45891
2023-03-08,66436
2023-03-09,55819
2023-03-10,55841
2023-03-11,39065
2023-03-12,77398
2023-03-13,48269
2023-03-14,52126
2023-03-15,77049
2023-03-16,86802
2023-03-17,90889
2023-03-18,97102
2023-03-19,102625
2023-03-20,78649
2023-03-21,42012
2023-03-22,46973
2023-03-23,27334
2023-03-24,31072
2023-03-25,51745
2023-03-26,57176
2023-03-27,35035
2023-03-28,24984
2023-03-29,28251
2023-03-30,25210
2023-03-31,25343
2023-04-01,32168
2023-04-02,44760
2023-04-03,34129
2023-04-04,40541
2023-04-05,21734
2023-04-06,26057
2023-04-07,24373
2023-04-08,29356
2023-04-09,32697
2023-04-10,29480
2023-04-11,53500
2023-04-12,40949
2023-04-13,23833
2023-04-14,30611
2023-04-15,35776
2023-04-16,57223
2023-04-17,45304
2023-04-18,52888
2023-04-19,70290
2023-04-20,76689
2023-04-21,82240
2023-04-22,84712
2023-04-23,90982
2023-04-24,43314
2023-04-25,73744
2023-04-26,64366
2023-04-27,76228
2023-04-28,59931
2023-04-29,49980
2023-04-30,67011
2023-05-01,80954
2023-05-02,65566
2023-05-03,54217
