,Sales Rank
2022-12-14,1023
2022-12-15,935
2022-12-16,1032
2022-12-17,1051
2022-12-18,1141
2022-12-19,1000
2022-12-20,1074
2022-12-21,1045
2022-12-22,1006
2022-12-23,910
2022-12-24,853
2022-12-25,742
2022-12-26,736
2022-12-27,818
2022-12-28,797
2022-12-29,762
2022-12-30,746
2022-12-31,667
2023-01-01,559
2023-01-02,705
2023-01-03,649
2023-01-04,621
2023-01-05,616
2023-01-06,592
2023-01-07,601
2023-01-08,599
2023-01-09,638
2023-01-10,633
2023-01-11,638
2023-01-12,659
2023-01-13,649
2023-01-14,700
2023-01-15,709
2023-01-16,740
2023-01-17,703
2023-01-18,672
2023-01-19,609
2023-01-20,606
2023-01-21,684
2023-01-22,653
2023-01-23,762
2023-01-24,700
2023-01-25,673
2023-01-26,677
2023-01-27,704
2023-01-28,713
2023-01-29,823
2023-01-30,726
2023-01-31,667
2023-02-01,636
2023-02-02,612
2023-02-03,701
2023-02-04,711
2023-02-05,703
2023-02-06,710
2023-02-07,706
2023-02-08,664
2023-02-09,614
2023-02-10,662
2023-02-11,670
2023-02-12,638
2023-02-13,519
2023-02-14,547
2023-02-15,671
2023-02-16,646
2023-02-17,601
2023-02-18,594
2023-02-19,731
2023-02-20,701
2023-02-21,627
2023-02-22,573
2023-02-23,511
2023-02-24,541
2023-02-25,539
2023-02-26,562
2023-02-27,559
2023-02-28,570
2023-03-01,562
2023-03-02,486
2023-03-03,513
2023-03-04,697
2023-03-05,643
2023-03-06,750
2023-03-07,653
2023-03-08,723
2023-03-09,743
2023-03-10,710
2023-03-11,737
2023-03-12,676
2023-03-13,669
2023-03-14,784
2023-03-15,779
2023-03-16,794
2023-03-17,743
2023-03-18,836
2023-03-19,853
2023-03-20,820
2023-03-21,837
2023-03-22,826
2023-03-23,757
2023-03-24,800
2023-03-25,844
2023-03-26,946
2023-03-27,793
2023-03-28,772
2023-03-29,764
2023-03-30,728
2023-03-31,691
2023-04-01,718
2023-04-02,685
2023-04-03,765
2023-04-04,710
2023-04-05,704
2023-04-06,690
2023-04-07,675
2023-04-08,1457
2023-04-09,1492
2023-04-10,1315
2023-04-11,1400
2023-04-12,1628
2023-04-13,1400
2023-04-14,1430
2023-04-15,1603
2023-04-16,1834
2023-04-17,1665
2023-04-18,1607
2023-04-19,1528
2023-04-20,1547
2023-04-21,1431
2023-04-22,1481
2023-04-23,1458
2023-04-24,1671
2023-04-25,1667
2023-04-26,1391
2023-04-27,1557
2023-04-28,1794
2023-04-29,1466
2023-04-30,1473
2023-05-01,1583
2023-05-02,1849
2023-05-03,1721
2023-05-04,1625
2023-05-05,1937
2023-05-06,1612
2023-05-07,1785
2023-05-08,1558
2023-05-09,1832
2023-05-10,2001
2023-05-11,2654
2023-05-12,2588
2023-05-13,3152
2023-05-14,3224
2023-05-15,2063
2023-05-16,2728
2023-05-17,2043
2023-05-18,1690
2023-05-19,1691
2023-05-20,1680
2023-05-21,1714
2023-05-22,1614
2023-05-23,1655
2023-05-24,1625
2023-05-25,1490
2023-05-26,1553
2023-05-27,1768
2023-05-28,1781
2023-05-30,1781
2023-05-31,1461
2023-06-01,1534
2023-06-02,1405
2023-06-03,1321
2023-06-04,1358
2023-06-05,1463
2023-06-06,1512
2023-06-07,1445
2023-06-08,1462
2023-06-09,1392
2023-06-10,1604
2023-06-11,1679
2023-06-12,1700
2023-06-13,1523
2023-06-14,1576
2023-06-15,1504
2023-06-16,1422
2023-06-17,1572
2023-06-18,1560
2023-06-19,1651
2023-06-20,1670
2023-06-21,733
2023-06-22,749
2023-06-23,773
2023-06-24,673
2023-06-25,751
2023-06-26,746
2023-06-27,762
2023-06-28,765
2023-06-29,719
2023-06-30,699
2023-07-01,665
2023-07-02,588
2023-07-03,572
2023-07-04,640
2023-07-05,636
2023-07-06,590
2023-07-07,638
2023-07-08,677
2023-07-09,723
2023-07-10,649
2023-07-11,843
2023-07-12,1123
2023-07-13,914
2023-07-14,803
2023-07-15,789
2023-07-16,807
2023-07-17,730
2023-07-18,734
2023-07-19,750
2023-07-20,702
2023-07-21,691
2023-07-22,736
2023-07-23,779
2023-07-24,846
2023-07-25,711
2023-07-26,765
2023-07-27,698
2023-07-28,692
2023-07-29,674
2023-07-30,792
2023-07-31,759
2023-08-01,695
2023-08-02,675
2023-08-03,719
2023-08-04,713
2023-08-05,604
2023-08-06,612
2023-08-07,634
2023-08-08,684
2023-08-09,669
2023-08-10,751
2023-08-11,1656
2023-08-12,1590
2023-08-13,2079
2023-08-14,2044
2023-08-15,1780
2023-08-16,1664
2023-08-17,1808
2023-08-18,1852
2023-08-19,1927
2023-08-20,2183
2023-08-21,1867
2023-08-22,1833
2023-08-23,1697
2023-08-24,1867
2023-08-25,1720
2023-08-26,1709
2023-08-27,1829
2023-08-28,1672
2023-08-29,1776
2023-08-30,1870
2023-08-31,1729
2023-09-01,1644
2023-09-02,1655
2023-09-03,1772
2023-09-04,1640
2023-09-05,1550
2023-09-06,1512
2023-09-07,1551
2023-09-08,1558
2023-09-09,1530
2023-09-10,1674
2023-09-11,1556
2023-09-12,701
2023-09-13,806
2023-09-14,806
2023-09-15,741
2023-09-16,777
2023-09-17,847
2023-09-18,798
2023-09-19,851
2023-09-20,888
2023-09-21,893
2023-09-22,759
2023-09-23,783
2023-09-24,855
2023-09-25,526
2023-09-26,533
2023-09-27,537
2023-09-28,540
2023-09-29,558
2023-09-30,601
2023-10-01,556
2023-10-02,524
2023-10-03,397
2023-10-04,415
2023-10-05,408
2023-10-06,398
2023-10-07,445
2023-10-08,423
2023-10-09,1609
2023-10-10,2212
2023-10-11,2208
2023-10-12,1872
2023-10-13,2014
2023-10-14,1812
2023-10-15,1973
2023-10-16,1760
2023-10-17,1850
2023-10-18,1828
2023-10-19,1941
2023-10-20,1821
2023-10-21,1862
2023-10-22,1810
2023-10-23,1789
2023-10-24,2039
2023-10-25,1915
