,Sales Rank
2022-12-14,151
2022-12-15,160
2022-12-16,179
2022-12-17,186
2022-12-18,202
2022-12-19,186
2022-12-20,189
2022-12-21,171
2022-12-22,157
2022-12-23,145
2022-12-24,142
2022-12-25,107
2022-12-26,105
2022-12-27,111
2022-12-28,125
2022-12-29,111
2022-12-30,123
2022-12-31,122
2023-01-01,120
2023-01-02,112
2023-01-03,107
2023-01-04,116
2023-01-05,117
2023-01-06,116
2023-01-07,124
2023-01-08,124
2023-01-09,126
2023-01-10,129
2023-01-11,136
2023-01-12,131
2023-01-13,115
2023-01-14,107
2023-01-15,129
2023-01-16,114
2023-01-17,112
2023-01-18,110
2023-01-19,114
2023-01-20,128
2023-01-21,146
2023-01-22,144
2023-01-23,117
2023-01-24,133
2023-01-25,117
2023-01-26,113
2023-01-27,133
2023-01-28,135
2023-01-29,119
2023-01-30,108
2023-01-31,119
2023-02-01,113
2023-02-02,119
2023-02-03,130
2023-02-04,119
2023-02-05,123
2023-02-06,112
2023-02-07,113
2023-02-08,118
2023-02-09,126
2023-02-10,125
2023-02-11,135
2023-02-12,114
2023-02-13,103
2023-02-14,125
2023-02-15,105
2023-02-16,104
2023-02-17,116
2023-02-18,128
2023-02-19,127
2023-02-20,120
2023-02-21,107
2023-02-22,110
2023-02-23,116
2023-02-24,115
2023-02-25,133
2023-02-26,137
2023-02-27,118
2023-02-28,110
2023-03-01,130
2023-03-02,122
2023-03-03,108
2023-03-04,101
2023-03-05,118
2023-03-06,112
2023-03-07,107
2023-03-08,127
2023-03-09,131
2023-03-10,125
2023-03-11,133
2023-03-12,141
2023-03-13,124
2023-03-14,119
2023-03-15,119
2023-03-16,115
2023-03-17,122
2023-03-18,139
2023-03-19,127
2023-03-20,116
2023-03-21,122
2023-03-22,126
2023-03-23,116
2023-03-24,143
2023-03-25,155
2023-03-26,146
2023-03-27,129
2023-03-28,116
2023-03-29,117
2023-03-30,114
2023-03-31,118
2023-04-01,139
2023-04-02,148
2023-04-03,137
2023-04-04,104
2023-04-05,129
2023-04-06,132
2023-04-07,146
2023-04-08,145
2023-04-09,151
2023-04-10,122
2023-04-11,139
2023-04-12,134
2023-04-13,132
2023-04-14,135
2023-04-15,146
2023-04-16,150
2023-04-17,126
2023-04-18,124
2023-04-19,116
2023-04-20,118
2023-04-21,133
2023-04-22,141
2023-04-23,142
2023-04-24,113
2023-04-25,112
2023-04-26,136
2023-04-27,148
2023-04-28,133
2023-04-29,140
2023-04-30,146
2023-05-01,137
2023-05-02,159
2023-05-03,160
2023-05-04,142
2023-05-05,127
2023-05-06,144
2023-05-07,163
2023-05-08,131
2023-05-09,130
2023-05-10,130
2023-05-11,122
2023-05-12,120
2023-05-13,119
2023-05-14,140
2023-05-15,111
2023-05-16,120
2023-05-17,123
2023-05-18,121
2023-05-19,127
2023-05-20,139
2023-05-21,145
2023-05-22,110
2023-05-23,115
2023-05-24,136
2023-05-25,130
2023-05-26,123
2023-05-27,145
2023-05-28,143
2023-05-30,112
2023-05-31,107
2023-06-01,116
2023-06-02,127
2023-06-03,135
2023-06-04,144
2023-06-05,112
2023-06-06,120
2023-06-07,114
2023-06-08,128
2023-06-09,124
2023-06-10,132
2023-06-11,171
2023-06-12,166
2023-06-13,120
2023-06-14,127
2023-06-15,131
2023-06-16,137
2023-06-17,140
2023-06-18,141
2023-06-19,115
2023-06-20,113
2023-06-21,126
2023-06-22,133
2023-06-23,122
2023-06-24,122
2023-06-25,132
2023-06-26,137
2023-06-27,145
2023-06-28,153
2023-06-29,145
2023-06-30,127
2023-07-01,152
2023-07-02,168
2023-07-03,120
2023-07-04,128
2023-07-05,131
2023-07-06,125
2023-07-07,152
2023-07-08,155
2023-07-09,167
2023-07-10,121
2023-07-11,236
2023-07-12,303
2023-07-13,215
2023-07-14,165
2023-07-15,152
2023-07-16,168
2023-07-17,132
2023-07-18,119
2023-07-19,123
2023-07-20,134
2023-07-21,122
2023-07-22,141
2023-07-23,153
2023-07-24,132
2023-07-25,111
2023-07-26,130
2023-07-27,134
2023-07-28,123
2023-07-29,135
2023-07-30,136
2023-07-31,120
2023-08-01,114
2023-08-02,115
2023-08-03,115
2023-08-04,118
2023-08-05,120
2023-08-06,125
2023-08-07,114
2023-08-08,107
2023-08-09,119
2023-08-10,115
2023-08-11,124
2023-08-12,147
2023-08-13,144
2023-08-14,120
2023-08-15,117
2023-08-16,113
2023-08-17,126
2023-08-18,123
2023-08-19,137
2023-08-20,149
2023-08-21,118
2023-08-22,120
2023-08-23,113
2023-08-24,133
2023-08-25,116
2023-08-26,137
2023-08-27,138
2023-08-28,118
2023-08-29,116
2023-08-30,121
2023-08-31,120
2023-09-01,112
2023-09-02,134
2023-09-03,141
2023-09-04,115
2023-09-05,128
2023-09-06,130
2023-09-07,134
2023-09-08,127
2023-09-09,148
2023-09-10,144
2023-09-11,111
2023-09-12,117
2023-09-13,129
2023-09-14,131
2023-09-15,112
2023-09-16,141
2023-09-17,139
2023-09-18,109
2023-09-19,119
2023-09-20,121
2023-09-21,118
2023-09-22,120
2023-09-23,120
2023-09-24,117
2023-09-25,113
2023-09-26,111
2023-09-27,114
2023-09-28,117
2023-09-29,109
2023-09-30,124
2023-10-01,120
2023-10-02,112
2023-10-03,117
2023-10-04,118
2023-10-05,125
2023-10-06,110
2023-10-07,122
2023-10-08,127
2023-10-09,103
2023-10-10,181
2023-10-11,186
2023-10-12,164
2023-10-13,125
2023-10-14,133
2023-10-15,137
2023-10-16,110
2023-10-17,123
2023-10-18,113
2023-10-19,105
2023-10-20,108
2023-10-21,127
2023-10-22,125
2023-10-23,102
2023-10-24,110
2023-10-25,102
2023-10-26,100
2023-10-27,110
2023-10-28,129
2023-10-29,137
2023-10-30,109
2023-10-31,116
2023-11-01,120
2023-11-02,120
2023-11-03,100
2023-11-04,110
2023-11-05,131
2023-11-06,98
2023-11-07,100
2023-11-08,108
2023-11-09,96
2023-11-10,99
2023-11-11,122
2023-11-12,118
2023-11-13,102
2023-11-14,112
2023-11-15,113
2023-11-16,122
2023-11-17,119
2023-11-18,141
2023-11-19,143
2023-11-20,126
2023-11-21,119
2023-11-22,123
2023-11-23,123
2023-11-24,190
2023-11-25,202
2023-11-26,214
2023-11-27,205
2023-11-28,184
2023-11-29,154
2023-11-30,141
2023-12-01,128
2023-12-02,164
2023-12-03,156
2023-12-04,109
2023-12-05,124
2023-12-06,123
2023-12-07,140
2023-12-08,133
2023-12-09,159
2023-12-10,188
2023-12-11,143
2023-12-12,153
2023-12-13,156
2023-12-14,139
2023-12-15,159
2023-12-16,188
2023-12-17,210
2023-12-18,160
2023-12-19,164
2023-12-20,175
2023-12-21,178
2023-12-22,173
2023-12-23,162
2023-12-24,194
2023-12-25,94
2023-12-26,105
2023-12-27,117
2023-12-28,117
2023-12-29,111
2023-12-30,128
2023-12-31,134
2024-01-01,111
2024-01-02,121
