,Sales Rank
2022-12-14,1769
2022-12-15,2045
2022-12-16,2439
2022-12-17,2817
2022-12-18,3197
2022-12-19,3430
2022-12-20,2962
2022-12-21,3079
2022-12-22,1906
2022-12-23,982
2022-12-24,939
2022-12-25,1376
2022-12-26,1773
2022-12-27,1931
2022-12-28,2405
2022-12-29,2821
2022-12-30,2309
2022-12-31,2796
2023-01-01,3174
2023-01-02,2697
2023-01-03,1078
2023-01-04,1073
2023-01-05,1118
2023-01-06,1338
2023-01-07,1511
2023-01-08,1577
2023-01-09,1707
2023-01-10,1795
2023-01-11,1830
2023-01-12,2042
2023-01-13,1196
2023-01-14,720
2023-01-15,675
2023-01-16,469
2023-01-17,279
2023-01-18,245
2023-01-19,164
2023-01-20,151
2023-01-21,167
2023-01-22,165
2023-01-23,155
2023-01-24,519
2023-01-25,404
2023-01-26,337
2023-01-27,324
2023-01-28,289
2023-01-29,453
2023-01-30,529
2023-01-31,581
2023-02-01,524
2023-02-02,1214
2023-02-03,1624
2023-02-04,2034
2023-02-05,2836
2023-02-06,2192
2023-02-07,2185
2023-02-08,2055
2023-02-09,2606
2023-02-10,1505
2023-02-11,761
2023-02-12,2061
2023-02-13,2087
2023-02-14,2279
2023-02-15,2211
2023-02-16,2269
2023-02-17,2327
2023-02-18,3025
2023-02-19,1046
2023-02-20,671
2023-02-21,994
2023-02-22,1187
2023-02-23,1877
2023-02-24,1710
2023-02-25,2632
2023-02-26,3125
2023-02-27,2386
2023-02-28,2209
2023-03-01,2530
2023-03-02,2425
2023-03-03,565
2023-03-04,528
2023-03-05,587
2023-03-06,298
2023-03-07,209
2023-03-08,174
2023-03-09,271
2023-03-10,759
2023-03-11,1241
2023-03-12,2234
2023-03-13,1727
2023-03-14,1947
2023-03-15,1086
2023-03-16,270
2023-03-17,213
2023-03-18,174
2023-03-19,166
2023-03-20,268
2023-03-21,661
2023-03-22,1048
2023-03-23,1376
2023-03-24,1638
2023-03-25,2055
2023-03-26,2361
2023-03-27,2049
2023-03-28,2096
2023-03-29,2015
2023-03-30,1915
2023-03-31,1864
2023-04-01,498
2023-04-02,341
2023-04-03,374
2023-04-04,404
2023-04-05,418
2023-04-06,382
2023-04-07,386
2023-04-08,450
2023-04-09,548
2023-04-10,540
2023-04-11,500
2023-04-12,477
2023-04-13,490
2023-04-14,379
2023-04-15,492
2023-04-16,515
2023-04-17,513
2023-04-18,554
2023-04-19,512
2023-04-20,541
2023-04-21,450
2023-04-22,456
2023-04-23,498
2023-04-24,553
2023-04-25,246
2023-04-26,166
2023-04-27,146
2023-04-28,114
2023-04-29,91
2023-04-30,96
2023-05-01,115
2023-05-02,198
2023-05-03,260
2023-05-04,361
2023-05-05,765
2023-05-06,1278
2023-05-07,1476
2023-05-08,1508
2023-05-09,1647
2023-05-10,1812
2023-05-11,1845
2023-05-12,396
2023-05-13,383
2023-05-14,386
2023-05-15,384
2023-05-16,1029
2023-05-17,1071
2023-05-18,1341
2023-05-19,1579
2023-05-20,868
2023-05-21,1472
2023-05-22,1918
2023-05-23,2135
2023-05-24,1527
2023-05-25,1710
2023-05-26,1605
2023-05-27,1301
2023-05-28,1627
2023-05-30,1627
2023-05-31,1548
2023-06-01,1420
2023-06-02,1512
2023-06-03,1915
2023-06-04,1706
2023-06-05,1876
2023-06-06,998
2023-06-07,649
2023-06-08,556
2023-06-09,492
2023-06-10,440
2023-06-11,466
2023-06-12,685
2023-06-13,641
2023-06-14,433
2023-06-15,514
2023-06-16,506
2023-06-17,416
2023-06-18,348
2023-06-19,402
2023-06-20,491
2023-06-21,524
2023-06-22,553
2023-06-23,541
2023-06-24,544
2023-06-25,504
2023-06-26,522
2023-06-27,571
2023-06-28,505
2023-06-29,520
2023-06-30,492
2023-07-01,528
2023-07-02,521
2023-07-03,650
2023-07-04,712
2023-07-05,578
2023-07-06,624
2023-07-07,592
2023-07-08,682
2023-07-09,666
2023-07-10,719
2023-07-11,1073
2023-07-12,904
2023-07-13,784
2023-07-14,686
2023-07-15,687
2023-07-16,682
2023-07-17,725
2023-07-18,657
2023-07-19,608
2023-07-20,619
2023-07-21,643
2023-07-22,665
2023-07-23,684
2023-07-24,455
2023-07-25,294
2023-07-26,138
2023-07-27,99
2023-07-28,132
2023-07-29,157
2023-07-30,176
2023-07-31,170
2023-08-01,171
2023-08-02,177
2023-08-03,171
2023-08-04,185
2023-08-05,187
2023-08-06,222
2023-08-07,259
2023-08-08,302
2023-08-09,278
2023-08-10,297
2023-08-11,323
2023-08-12,346
2023-08-13,360
2023-08-14,400
2023-08-15,344
2023-08-16,332
2023-08-17,334
2023-08-18,329
2023-08-19,344
2023-08-20,299
2023-08-21,397
2023-08-22,399
2023-08-23,300
2023-08-24,329
2023-08-25,381
2023-08-26,102
2023-08-27,96
2023-08-28,126
2023-08-29,133
2023-08-30,152
2023-08-31,119
2023-09-01,80
2023-09-02,98
2023-09-03,109
2023-09-04,165
2023-09-05,31
2023-09-06,34
2023-09-07,36
2023-09-08,13
2023-09-09,12
2023-09-10,12
2023-09-11,15
2023-09-12,34
2023-09-13,33
2023-09-14,154
2023-09-15,131
2023-09-16,136
2023-09-17,142
2023-09-18,160
2023-09-19,179
2023-09-20,120
2023-09-21,121
2023-09-22,113
2023-09-23,110
2023-09-24,115
2023-09-25,128
2023-09-26,135
2023-09-27,111
2023-09-28,106
2023-09-29,104
2023-09-30,98
2023-10-01,96
2023-10-02,124
2023-10-03,129
2023-10-04,126
2023-10-05,115
2023-10-06,112
2023-10-07,104
2023-10-08,106
2023-10-09,125
2023-10-10,175
2023-10-11,154
2023-10-12,125
2023-10-13,115
2023-10-14,110
2023-10-15,106
2023-10-16,124
2023-10-17,122
2023-10-18,95
2023-10-19,100
2023-10-20,96
2023-10-21,104
2023-10-22,97
2023-10-23,130
2023-10-24,127
2023-10-25,105
2023-10-26,106
2023-10-27,107
2023-10-28,104
2023-10-29,99
2023-10-30,125
2023-10-31,128
2023-11-01,97
2023-11-02,104
2023-11-03,89
2023-11-04,113
2023-11-05,96
2023-11-06,120
2023-11-07,130
2023-11-08,112
2023-11-09,27
2023-11-10,32
2023-11-11,29
2023-11-12,26
2023-11-13,33
2023-11-14,33
2023-11-15,28
2023-11-16,27
2023-11-17,24
2023-11-18,486
2023-11-19,487
2023-11-20,636
2023-11-21,601
2023-11-22,404
2023-11-23,497
2023-11-24,715
2023-11-25,616
2023-11-26,599
2023-11-27,715
2023-11-28,631
2023-11-29,477
2023-11-30,397
2023-12-01,383
2023-12-02,336
2023-12-03,348
2023-12-04,437
2023-12-05,406
2023-12-06,428
2023-12-07,328
2023-12-08,313
2023-12-09,337
2023-12-10,419
2023-12-11,452
2023-12-12,423
2023-12-13,309
2023-12-14,395
2023-12-15,617
2023-12-16,625
2023-12-17,712
2023-12-18,842
2023-12-19,817
2023-12-20,765
2023-12-21,1292
2023-12-22,1495
2023-12-23,1489
2023-12-24,2303
2023-12-25,3219
2023-12-26,4504
2023-12-27,5047
2023-12-28,6009
2023-12-29,471
2023-12-30,771
2023-12-31,915
2024-01-01,1059
2024-01-02,1160
2024-01-03,874
2024-01-04,154
2024-01-05,229
2024-01-06,362
2024-01-07,500
2024-01-08,839
2024-01-09,932
2024-01-10,420
2024-01-11,354
2024-01-12,502
2024-01-13,886
2024-01-14,1020
2024-01-15,706
2024-01-16,877
2024-01-17,778
2024-01-18,684
2024-01-19,829
2024-01-20,709
2024-01-21,813
2024-01-22,751
2024-01-23,791
2024-01-24,548
2024-01-25,563
2024-01-26,667
2024-01-27,564
2024-01-28,642
2024-01-29,635
2024-01-30,570
2024-01-31,445
2024-02-01,438
2024-02-02,365
2024-02-03,345
2024-02-04,353
2024-02-05,380
2024-02-06,407
2024-02-07,341
2024-02-08,353
2024-02-09,353
2024-02-10,415
2024-02-11,467
2024-02-12,519
2024-02-13,583
2024-02-14,440
2024-02-15,447
2024-02-16,605
2024-02-17,540
2024-02-18,505
2024-02-19,597
2024-02-20,579
2024-02-21,426
2024-02-22,389
2024-02-23,343
2024-02-24,284
2024-02-25,293
2024-02-26,336
2024-02-27,386
2024-02-28,356
2024-02-29,399
2024-03-01,362
2024-03-02,392
