,Sales Rank
2022-12-14,624
2022-12-15,631
2022-12-16,571
2022-12-17,544
2022-12-18,523
2022-12-19,526
2022-12-20,532
2022-12-21,529
2022-12-22,577
2022-12-23,555
2022-12-24,527
2022-12-25,509
2022-12-26,403
2022-12-27,430
2022-12-28,393
2022-12-29,408
2022-12-30,400
2022-12-31,384
2023-01-01,341
2023-01-02,342
2023-01-03,376
2023-01-04,372
2023-01-05,372
2023-01-06,394
2023-01-07,408
2023-01-08,414
2023-01-09,417
2023-01-10,361
2023-01-11,361
2023-01-12,331
2023-01-13,334
2023-01-14,272
2023-01-15,236
2023-01-16,253
2023-01-17,300
2023-01-18,282
2023-01-19,318
2023-01-20,305
2023-01-21,280
2023-01-22,292
2023-01-23,310
2023-01-24,294
2023-01-25,337
2023-01-26,307
2023-01-27,285
2023-01-28,288
2023-01-29,295
2023-01-30,311
2023-01-31,316
2023-02-01,280
2023-02-02,319
2023-02-03,316
2023-02-04,277
2023-02-05,274
2023-02-06,332
2023-02-07,354
2023-02-08,390
2023-02-09,384
2023-02-10,391
2023-02-11,384
2023-02-12,398
2023-02-13,405
2023-02-14,445
2023-02-15,469
2023-02-16,476
2023-02-17,434
2023-02-18,432
2023-02-19,413
2023-02-20,461
2023-02-21,541
2023-02-22,590
2023-02-23,518
2023-02-24,518
2023-02-25,399
2023-02-26,404
2023-02-27,489
2023-02-28,484
2023-03-01,432
2023-03-02,451
2023-03-03,537
2023-03-04,508
2023-03-05,475
2023-03-06,452
2023-03-07,509
2023-03-08,422
2023-03-09,428
2023-03-10,447
2023-03-11,402
2023-03-12,442
2023-03-13,505
2023-03-14,527
2023-03-15,549
2023-03-16,532
2023-03-17,588
2023-03-18,572
2023-03-19,523
2023-03-20,636
2023-03-21,617
2023-03-22,599
2023-03-23,567
2023-03-24,543
2023-03-25,496
2023-03-26,513
2023-03-27,649
2023-03-28,595
2023-03-29,622
2023-03-30,676
2023-03-31,655
2023-04-01,601
2023-04-02,605
2023-04-03,668
2023-04-04,719
2023-04-05,750
2023-04-06,756
2023-04-07,756
2023-04-08,668
2023-04-09,644
2023-04-10,689
2023-04-11,655
2023-04-12,577
2023-04-13,598
2023-04-14,590
2023-04-15,582
2023-04-16,554
2023-04-17,629
2023-04-18,563
2023-04-19,482
2023-04-20,461
2023-04-21,524
2023-04-22,462
2023-04-23,514
2023-04-24,451
2023-04-25,446
2023-04-26,410
2023-04-27,420
2023-04-28,449
2023-04-29,436
2023-04-30,401
2023-05-01,427
2023-05-02,479
2023-05-03,509
2023-05-04,520
2023-05-05,548
2023-05-06,489
2023-05-07,397
2023-05-08,454
2023-05-09,438
2023-05-10,399
2023-05-11,470
2023-05-12,416
2023-05-13,442
2023-05-14,420
2023-05-15,392
2023-05-16,414
2023-05-17,464
2023-05-18,458
2023-05-19,419
2023-05-20,397
2023-05-21,457
2023-05-22,512
2023-05-23,491
2023-05-24,410
2023-05-25,435
2023-05-26,432
2023-05-27,421
2023-05-28,387
2023-05-30,374
2023-05-31,409
2023-06-01,415
2023-06-02,420
2023-06-03,378
2023-06-04,394
2023-06-05,371
2023-06-06,357
2023-06-07,381
2023-06-08,421
2023-06-09,388
2023-06-10,335
2023-06-11,346
2023-06-12,409
2023-06-13,400
2023-06-14,402
2023-06-15,465
2023-06-16,471
2023-06-17,424
2023-06-18,401
2023-06-19,395
2023-06-20,344
2023-06-21,341
2023-06-22,371
2023-06-23,366
2023-06-24,395
2023-06-25,403
2023-06-26,407
2023-06-27,349
2023-06-28,339
2023-06-29,372
2023-06-30,381
2023-07-01,374
2023-07-02,333
2023-07-03,349
2023-07-04,337
2023-07-05,373
2023-07-06,378
2023-07-07,378
2023-07-08,329
2023-07-09,341
2023-07-10,323
2023-07-11,476
2023-07-12,477
2023-07-13,491
2023-07-14,442
2023-07-15,382
2023-07-16,354
2023-07-17,394
2023-07-18,382
2023-07-19,394
2023-07-20,412
2023-07-21,387
2023-07-22,392
2023-07-23,364
2023-07-24,404
2023-07-25,399
2023-07-26,421
2023-07-27,450
2023-07-28,443
2023-07-29,454
2023-07-30,391
2023-07-31,421
2023-08-01,436
2023-08-02,448
2023-08-03,452
2023-08-04,444
2023-08-05,411
2023-08-06,404
2023-08-07,361
2023-08-08,415
2023-08-09,343
2023-08-10,376
2023-08-11,363
2023-08-12,338
2023-08-13,332
2023-08-14,354
2023-08-15,351
2023-08-16,330
2023-08-17,349
2023-08-18,339
2023-08-19,349
2023-08-20,310
2023-08-21,370
2023-08-22,367
2023-08-23,400
2023-08-24,404
2023-08-25,394
2023-08-26,321
2023-08-27,375
2023-08-28,379
2023-08-29,364
2023-08-30,354
2023-08-31,369
2023-09-01,397
2023-09-02,390
2023-09-03,355
2023-09-04,358
2023-09-05,364
2023-09-06,360
2023-09-07,338
2023-09-08,351
2023-09-09,306
2023-09-10,309
2023-09-11,330
2023-09-12,354
2023-09-13,341
2023-09-14,292
2023-09-15,321
2023-09-16,303
2023-09-17,287
2023-09-18,324
2023-09-19,291
2023-09-20,319
2023-09-21,325
2023-09-22,350
2023-09-23,313
2023-09-24,308
2023-09-25,335
2023-09-26,305
2023-09-27,315
2023-09-28,321
2023-09-29,310
2023-09-30,310
2023-10-01,284
2023-10-02,293
2023-10-03,299
2023-10-04,297
2023-10-05,303
2023-10-06,301
2023-10-07,286
2023-10-08,276
2023-10-09,316
2023-10-10,420
2023-10-11,438
2023-10-12,421
2023-10-13,361
2023-10-14,342
2023-10-15,324
2023-10-16,323
2023-10-17,332
2023-10-18,336
2023-10-19,366
2023-10-20,319
2023-10-21,337
2023-10-22,343
2023-10-23,360
2023-10-24,361
2023-10-25,394
2023-10-26,368
2023-10-27,362
2023-10-28,332
2023-10-29,345
2023-10-30,349
2023-10-31,354
2023-11-01,375
2023-11-02,360
2023-11-03,356
2023-11-04,322
2023-11-05,351
2023-11-06,358
2023-11-07,388
2023-11-08,360
2023-11-09,384
2023-11-10,336
2023-11-11,339
2023-11-12,358
2023-11-13,356
2023-11-14,357
2023-11-15,379
2023-11-16,400
2023-11-17,418
2023-11-18,392
2023-11-19,354
2023-11-20,427
2023-11-21,471
2023-11-22,542
2023-11-23,603
2023-11-24,844
2023-11-25,671
2023-11-26,644
2023-11-27,658
2023-11-28,621
2023-11-29,573
2023-11-30,601
2023-12-01,578
2023-12-02,552
2023-12-03,517
2023-12-04,509
2023-12-05,500
2023-12-06,471
2023-12-07,680
2023-12-08,600
2023-12-09,606
2023-12-10,595
2023-12-11,571
2023-12-12,600
2023-12-13,552
2023-12-14,547
2023-12-15,596
2023-12-16,560
2023-12-17,537
2023-12-18,566
2023-12-19,559
2023-12-20,544
2023-12-21,568
2023-12-22,537
2023-12-23,495
2023-12-24,469
2023-12-25,598
2023-12-26,411
2023-12-27,366
2023-12-28,326
2023-12-29,350
2023-12-30,363
2023-12-31,345
2024-01-01,357
2024-01-02,348
2024-01-03,369
2024-01-04,378
2024-01-05,355
2024-01-06,345
2024-01-07,309
2024-01-08,338
2024-01-09,327
2024-01-10,326
2024-01-11,351
2024-01-12,344
2024-01-13,333
2024-01-14,321
2024-01-15,346
2024-01-16,373
2024-01-17,318
2024-01-18,384
2024-01-19,336
2024-01-20,366
2024-01-21,324
2024-01-22,310
