,Sales Rank
2022-12-14,654
2022-12-15,693
2022-12-16,783
2022-12-17,762
2022-12-18,688
2022-12-19,664
2022-12-20,719
2022-12-21,738
2022-12-22,706
2022-12-23,691
2022-12-24,701
2022-12-25,681
2022-12-26,637
2022-12-27,569
2022-12-28,598
2022-12-29,530
2022-12-30,544
2022-12-31,439
2023-01-01,439
2023-01-02,512
2023-01-03,466
2023-01-04,501
2023-01-05,491
2023-01-06,492
2023-01-07,484
2023-01-08,483
2023-01-09,475
2023-01-10,480
2023-01-11,475
2023-01-12,457
2023-01-13,486
2023-01-14,508
2023-01-15,487
2023-01-16,459
2023-01-17,450
2023-01-18,473
2023-01-19,438
2023-01-20,516
2023-01-21,463
2023-01-22,392
2023-01-23,518
2023-01-24,521
2023-01-25,517
2023-01-26,492
2023-01-27,551
2023-01-28,499
2023-01-29,528
2023-01-30,551
2023-01-31,515
2023-02-01,534
2023-02-02,581
2023-02-03,576
2023-02-04,556
2023-02-05,476
2023-02-06,503
2023-02-07,466
2023-02-08,492
2023-02-09,470
2023-02-10,493
2023-02-11,444
2023-02-12,443
2023-02-13,414
2023-02-14,422
2023-02-15,466
2023-02-16,502
2023-02-17,537
2023-02-18,564
2023-02-19,433
2023-02-20,466
2023-02-21,531
2023-02-22,582
2023-02-23,644
2023-02-24,609
2023-02-25,609
2023-02-26,625
2023-02-27,664
2023-02-28,574
2023-03-01,550
2023-03-02,554
2023-03-03,661
2023-03-04,559
2023-03-05,475
2023-03-06,507
2023-03-07,530
2023-03-08,504
2023-03-09,495
2023-03-10,547
2023-03-11,526
2023-03-12,488
2023-03-13,489
2023-03-14,496
2023-03-15,499
2023-03-16,523
2023-03-17,509
2023-03-18,471
2023-03-19,444
2023-03-20,455
2023-03-21,441
2023-03-22,445
2023-03-23,507
2023-03-24,532
2023-03-25,575
2023-03-26,526
2023-03-27,579
2023-03-28,581
2023-03-29,536
2023-03-30,543
2023-03-31,490
2023-04-01,507
2023-04-02,448
2023-04-03,499
2023-04-04,502
2023-04-05,444
2023-04-06,536
2023-04-07,502
2023-04-08,451
2023-04-09,429
2023-04-10,446
2023-04-11,459
2023-04-12,423
