,Sales Rank
2022-12-14,124
2022-12-15,3474
2022-12-16,222
2022-12-17,243
2022-12-18,240
2022-12-19,215
2022-12-20,223
2022-12-21,210
2022-12-22,185
2022-12-23,178
2022-12-24,186
2022-12-25,137
2022-12-26,143
2022-12-27,151
2022-12-28,153
2022-12-29,160
2022-12-30,164
2022-12-31,163
2023-01-01,146
2023-01-02,134
2023-01-03,137
2023-01-04,143
2023-01-05,143
2023-01-06,141
2023-01-07,142
2023-01-08,143
2023-01-09,143
2023-01-10,145
2023-01-11,144
2023-01-12,137
2023-01-13,137
2023-01-14,140
2023-01-15,153
2023-01-16,148
2023-01-17,151
2023-01-18,159
2023-01-19,142
2023-01-20,150
2023-01-21,146
2023-01-22,147
2023-01-23,140
2023-01-24,139
2023-01-25,140
2023-01-26,153
2023-01-27,156
2023-01-28,150
2023-01-29,144
2023-01-30,137
2023-01-31,136
2023-02-01,147
2023-02-02,167
2023-02-03,172
2023-02-04,168
2023-02-05,156
2023-02-06,131
2023-02-07,142
2023-02-08,140
2023-02-09,145
2023-02-10,169
2023-02-11,159
2023-02-12,156
2023-02-13,142
2023-02-14,129
2023-02-15,140
2023-02-16,155
2023-02-17,154
2023-02-18,164
2023-02-19,181
2023-02-20,157
2023-02-21,134
2023-02-22,136
2023-02-23,149
2023-02-24,140
2023-02-25,769
2023-02-26,711
2023-02-27,730
2023-02-28,697
2023-03-01,715
2023-03-02,732
2023-03-03,658
2023-03-04,674
2023-03-05,794
2023-03-06,711
2023-03-07,678
2023-03-08,667
2023-03-09,663
2023-03-10,755
2023-03-11,721
2023-03-12,741
2023-03-13,666
2023-03-14,758
2023-03-15,710
2023-03-16,713
2023-03-17,769
2023-03-18,794
2023-03-19,867
2023-03-20,708
2023-03-21,696
2023-03-22,731
2023-03-23,711
2023-03-24,741
2023-03-25,600
2023-03-26,716
2023-03-27,594
2023-03-28,647
2023-03-29,657
2023-03-30,717
2023-03-31,757
2023-04-01,776
2023-04-02,839
2023-04-03,852
2023-04-04,787
2023-04-05,905
2023-04-06,773
2023-04-07,758
2023-04-08,922
2023-04-09,1060
2023-04-10,672
2023-04-11,704
2023-04-12,718
2023-04-13,739
2023-04-14,680
2023-04-15,800
2023-04-16,778
2023-04-17,750
2023-04-18,759
2023-04-19,711
2023-04-20,1038
2023-04-21,859
2023-04-22,652
2023-04-23,675
2023-04-24,685
2023-04-25,722
2023-04-26,651
2023-04-27,856
2023-04-28,876
2023-04-29,828
2023-04-30,843
2023-05-01,770
2023-05-02,436
2023-05-03,280
2023-05-04,486
2023-05-05,833
2023-05-06,1007
2023-05-07,1224
2023-05-08,584
2023-05-09,491
2023-05-10,582
2023-05-11,700
2023-05-12,777
2023-05-13,862
2023-05-14,888
2023-05-15,783
2023-05-16,738
2023-05-17,743
2023-05-18,703
2023-05-19,713
2023-05-20,762
2023-05-21,750
2023-05-22,611
2023-05-23,676
2023-05-24,681
2023-05-25,720
2023-05-26,742
2023-05-27,766
2023-05-28,787
2023-05-30,657
2023-05-31,626
2023-06-01,937
2023-06-02,1205
2023-06-03,609
2023-06-04,732
2023-06-05,663
2023-06-06,638
2023-06-07,645
2023-06-08,756
2023-06-09,1040
2023-06-10,1151
2023-06-11,1146
2023-06-12,1052
2023-06-13,1100
2023-06-14,1068
2023-06-15,1152
2023-06-16,224
2023-06-17,581
2023-06-18,756
2023-06-19,704
2023-06-20,784
2023-06-21,829
2023-06-22,809
2023-06-23,779
2023-06-24,706
2023-06-25,700
2023-06-26,717
2023-06-27,664
2023-06-28,661
2023-06-29,648
2023-06-30,625
2023-07-01,665
