,Sales Rank
2023-02-03,999
2023-02-04,877
2023-02-05,737
2023-02-06,793
2023-02-07,815
2023-02-08,805
2023-02-09,776
2023-02-10,876
2023-02-11,715
2023-02-12,730
2023-02-13,712
2023-02-14,723
2023-02-15,772
2023-02-16,872
2023-02-17,873
2023-02-18,917
2023-02-19,763
2023-02-20,742
2023-02-21,757
2023-02-22,886
2023-02-23,862
2023-02-24,983
2023-02-25,887
2023-02-26,857
2023-02-27,812
2023-02-28,956
2023-03-01,914
2023-03-02,813
2023-03-03,998
2023-03-04,1182
2023-03-05,1312
2023-03-06,1021
2023-03-07,1010
2023-03-08,858
2023-03-09,840
2023-03-10,840
2023-03-11,720
2023-03-12,839
2023-03-13,798
2023-03-14,823
2023-03-15,847
2023-03-16,810
2023-03-17,726
2023-03-18,741
2023-03-19,745
2023-03-20,655
2023-03-21,677
2023-03-22,722
2023-03-23,698
2023-03-24,740
2023-03-25,656
2023-03-26,589
2023-03-27,676
2023-03-28,656
2023-03-29,695
2023-03-30,672
2023-03-31,767
2023-04-01,688
2023-04-02,596
2023-04-03,572
2023-04-04,717
2023-04-05,643
2023-04-06,656
2023-04-07,720
2023-04-08,652
2023-04-09,584
2023-04-10,629
2023-04-11,520
2023-04-12,506
2023-04-13,647
2023-04-14,681
2023-04-15,549
2023-04-16,557
2023-04-17,650
2023-04-18,508
2023-04-19,540
2023-04-20,588
2023-04-21,640
2023-04-22,508
2023-04-23,542
2023-04-24,608
2023-04-25,612
2023-04-26,570
2023-04-27,614
2023-04-28,583
2023-04-29,516
2023-04-30,559
2023-05-01,566
2023-05-02,644
2023-05-03,619
2023-05-04,552
2023-05-05,545
2023-05-06,498
2023-05-07,467
2023-05-08,476
2023-05-09,431
2023-05-10,430
2023-05-11,437
2023-05-12,447
2023-05-13,494
2023-05-14,455
2023-05-15,465
2023-05-16,455
2023-05-17,527
2023-05-18,467
2023-05-19,456
2023-05-20,408
2023-05-21,359
2023-05-22,368
2023-05-23,394
2023-05-24,379
2023-05-25,441
2023-05-26,471
2023-05-27,450
2023-05-28,377
2023-05-31,459
2023-06-01,490
2023-06-02,471
2023-06-03,509
2023-06-04,425
2023-06-05,458
2023-06-06,457
2023-06-07,587
2023-06-08,720
2023-06-09,637
2023-06-10,470
2023-06-11,486
2023-06-12,567
2023-06-13,507
2023-06-14,632
2023-06-15,639
2023-06-16,610
2023-06-17,632
2023-06-18,583
2023-06-19,570
2023-06-20,582
2023-06-21,619
2023-06-22,578
2023-06-23,669
2023-06-24,654
2023-06-25,595
2023-06-26,623
2023-06-27,642
2023-06-28,665
2023-06-29,719
2023-06-30,608
2023-07-01,724
2023-07-02,722
2023-07-03,646
2023-07-04,703
2023-07-05,722
2023-07-06,746
2023-07-07,698
2023-07-08,648
2023-07-09,739
2023-07-10,761
2023-07-11,756
2023-07-12,1338
2023-07-13,1129
2023-07-14,968
2023-07-15,947
2023-07-16,764
2023-07-17,717
2023-07-19,781
2023-07-20,821
2023-07-21,808
2023-07-22,881
2023-07-23,854
2023-07-24,740
2023-07-25,782
2023-07-26,808
2023-07-27,802
2023-07-28,879
2023-07-29,900
2023-07-30,894
2023-07-31,765
2023-08-01,844
2023-08-02,829
2023-08-03,842
2023-08-04,837
2023-08-05,857
2023-08-06,863
2023-08-07,849
2023-08-08,826
2023-08-09,946
2023-08-10,884
2023-08-11,801
2023-08-12,837
2023-08-13,805
2023-08-14,816
2023-08-15,854
2023-08-16,798
2023-08-17,961
2023-08-18,832
2023-08-19,883
2023-08-20,923
2023-08-21,898
2023-08-22,812
2023-08-23,765
2023-08-24,836
2023-08-25,809
2023-08-26,857
2023-08-27,808
2023-08-28,864
2023-08-29,929
2023-08-30,933
2023-08-31,900
2023-09-01,838
2023-09-02,857
2023-09-03,892
2023-09-04,799
2023-09-05,923
