,Sales Rank
2022-12-14,742
2022-12-15,632
2022-12-16,613
2022-12-17,600
2022-12-18,603
2022-12-19,634
2022-12-20,717
2022-12-21,670
2022-12-22,683
2022-12-23,721
2022-12-24,694
2022-12-25,762
2022-12-26,711
2022-12-27,640
2022-12-28,653
2022-12-29,608
2022-12-30,654
2022-12-31,557
2023-01-01,596
2023-01-02,595
2023-01-03,574
2023-01-04,517
2023-01-05,544
2023-01-06,550
2023-01-07,554
2023-01-08,563
2023-01-09,578
2023-01-10,579
2023-01-11,603
2023-01-12,604
2023-01-13,563
2023-01-14,572
2023-01-15,539
2023-01-16,553
2023-01-17,503
2023-01-18,501
2023-01-19,483
2023-01-20,479
2023-01-21,540
2023-01-22,477
2023-01-23,532
2023-01-24,511
2023-01-25,467
2023-01-26,469
2023-01-27,480
2023-01-28,462
2023-01-29,501
2023-01-30,536
2023-01-31,489
2023-02-01,501
2023-02-02,527
2023-02-03,430
2023-02-04,513
2023-02-05,557
2023-02-06,518
2023-02-07,579
2023-02-08,557
2023-02-09,568
2023-02-10,590
2023-02-11,535
2023-02-12,594
2023-02-13,622
2023-02-14,613
2023-02-15,584
2023-02-16,594
2023-02-17,637
2023-02-18,593
2023-02-19,500
2023-02-20,531
2023-02-21,502
2023-02-22,558
2023-02-23,534
2023-02-24,557
2023-02-25,536
2023-02-26,514
2023-02-27,536
2023-02-28,482
2023-03-01,488
2023-03-02,483
2023-03-03,523
2023-03-04,463
2023-03-05,492
2023-03-06,479
2023-03-07,440
2023-03-08,461
2023-03-09,462
2023-03-10,498
2023-03-11,506
2023-03-12,516
2023-03-13,526
2023-03-14,549
2023-03-15,589
2023-03-16,578
2023-03-17,561
2023-03-18,500
2023-03-19,524
2023-03-20,503
2023-03-21,509
2023-03-22,475
2023-03-23,406
2023-03-24,425
2023-03-25,424
2023-03-26,449
2023-03-27,450
2023-03-28,420
2023-03-29,508
2023-03-30,520
2023-03-31,483
2023-04-01,364
2023-04-02,394
2023-04-03,386
2023-04-04,410
2023-04-05,448
2023-04-06,493
2023-04-07,493
2023-04-08,455
2023-04-09,469
2023-04-10,451
2023-04-11,430
2023-04-12,378
2023-04-13,407
2023-04-14,435
2023-04-15,462
2023-04-16,439
2023-04-17,465
2023-04-18,487
2023-04-19,519
2023-04-20,519
2023-04-21,425
2023-04-22,478
2023-04-23,483
2023-04-24,524
2023-04-25,490
2023-04-26,476
2023-04-27,408
2023-04-28,448
2023-04-29,503
2023-04-30,461
2023-05-01,460
2023-05-02,573
2023-05-03,596
2023-05-04,492
2023-05-05,428
2023-05-06,411
2023-05-07,369
2023-05-08,421
2023-05-09,385
2023-05-10,394
2023-05-11,342
2023-05-12,365
2023-05-13,402
2023-05-14,446
2023-05-15,468
2023-05-16,544
2023-05-17,510
2023-05-18,579
2023-05-19,522
2023-05-20,597
2023-05-21,503
2023-05-22,637
2023-05-23,599
2023-05-24,585
2023-05-25,621
2023-05-26,611
2023-05-27,581
2023-05-28,571
2023-05-30,638
2023-05-31,593
2023-06-01,608
2023-06-02,560
2023-06-03,520
2023-06-04,552
2023-06-05,540
2023-06-06,554
2023-06-07,513
2023-06-08,476
2023-06-09,435
2023-06-10,432
2023-06-11,504
2023-06-12,501
2023-06-13,528
2023-06-14,513
2023-06-15,517
2023-06-16,505
2023-06-17,502
2023-06-18,485
2023-06-19,549
2023-06-20,545
2023-06-21,535
2023-06-22,499
2023-06-23,478
2023-06-24,480
2023-06-25,530
2023-06-26,478
2023-06-27,562
2023-06-28,619
2023-06-29,596
2023-06-30,591
2023-07-01,605
2023-07-02,662
2023-07-03,587
2023-07-04,652
2023-07-05,665
2023-07-06,643
2023-07-07,658
2023-07-08,629
2023-07-09,646
2023-07-10,728
2023-07-11,941
2023-07-12,877
2023-07-13,780
2023-07-14,809
2023-07-15,698
2023-07-16,635
2023-07-17,706
2023-07-18,672
2023-07-19,640
2023-07-20,651
2023-07-21,664
2023-07-22,636
2023-07-23,655
2023-07-24,697
2023-07-25,716
2023-07-26,692
2023-07-27,703
2023-07-28,707
2023-07-29,746
2023-07-30,705
2023-07-31,806
2023-08-01,772
2023-08-02,765
2023-08-03,767
2023-08-04,831
2023-08-05,793
2023-08-06,815
2023-08-07,799
2023-08-08,969
2023-08-09,884
2023-08-10,903
2023-08-11,782
2023-08-12,751
2023-08-13,852
2023-08-14,845
2023-08-15,787
2023-08-16,796
2023-08-17,785
2023-08-18,777
2023-08-19,735
2023-08-20,758
2023-08-21,877
2023-08-22,849
2023-08-23,807
2023-08-24,797
2023-08-25,730
2023-08-26,784
2023-08-27,807
2023-08-28,841
2023-08-29,806
2023-08-30,750
2023-08-31,746
2023-09-01,705
2023-09-02,697
2023-09-03,723
2023-09-04,807
2023-09-05,831
2023-09-06,750
2023-09-07,778
2023-09-08,823
2023-09-09,840
2023-09-10,792
2023-09-11,849
2023-09-12,838
2023-09-13,859
2023-09-14,897
2023-09-15,919
2023-09-16,907
2023-09-17,865
2023-09-18,916
2023-09-19,907
2023-09-20,807
2023-09-21,847
2023-09-22,816
2023-09-23,912
2023-09-24,1006
2023-09-25,986
2023-09-26,938
2023-09-27,818
2023-09-28,865
2023-09-29,906
2023-09-30,945
2023-10-01,859
2023-10-02,897
2023-10-03,838
2023-10-04,818
2023-10-05,886
2023-10-06,936
2023-10-07,812
2023-10-08,909
2023-10-09,969
2023-10-10,932
2023-10-11,1211
2023-10-12,1114
2023-10-13,1017
2023-10-14,1056
2023-10-15,1035
2023-10-16,1009
2023-10-17,1121
2023-10-18,900
2023-10-19,935
2023-10-20,959
2023-10-21,964
2023-10-22,999
2023-10-23,1024
2023-10-24,1035
2023-10-25,1028
2023-10-26,981
2023-10-27,992
2023-10-28,921
2023-10-29,938
2023-10-30,907
2023-10-31,957
2023-11-01,968
2023-11-02,888
2023-11-03,825
2023-11-04,864
2023-11-05,876
2023-11-06,899
2023-11-07,932
2023-11-08,926
2023-11-09,915
2023-11-10,900
2023-11-11,896
2023-11-12,960
2023-11-13,914
2023-11-14,883
2023-11-15,963
2023-11-16,943
2023-11-17,1008
2023-11-18,1000
2023-11-19,989
2023-11-20,1151
2023-11-21,1139
2023-11-22,1188
2023-11-23,1257
2023-11-24,1258
2023-11-25,1145
2023-11-26,1186
2023-11-27,1324
2023-11-28,1248
2023-11-29,1009
2023-11-30,962
2023-12-01,932
2023-12-02,889
2023-12-03,925
2023-12-04,1005
2023-12-05,1076
2023-12-06,1019
2023-12-07,1076
2023-12-08,1074
2023-12-09,1090
2023-12-10,1056
2023-12-11,1114
2023-12-12,1165
2023-12-13,1127
2023-12-14,1231
2023-12-15,1162
2023-12-16,1123
2023-12-17,1051
2023-12-18,1231
2023-12-19,1260
2023-12-20,1065
2023-12-21,1193
2023-12-22,1128
2023-12-23,1082
2023-12-24,1047
2023-12-25,1092
2023-12-26,1152
2023-12-27,1013
2023-12-28,1046
2023-12-29,1041
2023-12-30,1077
2023-12-31,958
2024-01-01,1077
2024-01-02,1075
2024-01-03,968
2024-01-04,910
2024-01-05,900
2024-01-06,947
2024-01-07,887
2024-01-08,962
2024-01-09,1038
2024-01-10,867
2024-01-11,921
2024-01-12,1035
2024-01-13,981
2024-01-14,924
2024-01-15,986
2024-01-16,1033
2024-01-17,956
2024-01-18,870
2024-01-19,912
2024-01-20,862
2024-01-21,912
2024-01-22,963
2024-01-23,982
2024-01-24,1004
2024-01-25,1016
2024-01-26,975
2024-01-27,946
2024-01-28,1032
2024-01-29,1039
2024-01-30,938
2024-01-31,895
2024-02-01,881
2024-02-02,865
2024-02-03,888
2024-02-04,802
2024-02-05,929
2024-02-06,958
2024-02-07,845
2024-02-08,1002
2024-02-09,893
2024-02-10,866
2024-02-11,836
2024-02-12,976
2024-02-13,832
2024-02-14,870
2024-02-15,719
2024-02-16,737
2024-02-17,740
2024-02-18,724
2024-02-19,814
2024-02-20,784
2024-02-21,813
2024-02-22,839
2024-02-23,835
2024-02-24,671
2024-02-25,635
2024-02-26,730
2024-02-27,729
2024-02-28,752
2024-02-29,684
2024-03-01,662
2024-03-02,651
2024-03-03,586
2024-03-04,664
2024-03-05,766
2024-03-06,694
2024-03-07,640
2024-03-08,636
2024-03-09,643
2024-03-10,633
2024-03-11,614
2024-03-12,658
2024-03-13,568
2024-03-14,577
2024-03-15,568
2024-03-16,538
2024-03-17,550
2024-03-18,609
2024-03-19,658
2024-03-20,621
2024-03-21,624
2024-03-22,620
2024-03-23,616
2024-03-24,606
2024-03-25,731
2024-03-26,766
2024-03-27,668
2024-03-28,755
2024-03-29,739
2024-03-30,697
2024-03-31,680
2024-04-01,689
2024-04-02,672
2024-04-03,612
2024-04-04,577
2024-04-05,629
2024-04-06,609
2024-04-07,511
2024-04-08,521
2024-04-09,530
2024-04-10,538
2024-04-11,572
2024-04-12,581
2024-04-13,531
2024-04-14,524
2024-04-15,568
2024-04-16,525
2024-04-17,553
2024-04-18,562
2024-04-19,576
2024-04-20,503
2024-04-21,510
2024-04-22,533
2024-04-23,634
2024-04-24,622
2024-04-25,544
2024-04-26,517
2024-04-27,530
2024-04-28,475
2024-04-29,472
2024-04-30,504
2024-05-01,472
2024-05-02,446
2024-05-03,474
2024-05-04,466
2024-05-05,468
2024-05-06,465
2024-05-07,520
2024-05-08,534
2024-05-09,555
2024-05-10,419
2024-05-11,343
2024-05-12,389
2024-05-13,410
2024-05-14,451
2024-05-15,391
2024-05-16,394
2024-05-17,397
2024-05-18,389
2024-05-19,353
2024-05-20,387
2024-05-21,383
2024-05-22,384
2024-05-23,416
2024-05-24,364
2024-05-25,358
2024-05-26,350
2024-05-27,417
2024-05-28,402
2024-05-29,396
2024-05-30,413
2024-05-31,435
2024-06-01,392
2024-06-02,381
2024-06-03,401
2024-06-04,409
2024-06-05,398
2024-06-06,459
2024-06-07,457
2024-06-08,475
2024-06-09,431
2024-06-10,460
2024-06-11,468
2024-06-12,429
2024-06-13,452
2024-06-14,435
2024-06-15,435
2024-06-16,433
2024-06-17,436
2024-06-18,452
2024-06-19,444
2024-06-20,381
2024-06-21,397
2024-06-22,379
2024-06-23,369
2024-06-24,402
2024-06-25,415
2024-06-26,405
2024-06-27,396
2024-06-28,444
2024-06-29,437
2024-06-30,452
2024-07-01,439
2024-07-02,442
2024-07-03,412
2024-07-04,451
2024-07-05,437
2024-07-06,449
2024-07-07,449
2024-07-08,529
2024-07-09,542
2024-07-10,511
2024-07-11,487
2024-07-12,461
2024-07-13,494
2024-07-14,476
2024-07-15,563
2024-07-16,860
2024-07-17,869
2024-07-18,740
2024-07-19,665
2024-07-20,591
2024-07-21,535
2024-07-22,631
2024-07-23,637
2024-07-24,523
2024-07-25,538
2024-07-26,512
2024-07-27,516
2024-07-28,583
2024-07-29,604
2024-07-30,619
2024-07-31,573
2024-08-01,619
2024-08-02,570
2024-08-03,563
2024-08-04,598
2024-08-05,625
2024-08-06,657
2024-08-07,627
2024-08-09,621
2024-08-10,600
2024-08-11,635
2024-08-12,599
2024-08-13,671
2024-08-14,641
2024-08-15,652
2024-08-16,641
2024-08-17,605
2024-08-18,599
2024-08-19,663
2024-08-20,715
2024-08-21,590
2024-08-22,633
2024-08-23,670
2024-08-24,706
2024-08-25,623
2024-08-26,649
2024-08-27,697
2024-08-28,642
2024-08-29,626
2024-08-30,598
2024-08-31,541
2024-09-01,661
2024-09-02,686
2024-09-03,598
2024-09-04,572
2024-09-05,650
2024-09-06,595
2024-09-07,627
2024-09-08,574
2024-09-09,657
2024-09-10,682
2024-09-11,647
2024-09-12,657
2024-09-13,626
2024-09-14,662
2024-09-15,636
2024-09-16,647
2024-09-17,628
2024-09-18,637
2024-09-19,621
2024-09-20,643
2024-09-21,619
2024-09-22,646
2024-09-23,599
2024-09-24,714
2024-09-25,602
2024-09-26,590
2024-09-27,621
2024-09-28,669
2024-09-29,621
2024-09-30,625
2024-10-01,651
2024-10-02,589
2024-10-03,573
2024-10-04,562
2024-10-05,520
2024-10-06,569
2024-10-07,580
2024-10-08,619
2024-10-09,901
2024-10-10,778
2024-10-11,691
2024-10-12,655
2024-10-13,579
2024-10-14,626
2024-10-15,623
2024-10-16,607
2024-10-17,587
2024-10-18,600
2024-10-19,563
2024-10-20,568
2024-10-21,557
2024-10-22,580
2024-10-23,598
2024-10-24,609
2024-10-25,613
2024-10-26,611
2024-10-27,618
2024-10-28,629
2024-10-29,662
2024-10-30,632
2024-10-31,582
2024-11-01,596
2024-11-02,522
2024-11-03,607
2024-11-04,634
2024-11-05,622
2024-11-06,618
2024-11-07,604
2024-11-08,621
2024-11-09,592
2024-11-10,576
2024-11-11,659
2024-11-12,676
2024-11-13,662
2024-11-14,659
2024-11-15,686
2024-11-16,714
2024-11-17,615
2024-11-18,689
2024-11-19,670
2024-11-20,686
2024-11-21,764
2024-11-22,796
2024-11-23,835
2024-11-24,789
2024-11-25,806
2024-11-26,1024
2024-11-27,1426
2024-11-28,1541
2024-11-29,1782
2024-11-30,1882
2024-12-01,1930
2024-12-02,2132
2024-12-03,2498
2024-12-04,1530
2024-12-05,1505
2024-12-06,1480
2024-12-07,1525
2024-12-08,1593
2024-12-09,1552
2024-12-10,1584
2024-12-11,1648
2024-12-12,1631
2024-12-13,1699
2024-12-14,1854
2024-12-15,1718
2024-12-16,1948
2024-12-17,2088
2024-12-18,1894
2024-12-19,1664
2024-12-20,1709
2024-12-22,1831
2024-12-23,1839
2024-12-24,1699
2024-12-25,1359
2024-12-26,1381
2024-12-27,1494
2024-12-28,1300
2024-12-29,1247
2024-12-31,1528
2025-01-01,1346
2025-01-02,1359
2025-01-03,1277
2025-01-04,1433
2025-01-05,1280
2025-01-06,1316
2025-01-07,1332
2025-01-08,1403
2025-01-10,1197
2025-01-11,1479
2025-01-12,1433
