,Sales Rank
2022-12-14,2271
2022-12-15,2440
2022-12-16,2409
2022-12-17,2508
2022-12-18,2537
2022-12-19,2648
2022-12-20,2588
2022-12-21,2366
2022-12-22,2269
2022-12-23,2195
2022-12-24,2380
2022-12-25,2337
2022-12-26,2093
2022-12-27,2136
2022-12-28,1964
2022-12-29,1704
2022-12-30,1758
2022-12-31,1762
2023-01-01,2153
2023-01-02,1957
2023-01-03,1731
2023-01-04,1719
2023-01-05,1622
2023-01-06,1677
2023-01-07,1579
2023-01-08,1570
2023-01-09,1492
2023-01-10,1414
2023-01-11,1349
2023-01-12,1388
2023-01-13,1274
2023-01-14,1426
2023-01-15,1586
2023-01-16,1277
2023-01-17,1279
2023-01-18,1400
2023-01-19,1225
2023-01-20,1383
2023-01-21,1584
2023-01-22,1415
2023-01-23,1376
2023-01-24,1388
2023-01-25,1519
2023-01-26,1405
2023-01-27,1421
2023-01-28,1671
2023-01-29,1751
2023-01-30,1413
2023-01-31,1250
2023-02-01,1239
2023-02-02,1262
2023-02-03,1242
2023-02-04,1540
2023-02-05,1315
2023-02-06,1284
2023-02-07,1108
2023-02-08,1173
2023-02-09,1212
2023-02-10,1321
2023-02-11,1318
2023-02-12,1390
2023-02-13,1371
2023-02-14,1186
2023-02-15,1210
2023-02-16,1320
2023-02-17,1293
2023-02-18,1206
2023-02-19,1289
2023-02-20,1077
2023-02-21,1244
2023-02-22,1123
2023-02-23,1144
2023-02-24,1031
2023-02-25,994
2023-02-26,1207
2023-02-27,1075
2023-02-28,1011
2023-03-01,1046
2023-03-02,1142
2023-03-03,1153
2023-03-04,1267
2023-03-05,1060
2023-03-06,852
2023-03-07,983
2023-03-08,1004
2023-03-09,983
2023-03-10,1054
2023-03-11,1053
2023-03-12,1109
2023-03-13,1014
2023-03-14,1001
2023-03-15,1038
2023-03-16,1082
2023-03-17,1014
2023-03-18,1080
2023-03-19,1105
2023-03-20,1072
2023-03-21,1076
2023-03-22,1164
