,Sales Rank
2022-12-14,219
2022-12-15,214
2022-12-16,220
2022-12-17,227
2022-12-18,209
2022-12-19,197
2022-12-20,212
2022-12-21,214
2022-12-22,210
2022-12-23,232
2022-12-24,231
2022-12-25,243
2022-12-26,256
2022-12-27,260
2022-12-28,271
2022-12-29,271
2022-12-30,267
2022-12-31,267
2023-01-01,235
2023-01-02,230
2023-01-03,275
2023-01-04,269
2023-01-05,247
2023-01-06,248
2023-01-07,253
2023-01-08,261
2023-01-09,260
2023-01-10,266
2023-01-11,269
2023-01-12,266
2023-01-13,265
2023-01-14,255
2023-01-15,202
2023-01-16,232
2023-01-17,210
2023-01-18,230
2023-01-19,232
2023-01-20,257
2023-01-21,242
2023-01-22,211
2023-01-23,240
2023-01-24,227
2023-01-25,243
2023-01-26,246
2023-01-27,249
2023-01-28,267
2023-01-29,233
2023-01-30,266
2023-01-31,246
2023-02-01,267
2023-02-02,240
2023-02-03,258
2023-02-04,248
2023-02-05,231
2023-02-06,224
2023-02-07,237
2023-02-08,227
2023-02-09,233
2023-02-10,223
2023-02-11,215
2023-02-12,194
2023-02-13,173
2023-02-14,179
2023-02-15,178
2023-02-16,190
2023-02-17,198
2023-02-18,197
2023-02-19,180
2023-02-20,208
2023-02-21,247
2023-02-22,397
2023-02-23,364
2023-02-24,244
2023-02-25,234
2023-02-26,215
2023-02-27,229
2023-02-28,229
2023-03-01,218
2023-03-02,228
2023-03-03,240
2023-03-04,241
2023-03-05,204
2023-03-06,212
2023-03-07,217
2023-03-08,236
2023-03-09,278
2023-03-10,246
2023-03-11,232
2023-03-12,203
2023-03-13,240
2023-03-14,214
2023-03-15,203
2023-03-16,227
2023-03-17,225
2023-03-18,213
2023-03-19,190
2023-03-20,235
2023-03-21,330
2023-03-22,264
2023-03-23,283
2023-03-24,293
2023-03-25,302
2023-03-26,277
2023-03-27,258
2023-03-28,258
2023-03-29,252
2023-03-30,295
2023-03-31,278
2023-04-01,302
2023-04-02,233
2023-04-03,291
2023-04-04,282
2023-04-05,275
2023-04-06,270
2023-04-07,283
2023-04-08,318
2023-04-09,259
2023-04-10,293
2023-04-11,276
2023-04-12,281
2023-04-13,279
2023-04-14,311
2023-04-15,240
2023-04-16,214
2023-04-17,263
2023-04-18,259
2023-04-19,269
2023-04-20,274
2023-04-21,302
2023-04-22,294
2023-04-23,271
2023-04-24,319
2023-04-25,308
2023-04-26,278
2023-04-27,2502
2023-04-28,333
2023-04-29,285
2023-04-30,241
2023-05-01,309
2023-05-02,322
2023-05-03,221
2023-05-04,201
2023-05-05,206
2023-05-06,203
2023-05-07,182
2023-05-08,207
2023-05-09,340
2023-05-10,317
2023-05-11,323
2023-05-12,341
2023-05-13,352
2023-05-14,319
2023-05-15,313
2023-05-16,348
2023-05-17,318
2023-05-18,345
2023-05-19,378
2023-05-20,374
2023-05-21,309
2023-05-22,353
2023-05-23,365
2023-05-24,326
2023-05-25,379
2023-05-26,389
2023-05-27,394
2023-05-28,383
2023-05-30,383
2023-05-31,358
2023-06-01,372
2023-06-02,399
2023-06-03,415
2023-06-04,386
2023-06-05,359
2023-06-06,358
2023-06-07,337
2023-06-08,348
2023-06-09,396
2023-06-10,345
2023-06-11,334
2023-06-12,350
2023-06-13,330
2023-06-14,350
2023-06-15,309
2023-06-16,189
2023-06-17,316
2023-06-18,271
2023-06-19,289
2023-06-20,360
2023-06-21,333
2023-06-22,338
2023-06-23,308
2023-06-24,350
2023-06-25,326
2023-06-26,311
2023-06-27,338
2023-06-28,326
2023-06-29,319
2023-06-30,357
2023-07-01,377
2023-07-02,346
2023-07-03,390
2023-07-04,356
2023-07-05,341
2023-07-06,300
2023-07-07,383
2023-07-08,383
2023-07-09,330
2023-07-10,333
2023-07-11,354
2023-07-12,351
2023-07-13,364
2023-07-14,412
2023-07-15,383
2023-07-16,335
2023-07-17,305
2023-07-18,337
2023-07-19,316
2023-07-20,304
2023-07-21,169
2023-07-22,343
2023-07-23,311
2023-07-24,275
2023-07-25,337
2023-07-26,335
2023-07-27,346
2023-07-28,394
2023-07-29,390
2023-07-30,352
2023-07-31,356
2023-08-01,348
2023-08-02,368
2023-08-03,368
2023-08-04,386
2023-08-05,379
2023-08-06,379
2023-08-07,304
2023-08-08,350
2023-08-09,326
2023-08-10,332
2023-08-11,160
2023-08-12,314
2023-08-13,295
2023-08-14,301
2023-08-15,301
2023-08-16,319
2023-08-17,284
2023-08-18,310
2023-08-19,330
2023-08-20,271
2023-08-21,313
2023-08-22,302
2023-08-23,275
2023-08-24,305
2023-08-25,336
2023-08-26,309
2023-08-27,310
2023-08-28,390
2023-08-29,367
2023-08-30,336
2023-08-31,352
2023-09-01,375
2023-09-02,366
2023-09-03,317
2023-09-04,349
2023-09-05,307
2023-09-06,306
2023-09-07,319
2023-09-08,355
2023-09-09,381
2023-09-10,304
2023-09-11,320
2023-09-12,305
2023-09-13,329
2023-09-14,321
2023-09-15,315
2023-09-16,325
2023-09-17,315
2023-09-18,302
2023-09-19,325
2023-09-20,339
2023-09-21,333
2023-09-22,386
2023-09-23,373
2023-09-24,332
2023-09-25,329
2023-09-26,339
2023-09-27,294
2023-09-28,286
2023-09-29,301
2023-09-30,278
2023-10-01,244
2023-10-02,278
2023-10-03,291
2023-10-04,310
2023-10-05,316
2023-10-06,337
2023-10-07,311
2023-10-08,311
2023-10-09,298
2023-10-10,311
2023-10-11,267
2023-10-12,287
2023-10-13,322
2023-10-14,332
2023-10-15,291
2023-10-16,322
2023-10-17,302
2023-10-18,301
2023-10-19,296
2023-10-20,336
2023-10-21,349
2023-10-22,283
2023-10-23,358
2023-10-24,349
2023-10-25,375
2023-10-26,367
2023-10-27,410
2023-10-28,421
2023-10-29,336
2023-10-30,377
2023-10-31,312
2023-11-01,381
2023-11-02,357
2023-11-03,354
2023-11-04,352
2023-11-05,312
2023-11-06,305
2023-11-07,310
2023-11-08,333
2023-11-09,342
2023-11-10,343
2023-11-11,329
2023-11-12,290
2023-11-13,294
2023-11-14,320
2023-11-15,264
2023-11-16,268
2023-11-17,344
2023-11-18,327
2023-11-19,287
2023-11-20,268
2023-11-21,283
2023-11-22,349
2023-11-23,348
2023-11-24,411
2023-11-25,396
2023-11-26,370
2023-11-27,378
2023-11-28,424
2023-11-29,392
2023-11-30,368
2023-12-01,415
2023-12-02,371
2023-12-03,331
2023-12-04,341
2023-12-05,365
2023-12-06,322
2023-12-07,331
2023-12-08,350
2023-12-09,343
2023-12-10,310
2023-12-11,351
2023-12-12,306
2023-12-13,292
2023-12-14,313
2023-12-15,328
2023-12-16,326
2023-12-17,272
2023-12-18,280
2023-12-19,260
2023-12-20,255
2023-12-21,251
2023-12-22,258
2023-12-23,247
2023-12-24,208
2023-12-25,300
2023-12-26,311
2023-12-27,364
2023-12-28,353
2023-12-29,405
2023-12-30,381
2023-12-31,332
2024-01-01,368
2024-01-02,337
2024-01-03,319
2024-01-04,308
2024-01-05,305
2024-01-06,299
2024-01-07,277
2024-01-08,318
2024-01-09,310
2024-01-10,302
2024-01-11,293
2024-01-12,296
2024-01-13,280
2024-01-14,273
2024-01-15,280
2024-01-16,316
2024-01-17,292
2024-01-18,268
2024-01-19,269
2024-01-20,283
2024-01-21,249
2024-01-22,270
2024-01-23,261
2024-01-24,268
2024-01-25,252
2024-01-26,285
2024-01-27,301
2024-01-28,280
2024-01-29,287
2024-01-30,322
2024-01-31,314
2024-02-01,332
2024-02-02,343
2024-02-03,314
2024-02-04,241
2024-02-05,250
2024-02-06,245
2024-02-07,247
2024-02-08,225
2024-02-09,260
2024-02-10,266
2024-02-11,205
2024-02-12,231
2024-02-13,229
2024-02-14,217
2024-02-15,245
2024-02-16,287
2024-02-17,277
2024-02-18,234
2024-02-19,302
2024-02-20,289
2024-02-21,312
2024-02-22,323
2024-02-23,367
2024-02-24,331
2024-02-25,301
2024-02-26,340
2024-02-27,317
2024-02-28,338
2024-02-29,303
2024-03-01,343
2024-03-02,348
2024-03-03,301
2024-03-04,314
2024-03-05,309
2024-03-06,323
2024-03-07,330
2024-03-08,359
2024-03-09,351
2024-03-10,307
2024-03-11,323
2024-03-12,299
2024-03-13,313
2024-03-14,315
2024-03-15,319
2024-03-16,333
2024-03-17,257
2024-03-18,276
2024-03-19,277
2024-03-20,281
2024-03-21,296
2024-03-22,300
2024-03-23,302
2024-03-24,253
2024-03-25,288
2024-03-26,306
2024-03-27,305
2024-03-28,305
2024-03-29,332
2024-03-30,293
2024-03-31,261
2024-04-01,315
2024-04-02,300
2024-04-03,507
2024-04-04,309
2024-04-05,301
2024-04-06,321
2024-04-07,252
2024-04-08,307
2024-04-09,303
2024-04-10,299
2024-04-11,305
2024-04-12,304
2024-04-13,318
2024-04-14,291
2024-04-15,266
2024-04-16,257
2024-04-17,318
2024-04-18,280
2024-04-19,379
2024-04-20,376
2024-04-21,314
2024-04-22,349
2024-04-23,325
2024-04-24,418
2024-04-25,559
2024-04-26,327
2024-04-27,355
2024-04-28,299
2024-04-29,318
2024-04-30,309
2024-05-01,387
2024-05-02,457
2024-05-03,461
2024-05-04,408
2024-05-05,298
2024-05-06,341
2024-05-07,394
2024-05-08,422
2024-05-09,414
2024-05-10,469
2024-05-11,442
2024-05-12,375
2024-05-13,361
2024-05-14,357
2024-05-15,344
2024-05-16,334
2024-05-17,366
2024-05-18,348
2024-05-19,300
2024-05-20,332
2024-05-21,316
2024-05-22,342
2024-05-23,308
2024-05-24,337
