,Sales Rank
2022-12-14,154
2022-12-15,126
2022-12-16,53
2022-12-17,88
2022-12-18,123
2022-12-19,174
2022-12-20,241
2022-12-21,255
2022-12-22,296
2022-12-23,374
2022-12-24,444
2022-12-25,482
2022-12-26,625
2022-12-27,795
2022-12-28,723
2022-12-29,730
2022-12-30,802
2022-12-31,809
2023-01-01,813
2023-01-02,883
2023-01-03,856
2023-01-04,730
2023-01-05,719
2023-01-06,713
2023-01-07,689
2023-01-08,642
2023-01-09,632
2023-01-10,1111
2023-01-11,597
2023-01-12,635
2023-01-13,733
2023-01-14,957
2023-01-15,926
2023-01-16,1029
2023-01-17,976
2023-01-18,987
2023-01-19,824
2023-01-20,916
2023-01-21,874
2023-01-22,832
2023-01-23,902
2023-01-24,862
2023-01-25,858
2023-01-26,856
2023-01-27,830
2023-01-28,798
2023-01-29,815
2023-01-30,924
2023-01-31,972
2023-02-01,891
2023-02-02,931
2023-02-03,922
2023-02-04,860
2023-02-05,922
2023-02-06,859
2023-02-07,931
2023-02-08,974
2023-02-09,937
2023-02-10,890
2023-02-11,859
2023-02-12,912
2023-02-13,997
2023-02-14,786
2023-02-15,994
2023-02-16,974
2023-02-17,1034
2023-02-18,930
2023-02-19,876
2023-02-20,1013
2023-02-21,918
2023-02-22,997
2023-02-23,1008
2023-02-24,1019
2023-02-25,975
2023-02-26,941
2023-02-27,942
2023-02-28,998
2023-03-01,925
2023-03-02,990
2023-03-03,840
2023-03-04,775
2023-03-05,748
2023-03-06,848
2023-03-07,875
2023-03-08,810
2023-03-09,829
2023-03-10,879
2023-03-11,854
2023-03-12,805
2023-03-13,957
2023-03-14,979
2023-03-15,871
2023-03-16,850
2023-03-17,925
2023-03-18,879
2023-03-19,778
2023-03-20,924
2023-03-21,975
2023-03-22,955
2023-03-23,539
2023-03-24,144
2023-03-25,25
2023-03-26,29
2023-03-27,138
2023-03-28,241
2023-03-29,368
2023-03-30,535
2023-03-31,572
2023-04-01,565
2023-04-02,620
2023-04-03,638
2023-04-04,696
2023-04-05,713
2023-04-06,810
2023-04-07,776
2023-04-08,712
2023-04-09,654
2023-04-10,872
2023-04-11,818
2023-04-12,836
2023-04-13,825
2023-04-14,711
2023-04-15,716
2023-04-16,724
2023-04-17,785
2023-04-18,859
2023-04-19,820
2023-04-20,762
2023-04-21,793
2023-04-22,753
2023-04-23,850
2023-04-24,805
2023-04-25,841
2023-04-26,900
2023-04-27,911
2023-04-28,856
2023-04-29,833
2023-04-30,854
2023-05-01,855
2023-05-02,885
2023-05-03,971
2023-05-04,910
2023-05-05,901
2023-05-06,884
2023-05-07,817
2023-05-08,879
2023-05-09,834
2023-05-10,824
2023-05-11,755
2023-05-12,837
2023-05-13,830
2023-05-14,788
2023-05-15,992
2023-05-16,1027
2023-05-17,1038
2023-05-18,1040
2023-05-19,1053
2023-05-20,983
2023-05-21,964
2023-05-22,1042
2023-05-23,1112
2023-05-24,1076
2023-05-25,1091
2023-05-26,958
2023-05-27,874
2023-05-28,813
2023-05-30,813
2023-05-31,962
2023-06-01,1115
2023-06-02,991
2023-06-03,901
2023-06-04,862
2023-06-05,919
2023-06-06,913
2023-06-07,905
2023-06-08,946
2023-06-09,897
2023-06-10,812
2023-06-11,896
2023-06-12,890
2023-06-13,874
2023-06-14,976
2023-06-15,891
2023-06-16,923
2023-06-17,783
2023-06-18,795
2023-06-19,797
2023-06-20,818
2023-06-21,793
2023-06-22,853
2023-06-23,870
2023-06-24,863
2023-06-25,811
2023-06-26,844
2023-06-27,835
2023-06-28,847
2023-06-29,845
2023-06-30,867
2023-07-01,827
2023-07-02,760
2023-07-03,445
2023-07-04,297
2023-07-05,537
2023-07-06,611
2023-07-07,669
2023-07-08,726
2023-07-09,707
2023-07-10,782
2023-07-11,934
2023-07-12,927
2023-07-13,826
2023-07-14,823
2023-07-15,796
2023-07-16,782
2023-07-17,849
2023-07-18,927
2023-07-19,831
2023-07-20,855
2023-07-21,940
2023-07-22,865
2023-07-23,823
2023-07-24,979
2023-07-25,883
2023-07-26,894
2023-07-27,955
2023-07-28,948
2023-07-29,867
2023-07-30,819
2023-07-31,892
2023-08-01,917
2023-08-02,820
2023-08-03,818
2023-08-04,812
2023-08-05,864
2023-08-06,777
2023-08-07,758
2023-08-08,892
2023-08-09,763
2023-08-10,862
2023-08-11,826
2023-08-12,871
2023-08-13,739
2023-08-14,854
2023-08-15,862
2023-08-16,900
2023-08-17,879
2023-08-18,845
2023-08-19,694
2023-08-20,602
2023-08-21,743
2023-08-22,725
2023-08-23,758
2023-08-24,822
2023-08-25,899
2023-08-26,777
2023-08-27,816
2023-08-28,870
2023-08-29,807
2023-08-30,762
2023-08-31,865
2023-09-01,774
2023-09-02,708
2023-09-03,695
2023-09-04,798
2023-09-05,725
2023-09-06,704
2023-09-07,696
2023-09-08,764
2023-09-09,654
2023-09-10,674
2023-09-11,691
2023-09-12,691
2023-09-13,716
2023-09-14,758
2023-09-15,732
2023-09-16,623
2023-09-17,622
2023-09-18,704
2023-09-19,676
2023-09-20,692
2023-09-21,680
2023-09-22,693
2023-09-23,600
2023-09-24,637
2023-09-25,685
2023-09-26,658
2023-09-27,614
2023-09-28,622
2023-09-29,615
2023-09-30,574
2023-10-01,518
2023-10-02,580
2023-10-03,532
2023-10-04,620
2023-10-05,626
2023-10-06,595
2023-10-07,541
2023-10-08,536
2023-10-09,620
2023-10-10,610
2023-10-11,605
2023-10-12,616
2023-10-13,641
2023-10-14,588
2023-10-15,604
2023-10-16,648
2023-10-17,656
2023-10-18,609
2023-10-19,573
2023-10-20,560
2023-10-21,513
2023-10-22,526
2023-10-23,557
2023-10-24,585
2023-10-25,579
2023-10-26,528
2023-10-27,492
2023-10-28,423
2023-10-29,432
2023-10-30,515
2023-10-31,531
2023-11-01,535
2023-11-02,449
2023-11-03,467
2023-11-04,397
2023-11-05,261
2023-11-06,283
2023-11-07,230
2023-11-08,202
2023-11-09,211
2023-11-10,172
2023-11-11,181
2023-11-12,217
2023-11-13,206
2023-11-14,198
2023-11-15,223
2023-11-16,254
2023-11-17,246
2023-11-18,241
2023-11-19,217
2023-11-20,272
2023-11-21,280
2023-11-22,300
2023-11-23,351
2023-11-24,284
2023-11-25,286
2023-11-26,306
2023-11-27,327
2023-11-28,315
2023-11-29,306
2023-11-30,253
2023-12-01,318
2023-12-02,288
2023-12-03,285
2023-12-04,299
2023-12-05,296
2023-12-06,293
2023-12-07,329
2023-12-08,353
