,Sales Rank
2023-07-29,62
2023-07-30,107
2023-07-31,111
2023-08-01,125
2023-08-02,103
2023-08-03,98
2023-08-04,89
2023-08-05,98
2023-08-06,83
2023-08-07,80
2023-08-08,70
2023-08-09,53
2023-08-10,78
2023-08-11,80
2023-08-12,79
2023-08-13,83
2023-08-14,76
2023-08-15,74
2023-08-16,75
2023-08-17,80
2023-08-18,90
2023-08-19,90
2023-08-20,84
2023-08-21,83
2023-08-22,76
2023-08-23,84
2023-08-24,87
2023-08-25,87
2023-08-26,86
2023-08-27,93
2023-08-28,86
2023-08-29,79
2023-08-30,86
2023-08-31,95
2023-09-01,91
2023-09-02,80
2023-09-03,81
2023-09-04,76
2023-09-05,75
2023-09-06,83
2023-09-07,83
2023-09-08,76
2023-09-09,79
2023-09-10,83
2023-09-11,76
2023-09-12,69
2023-09-13,83
2023-09-14,83
2023-09-15,93
2023-09-16,90
2023-09-17,84
2023-09-18,82
2023-09-19,85
2023-09-20,101
2023-09-21,103
2023-09-22,87
2023-09-23,85
2023-09-24,92
2023-09-25,114
2023-09-26,119
2023-09-27,124
2023-09-28,122
2023-09-29,110
2023-09-30,114
2023-10-01,108
2023-10-02,108
2023-10-03,110
2023-10-04,104
2023-10-05,107
2023-10-06,94
2023-10-07,87
2023-10-08,83
2023-10-09,90
2023-10-10,135
2023-10-11,148
2023-10-12,119
2023-10-13,116
2023-10-14,102
2023-10-15,113
2023-10-16,99
2023-10-17,99
2023-10-18,98
2023-10-19,91
2023-10-20,81
2023-10-21,83
2023-10-22,80
2023-10-23,78
2023-10-24,77
2023-10-25,78
2023-10-26,81
2023-10-27,84
2023-10-28,83
2023-10-29,87
2023-10-30,86
2023-10-31,89
2023-11-01,85
2023-11-02,77
2023-11-03,79
2023-11-04,80
2023-11-05,74
2023-11-06,68
2023-11-07,66
2023-11-08,75
2023-11-09,77
2023-11-10,77
2023-11-11,70
2023-11-12,67
2023-11-13,73
2023-11-14,72
2023-11-15,77
2023-11-16,82
2023-11-17,91
2023-11-18,91
2023-11-19,87
2023-11-20,81
2023-11-21,78
2023-11-22,90
2023-11-23,107
2023-11-24,130
2023-11-25,120
2023-11-26,119
2023-11-27,125
2023-11-28,113
2023-11-29,109
2023-11-30,108
2023-12-01,101
2023-12-02,83
2023-12-03,76
2023-12-04,77
2023-12-05,75
2023-12-06,76
2023-12-07,83
2023-12-08,85
2023-12-09,97
2023-12-10,97
2023-12-11,94
2023-12-12,85
2023-12-13,83
2023-12-14,84
2023-12-15,97
2023-12-16,101
2023-12-17,112
2023-12-18,110
2023-12-19,108
2023-12-20,96
2023-12-21,104
2023-12-22,102
2023-12-23,92
2023-12-24,90
2023-12-25,88
2023-12-26,83
2023-12-27,81
2023-12-28,77
2023-12-29,79
2023-12-30,64
2023-12-31,66
2024-01-01,63
2024-01-02,63
2024-01-03,62
2024-01-04,63
