,Sales Rank
2022-12-14,1859
2022-12-15,1926
2022-12-16,1851
2022-12-17,1867
2022-12-18,1823
2022-12-19,1846
2022-12-20,1854
2022-12-21,1832
2022-12-22,1746
2022-12-23,1743
2022-12-24,1716
2022-12-25,1592
2022-12-26,1412
2022-12-27,1532
2022-12-28,1449
2022-12-29,1308
2022-12-30,1390
2022-12-31,1138
2023-01-01,1139
2023-01-02,1241
2023-01-03,1343
2023-01-04,1231
2023-01-05,1203
2023-01-06,1158
2023-01-07,1086
2023-01-08,1066
2023-01-09,1004
2023-01-10,985
2023-01-11,960
2023-01-12,927
2023-01-13,894
2023-01-14,854
2023-01-15,848
2023-01-16,916
2023-01-17,940
2023-01-18,858
2023-01-19,921
2023-01-20,785
2023-01-21,768
2023-01-22,811
2023-01-23,792
2023-01-24,889
2023-01-25,943
2023-01-26,855
2023-01-27,835
2023-01-28,841
2023-01-29,847
2023-01-30,906
2023-01-31,900
2023-02-01,1145
2023-02-02,1135
2023-02-03,1086
2023-02-04,910
2023-02-05,825
2023-02-06,924
2023-02-07,878
2023-02-08,1016
2023-02-09,955
2023-02-10,818
2023-02-11,712
2023-02-12,694
2023-02-13,736
2023-02-14,827
2023-02-15,746
2023-02-16,804
2023-02-17,772
2023-02-18,631
2023-02-19,600
2023-02-20,774
2023-02-21,729
2023-02-22,814
2023-02-23,809
2023-02-24,678
2023-02-25,705
2023-02-26,773
2023-02-27,698
2023-02-28,698
2023-03-01,715
2023-03-02,651
2023-03-03,674
2023-03-04,634
2023-03-05,520
2023-03-06,533
2023-03-07,603
2023-03-08,584
2023-03-09,645
2023-03-10,625
2023-03-11,569
2023-03-12,618
2023-03-13,613
2023-03-14,619
2023-03-15,680
2023-03-16,682
2023-03-17,638
2023-03-18,611
2023-03-19,526
2023-03-20,584
2023-03-21,611
2023-03-22,609
2023-03-23,662
2023-03-24,564
2023-03-25,601
2023-03-26,632
2023-03-27,598
2023-03-28,663
2023-03-29,623
2023-03-30,599
2023-03-31,615
2023-04-01,597
2023-04-02,497
2023-04-03,562
2023-04-04,675
2023-04-05,652
2023-04-06,695
2023-04-07,617
2023-04-08,558
2023-04-09,457
2023-04-10,582
2023-04-11,527
2023-04-12,558
2023-04-13,581
2023-04-14,583
2023-04-15,591
2023-04-16,518
2023-04-17,542
2023-04-18,580
2023-04-19,666
2023-04-20,648
2023-04-21,643
2023-04-22,556
2023-04-23,607
2023-04-24,662
2023-04-25,728
2023-04-26,743
2023-04-27,713
2023-04-28,688
2023-04-29,598
2023-04-30,622
2023-05-01,692
2023-05-02,765
2023-05-03,842
2023-05-04,808
2023-05-05,851
2023-05-06,795
2023-05-07,681
2023-05-08,831
2023-05-09,826
2023-05-10,847
2023-05-11,748
2023-05-12,751
2023-05-13,715
2023-05-14,610
2023-05-15,743
2023-05-16,781
2023-05-17,840
2023-05-18,848
2023-05-19,837
2023-05-20,799
2023-05-21,770
2023-05-22,852
2023-05-23,831
2023-05-24,808
2023-05-25,997
2023-05-26,795
2023-05-27,851
2023-05-28,818
2023-05-30,818
2023-05-31,912
2023-06-01,927
2023-06-02,985
2023-06-03,827
2023-06-04,814
2023-06-05,946
