,Sales Rank
2022-12-14,537
2022-12-15,561
2022-12-16,522
2022-12-17,491
2022-12-18,474
2022-12-19,490
2022-12-20,548
2022-12-21,530
2022-12-22,525
2022-12-23,521
2022-12-24,519
2022-12-25,584
2022-12-26,571
2022-12-27,509
2022-12-28,516
2022-12-29,555
2022-12-30,533
2022-12-31,590
2023-01-01,612
2023-01-02,590
2023-01-03,642
2023-01-04,603
2023-01-05,655
2023-01-06,620
2023-01-07,623
2023-01-08,603
2023-01-09,626
2023-01-10,625
2023-01-11,632
2023-01-12,629
2023-01-13,625
2023-01-14,667
2023-01-15,655
2023-01-16,642
2023-01-17,665
2023-01-18,607
2023-01-19,630
2023-01-20,526
2023-01-21,573
2023-01-22,613
2023-01-23,603
2023-01-24,632
2023-01-25,588
2023-01-26,682
2023-01-27,580
2023-01-28,622
2023-01-29,636
2023-01-30,594
2023-01-31,572
2023-02-01,562
2023-02-02,623
2023-02-03,534
2023-02-04,575
2023-02-05,562
2023-02-06,567
2023-02-07,554
2023-02-08,578
2023-02-09,553
2023-02-10,532
2023-02-11,549
2023-02-12,538
2023-02-13,537
2023-02-14,601
2023-02-15,578
2023-02-16,537
2023-02-17,604
2023-02-18,539
2023-02-19,505
2023-02-20,585
2023-02-21,587
2023-02-22,554
2023-02-23,550
2023-02-24,616
2023-02-25,566
2023-02-26,507
2023-02-27,506
2023-02-28,493
2023-03-01,491
2023-03-02,532
2023-03-03,548
2023-03-04,514
2023-03-05,490
2023-03-06,544
2023-03-07,574
2023-03-08,579
2023-03-09,545
2023-03-10,499
2023-03-11,513
2023-03-12,530
2023-03-13,548
2023-03-14,577
2023-03-15,591
2023-03-16,528
2023-03-17,530
2023-03-18,501
2023-03-19,489
2023-03-20,560
2023-03-21,493
2023-03-22,514
2023-03-23,534
2023-03-24,538
2023-03-25,484
2023-03-26,533
2023-03-27,538
2023-03-28,551
2023-03-29,531
2023-03-30,545
2023-03-31,512
2023-04-01,602
2023-04-02,567
2023-04-03,586
2023-04-04,504
2023-04-05,547
2023-04-06,494
2023-04-07,538
2023-04-08,532
2023-04-09,556
2023-04-10,522
2023-04-11,576
2023-04-12,588
2023-04-13,582
2023-04-14,589
2023-04-15,517
2023-04-16,560
2023-04-17,561
2023-04-18,528
2023-04-19,535
2023-04-20,616
2023-04-21,586
2023-04-22,567
2023-04-23,539
2023-04-24,497
2023-04-25,556
2023-04-26,538
2023-04-27,519
2023-04-28,540
2023-04-29,621
2023-04-30,582
2023-05-01,651
2023-05-02,577
2023-05-03,609
2023-05-04,583
2023-05-05,535
2023-05-06,516
2023-05-07,558
2023-05-08,553
2023-05-09,522
2023-05-10,520
2023-05-11,510
2023-05-12,452
2023-05-13,542
2023-05-14,576
2023-05-15,528
2023-05-16,472
2023-05-17,481
2023-05-18,516
2023-05-19,508
2023-05-20,470
2023-05-21,491
2023-05-22,489
2023-05-23,496
2023-05-24,463
2023-05-25,441
2023-05-26,426
2023-05-27,436
2023-05-28,442
2023-05-31,465
2023-06-01,523
2023-06-02,463
2023-06-03,518
2023-06-04,447
2023-06-05,472
2023-06-06,441
2023-06-07,423
2023-06-08,428
2023-06-09,426
2023-06-10,433
2023-06-11,429
2023-06-12,448
2023-06-13,472
2023-06-14,459
2023-06-15,481
2023-06-16,424
2023-06-17,455
2023-06-18,438
2023-06-19,442
2023-06-20,439
2023-06-21,457
2023-06-22,464
2023-06-23,406
2023-06-24,382
2023-06-25,406
2023-06-26,410
2023-06-27,453
2023-06-28,431
2023-06-29,399
2023-06-30,426
2023-07-01,423
2023-07-02,498
2023-07-03,441
2023-07-04,438
2023-07-05,437
2023-07-06,423
2023-07-07,436
2023-07-08,442
2023-07-09,492
2023-07-10,477
2023-07-11,647
2023-07-12,753
2023-07-13,629
2023-07-14,512
2023-07-15,556
2023-07-16,473
2023-07-17,444
2023-07-18,429
2023-07-19,463
2023-07-20,411
2023-07-21,376
2023-07-22,429
2023-07-23,405
2023-07-24,416
2023-07-25,465
2023-07-26,455
2023-07-27,419
2023-07-28,414
2023-07-29,429
2023-07-30,423
2023-07-31,422
2023-08-01,347
2023-08-02,373
2023-08-03,385
2023-08-04,369
2023-08-05,363
2023-08-06,365
2023-08-07,389
2023-08-08,358
2023-08-09,405
2023-08-10,386
2023-08-11,403
2023-08-12,383
2023-08-13,426
2023-08-14,403
2023-08-15,366
2023-08-16,382
2023-08-17,386
2023-08-18,402
2023-08-19,363
2023-08-20,377
2023-08-21,357
2023-08-22,350
2023-08-23,353
2023-08-24,352
2023-08-25,355
2023-08-26,391
2023-08-27,407
2023-08-28,381
2023-08-29,414
2023-08-30,415
2023-08-31,451
2023-09-01,432
2023-09-02,409
2023-09-03,425
2023-09-04,421
2023-09-05,434
2023-09-06,435
2023-09-07,363
2023-09-08,368
2023-09-09,387
2023-09-10,390
2023-09-11,397
2023-09-12,438
2023-09-13,400
2023-09-14,385
2023-09-15,395
2023-09-16,406
2023-09-17,430
2023-09-18,418
2023-09-19,412
2023-09-20,411
2023-09-21,374
2023-09-22,350
2023-09-23,330
2023-09-24,357
2023-09-25,432
2023-09-26,427
2023-09-27,391
2023-09-28,343
2023-09-29,371
2023-09-30,379
2023-10-01,381
2023-10-02,449
2023-10-03,432
2023-10-04,431
2023-10-05,365
2023-10-06,365
2023-10-07,351
2023-10-08,407
2023-10-09,405
2023-10-10,586
2023-10-11,606
2023-10-12,569
2023-10-13,500
2023-10-14,428
2023-10-15,419
2023-10-16,370
2023-10-17,435
2023-10-18,401
2023-10-19,365
2023-10-20,352
2023-10-21,391
2023-10-22,405
2023-10-23,401
2023-10-24,377
2023-10-25,401
2023-10-26,438
2023-10-27,457
2023-10-28,427
2023-10-29,476
2023-10-30,436
2023-10-31,481
2023-11-01,538
2023-11-02,505
2023-11-03,416
2023-11-04,413
2023-11-05,450
2023-11-06,426
2023-11-07,479
2023-11-08,419
2023-11-09,495
2023-11-10,469
2023-11-11,457
2023-11-12,460
2023-11-13,403
2023-11-14,447
2023-11-15,500
2023-11-16,440
2023-11-17,436
2023-11-18,439
2023-11-19,453
2023-11-20,445
2023-11-21,419
2023-11-22,428
2023-11-23,424
2023-11-24,518
2023-11-25,506
2023-11-26,543
2023-11-27,550
2023-11-28,463
2023-11-29,423
2023-11-30,433
2023-12-01,429
2023-12-02,427
2023-12-03,398
2023-12-04,396
2023-12-05,411
2023-12-06,420
2023-12-07,393
2023-12-08,393
2023-12-09,419
2023-12-10,425
2023-12-11,398
2023-12-12,378
2023-12-13,342
2023-12-14,314
2023-12-15,345
2023-12-16,300
2023-12-17,294
2023-12-18,286
2023-12-19,284
2023-12-20,280
2023-12-21,266
2023-12-22,237
2023-12-23,256
2023-12-24,286
2023-12-25,264
2023-12-26,271
2023-12-27,280
2023-12-28,273
2023-12-29,270
2023-12-30,282
2023-12-31,294
2024-01-01,331
2024-01-02,344
2024-01-03,345
2024-01-04,329
2024-01-05,325
2024-01-06,310
2024-01-07,302
2024-01-08,319
2024-01-09,339
2024-01-10,332
2024-01-11,312
2024-01-12,283
2024-01-13,283
2024-01-14,306
2024-01-15,303
2024-01-16,313
2024-01-17,336
2024-01-18,325
2024-01-19,287
2024-01-20,297
2024-01-21,303
2024-01-22,307
2024-01-23,326
2024-01-24,313
2024-01-25,276
2024-01-26,282
2024-01-27,288
2024-01-28,292
2024-01-29,298
2024-01-30,297
2024-01-31,270
2024-02-01,293
2024-02-02,273
2024-02-03,250
2024-02-04,280
2024-02-05,271
2024-02-06,273
2024-02-07,291
2024-02-08,290
2024-02-09,278
2024-02-10,274
2024-02-11,267
2024-02-12,263
2024-02-13,287
2024-02-14,289
2024-02-15,272
2024-02-16,263
2024-02-17,268
2024-02-18,278
2024-02-19,306
2024-02-20,279
2024-02-21,297
2024-02-22,288
2024-02-23,243
2024-02-24,302
2024-02-25,280
2024-02-26,309
2024-02-27,307
2024-02-28,324
2024-02-29,273
2024-03-01,251
2024-03-02,236
2024-03-03,273
2024-03-04,234
2024-03-05,240
2024-03-06,245
2024-03-07,255
2024-03-08,252
2024-03-09,263
2024-03-10,257
2024-03-11,276
2024-03-12,291
2024-03-13,290
2024-03-14,283
2024-03-15,257
2024-03-16,262
2024-03-17,268
2024-03-18,262
2024-03-19,238
2024-03-20,271
2024-03-21,237
2024-03-22,214
2024-03-23,225
2024-03-24,246
2024-03-25,226
2024-03-26,227
2024-03-27,247
2024-03-28,221
2024-03-29,245
2024-03-30,253
2024-03-31,251
2024-04-01,254
2024-04-02,260
2024-04-03,265
2024-04-04,271
2024-04-05,283
2024-04-06,250
2024-04-07,303
2024-04-08,322
2024-04-09,317
2024-04-10,294
2024-04-11,263
2024-04-12,242
2024-04-13,232
2024-04-14,223
2024-04-15,272
2024-04-16,266
2024-04-17,263
2024-04-18,256
2024-04-19,254
2024-04-20,239
2024-04-21,262
2024-04-22,245
2024-04-23,267
2024-04-24,255
2024-04-25,252
2024-04-26,261
2024-04-27,239
2024-04-28,236
2024-04-29,265
2024-04-30,226
2024-05-01,513
2024-05-02,567
2024-05-03,513
2024-05-04,544
2024-05-05,573
2024-05-06,605
2024-05-07,687
2024-05-08,737
2024-05-09,640
2024-05-10,632
2024-05-11,622
2024-05-12,651
2024-05-13,652
2024-05-14,634
2024-05-15,646
2024-05-16,655
2024-05-17,691
2024-05-18,649
2024-05-19,586
2024-05-20,573
2024-05-21,670
2024-05-22,649
2024-05-23,676
2024-05-24,743
2024-05-25,703
2024-05-26,854
2024-05-27,852
2024-05-28,770
2024-05-29,755
2024-05-30,815
2024-05-31,765
2024-06-01,687
2024-06-02,704
2024-06-03,606
2024-06-04,608
2024-06-05,609
2024-06-06,600
2024-06-07,544
2024-06-08,519
2024-06-09,615
2024-06-10,540
2024-06-11,494
2024-06-12,534
2024-06-13,503
2024-06-14,472
2024-06-15,435
2024-06-16,461
2024-06-17,464
2024-06-18,510
