,Sales Rank
2022-12-14,817
2022-12-15,872
2022-12-16,832
2022-12-17,900
2022-12-18,977
2022-12-19,973
2022-12-20,985
2022-12-21,970
2022-12-22,864
2022-12-23,807
2022-12-24,744
2022-12-25,690
2022-12-26,632
2022-12-27,570
2022-12-28,625
2022-12-29,553
2022-12-30,590
2022-12-31,650
2023-01-01,661
2023-01-02,546
2023-01-03,548
2023-01-04,583
2023-01-05,606
2023-01-06,595
2023-01-07,594
2023-01-08,602
2023-01-09,605
2023-01-10,613
2023-01-11,615
2023-01-12,604
2023-01-13,539
2023-01-14,616
2023-01-15,588
2023-01-16,512
2023-01-17,520
2023-01-18,544
2023-01-19,459
2023-01-20,618
2023-01-21,626
2023-01-22,694
2023-01-23,589
2023-01-24,559
2023-01-25,624
2023-01-26,544
2023-01-27,592
2023-01-28,636
2023-01-29,529
2023-01-30,570
2023-01-31,547
2023-02-01,564
2023-02-02,523
2023-02-03,493
2023-02-04,578
2023-02-05,644
2023-02-06,553
2023-02-07,547
2023-02-08,545
2023-02-09,527
2023-02-10,456
2023-02-11,527
2023-02-12,528
2023-02-13,466
2023-02-14,417
2023-02-15,416
2023-02-16,456
2023-02-17,412
2023-02-18,414
2023-02-19,462
2023-02-20,438
2023-02-21,425
2023-02-22,436
2023-02-23,357
2023-02-24,378
2023-02-25,417
2023-02-26,419
2023-02-27,370
2023-02-28,404
2023-03-01,384
2023-03-02,408
2023-03-03,402
2023-03-04,381
2023-03-05,412
2023-03-06,415
2023-03-07,367
2023-03-08,382
2023-03-09,389
2023-03-10,349
2023-03-11,411
2023-03-12,443
2023-03-13,378
2023-03-14,385
2023-03-15,374
2023-03-16,380
2023-03-17,392
2023-03-18,391
2023-03-19,401
2023-03-20,355
2023-03-21,311
2023-03-22,383
2023-03-23,434
2023-03-24,421
2023-03-25,417
2023-03-26,395
2023-03-27,356
2023-03-28,345
2023-03-29,351
2023-03-30,373
2023-03-31,355
2023-04-01,373
2023-04-02,362
2023-04-03,376
2023-04-04,387
2023-04-05,418
2023-04-06,424
2023-04-07,386
2023-04-08,422
2023-04-09,411
2023-04-10,397
2023-04-11,381
2023-04-12,404
2023-04-13,381
2023-04-14,363
2023-04-15,385
2023-04-16,433
2023-04-17,358
2023-04-18,387
2023-04-19,452
2023-04-20,427
2023-04-21,403
2023-04-22,451
2023-04-23,448
2023-04-24,394
2023-04-25,456
2023-04-26,526
2023-04-27,510
2023-04-28,478
2023-04-29,441
2023-04-30,467
2023-05-01,515
2023-05-02,551
2023-05-03,600
2023-05-04,631
2023-05-05,558
2023-05-06,705
2023-05-07,713
2023-05-08,671
2023-05-09,643
2023-05-10,655
2023-05-11,640
2023-05-12,505
2023-05-13,567
2023-05-14,576
2023-05-15,481
2023-05-16,517
2023-05-17,575
2023-05-18,553
2023-05-19,498
2023-05-20,580
2023-05-21,565
2023-05-22,474
2023-05-23,476
2023-05-24,438
2023-05-25,450
2023-05-26,418
2023-05-27,521
2023-05-28,565
2023-05-31,437
2023-06-01,438
2023-06-02,424
2023-06-03,479
2023-06-04,580
2023-06-05,534
2023-06-06,510
2023-06-07,526
2023-06-08,488
2023-06-09,549
2023-06-10,525
2023-06-11,618
2023-06-12,549
2023-06-13,527
2023-06-14,539
2023-06-15,521
2023-06-16,545
2023-06-17,579
2023-06-18,601
2023-06-19,472
2023-06-20,502
2023-06-21,505
2023-06-22,497
2023-06-23,461
2023-06-24,475
2023-06-25,521
2023-06-26,536
2023-06-27,514
2023-06-28,546
2023-06-29,597
2023-06-30,536
2023-07-01,555
2023-07-02,626
2023-07-03,546
2023-07-04,500
2023-07-05,478
2023-07-06,548
2023-07-07,497
2023-07-08,535
2023-07-09,649
2023-07-10,473
2023-07-11,795
2023-07-12,1056
2023-07-13,866
2023-07-14,676
2023-07-15,695
2023-07-16,673
2023-07-17,479
2023-07-18,541
2023-07-19,548
2023-07-20,547
2023-07-21,514
2023-07-22,630
2023-07-23,745
2023-07-24,609
2023-07-25,553
2023-07-26,568
2023-07-27,632
2023-07-28,508
2023-07-29,518
2023-07-30,496
2023-07-31,493
2023-08-01,435
2023-08-02,460
2023-08-03,493
2023-08-04,423
2023-08-05,414
2023-08-06,461
2023-08-07,464
2023-08-08,472
2023-08-09,466
2023-08-10,462
2023-08-11,407
2023-08-12,448
2023-08-13,491
2023-08-14,414
2023-08-15,416
2023-08-16,427
2023-08-17,439
2023-08-18,381
2023-08-19,419
2023-08-20,487
2023-08-21,408
2023-08-22,410
2023-08-23,392
2023-08-24,396
2023-08-25,358
2023-08-26,409
2023-08-27,446
2023-08-28,365
2023-08-29,334
2023-08-30,398
2023-08-31,387
2023-09-01,343
2023-09-02,387
2023-09-03,415
2023-09-04,377
2023-09-05,359
2023-09-06,376
2023-09-07,361
2023-09-08,340
2023-09-09,409
2023-09-10,426
2023-09-11,340
2023-09-12,385
2023-09-13,384
2023-09-14,405
2023-09-15,384
2023-09-16,460
2023-09-17,490
2023-09-18,355
2023-09-19,375
2023-09-20,374
2023-09-21,349
2023-09-22,335
2023-09-23,392
2023-09-24,432
2023-09-25,412
2023-09-26,377
2023-09-27,318
2023-09-28,297
2023-09-29,318
2023-09-30,380
2023-10-01,403
2023-10-02,317
2023-10-03,327
2023-10-04,332
2023-10-05,479
2023-10-06,397
2023-10-07,429
2023-10-08,530
2023-10-09,389
2023-10-10,425
2023-10-11,435
2023-10-12,473
2023-10-13,400
2023-10-14,490
2023-10-15,486
2023-10-16,450
2023-10-17,496
2023-10-18,443
2023-10-19,460
2023-10-20,428
2023-10-21,561
2023-10-22,584
2023-10-23,493
2023-10-24,424
2023-10-25,508
2023-10-26,463
2023-10-27,408
2023-10-28,437
2023-10-29,503
2023-10-30,435
2023-10-31,434
