,Sales Rank
2022-12-14,259
2022-12-15,285
2022-12-16,295
2022-12-17,303
2022-12-18,275
2022-12-19,272
2022-12-20,261
2022-12-21,270
2022-12-22,266
2022-12-23,276
2022-12-24,279
2022-12-25,297
2022-12-26,248
2022-12-27,202
2022-12-28,201
2022-12-29,172
2022-12-30,178
2022-12-31,166
2023-01-01,123
2023-01-02,125
2023-01-03,148
2023-01-04,146
2023-01-05,148
2023-01-06,152
2023-01-07,134
2023-01-08,142
2023-01-09,133
2023-01-10,133
2023-01-11,132
2023-01-12,131
2023-01-13,133
2023-01-14,124
2023-01-15,125
2023-01-16,127
2023-01-17,121
2023-01-18,130
2023-01-19,139
2023-01-20,135
2023-01-21,100
2023-01-22,104
2023-01-23,127
2023-01-24,124
2023-01-25,133
2023-01-26,136
2023-01-27,112
2023-01-28,101
2023-01-29,110
2023-01-30,139
2023-01-31,139
2023-02-01,144
2023-02-02,169
2023-02-03,153
2023-02-04,132
2023-02-05,107
2023-02-06,114
2023-02-07,106
2023-02-08,120
2023-02-09,107
2023-02-10,109
2023-02-11,106
2023-02-12,94
2023-02-13,97
2023-02-14,97
2023-02-15,119
2023-02-16,107
2023-02-17,109
2023-02-18,106
2023-02-19,69
2023-02-20,93
2023-02-21,129
2023-02-22,147
2023-02-23,143
2023-02-24,122
2023-02-25,87
2023-02-26,82
2023-02-27,93
2023-02-28,103
2023-03-01,118
2023-03-02,108
2023-03-03,145
2023-03-04,94
2023-03-05,78
2023-03-06,95
2023-03-07,106
2023-03-08,101
2023-03-09,103
2023-03-10,111
2023-03-11,104
2023-03-12,92
2023-03-13,125
2023-03-14,110
2023-03-15,117
2023-03-16,107
2023-03-17,113
2023-03-18,120
2023-03-19,93
2023-03-20,114
2023-03-21,111
2023-03-22,105
2023-03-23,121
2023-03-24,109
2023-03-25,111
2023-03-26,102
2023-03-27,100
2023-03-28,105
2023-03-29,116
2023-03-30,118
2023-03-31,124
2023-04-01,120
2023-04-02,108
2023-04-03,115
2023-04-04,142
2023-04-05,138
2023-04-06,107
2023-04-07,116
2023-04-08,104
2023-04-09,94
2023-04-10,92
2023-04-11,89
2023-04-12,85
2023-04-13,79
2023-04-14,82
2023-04-15,81
2023-04-16,76
2023-04-17,98
2023-04-18,101
2023-04-19,105
2023-04-20,101
2023-04-21,111
2023-04-22,111
2023-04-23,108
2023-04-24,126
2023-04-25,147
2023-04-26,112
2023-04-27,121
2023-04-28,110
2023-04-29,102
2023-04-30,112
2023-05-01,107
2023-05-02,117
2023-05-03,122
2023-05-04,109
2023-05-05,103
2023-05-06,89
2023-05-07,87
2023-05-08,96
2023-05-09,105
2023-05-10,103
2023-05-11,115
2023-05-12,122
2023-05-13,142
2023-05-14,190
2023-05-15,202
2023-05-16,182
2023-05-17,182
2023-05-18,201
2023-05-19,208
2023-05-20,197
2023-05-21,184
2023-05-22,220
2023-05-23,188
2023-05-24,168
2023-05-25,198
2023-05-26,183
2023-05-27,182
2023-05-28,176
2023-05-30,166
2023-05-31,179
2023-06-01,187
2023-06-02,199
2023-06-03,206
2023-06-04,187
2023-06-05,195
2023-06-06,188
2023-06-07,171
2023-06-08,200
2023-06-09,179
2023-06-10,172
2023-06-11,186
2023-06-12,199
2023-06-13,195
2023-06-14,191
2023-06-15,197
2023-06-16,189
2023-06-17,199
2023-06-18,198
2023-06-19,181
2023-06-20,189
2023-06-21,196
2023-06-22,191
2023-06-23,204
2023-06-24,204
2023-06-25,233
2023-06-26,227
2023-06-27,216
2023-06-28,222
2023-06-29,207
2023-06-30,262
2023-07-01,227
2023-07-02,224
2023-07-03,239
2023-07-04,252
2023-07-05,249
2023-07-06,232
2023-07-07,221
2023-07-08,219
2023-07-09,221
2023-07-10,210
2023-07-11,269
2023-07-12,254
2023-07-13,231
2023-07-14,227
2023-07-15,224
2023-07-16,231
2023-07-17,250
2023-07-18,237
2023-07-19,246
2023-07-20,233
2023-07-21,256
2023-07-22,256
2023-07-23,261
2023-07-24,247
2023-07-25,259
2023-07-26,264
2023-07-27,284
2023-07-28,292
2023-07-29,272
2023-07-30,240
2023-07-31,224
2023-08-01,250
2023-08-02,245
2023-08-03,244
2023-08-04,240
2023-08-05,254
2023-08-06,241
2023-08-07,231
2023-08-08,245
2023-08-09,243
2023-08-10,219
2023-08-11,216
2023-08-12,206
2023-08-13,211
2023-08-14,238
2023-08-15,226
2023-08-16,219
2023-08-17,221
2023-08-18,214
2023-08-19,211
2023-08-20,222
2023-08-21,232
2023-08-22,211
