,Sales Rank
2022-12-14,338
2022-12-15,50193
2022-12-16,401
2022-12-17,414
2022-12-18,346
2022-12-19,343
2022-12-20,357
2022-12-21,367
2022-12-22,349
2022-12-23,365
2022-12-24,385
2022-12-25,378
2022-12-26,379
2022-12-27,330
2022-12-28,275
2022-12-29,252
2022-12-30,254
2022-12-31,215
2023-01-01,207
2023-01-02,190
2023-01-03,223
2023-01-04,223
2023-01-05,203
2023-01-06,223
2023-01-07,218
2023-01-08,223
2023-01-09,215
2023-01-10,213
2023-01-11,212
2023-01-12,192
2023-01-13,198
2023-01-14,163
2023-01-15,174
2023-01-16,163
2023-01-17,172
2023-01-18,188
2023-01-19,227
2023-01-20,208
2023-01-21,172
2023-01-22,191
2023-01-23,222
2023-01-24,175
2023-01-25,186
2023-01-26,212
2023-01-27,200
2023-01-28,177
2023-01-29,196
2023-01-30,228
2023-01-31,245
2023-02-01,237
2023-02-02,238
2023-02-03,209
2023-02-04,182
2023-02-05,168
2023-02-06,172
2023-02-07,173
2023-02-08,204
2023-02-09,192
2023-02-10,170
2023-02-11,150
2023-02-12,166
2023-02-13,170
2023-02-14,182
2023-02-15,190
2023-02-16,209
2023-02-17,228
2023-02-18,241
2023-02-19,176
2023-02-20,170
2023-02-21,208
2023-02-22,249
2023-02-23,243
2023-02-24,234
2023-02-25,216
2023-02-26,190
2023-02-27,157
2023-02-28,103
2023-03-01,134
2023-03-02,120
2023-03-03,153
2023-03-04,175
2023-03-05,118
2023-03-06,123
2023-03-07,138
2023-03-08,144
2023-03-09,139
2023-03-10,150
2023-03-11,145
2023-03-12,144
2023-03-13,173
2023-03-14,172
2023-03-15,164
2023-03-16,149
2023-03-17,155
2023-03-18,135
2023-03-19,120
2023-03-20,133
2023-03-21,124
2023-03-22,130
2023-03-23,151
2023-03-24,141
2023-03-25,145
2023-03-26,136
2023-03-27,123
2023-03-28,133
2023-03-29,135
2023-03-30,160
2023-03-31,180
2023-04-01,178
2023-04-02,131
2023-04-03,148
2023-04-04,169
2023-04-05,181
2023-04-06,150
2023-04-07,144
2023-04-08,140
2023-04-09,125
2023-04-10,121
2023-04-11,108
2023-04-12,90
2023-04-13,99
2023-04-14,119
2023-04-15,97
2023-04-16,96
2023-04-17,127
2023-04-18,150
2023-04-19,129
2023-04-20,141
2023-04-21,132
2023-04-22,120
2023-04-23,122
2023-04-24,144
2023-04-25,158
2023-04-26,147
2023-04-27,142
2023-04-28,131
2023-04-29,118
2023-04-30,103
2023-05-01,131
2023-05-02,140
2023-05-03,133
2023-05-04,141
2023-05-05,139
2023-05-06,121
2023-05-07,122
2023-05-08,134
2023-05-09,125
2023-05-10,123
2023-05-11,117
2023-05-12,131
2023-05-13,119
2023-05-14,122
2023-05-15,120
2023-05-16,122
2023-05-17,146
2023-05-18,166
2023-05-19,161
2023-05-20,149
2023-05-21,146
2023-05-22,163
2023-05-23,131
2023-05-24,156
2023-05-25,168
2023-05-26,199
2023-05-27,190
2023-05-28,153
2023-05-30,152
2023-05-31,153
2023-06-01,152
2023-06-02,173
2023-06-03,186
2023-06-04,147
2023-06-05,159
2023-06-06,156
2023-06-07,161
2023-06-08,167
2023-06-09,175
2023-06-10,173
2023-06-11,164
2023-06-12,167
2023-06-13,165
2023-06-14,167
2023-06-15,178
2023-06-16,197
2023-06-17,178
2023-06-18,184
2023-06-19,192
2023-06-20,180
2023-06-21,171
2023-06-22,183
2023-06-23,206
2023-06-24,212
2023-06-25,220
2023-06-26,209
2023-06-27,204
2023-06-28,214
2023-06-29,201
2023-06-30,247
2023-07-01,204
2023-07-02,199
2023-07-03,195
2023-07-04,210
2023-07-05,213
2023-07-06,211
2023-07-07,213
2023-07-08,205
2023-07-09,186
2023-07-10,210
2023-07-11,238
2023-07-12,222
2023-07-13,206
2023-07-14,219
2023-07-15,197
2023-07-16,203
2023-07-17,213
2023-07-18,206
2023-07-19,217
2023-07-20,208
2023-07-21,222
2023-07-22,193
2023-07-23,212
2023-07-24,213
2023-07-25,209
2023-07-26,205
2023-07-27,218
2023-07-28,225
2023-07-29,206
2023-07-30,191
2023-07-31,197
2023-08-01,196
2023-08-02,201
2023-08-03,202
2023-08-04,229
2023-08-05,200
2023-08-06,204
2023-08-07,191
2023-08-08,219
2023-08-09,214
2023-08-10,188
2023-08-11,195
2023-08-12,183
2023-08-13,182
2023-08-14,208
2023-08-15,205
2023-08-16,191
2023-08-17,209
2023-08-18,209
2023-08-19,193
2023-08-20,197
2023-08-21,210
2023-08-22,213
2023-08-23,228
2023-08-24,216
2023-08-25,263
2023-08-26,199
2023-08-27,201
2023-08-28,199
2023-08-29,204
2023-08-30,205
2023-08-31,264
2023-09-01,236
2023-09-02,233
2023-09-03,215
2023-09-04,237
2023-09-05,225
2023-09-06,238
2023-09-07,225
2023-09-08,236
2023-09-09,219
2023-09-10,212
2023-09-11,226
2023-09-12,200
2023-09-13,201
2023-09-14,213
2023-09-15,223
2023-09-16,188
2023-09-17,195
2023-09-18,215
2023-09-19,200
2023-09-20,221
2023-09-21,224
2023-09-22,212
2023-09-23,233
2023-09-24,218
2023-09-25,234
2023-09-26,225
2023-09-27,245
2023-09-28,250
2023-09-29,278
2023-09-30,238
2023-10-01,228
2023-10-02,252
2023-10-03,226
2023-10-04,226
2023-10-05,229
2023-10-06,241
2023-10-07,218
2023-10-08,210
2023-10-09,223
2023-10-10,325
2023-10-11,358
2023-10-12,342
2023-10-13,335
2023-10-14,291
2023-10-15,266
2023-10-16,273
2023-10-17,274
2023-10-18,233
2023-10-19,250
2023-10-20,236
2023-10-21,241
2023-10-22,242
2023-10-23,231
2023-10-24,228
2023-10-25,242
2023-10-26,268
2023-10-27,295
2023-10-28,241
2023-10-29,253
2023-10-30,269
2023-10-31,266
2023-11-01,291
2023-11-02,274
2023-11-03,305
2023-11-04,222
2023-11-05,239
2023-11-06,264
2023-11-07,234
2023-11-08,228
2023-11-09,225
2023-11-10,248
2023-11-11,205
2023-11-12,207
2023-11-13,215
2023-11-14,212
2023-11-15,227
2023-11-16,249
2023-11-17,297
2023-11-18,263
2023-11-19,249
2023-11-20,277
2023-11-21,294
2023-11-22,285
2023-11-23,322
2023-11-24,270
2023-11-25,227
2023-11-26,254
2023-11-27,257
2023-11-28,260
2023-11-29,292
2023-11-30,305
2023-12-01,345
2023-12-02,309
2023-12-03,332
2023-12-04,326
2023-12-05,328
2023-12-06,309
2023-12-07,388
2023-12-08,429
2023-12-09,400
2023-12-10,421
2023-12-11,420
2023-12-12,428
2023-12-13,468
2023-12-14,465
2023-12-15,496
2023-12-16,466
2023-12-17,399
2023-12-18,427
2023-12-19,403
2023-12-20,437
2023-12-21,417
2023-12-22,467
2023-12-23,431
2023-12-24,362
2023-12-25,427
2023-12-26,338
2023-12-27,384
2023-12-28,355
2023-12-29,355
2023-12-30,348
2023-12-31,399
2024-01-01,287
2024-01-02,239
2024-01-03,272
2024-01-04,281
2024-01-05,286
2024-01-06,251
2024-01-07,233
2024-01-08,244
2024-01-09,275
2024-01-10,293
2024-01-11,326
2024-01-12,315
2024-01-13,260
2024-01-14,330
2024-01-15,293
2024-01-16,324
2024-01-17,324
2024-01-18,334
2024-01-19,296
2024-01-20,369
2024-01-21,353
2024-01-22,314
2024-01-23,287
2024-01-24,288
2024-01-25,281
2024-01-26,241
2024-01-27,219
2024-01-28,250
2024-01-29,245
2024-01-30,215
2024-01-31,225
2024-02-01,226
2024-02-02,225
2024-02-03,212
2024-02-04,182
2024-02-05,226
2024-02-06,184
2024-02-07,181
2024-02-08,203
2024-02-09,214
2024-02-10,182
2024-02-11,178
2024-02-12,210
2024-02-13,249
2024-02-14,232
2024-02-15,276
2024-02-16,267
2024-02-17,269
2024-02-18,255
2024-02-19,271
2024-02-20,249
2024-02-21,264
2024-02-22,346
2024-02-23,348
2024-02-24,265
2024-02-25,290
2024-02-26,291
2024-02-27,256
2024-02-28,252
2024-02-29,293
2024-03-01,298
2024-03-02,311
2024-03-03,255
2024-03-04,185
2024-03-05,166
2024-03-06,193
2024-03-07,175
2024-03-08,185
2024-03-09,173
2024-03-10,167
2024-03-11,162
2024-03-12,204
2024-03-13,211
2024-03-14,180
2024-03-15,180
2024-03-16,198
2024-03-17,167
2024-03-18,196
2024-03-19,184
2024-03-20,209
2024-03-21,221
2024-03-22,177
2024-03-23,195
2024-03-24,203
2024-03-25,234
2024-03-26,205
2024-03-27,248
2024-03-28,232
2024-03-29,258
2024-03-30,201
2024-03-31,173
2024-04-01,209
