,Sales Rank
2022-12-14,298
2022-12-15,285
2022-12-16,315
2022-12-17,321
2022-12-18,365
2022-12-19,346
2022-12-20,326
2022-12-21,305
2022-12-22,271
2022-12-23,246
2022-12-24,255
2022-12-25,258
2022-12-26,217
2022-12-27,214
2022-12-28,229
2022-12-29,226
2022-12-30,241
2022-12-31,240
2023-01-01,248
2023-01-02,198
2023-01-03,198
2023-01-04,217
2023-01-05,204
2023-01-06,201
2023-01-07,203
2023-01-08,206
2023-01-09,209
2023-01-10,214
2023-01-11,215
2023-01-12,201
2023-01-13,192
2023-01-14,268
2023-01-15,282
2023-01-16,258
2023-01-17,265
2023-01-18,311
2023-01-19,299
2023-01-20,343
2023-01-21,377
2023-01-22,382
2023-01-23,315
2023-01-24,376
2023-01-25,317
2023-01-26,325
2023-01-27,292
2023-01-28,335
2023-01-29,343
2023-01-30,275
2023-01-31,331
2023-02-01,371
2023-02-02,337
2023-02-03,344
2023-02-04,340
2023-02-05,380
2023-02-06,315
2023-02-07,315
2023-02-08,257
2023-02-09,308
2023-02-10,307
2023-02-11,322
2023-02-12,349
2023-02-13,377
2023-02-14,366
2023-02-15,346
2023-02-16,345
2023-02-17,328
2023-02-18,396
2023-02-19,435
2023-02-20,409
2023-02-21,315
2023-02-22,336
2023-02-23,404
2023-02-24,361
2023-02-25,419
2023-02-26,436
2023-02-27,358
2023-02-28,364
2023-03-01,401
2023-03-02,417
2023-03-03,401
2023-03-04,461
2023-03-05,480
2023-03-06,453
2023-03-07,422
2023-03-08,402
2023-03-09,430
2023-03-10,430
2023-03-11,436
2023-03-12,438
2023-03-13,414
2023-03-14,430
2023-03-15,442
2023-03-16,367
2023-03-17,387
2023-03-18,408
2023-03-19,457
2023-03-20,417
2023-03-21,369
2023-03-22,408
2023-03-23,451
2023-03-24,426
2023-03-25,500
2023-03-26,492
2023-03-27,449
2023-03-28,407
2023-03-29,484
2023-03-30,455
2023-03-31,403
2023-04-01,459
2023-04-02,470
2023-04-03,456
2023-04-04,420
2023-04-05,422
2023-04-06,385
2023-04-07,441
2023-04-08,446
2023-04-09,484
2023-04-10,430
2023-04-11,422
2023-04-12,412
2023-04-13,416
2023-04-14,425
2023-04-15,481
2023-04-16,541
2023-04-17,446
2023-04-18,433
2023-04-19,414
2023-04-20,428
2023-04-21,453
2023-04-22,512
2023-04-23,473
2023-04-24,461
2023-04-25,420
2023-04-26,452
2023-04-27,412
2023-04-28,491
2023-04-29,472
2023-04-30,567
2023-05-01,481
2023-05-02,527
2023-05-03,535
2023-05-04,525
2023-05-05,455
2023-05-06,541
2023-05-07,507
2023-05-08,424
2023-05-09,434
2023-05-10,446
2023-05-11,419
2023-05-12,425
2023-05-13,523
2023-05-14,526
2023-05-15,434
2023-05-16,509
2023-05-17,454
2023-05-18,437
2023-05-19,426
2023-05-20,476
2023-05-21,489
2023-05-22,409
2023-05-23,465
2023-05-24,458
2023-05-25,449
2023-05-26,424
2023-05-27,513
2023-05-28,532
2023-05-30,408
