,Sales Rank
2022-12-14,671
2022-12-15,775
2022-12-16,823
2022-12-17,755
2022-12-18,793
2022-12-19,842
2022-12-20,842
2022-12-21,782
2022-12-22,755
2022-12-23,538
2022-12-24,544
2022-12-25,578
2022-12-26,616
2022-12-27,631
2022-12-28,821
2022-12-29,527
2022-12-30,565
2022-12-31,599
2023-01-01,607
2023-01-02,770
2023-01-03,768
2023-01-04,801
2023-01-05,610
2023-01-06,595
2023-01-07,622
2023-01-08,585
2023-01-09,563
2023-01-10,555
2023-01-11,540
2023-01-12,590
2023-01-13,750
2023-01-14,671
2023-01-15,729
2023-01-16,644
2023-01-17,533
2023-01-18,764
2023-01-19,964
2023-01-20,924
2023-01-21,958
2023-01-22,1077
2023-01-23,644
2023-01-24,707
2023-01-25,641
2023-01-26,422
2023-01-27,529
2023-01-28,596
2023-01-29,623
2023-01-30,334
2023-01-31,532
2023-02-01,457
2023-02-02,752
2023-02-03,707
2023-02-04,691
2023-02-05,662
2023-02-06,758
2023-02-07,717
2023-02-08,357
2023-02-09,541
2023-02-10,675
2023-02-11,655
2023-02-12,916
2023-02-13,906
2023-02-14,925
2023-02-15,757
2023-02-16,736
2023-02-17,712
2023-02-18,553
2023-02-19,687
2023-02-20,504
2023-02-21,432
2023-02-22,395
2023-02-23,464
2023-02-24,469
2023-02-25,472
2023-02-26,541
2023-02-27,539
2023-02-28,485
2023-03-01,528
2023-03-02,523
2023-03-03,452
2023-03-04,455
2023-03-05,504
2023-03-06,510
2023-03-07,432
2023-03-08,421
2023-03-09,516
2023-03-10,514
2023-03-11,450
2023-03-12,611
2023-03-13,571
2023-03-14,488
2023-03-15,560
2023-03-16,568
2023-03-17,630
2023-03-18,633
2023-03-19,714
2023-03-20,647
2023-03-21,623
2023-03-22,675
2023-03-23,689
2023-03-24,643
2023-03-25,779
2023-03-26,837
2023-03-27,774
2023-03-28,804
2023-03-29,715
2023-03-30,759
2023-03-31,726
2023-04-01,920
2023-04-02,1015
2023-04-03,868
2023-04-04,661
2023-04-05,697
2023-04-06,853
2023-04-07,732
2023-04-08,1018
2023-04-09,1094
2023-04-10,818
2023-04-11,1018
2023-04-12,844
2023-04-13,644
2023-04-14,683
2023-04-15,920
2023-04-16,1036
2023-04-17,579
2023-04-18,569
2023-04-19,592
2023-04-20,651
2023-04-21,532
2023-04-22,579
2023-04-23,502
2023-04-24,395
2023-04-25,441
2023-04-26,440
2023-04-27,499
2023-04-28,470
2023-04-29,530
2023-04-30,564
2023-05-01,543
2023-05-02,499
2023-05-03,440
2023-05-04,497
2023-05-05,493
2023-05-06,458
2023-05-07,479
2023-05-08,539
2023-05-09,551
2023-05-10,493
2023-05-11,516
2023-05-12,547
2023-05-13,616
2023-05-14,551
2023-05-15,580
2023-05-16,624
2023-05-17,559
2023-05-18,627
2023-05-19,731
2023-05-20,708
2023-05-21,684
2023-05-22,775
2023-05-23,762
2023-05-24,709
2023-05-25,733
2023-05-26,239
2023-05-27,280
2023-05-28,417
2023-05-30,417
2023-05-31,507
2023-06-01,592
2023-06-02,626
2023-06-03,686
2023-06-04,743
2023-06-05,794
2023-06-06,738
2023-06-07,637
2023-06-08,294
2023-06-09,280
2023-06-10,442
2023-06-11,478
2023-06-12,599
2023-06-13,580
2023-06-14,594
2023-06-15,580
2023-06-16,655
2023-06-17,584
2023-06-18,515
2023-06-19,548
2023-06-20,575
2023-06-21,561
2023-06-22,535
2023-06-23,518
2023-06-24,518
2023-06-25,468
2023-06-26,496
2023-06-27,536
2023-06-28,445
2023-06-29,574
2023-06-30,512
2023-07-01,515
2023-07-02,533
2023-07-03,634
2023-07-04,560
2023-07-05,431
2023-07-06,460
2023-07-07,468
2023-07-08,479
2023-07-09,460
2023-07-10,537
2023-07-11,566
2023-07-12,707
2023-07-13,728
2023-07-14,515
2023-07-15,534
2023-07-16,492
2023-07-17,582
2023-07-18,522
2023-07-19,473
2023-07-20,496
2023-07-21,555
2023-07-22,579
2023-07-23,509
2023-07-24,594
2023-07-25,579
2023-07-26,495
2023-07-27,465
2023-07-28,454
2023-07-29,433
2023-07-30,484
2023-07-31,516
2023-08-01,546
2023-08-02,527
2023-08-03,474
2023-08-04,481
2023-08-05,504
2023-08-06,509
2023-08-07,481
2023-08-08,570
2023-08-09,499
2023-08-10,451
2023-08-11,450
2023-08-12,433
2023-08-13,474
2023-08-14,538
2023-08-15,503
2023-08-16,417
2023-08-17,459
2023-08-18,462
2023-08-19,438
2023-08-20,460
2023-08-21,502
2023-08-22,516
2023-08-23,432
2023-08-24,426
2023-08-25,440
2023-08-26,456
2023-08-27,412
2023-08-28,447
2023-08-29,502
2023-08-30,451
2023-08-31,430
2023-09-01,478
2023-09-02,455
2023-09-03,487
2023-09-04,522
2023-09-05,494
2023-09-06,445
2023-09-07,464
2023-09-08,426
2023-09-09,442
2023-09-10,424
2023-09-11,561
2023-09-12,490
2023-09-13,436
2023-09-14,424
2023-09-15,396
2023-09-16,389
2023-09-17,439
2023-09-18,495
2023-09-19,507
2023-09-20,428
2023-09-21,435
2023-09-22,431
2023-09-23,452
2023-09-24,406
2023-09-25,450
2023-09-26,429
2023-09-27,408
2023-09-28,432
2023-09-29,389
2023-09-30,404
2023-10-01,398
2023-10-02,518
2023-10-03,437
2023-10-04,403
2023-10-05,377
2023-10-06,399
2023-10-07,368
2023-10-08,402
2023-10-09,470
2023-10-10,455
2023-10-11,596
2023-10-12,554
2023-10-13,463
2023-10-14,413
2023-10-15,359
2023-10-16,434
2023-10-17,466
2023-10-18,362
2023-10-19,386
2023-10-20,399
2023-10-21,400
2023-10-22,347
2023-10-23,453
2023-10-24,450
2023-10-25,387
2023-10-26,413
2023-10-27,364
2023-10-28,407
2023-10-29,387
2023-10-30,452
2023-10-31,407
2023-11-01,355
2023-11-02,370
2023-11-03,374
2023-11-04,399
2023-11-05,369
2023-11-06,432
2023-11-07,429
2023-11-08,359
2023-11-09,365
2023-11-10,351
2023-11-11,332
2023-11-12,326
2023-11-13,434
2023-11-14,420
2023-11-15,377
2023-11-16,391
2023-11-17,387
2023-11-18,425
2023-11-19,415
2023-11-20,499
2023-11-21,485
2023-11-22,402
2023-11-23,507
2023-11-24,604
2023-11-25,511
2023-11-26,473
2023-11-27,714
2023-11-28,587
2023-11-29,436
2023-11-30,439
2023-12-01,432
2023-12-02,432
2023-12-03,478
2023-12-04,539
2023-12-05,529
2023-12-06,508
2023-12-07,449
2023-12-08,437
2023-12-09,433
2023-12-10,421
2023-12-11,518
2023-12-12,515
2023-12-13,472
2023-12-14,455
2023-12-15,450
2023-12-16,512
2023-12-17,580
2023-12-18,633
2023-12-19,631
2023-12-20,557
2023-12-21,590
2023-12-22,486
2023-12-23,434
2023-12-24,366
2023-12-25,495
2023-12-26,450
2023-12-27,343
2023-12-28,418
2023-12-29,416
2023-12-30,427
2023-12-31,435
2024-01-01,477
2024-01-02,447
2024-01-03,380
2024-01-04,416
2024-01-05,414
2024-01-06,435
2024-01-07,410
2024-01-08,487
2024-01-09,458
2024-01-10,354
2024-01-11,427
2024-01-12,420
2024-01-13,435
2024-01-14,468
2024-01-15,559
2024-01-16,467
2024-01-17,430
2024-01-18,404
2024-01-19,421
2024-01-20,390
2024-01-21,375
2024-01-22,426
2024-01-23,400
2024-01-24,347
2024-01-25,377
2024-01-26,391
2024-01-27,339
2024-01-28,402
2024-01-29,443
2024-01-30,411
2024-01-31,358
2024-02-01,353
2024-02-02,416
2024-02-03,356
2024-02-04,386
2024-02-05,410
2024-02-06,389
2024-02-07,368
2024-02-08,421
2024-02-09,389
2024-02-10,337
2024-02-11,377
2024-02-12,444
2024-02-13,435
2024-02-14,409
2024-02-15,396
2024-02-16,386
2024-02-17,409
2024-02-18,405
2024-02-19,473
2024-02-20,481
2024-02-21,387
2024-02-22,443
2024-02-23,398
2024-02-24,338
2024-02-25,333
2024-02-26,471
2024-02-27,460
2024-02-28,361
2024-02-29,359
2024-03-01,409
2024-03-02,382
2024-03-03,427
2024-03-04,478
2024-03-05,450
2024-03-06,384
2024-03-07,431
2024-03-08,385
2024-03-09,381
2024-03-10,356
2024-03-11,430
2024-03-12,422
2024-03-13,392
2024-03-14,414
2024-03-15,376
2024-03-16,362
2024-03-17,442
2024-03-18,478
2024-03-19,437
2024-03-20,384
2024-03-21,405
2024-03-22,420
2024-03-23,412
2024-03-24,394
2024-03-25,439
2024-03-26,470
2024-03-27,359
2024-03-28,392
2024-03-29,403
2024-03-30,366
2024-03-31,346
2024-04-01,443
2024-04-02,417
2024-04-03,358
2024-04-04,357
2024-04-05,368
2024-04-06,361
2024-04-07,349
2024-04-08,436
2024-04-09,416
2024-04-10,349
2024-04-11,396
2024-04-12,359
2024-04-13,394
2024-04-14,403
2024-04-15,440
2024-04-16,453
2024-04-17,359
2024-04-18,383
2024-04-19,382
2024-04-20,368
2024-04-21,379
2024-04-22,474
2024-04-23,456
2024-04-24,359
2024-04-25,330
2024-04-26,384
2024-04-27,345
2024-04-28,354
2024-04-29,429
2024-04-30,379
2024-05-01,342
2024-05-02,347
2024-05-03,360
2024-05-04,320
2024-05-05,374
2024-05-06,452
2024-05-07,493
2024-05-08,471
2024-05-09,404
2024-05-10,376
2024-05-11,360
2024-05-12,367
2024-05-13,378
2024-05-14,374
2024-05-15,333
2024-05-16,382
2024-05-17,412
2024-05-18,404
2024-05-19,355
2024-05-20,528
2024-05-21,439
2024-05-22,370
2024-05-23,380
2024-05-24,374
2024-05-25,368
2024-05-26,367
2024-05-27,398
2024-05-28,388
2024-05-29,352
2024-05-30,381
2024-05-31,369
2024-06-01,369
2024-06-02,340
2024-06-03,413
2024-06-04,381
2024-06-05,328
2024-06-06,358
2024-06-07,362
2024-06-08,350
2024-06-09,349
2024-06-10,396
2024-06-11,398
2024-06-12,311
2024-06-13,311
2024-06-14,345
2024-06-15,369
2024-06-16,381
2024-06-17,496
2024-06-18,449
2024-06-19,352
2024-06-20,342
2024-06-21,386
2024-06-22,353
2024-06-23,367
2024-06-24,425
2024-06-25,390
2024-06-26,324
2024-06-27,377
2024-06-28,367
2024-06-29,352
2024-06-30,365
2024-07-01,437
2024-07-02,437
2024-07-03,378
2024-07-04,382
2024-07-05,346
2024-07-06,379
2024-07-07,379
2024-07-08,464
2024-07-09,466
2024-07-10,347
2024-07-11,392
2024-07-12,382
2024-07-13,363
2024-07-14,366
2024-07-15,428
2024-07-16,570
2024-07-17,544
2024-07-18,501
2024-07-19,450
2024-07-20,359
2024-07-21,364
2024-07-22,456
2024-07-23,417
2024-07-24,318
2024-07-25,386
2024-07-26,369
2024-07-27,338
2024-07-28,362
2024-07-29,426
2024-07-30,416
2024-07-31,358
2024-08-01,374
2024-08-02,329
2024-08-03,345
2024-08-04,373
2024-08-05,422
2024-08-06,397
2024-08-07,394
2024-08-09,371
2024-08-10,362
2024-08-11,320
2024-08-12,420
2024-08-13,430
2024-08-14,354
2024-08-15,356
2024-08-16,387
2024-08-17,420
2024-08-18,393
2024-08-19,462
2024-08-20,448
2024-08-21,401
2024-08-22,392
2024-08-23,415
2024-08-24,386
2024-08-25,400
2024-08-26,453
2024-08-27,390
2024-08-28,371
2024-08-29,389
2024-08-30,399
2024-08-31,386
2024-09-01,393
2024-09-02,424
2024-09-03,430
2024-09-04,350
2024-09-05,342
2024-09-06,356
2024-09-07,355
2024-09-08,360
2024-09-09,451
2024-09-10,417
2024-09-11,336
2024-09-12,366
2024-09-13,338
2024-09-14,313
2024-09-15,345
2024-09-16,461
2024-09-17,399
2024-09-18,361
2024-09-19,375
2024-09-20,375
2024-09-21,349
2024-09-22,328
2024-09-23,441
2024-09-24,429
2024-09-25,299
2024-09-26,338
2024-09-27,312
2024-09-28,325
2024-09-29,313
2024-09-30,383
2024-10-01,379
2024-10-02,304
2024-10-03,309
2024-10-04,341
2024-10-05,337
2024-10-06,302
2024-10-07,392
2024-10-08,235
2024-10-09,352
2024-10-10,353
2024-10-11,408
2024-10-12,486
2024-10-13,545
2024-10-14,307
2024-10-15,310
2024-10-16,330
2024-10-17,451
2024-10-18,406
2024-10-19,361
2024-10-20,360
2024-10-22,497
2024-10-23,269
2024-10-24,321
2024-10-25,352
2024-10-26,370
2024-10-27,315
2024-10-28,414
2024-10-29,408
2024-10-30,320
2024-10-31,302
2024-11-01,304
2024-11-02,442
2024-11-03,496
2024-11-04,300
2024-11-05,295
2024-11-06,347
2024-11-07,392
2024-11-08,422
2024-11-09,366
2024-11-10,351
2024-11-11,440
2024-11-12,437
2024-11-13,332
2024-11-14,377
2024-11-15,356
2024-11-16,376
2024-11-17,410
2024-11-18,461
2024-11-19,435
2024-11-20,355
2024-11-21,418
2024-11-22,452
2024-11-23,483
2024-11-24,445
2024-11-25,463
2024-11-26,827
2024-11-27,749
2024-11-28,887
2024-11-29,996
2024-11-30,920
2024-12-01,845
2024-12-02,1065
2024-12-03,920
2024-12-04,779
2024-12-05,687
2024-12-06,708
2024-12-07,675
2024-12-08,819
2024-12-09,868
2024-12-10,805
2024-12-11,719
2024-12-12,726
2024-12-13,760
2024-12-14,810
2024-12-15,867
2024-12-16,947
2024-12-17,914
2024-12-18,851
2024-12-19,818
2024-12-20,848
2024-12-21,867
2024-12-22,836
2024-12-23,870
2024-12-24,813
2024-12-25,662
2024-12-26,693
2024-12-27,645
2024-12-28,631
2024-12-29,666
2024-12-30,774
2024-12-31,730
2025-01-01,610
2025-01-02,635
2025-01-03,582
2025-01-04,620
2025-01-05,620
2025-01-06,661
2025-01-07,702
2025-01-08,609
2025-01-09,651
2025-01-10,654
2025-01-11,592
