,Sales Rank
2022-12-14,1030
2022-12-15,1112
2022-12-16,1105
2022-12-17,1177
2022-12-18,1239
2022-12-19,1181
2022-12-20,1091
2022-12-21,1122
2022-12-22,1131
2022-12-23,1087
2022-12-24,1064
2022-12-25,1019
2022-12-26,1018
2022-12-27,873
2022-12-28,800
2022-12-29,866
2022-12-30,801
2022-12-31,782
2023-01-01,765
2023-01-02,773
2023-01-03,765
2023-01-04,793
2023-01-05,764
2023-01-06,776
2023-01-07,786
2023-01-08,799
2023-01-09,779
2023-01-10,793
2023-01-11,804
2023-01-12,772
2023-01-13,737
2023-01-14,918
2023-01-15,1034
2023-01-16,1017
2023-01-17,891
2023-01-18,962
2023-01-19,915
2023-01-20,946
2023-01-21,1076
2023-01-22,1046
2023-01-23,1034
2023-01-24,1121
2023-01-25,1060
2023-01-26,1088
2023-01-27,974
2023-01-28,1076
2023-01-29,1122
2023-01-30,1176
2023-01-31,1293
2023-02-01,851
2023-02-02,1029
2023-02-03,1178
2023-02-04,1320
2023-02-05,1262
2023-02-06,1122
2023-02-07,1120
2023-02-08,884
2023-02-09,953
2023-02-10,916
2023-02-11,965
2023-02-12,1128
2023-02-13,896
2023-02-14,937
2023-02-15,828
2023-02-16,789
2023-02-17,834
2023-02-18,715
2023-02-19,717
2023-02-20,763
2023-02-21,803
2023-02-22,776
2023-02-23,737
2023-02-24,749
2023-02-25,769
2023-02-26,776
2023-02-27,744
2023-02-28,711
2023-03-01,708
2023-03-02,761
2023-03-03,735
2023-03-04,722
2023-03-05,713
2023-03-06,701
2023-03-07,794
2023-03-08,785
2023-03-09,780
2023-03-10,905
2023-03-11,1048
2023-03-12,974
2023-03-13,1017
2023-03-14,1022
2023-03-15,1032
2023-03-16,1097
2023-03-17,1103
2023-03-18,1108
2023-03-19,1250
2023-03-20,1110
2023-03-21,920
2023-03-22,1080
2023-03-23,1139
2023-03-24,1216
2023-03-25,1196
2023-03-26,1185
2023-03-27,1058
2023-03-28,1012
2023-03-29,1060
2023-03-30,1080
2023-03-31,794
2023-04-01,957
2023-04-02,1121
2023-04-03,1053
2023-04-04,1184
2023-04-05,1132
2023-04-06,1158
2023-04-07,1113
2023-04-08,1051
2023-04-09,1071
2023-04-10,1093
2023-04-11,1155
2023-04-12,1211
2023-04-13,1166
2023-04-14,1023
2023-04-15,1047
2023-04-16,1093
2023-04-17,1079
2023-04-18,1026
2023-04-19,1010
2023-04-20,897
2023-04-21,1043
2023-04-22,932
2023-04-23,909
2023-04-24,975
2023-04-25,989
2023-04-26,1043
2023-04-27,1016
2023-04-28,947
2023-04-29,839
2023-04-30,939
2023-05-01,1016
2023-05-02,1196
2023-05-03,1146
2023-05-04,1080
2023-05-05,964
2023-05-06,980
2023-05-07,914
2023-05-08,973
2023-05-09,876
2023-05-10,907
2023-05-11,926
2023-05-12,934
2023-05-13,934
2023-05-14,937
2023-05-15,771
2023-05-16,849
2023-05-17,967
2023-05-18,928
2023-05-19,912
2023-05-20,864
2023-05-21,1015
2023-05-22,1013
2023-05-23,885
2023-05-24,866
2023-05-25,912
2023-05-26,886
2023-05-27,969
2023-05-28,948
2023-05-30,948
2023-05-31,857
2023-06-01,850
2023-06-02,845
2023-06-03,716
2023-06-04,795
2023-06-05,898
2023-06-06,854
2023-06-07,802
2023-06-08,844
2023-06-09,741
2023-06-10,745
2023-06-11,651
2023-06-12,712
2023-06-13,827
2023-06-14,816
2023-06-15,821
2023-06-16,890
2023-06-17,774
2023-06-18,740
2023-06-19,683
2023-06-20,715
2023-06-21,756
2023-06-22,740
2023-06-23,699
2023-06-24,711
2023-06-25,743
2023-06-26,741
2023-06-27,671
2023-06-28,595
2023-06-29,611
2023-06-30,673
2023-07-01,663
2023-07-02,675
2023-07-03,622
2023-07-04,622
2023-07-05,606
2023-07-06,581
2023-07-07,610
2023-07-08,603
2023-07-09,530
2023-07-10,541
2023-07-11,799
2023-07-12,1057
2023-07-13,878
2023-07-14,712
2023-07-15,701
2023-07-16,747
2023-07-17,726
2023-07-18,625
2023-07-19,648
2023-07-20,561
2023-07-21,616
2023-07-22,679
2023-07-23,656
2023-07-24,675
2023-07-25,963
