,Sales Rank
2022-12-14,6388
2022-12-15,7050
2022-12-16,4419
2022-12-17,4580
2022-12-18,3912
2022-12-19,3506
2022-12-20,3991
2022-12-21,4081
2022-12-22,3608
2022-12-23,3405
2022-12-24,3599
2022-12-25,3526
2022-12-26,2911
2022-12-27,2436
2022-12-28,2815
2022-12-29,4299
2022-12-30,5601
2022-12-31,5173
2023-01-01,5033
2023-01-02,6960
2023-01-03,6567
2023-01-04,6623
2023-01-05,6287
2023-01-06,6222
2023-01-07,5864
2023-01-08,5592
2023-01-09,5351
2023-01-10,5249
2023-01-11,5021
2023-01-12,6038
2023-01-13,7434
2023-01-14,5423
2023-01-15,5598
2023-01-16,5238
2023-01-17,4760
2023-01-18,4860
2023-01-19,4254
2023-01-20,4291
2023-01-21,3715
2023-01-22,3745
2023-01-23,3746
2023-01-24,3970
2023-01-25,3574
2023-01-26,2921
2023-01-27,2929
2023-01-28,2649
2023-01-29,2253
2023-01-30,2384
2023-01-31,2119
2023-02-01,2124
2023-02-02,2054
2023-02-03,2092
2023-02-04,1911
2023-02-05,1901
2023-02-06,1934
2023-02-07,2110
2023-02-08,2422
2023-02-09,1988
2023-02-10,2131
2023-02-11,1850
2023-02-12,1979
2023-02-13,2205
2023-02-14,1940
2023-02-15,2119
2023-02-16,1909
2023-02-17,2207
2023-02-18,1961
2023-02-19,1770
2023-02-20,1663
2023-02-21,1872
2023-02-22,1699
2023-02-23,1715
2023-02-24,1796
2023-02-25,1607
2023-02-26,1933
2023-02-27,1921
2023-02-28,1803
2023-03-01,1669
2023-03-02,2020
2023-03-03,1969
2023-03-04,1786
2023-03-05,1991
2023-03-06,2615
2023-03-07,2258
2023-03-08,1919
2023-03-09,1931
2023-03-10,2035
2023-03-11,1873
2023-03-12,1556
2023-03-13,1598
2023-03-14,2102
2023-03-15,1448
2023-03-16,1452
2023-03-17,1343
2023-03-18,1274
2023-03-19,1276
2023-03-20,1413
2023-03-21,1371
2023-03-22,1206
2023-03-23,1341
2023-03-24,1362
2023-03-25,1409
2023-03-26,1553
2023-03-27,1185
2023-03-28,1212
2023-03-29,1331
2023-03-30,1237
2023-03-31,1379
2023-04-01,1171
2023-04-02,899
2023-04-03,976
2023-04-04,1173
2023-04-05,1100
2023-04-06,988
2023-04-07,1159
2023-04-08,973
2023-04-09,989
2023-04-10,1072
2023-04-11,939
2023-04-12,1147
2023-04-13,1608
2023-04-14,2313
2023-04-15,2728
2023-04-16,2833
2023-04-17,2728
2023-04-18,3234
2023-04-19,5044
2023-04-20,7229
2023-04-21,8788
2023-04-22,10243
2023-04-23,11668
2023-04-24,11872
2023-04-25,15382
2023-04-26,14963
2023-04-27,16587
2023-04-28,18220
2023-04-29,19039
2023-04-30,21233
2023-05-01,22263
2023-05-02,21117
2023-05-03,9912
2023-05-04,13567
2023-05-05,16850
2023-05-06,16654
2023-05-07,9913
2023-05-08,17372
2023-05-09,20407
2023-05-10,20476
2023-05-11,12898
2023-05-12,15567
2023-05-13,8986
2023-05-14,12530
2023-05-15,2152
2023-05-16,2450
2023-05-17,6419
2023-05-18,8060
2023-05-19,9542
2023-05-20,11440
2023-05-21,17341
2023-05-22,19649
2023-05-23,10723
2023-05-24,15187
2023-05-25,20032
2023-05-26,5645
2023-05-27,11190
2023-05-28,12385
2023-05-30,19814
2023-05-31,23351
2023-06-01,24194
2023-06-02,18151
2023-06-03,16763
2023-06-04,14337
2023-06-05,13116
2023-06-06,15887
2023-06-07,12045
2023-06-08,12936
2023-06-09,15869
2023-06-10,20590
2023-06-11,22004
2023-06-12,16045
2023-06-13,19606
2023-06-14,16742
2023-06-15,16377
2023-06-16,13392
2023-06-17,18533
2023-06-18,9652
2023-06-19,13065
2023-06-20,11734
2023-06-21,12831
2023-06-22,12971
2023-06-23,13261
2023-06-24,13697
2023-06-25,16592
2023-06-26,15866
2023-06-27,18795
2023-06-28,12801
2023-06-29,17707
2023-06-30,16281
2023-07-01,17810
2023-07-02,16734
2023-07-03,12910
2023-07-04,14672
2023-07-05,5637
2023-07-06,4704
2023-07-07,3716
2023-07-08,3223
2023-07-09,2467
2023-07-10,2608
