,Sales Rank
2022-12-14,236
2022-12-15,246
2022-12-16,281
2022-12-17,292
2022-12-18,290
2022-12-19,295
2022-12-20,322
2022-12-21,349
2022-12-22,329
2022-12-23,346
2022-12-24,357
2022-12-25,353
2022-12-26,377
2022-12-27,317
2022-12-28,268
2022-12-29,224
2022-12-30,207
2022-12-31,216
2023-01-01,175
2023-01-02,80
2023-01-03,77
2023-01-04,87
2023-01-05,85
2023-01-06,97
2023-01-07,94
2023-01-08,105
2023-01-09,117
2023-01-10,126
2023-01-11,133
2023-01-12,107
2023-01-13,131
2023-01-14,184
2023-01-15,247
2023-01-16,222
2023-01-17,227
2023-01-18,247
2023-01-19,248
2023-01-20,255
2023-01-21,273
2023-01-22,203
2023-01-23,267
2023-01-24,239
2023-01-25,266
2023-01-26,247
2023-01-27,260
2023-01-28,248
2023-01-29,256
2023-01-30,297
2023-01-31,257
2023-02-01,252
2023-02-02,249
2023-02-03,278
2023-02-04,251
2023-02-05,269
2023-02-06,223
2023-02-07,236
2023-02-08,260
2023-02-09,229
2023-02-10,224
2023-02-11,240
2023-02-12,214
2023-02-13,240
2023-02-14,238
2023-02-15,240
2023-02-16,283
2023-02-17,291
2023-02-18,295
2023-02-19,278
2023-02-20,251
2023-02-21,313
2023-02-22,345
2023-02-23,359
2023-02-24,347
2023-02-25,362
2023-02-26,328
2023-02-27,335
2023-02-28,306
2023-03-01,279
2023-03-02,289
2023-03-03,310
2023-03-04,339
2023-03-05,221
2023-03-06,233
2023-03-07,270
2023-03-08,249
2023-03-09,295
2023-03-10,282
2023-03-11,201
2023-03-12,334
2023-03-13,322
2023-03-14,242
2023-03-15,277
2023-03-16,260
2023-03-17,238
2023-03-18,220
2023-03-19,186
2023-03-20,192
2023-03-21,193
2023-03-22,194
2023-03-23,245
2023-03-24,221
2023-03-25,211
2023-03-26,176
2023-03-27,188
2023-03-28,188
2023-03-29,177
2023-03-30,2795
2023-03-31,212
2023-04-01,174
2023-04-02,144
2023-04-03,178
2023-04-04,138
2023-04-05,176
2023-04-06,163
2023-04-07,1613
2023-04-08,1672
2023-04-09,1509
2023-04-10,1621
2023-04-11,1839
2023-04-12,254
2023-04-13,295
2023-04-14,306
2023-04-15,265
2023-04-16,239
2023-04-17,279
2023-04-18,267
2023-04-19,228
2023-04-20,225
2023-04-21,263
2023-04-22,247
