,Sales Rank
2022-12-14,46971
2022-12-15,53456
2022-12-16,60551
2022-12-17,63781
2022-12-18,56864
2022-12-19,44138
2022-12-20,52143
2022-12-21,55013
2022-12-22,50481
2022-12-23,58201
2022-12-24,35220
2022-12-25,52378
2022-12-26,48302
2022-12-27,47189
2022-12-28,46710
2022-12-29,61348
2022-12-30,61470
2022-12-31,56850
2023-01-01,38309
2023-01-02,48954
2023-01-03,34963
2023-01-04,26785
2023-01-05,32164
2023-01-06,37553
2023-01-07,37915
2023-01-08,38542
2023-01-09,36808
2023-01-10,34249
2023-01-11,33195
2023-01-12,35593
2023-01-13,44533
2023-01-14,27898
2023-01-15,39171
2023-01-16,45085
2023-01-17,59079
2023-01-18,44085
2023-01-19,31857
2023-01-20,28531
2023-01-21,38972
2023-01-22,46791
2023-01-23,34323
2023-01-24,21863
2023-01-25,40883
2023-01-26,58181
2023-01-27,36159
2023-01-28,60218
2023-01-29,47838
2023-01-30,49433
2023-01-31,37241
2023-02-01,33139
2023-02-02,34355
2023-02-03,34181
2023-02-04,29175
2023-02-05,37379
2023-02-06,33206
2023-02-07,25595
2023-02-08,25500
2023-02-09,24267
2023-02-10,17761
2023-02-11,23773
2023-02-12,21130
2023-02-13,23024
2023-02-14,25047
2023-02-15,33433
2023-02-16,41788
2023-02-17,31961
2023-02-18,28200
2023-02-19,40309
2023-02-20,41873
2023-02-21,43033
2023-02-22,28307
2023-02-23,37279
2023-02-24,51958
2023-02-25,65676
2023-02-26,69211
2023-02-27,75923
2023-02-28,61491
2023-03-01,45765
2023-03-02,68054
2023-03-03,75843
2023-03-04,80850
2023-03-05,79810
2023-03-06,62482
2023-03-07,71131
2023-03-08,69165
2023-03-09,50563
2023-03-10,64960
2023-03-11,44461
2023-03-12,69260
2023-03-13,43413
2023-03-14,49392
2023-03-15,69901
2023-03-16,71689
2023-03-17,65051
2023-03-18,59069
2023-03-19,69683
2023-03-20,67658
2023-03-21,76010
2023-03-22,80272
2023-03-23,84282
2023-03-24,86134
2023-03-25,60302
2023-03-26,41260
2023-03-27,61564
2023-03-28,63525
2023-03-29,41733
2023-03-30,52560
2023-03-31,68589
2023-04-01,66231
2023-04-02,56925
2023-04-03,38218
2023-04-04,55327
2023-04-05,48479
2023-04-06,58746
2023-04-07,28550
2023-04-08,37712
2023-04-09,37636
2023-04-10,50164
2023-04-11,53018
2023-04-12,60933
2023-04-13,45389
2023-04-14,39969
2023-04-15,37867
2023-04-16,41820
2023-04-17,31306
2023-04-18,42427
2023-04-19,55774
2023-04-20,49899
2023-04-21,37181
2023-04-22,54933
2023-04-23,36586
2023-04-24,38754
2023-04-25,34222
2023-04-26,52030
2023-04-27,36864
2023-04-28,56001
2023-04-29,42960
2023-04-30,15243
2023-05-01,22493
2023-05-02,30864
2023-05-03,35072
2023-05-04,21816
2023-05-05,27264
2023-05-06,43410
2023-05-07,34883
2023-05-08,49527
2023-05-09,31840
2023-05-10,19744
2023-05-11,18365
2023-05-12,29048
2023-05-13,29486
2023-05-14,37833
2023-05-15,28402
2023-05-16,37477
2023-05-17,25598
2023-05-18,36843
2023-05-19,24528
2023-05-20,37181
2023-05-21,41238
2023-05-22,46708
2023-05-23,50681
2023-05-24,26715
2023-05-25,39223
2023-05-26,34780
2023-05-27,50391
2023-05-28,31576
2023-05-30,42579
2023-05-31,39849
2023-06-01,36563
2023-06-02,24280
2023-06-03,13723
2023-06-04,25512
2023-06-05,35394
2023-06-06,31376
2023-06-07,35069
2023-06-08,32592
2023-06-09,23015
2023-06-10,28658
2023-06-11,44180
2023-06-12,31948
2023-06-13,33972
2023-06-14,30488
2023-06-15,28532
2023-06-16,469
2023-06-17,475
2023-06-18,484
2023-06-19,553
2023-06-20,592
2023-06-21,575
2023-06-22,473
2023-06-23,477
2023-06-24,476
2023-06-25,420
2023-06-26,459
2023-06-27,492
2023-06-28,758
2023-06-29,705
2023-06-30,551
2023-07-01,559
2023-07-02,502
2023-07-03,661
2023-07-04,677
2023-07-05,518
2023-07-06,540
2023-07-07,538
2023-07-08,522
2023-07-09,515
2023-07-10,538
2023-07-11,680
2023-07-12,660
2023-07-13,631
2023-07-14,545
2023-07-15,547
2023-07-16,506
2023-07-17,645
2023-07-18,439
2023-07-19,382
2023-07-20,499
2023-07-21,456
2023-07-22,413
2023-07-23,456
2023-07-24,590
2023-07-25,560
2023-07-26,449
2023-07-27,430
2023-07-28,398
2023-07-29,437
2023-07-30,351
