,Sales Rank
2022-12-14,967
2022-12-15,1173
2022-12-16,1269
2022-12-17,1255
2022-12-18,1278
2022-12-19,1283
2022-12-20,967
2022-12-21,861
2022-12-22,790
2022-12-23,729
2022-12-24,742
2022-12-25,750
2022-12-26,721
2022-12-27,785
2022-12-28,799
2022-12-29,659
2022-12-30,839
2022-12-31,973
2023-01-01,1142
2023-01-02,1035
2023-01-03,1012
2023-01-04,835
2023-01-05,778
2023-01-06,745
2023-01-07,723
2023-01-08,703
2023-01-09,729
2023-01-10,724
2023-01-11,710
2023-01-12,719
2023-01-13,743
2023-01-14,836
2023-01-15,765
2023-01-16,715
2023-01-17,670
2023-01-18,681
2023-01-19,673
2023-01-20,685
2023-01-21,703
2023-01-22,805
2023-01-23,741
2023-01-24,761
2023-01-25,618
2023-01-26,681
2023-01-27,758
2023-01-28,899
2023-01-29,809
2023-01-30,743
2023-01-31,830
2023-02-01,863
2023-02-02,952
2023-02-03,906
2023-02-04,933
2023-02-05,893
2023-02-06,786
2023-02-07,774
2023-02-08,756
2023-02-09,757
2023-02-10,789
2023-02-11,918
2023-02-12,740
2023-02-13,609
2023-02-14,678
2023-02-15,600
2023-02-16,637
2023-02-17,629
2023-02-18,677
2023-02-19,609
2023-02-20,611
2023-02-21,628
2023-02-22,594
2023-02-23,605
2023-02-24,716
2023-02-25,842
2023-02-26,1036
2023-02-27,890
2023-02-28,885
2023-03-01,1012
2023-03-02,895
2023-03-03,903
2023-03-04,1117
2023-03-05,1634
2023-03-06,1478
2023-03-07,1142
2023-03-08,1271
2023-03-09,913
2023-03-10,1036
2023-03-11,1134
2023-03-12,777
2023-03-13,735
2023-03-14,799
2023-03-15,792
2023-03-16,701
2023-03-17,716
2023-03-18,813
2023-03-19,832
2023-03-20,788
2023-03-21,785
2023-03-22,814
2023-03-23,843
2023-03-24,888
2023-03-25,975
2023-03-26,1565
2023-03-27,1108
2023-03-28,1233
2023-03-29,1455
2023-03-30,1462
2023-03-31,1272
2023-04-01,1323
2023-04-02,1403
2023-04-03,1265
2023-04-04,956
2023-04-05,1266
2023-04-06,1190
2023-04-07,876
2023-04-08,940
2023-04-09,1503
2023-04-10,1240
2023-04-11,1398
2023-04-12,897
2023-04-13,739
2023-04-14,787
2023-04-15,1183
2023-04-16,972
2023-04-17,731
2023-04-18,873
2023-04-19,832
2023-04-20,773
2023-04-21,653
2023-04-22,843
2023-04-23,814
2023-04-24,709
2023-04-25,822
2023-04-26,747
2023-04-27,771
2023-04-28,987
2023-04-29,1087
2023-04-30,1552
2023-05-01,1306
2023-05-02,1411
2023-05-03,1426
2023-05-04,1600
2023-05-05,1275
2023-05-06,1671
2023-05-07,2181
2023-05-08,1624
2023-05-09,1372
2023-05-10,1454
2023-05-11,1436
2023-05-12,851
2023-05-13,896
2023-05-14,936
2023-05-15,743
2023-05-16,729
2023-05-17,753
2023-05-18,691
2023-05-19,660
2023-05-20,735
2023-05-21,809
2023-05-22,682
2023-05-23,754
2023-05-24,762
2023-05-25,733
2023-05-26,781
2023-05-27,830
2023-05-28,969
2023-05-30,926
2023-05-31,1020
2023-06-01,1169
2023-06-02,990
2023-06-03,1123
2023-06-04,1091
2023-06-05,915
2023-06-06,855
2023-06-07,827
2023-06-08,867
2023-06-09,881
2023-06-10,1142
2023-06-11,1055
2023-06-12,793
2023-06-13,838
2023-06-14,760
2023-06-15,765
2023-06-16,751
2023-06-17,887
2023-06-18,902
2023-06-19,776
2023-06-20,772
2023-06-21,762
2023-06-22,799
2023-06-23,808
2023-06-24,820
2023-06-25,918
2023-06-26,862
2023-06-27,837
2023-06-28,818
2023-06-29,994
2023-06-30,792
2023-07-01,953
2023-07-02,1061
2023-07-03,777
2023-07-04,835
2023-07-05,892
2023-07-06,878
2023-07-07,848
2023-07-08,914
2023-07-09,1004
2023-07-10,810
2023-07-11,1530
2023-07-12,1662
2023-07-13,1442
2023-07-14,1025
2023-07-15,1122
2023-07-16,1236
2023-07-17,848
2023-07-18,913
2023-07-19,891
2023-07-20,939
2023-07-21,811
2023-07-22,899
2023-07-23,912
2023-07-24,835
2023-07-25,769
2023-07-26,775
2023-07-27,759
2023-07-28,750
2023-07-29,854
2023-07-30,1004
2023-07-31,810
2023-08-01,843
2023-08-02,847
2023-08-03,895
2023-08-04,774
2023-08-05,785
2023-08-06,959
2023-08-07,981
2023-08-08,856
2023-08-09,792
2023-08-10,809
2023-08-11,815
2023-08-12,985
2023-08-13,956
2023-08-14,707
2023-08-15,688
2023-08-16,779
2023-08-17,812
2023-08-18,819
2023-08-19,889
2023-08-20,978
2023-08-21,763
2023-08-22,827
2023-08-23,756
2023-08-24,759
2023-08-25,676
2023-08-26,872
2023-08-27,846
2023-08-28,749
2023-08-29,753
2023-08-30,845
2023-08-31,845
2023-09-01,715
2023-09-02,859
2023-09-03,800
2023-09-04,751
2023-09-05,721
2023-09-06,767
2023-09-07,769
2023-09-08,755
2023-09-09,1034
2023-09-10,1027
2023-09-11,698
2023-09-12,682
2023-09-13,766
2023-09-14,778
2023-09-15,734
2023-09-16,887
2023-09-17,844
2023-09-18,694
2023-09-19,687
2023-09-20,653
2023-09-21,686
2023-09-22,692
2023-09-23,720
2023-09-24,810
2023-09-25,718
2023-09-26,673
2023-09-27,706
2023-09-28,706
2023-09-29,683
2023-09-30,843
2023-10-01,898
2023-10-02,720
2023-10-03,736
2023-10-04,775
2023-10-05,762
2023-10-06,727
2023-10-07,808
2023-10-08,789
2023-10-09,730
2023-10-10,904
2023-10-11,1080
2023-10-12,851
2023-10-13,679
2023-10-14,723
2023-10-15,682
2023-10-16,666
2023-10-17,757
2023-10-18,708
2023-10-19,690
2023-10-20,638
2023-10-21,764
2023-10-22,797
2023-10-23,640
2023-10-24,760
2023-10-25,690
2023-10-26,700
2023-10-27,664
2023-10-28,793
2023-10-29,821
2023-10-30,687
2023-10-31,635
2023-11-01,645
2023-11-02,660
2023-11-03,614
2023-11-04,694
2023-11-05,806
2023-11-06,631
2023-11-07,653
2023-11-08,671
2023-11-09,620
2023-11-10,624
2023-11-11,645
2023-11-12,731
2023-11-13,611
2023-11-14,610
2023-11-15,626
2023-11-16,714
2023-11-17,680
2023-11-18,800
2023-11-19,842
2023-11-20,666
2023-11-21,743
2023-11-22,746
2023-11-23,798
2023-11-24,912
2023-11-25,1047
2023-11-26,959
2023-11-27,916
2023-11-28,907
2023-11-29,770
2023-11-30,688
2023-12-01,738
2023-12-02,856
2023-12-03,829
2023-12-04,645
2023-12-05,693
2023-12-06,714
2023-12-07,797
2023-12-08,775
2023-12-09,941
2023-12-10,970
2023-12-11,797
2023-12-12,845
2023-12-13,834
2023-12-14,857
2023-12-15,781
2023-12-16,868
2023-12-17,1063
2023-12-18,857
2023-12-19,856
2023-12-20,885
2023-12-21,911
2023-12-22,888
2023-12-23,845
2023-12-24,983
2023-12-25,618
2023-12-26,652
2023-12-27,670
2023-12-28,706
2023-12-29,703
2023-12-30,723
2023-12-31,774
2024-01-01,607
2024-01-02,648
2024-01-03,582
2024-01-04,630
2024-01-05,612
2024-01-06,716
2024-01-07,743
2024-01-08,583
2024-01-09,617
2024-01-10,597
2024-01-11,624
2024-01-12,540
2024-01-13,614
2024-01-14,746
2024-01-15,629
2024-01-16,646
2024-01-17,676
2024-01-18,652
2024-01-19,680
2024-01-20,600
2024-01-21,710
2024-01-22,593
2024-01-23,585
2024-01-24,644
2024-01-25,579
2024-01-26,538
2024-01-27,609
2024-01-28,745
2024-01-29,621
2024-01-30,626
2024-01-31,641
2024-02-01,533
2024-02-02,566
2024-02-03,654
2024-02-04,692
2024-02-05,556
2024-02-06,583
2024-02-07,601
2024-02-08,606
2024-02-09,596
2024-02-10,625
2024-02-11,788
2024-02-12,571
2024-02-13,636
2024-02-14,579
2024-02-15,603
2024-02-16,593
2024-02-17,704
2024-02-18,752
2024-02-19,689
2024-02-20,634
2024-02-21,656
2024-02-22,601
2024-02-23,560
2024-02-24,649
2024-02-25,674
2024-02-26,564
2024-02-27,528
2024-02-28,561
2024-02-29,554
2024-03-01,572
2024-03-02,690
2024-03-03,706
2024-03-04,622
2024-03-05,644
2024-03-06,639
2024-03-07,629
2024-03-08,620
2024-03-09,705
2024-03-10,752
2024-03-11,700
2024-03-12,598
2024-03-13,569
2024-03-14,629
2024-03-15,618
2024-03-16,711
2024-03-17,709
2024-03-18,632
2024-03-19,609
2024-03-20,620
2024-03-21,594
2024-03-22,564
2024-03-23,766
2024-03-24,699
2024-03-25,599
2024-03-26,583
2024-03-27,570
2024-03-28,604
2024-03-29,557
2024-03-30,701
2024-03-31,693
2024-04-01,622
2024-04-02,645
2024-04-03,643
2024-04-04,583
2024-04-05,590
2024-04-06,694
2024-04-07,779
2024-04-08,555
2024-04-09,637
2024-04-10,651
2024-04-11,683
2024-04-12,566
2024-04-13,675
2024-04-14,748
2024-04-15,653
2024-04-16,695
2024-04-17,698
2024-04-18,659
2024-04-19,572
2024-04-20,686
2024-04-21,727
2024-04-22,617
2024-04-23,585
2024-04-24,618
2024-04-25,591
2024-04-26,530
2024-04-27,586
2024-04-28,691
2024-04-29,587
2024-04-30,570
2024-05-01,664
2024-05-02,623
2024-05-03,655
2024-05-04,660
2024-05-05,822
2024-05-06,636
2024-05-07,818
2024-05-08,818
2024-05-09,758
2024-05-10,642
2024-05-11,714
2024-05-12,701
2024-05-13,577
2024-05-14,627
2024-05-15,588
2024-05-16,614
2024-05-17,609
2024-05-18,762
2024-05-19,848
2024-05-20,573
2024-05-21,625
2024-05-22,729
