,Sales Rank
2022-12-14,102262
2022-12-15,116689
2022-12-16,123065
2022-12-17,125611
2022-12-18,128102
2022-12-19,129932
2022-12-20,131434
2022-12-21,82610
2022-12-22,101797
2022-12-23,110862
2022-12-24,116480
2022-12-25,119992
2022-12-26,125654
2022-12-27,129490
2022-12-28,133606
2022-12-29,89175
2022-12-30,104262
2022-12-31,116184
2023-01-01,120532
2023-01-02,125999
2023-01-03,131268
2023-01-04,133812
2023-01-05,133883
2023-01-06,133756
2023-01-07,130007
2023-01-08,127353
2023-01-09,124044
2023-01-10,121170
2023-01-11,117921
2023-01-12,124101
2023-01-13,129202
2023-01-14,143737
2023-01-15,145461
2023-01-16,146181
2023-01-17,68847
2023-01-18,93867
2023-01-19,77828
2023-01-20,92963
2023-01-21,85240
2023-01-22,98036
2023-01-23,107636
2023-01-24,68629
2023-01-25,76624
2023-01-26,63180
2023-01-27,89007
2023-01-28,102516
2023-01-29,111482
2023-01-30,90606
2023-01-31,82231
2023-02-01,96430
2023-02-02,107144
2023-02-03,115054
2023-02-04,121684
2023-02-05,86802
2023-02-06,69765
2023-02-07,46237
2023-02-08,68523
2023-02-09,79775
2023-02-10,96453
2023-02-11,55797
2023-02-12,88493
2023-02-13,100453
2023-02-14,61336
2023-02-15,61582
2023-02-16,70076
2023-02-17,38315
2023-02-18,64272
2023-02-19,75915
2023-02-20,91683
2023-02-21,104953
2023-02-22,37831
2023-02-23,73902
2023-02-24,49072
2023-02-25,43211
2023-02-26,69508
2023-02-27,92641
2023-02-28,97687
2023-03-01,44420
2023-03-02,72743
2023-03-03,75122
2023-03-04,74670
2023-03-05,91423
2023-03-06,102935
2023-03-07,105393
2023-03-08,53638
2023-03-09,51100
2023-03-10,47445
2023-03-11,40374
2023-03-12,35747
2023-03-13,36476
2023-03-14,47990
2023-03-15,70421
2023-03-16,74377
2023-03-17,85777
2023-03-18,47866
2023-03-19,53616
2023-03-20,59344
2023-03-21,39356
2023-03-22,44635
2023-03-23,70073
2023-03-24,74390
2023-03-25,88904
2023-03-26,100745
2023-03-27,102863
2023-03-28,109116
2023-03-29,111390
2023-03-30,113815
2023-03-31,116832
2023-04-01,118873
2023-04-02,68174
2023-04-03,84550
2023-04-04,77459
2023-04-05,54933
2023-04-06,77677
2023-04-07,62411
2023-04-08,82586
2023-04-09,94362
2023-04-10,102861
2023-04-11,109999
2023-04-12,116095
2023-04-13,117334
2023-04-14,121120
2023-04-15,123247
2023-04-16,126115
2023-04-17,128066
2023-04-18,129361
2023-04-19,130480
2023-04-20,131855
2023-04-21,74012
2023-04-22,93175
2023-04-23,108324
2023-04-24,119389
2023-04-25,123194
2023-04-26,128304
2023-04-27,131362
2023-04-28,89400
2023-04-29,108003
2023-04-30,118096
2023-05-01,125424
2023-05-02,131161
2023-05-03,134928
2023-05-04,137029
2023-05-05,138157
2023-05-06,138961
2023-05-07,139798
2023-05-08,140817
2023-05-09,141763
2023-05-10,142438
2023-05-11,143245
2023-05-12,143620
2023-05-13,78022
2023-05-14,104434
2023-05-15,112696
2023-05-16,60607
2023-05-17,40904
2023-05-18,51689
2023-05-19,37294
2023-05-20,37440
2023-05-21,49767
2023-05-22,68945
2023-05-23,82569
2023-05-24,93901
2023-05-25,99731
2023-05-26,80361
2023-05-27,99234
2023-05-28,101485
2023-05-31,37073
2023-06-01,38088
2023-06-02,32961
2023-06-03,24336
2023-06-04,36450
2023-06-05,60127
2023-06-06,71621
2023-06-07,42460
2023-06-08,69258
2023-06-09,66848
2023-06-10,82567
2023-06-11,90957
2023-06-12,97121
2023-06-13,102859
2023-06-14,77619
2023-06-15,68314
2023-06-16,86308
2023-06-17,97282
2023-06-18,102167
2023-06-19,108414
2023-06-20,72163
2023-06-21,87822
2023-06-22,75238
2023-06-23,52669
2023-06-24,63518
2023-06-25,81782
2023-06-26,94377
2023-06-27,100364
2023-06-28,72582
2023-06-29,93772
2023-06-30,103348
2023-07-01,107630
2023-07-02,65091
2023-07-03,85984
2023-07-04,98409
2023-07-05,111237
2023-07-06,55107
2023-07-07,90630
2023-07-08,104900
2023-07-09,114707
2023-07-10,117971
2023-07-11,125458
2023-07-12,41049
2023-07-13,36048
2023-07-14,33887
2023-07-15,40559
2023-07-16,62732
2023-07-17,46715
2023-07-18,69578
2023-07-19,85309
2023-07-20,94565
2023-07-21,101137
2023-07-22,103421
2023-07-23,108954
2023-07-24,112947
2023-07-25,76381
2023-07-26,93129
2023-07-27,105281
2023-07-28,86278
2023-07-29,101194
2023-07-30,57037
2023-07-31,45864
2023-08-01,49188
2023-08-02,65252
2023-08-03,67632
2023-08-04,82236
2023-08-05,86411
2023-08-07,82025
2023-08-08,104027
2023-08-09,111259
2023-08-10,116710
2023-08-11,77216
2023-08-12,91819
2023-08-13,97215
2023-08-14,112272
2023-08-15,116558
2023-08-16,121519
2023-08-17,124207
2023-08-18,126405
2023-08-19,128645
2023-08-20,131095
2023-08-21,131800
2023-08-22,134246
2023-08-23,134636
2023-08-24,537
2023-08-25,543
2023-08-26,471
2023-08-27,429
2023-08-28,576
2023-08-29,584
2023-08-30,519
2023-08-31,540
2023-09-01,527
2023-09-02,514
2023-09-03,535
2023-09-04,587
2023-09-05,575
2023-09-06,455
2023-09-07,464
2023-09-08,562
2023-09-09,520
2023-09-10,506
2023-09-11,575
2023-09-12,545
2023-09-13,448
2023-09-14,421
2023-09-15,484
2023-09-16,463
2023-09-17,527
2023-09-18,628
2023-09-19,596
2023-09-20,502
2023-09-21,485
2023-09-22,512
2023-09-23,530
2023-09-24,513
2023-09-25,518
2023-09-26,498
2023-09-27,481
2023-09-28,495
2023-09-29,525
2023-09-30,482
2023-10-01,463
2023-10-02,593
2023-10-03,573
2023-10-04,479
2023-10-05,476
2023-10-06,492
2023-10-07,456
2023-10-08,516
2023-10-09,594
2023-10-10,594
2023-10-11,449
2023-10-12,546
2023-10-13,436
2023-10-14,476
2023-10-15,538
2023-10-16,579
2023-10-17,592
2023-10-18,497
2023-10-19,449
2023-10-20,506
2023-10-21,487
2023-10-22,451
2023-10-23,536
2023-10-24,597
2023-10-25,474
2023-10-26,472
2023-10-27,445
2023-10-28,456
2023-10-29,431
2023-10-30,528
2023-10-31,525
2023-11-01,430
2023-11-02,512
2023-11-03,460
2023-11-04,478
2023-11-05,445
2023-11-06,520
2023-11-07,531
2023-11-08,484
2023-11-09,526
2023-11-10,471
2023-11-11,466
2023-11-12,471
2023-11-13,521
2023-11-14,568
2023-11-15,562
2023-11-16,494
2023-11-17,536
2023-11-18,532
2023-11-19,521
2023-11-20,662
2023-11-21,648
2023-11-22,436
2023-11-23,449
2023-11-24,467
2023-11-25,464
2023-11-26,433
2023-11-27,798
2023-11-28,729
2023-11-29,580
2023-11-30,544
2023-12-01,532
2023-12-02,580
2023-12-03,546
2023-12-04,573
2023-12-05,564
2023-12-06,565
2023-12-07,486
2023-12-08,516
2023-12-09,550
2023-12-10,496
2023-12-11,613
2023-12-12,721
2023-12-13,496
2023-12-14,531
2023-12-15,614
2023-12-16,611
2023-12-17,722
2023-12-18,820
2023-12-19,852
2023-12-20,653
2023-12-21,711
2023-12-22,754
2023-12-23,617
2023-12-24,569
2023-12-25,647
2023-12-26,696
2023-12-27,483
2023-12-28,520
2023-12-29,530
2023-12-30,549
2023-12-31,491
2024-01-01,574
2024-01-02,626
2024-01-03,513
2024-01-04,506
2024-01-05,495
2024-01-06,510
2024-01-07,468
2024-01-08,600
2024-01-09,602
2024-01-10,493
2024-01-11,544
2024-01-12,506
2024-01-13,508
2024-01-14,485
2024-01-15,562
2024-01-16,598
2024-01-17,621
2024-01-18,512
2024-01-19,569
2024-01-20,464
2024-01-21,509
2024-01-22,562
2024-01-23,611
2024-01-24,564
2024-01-25,427
2024-01-26,459
2024-01-27,435
2024-01-28,450
2024-01-29,527
2024-01-30,596
2024-01-31,525
2024-02-01,477
2024-02-02,508
2024-02-03,482
2024-02-04,545
2024-02-05,599
2024-02-06,598
2024-02-07,481
2024-02-08,433
2024-02-09,453
2024-02-10,420
2024-02-11,399
2024-02-12,481
2024-02-13,534
2024-02-14,429
2024-02-15,425
2024-02-16,437
2024-02-17,443
2024-02-18,514
2024-02-19,525
2024-02-20,610
2024-02-21,541
2024-02-22,584
2024-02-23,583
2024-02-24,433
2024-02-25,433
2024-02-26,526
2024-02-27,591
2024-02-28,540
2024-02-29,561
2024-03-01,566
2024-03-02,527
2024-03-03,553
2024-03-04,615
2024-03-05,592
2024-03-06,493
2024-03-07,473
2024-03-08,479
2024-03-09,444
2024-03-10,427
2024-03-11,551
2024-03-12,568
2024-03-13,525
2024-03-14,533
2024-03-15,565
2024-03-16,520
2024-03-17,559
2024-03-18,629
2024-03-19,649
2024-03-20,645
2024-03-21,562
2024-03-22,644
2024-03-23,595
2024-03-24,555
2024-03-25,618
2024-03-26,615
2024-03-27,492
2024-03-28,520
2024-03-29,490
2024-03-30,526
2024-03-31,503
2024-04-01,567
2024-04-02,654
2024-04-03,544
2024-04-04,483
2024-04-05,496
2024-04-06,463
2024-04-07,459
2024-04-08,585
2024-04-09,597
2024-04-10,453
2024-04-11,483
2024-04-12,570
2024-04-13,567
2024-04-14,582
2024-04-15,662
2024-04-16,706
2024-04-17,528
2024-04-18,526
2024-04-19,547
2024-04-20,548
2024-04-21,564
2024-04-22,701
2024-04-23,670
2024-04-24,576
2024-04-25,484
2024-04-26,493
2024-04-27,472
2024-04-28,464
2024-04-29,588
2024-04-30,683
2024-05-01,511
2024-05-02,603
2024-05-03,586
2024-05-04,595
2024-05-05,506
2024-05-06,607
2024-05-07,489
2024-05-08,414
2024-05-09,440
2024-05-10,468
2024-05-11,487
2024-05-12,515
2024-05-13,481
2024-05-14,591
2024-05-15,582
2024-05-16,591
2024-05-17,618
2024-05-18,585
2024-05-19,587
2024-05-20,683
2024-05-21,759
2024-05-22,654
2024-05-23,726
2024-05-24,664
2024-05-25,720
2024-05-26,759
2024-05-27,708
2024-05-28,903
2024-05-29,694
2024-05-30,680
2024-05-31,801
2024-06-01,634
2024-06-02,608
2024-06-03,640
2024-06-04,503
2024-06-05,515
2024-06-06,681
2024-06-07,616
2024-06-08,713
2024-06-09,707
2024-06-10,820
2024-06-11,796
2024-06-12,713
2024-06-13,1127
2024-06-14,828
2024-06-15,816
2024-06-16,488
2024-06-17,682
2024-06-18,976
2024-06-19,621
2024-06-20,681
2024-06-21,694
2024-06-22,812
2024-06-23,780
2024-06-24,971
2024-06-25,747
2024-06-26,556
2024-06-27,563
2024-06-28,589
2024-06-29,599
2024-06-30,549
2024-07-01,654
2024-07-02,712
2024-07-03,591
2024-07-04,576
2024-07-05,554
2024-07-06,527
2024-07-07,558
2024-07-08,675
2024-07-09,735
2024-07-10,583
2024-07-11,587
2024-07-12,584
2024-07-13,588
2024-07-14,593
2024-07-15,692
2024-07-16,722
2024-07-17,497
2024-07-18,550
2024-07-19,1017
2024-07-20,1560
2024-07-21,2273
2024-07-22,2613
2024-07-23,3047
2024-07-24,3591
2024-07-25,4025
2024-07-26,3885
2024-07-27,3791
2024-07-28,3212
2024-07-29,3091
2024-07-30,2833
2024-07-31,54
2024-08-01,382
2024-08-02,580
2024-08-03,673
2024-08-04,558
2024-08-05,590
2024-08-06,619
2024-08-07,609
2024-08-08,612
2024-08-10,537
2024-08-11,483
2024-08-12,537
2024-08-13,646
2024-08-14,516
2024-08-15,518
2024-08-16,542
2024-08-17,530
2024-08-18,535
2024-08-19,591
2024-08-20,711
2024-08-21,711
2024-08-22,656
2024-08-23,685
2024-08-24,733
