,Sales Rank
2022-12-14,510
2022-12-15,568
2022-12-16,529
2022-12-17,542
2022-12-18,594
2022-12-19,603
2022-12-20,604
2022-12-21,573
2022-12-22,561
2022-12-23,610
2022-12-24,605
2022-12-25,610
2022-12-26,643
2022-12-27,618
2022-12-28,664
2022-12-29,760
2022-12-30,718
2022-12-31,796
2023-01-01,910
2023-01-02,827
2023-01-03,730
2023-01-04,676
2023-01-05,676
2023-01-06,639
2023-01-07,613
2023-01-08,579
2023-01-09,567
2023-01-10,553
2023-01-11,537
2023-01-12,603
2023-01-13,707
2023-01-14,828
2023-01-15,900
2023-01-16,647
2023-01-17,398
2023-01-18,488
2023-01-19,515
2023-01-20,649
2023-01-21,685
2023-01-22,855
2023-01-23,715
2023-01-24,788
2023-01-25,774
2023-01-26,752
2023-01-27,740
2023-01-28,711
2023-01-29,563
2023-01-30,844
2023-01-31,841
2023-02-01,493
2023-02-02,683
2023-02-03,566
2023-02-04,536
2023-02-05,754
2023-02-06,758
2023-02-07,696
2023-02-08,670
2023-02-09,583
2023-02-10,485
2023-02-11,729
2023-02-12,778
2023-02-13,830
2023-02-14,705
2023-02-15,656
2023-02-16,562
2023-02-17,480
2023-02-18,529
2023-02-19,633
2023-02-20,499
2023-02-21,399
2023-02-22,376
2023-02-23,436
2023-02-24,486
2023-02-25,478
2023-02-26,552
2023-02-27,494
2023-02-28,487
2023-03-01,491
2023-03-02,558
2023-03-03,488
2023-03-04,512
2023-03-05,519
2023-03-06,471
2023-03-07,481
2023-03-08,440
2023-03-09,485
2023-03-10,432
2023-03-11,446
2023-03-12,491
2023-03-13,490
2023-03-14,505
2023-03-15,477
2023-03-16,436
2023-03-17,456
2023-03-18,464
2023-03-19,484
2023-03-20,430
2023-03-21,594
2023-03-22,696
2023-03-23,851
2023-03-24,885
2023-03-25,927
2023-03-26,1115
2023-03-27,820
2023-03-28,814
2023-03-29,806
2023-03-30,797
2023-03-31,809
2023-04-01,926
2023-04-02,1053
2023-04-03,812
2023-04-04,690
2023-04-05,769
2023-04-06,915
2023-04-07,866
2023-04-08,826
2023-04-09,1089
2023-04-10,855
2023-04-11,567
2023-04-12,963
2023-04-13,600
2023-04-14,777
2023-04-15,874
2023-04-16,1378
2023-04-17,1057
2023-04-18,608
2023-04-19,582
2023-04-20,491
2023-04-21,390
2023-04-22,459
2023-04-23,403
2023-04-24,390
2023-04-25,402
2023-04-26,398
2023-04-27,421
2023-04-28,406
2023-04-29,453
2023-04-30,452
2023-05-01,468
2023-05-02,424
2023-05-03,427
