,Sales Rank
2022-12-14,437
2022-12-15,406
2022-12-16,418
2022-12-17,450
2022-12-18,477
2022-12-19,475
2022-12-20,493
2022-12-21,518
2022-12-22,483
2022-12-23,492
2022-12-24,462
2022-12-25,430
2022-12-26,384
2022-12-27,400
2022-12-28,462
2022-12-29,438
2022-12-30,534
2022-12-31,537
2023-01-01,622
2023-01-02,556
2023-01-03,546
2023-01-04,546
2023-01-05,541
2023-01-06,496
2023-01-07,495
2023-01-08,479
2023-01-09,455
2023-01-10,457
2023-01-11,454
2023-01-12,480
2023-01-13,478
2023-01-14,555
2023-01-15,647
2023-01-16,534
2023-01-17,575
2023-01-18,522
2023-01-19,525
2023-01-20,509
2023-01-21,496
2023-01-22,496
2023-01-23,487
2023-01-24,498
2023-01-25,434
2023-01-26,440
2023-01-27,490
2023-01-28,519
2023-01-29,557
2023-01-30,500
2023-01-31,440
2023-02-01,454
2023-02-02,470
2023-02-03,464
2023-02-04,530
2023-02-05,561
2023-02-06,533
2023-02-07,530
2023-02-08,509
2023-02-09,560
2023-02-10,492
2023-02-11,511
2023-02-12,583
2023-02-13,569
2023-02-14,535
2023-02-15,545
2023-02-16,516
2023-02-17,486
2023-02-18,495
2023-02-19,545
2023-02-20,493
2023-02-21,394
2023-02-22,407
2023-02-23,464
2023-02-24,450
2023-02-25,512
2023-02-26,546
2023-02-27,452
2023-02-28,464
2023-03-01,522
2023-03-02,519
2023-03-03,433
2023-03-04,503
2023-03-05,551
2023-03-06,609
2023-03-07,473
2023-03-08,482
2023-03-09,534
2023-03-10,481
2023-03-11,568
2023-03-12,600
2023-03-13,474
2023-03-14,512
2023-03-15,534
2023-03-16,542
2023-03-17,485
2023-03-18,523
2023-03-19,681
2023-03-20,573
2023-03-21,551
2023-03-22,562
2023-03-23,518
2023-03-24,498
2023-03-25,511
2023-03-26,581
2023-03-27,509
2023-03-28,562
2023-03-29,520
2023-03-30,461
2023-03-31,484
2023-04-01,526
2023-04-02,549
2023-04-03,535
2023-04-04,501
2023-04-05,455
2023-04-06,608
2023-04-07,499
2023-04-08,661
2023-04-09,632
2023-04-10,538
2023-04-11,513
2023-04-12,550
2023-04-13,507
2023-04-14,476
2023-04-15,581
2023-04-16,700
2023-04-17,578
2023-04-18,535
2023-04-19,661
2023-04-20,558
2023-04-21,507
2023-04-22,541
2023-04-23,545
2023-04-24,481
2023-04-25,474
2023-04-26,558
2023-04-27,530
2023-04-28,525
2023-04-29,505
2023-04-30,621
2023-05-01,615
2023-05-02,642
2023-05-03,597
2023-05-04,593
2023-05-05,551
2023-05-06,541
2023-05-07,675
2023-05-08,637
2023-05-09,589
2023-05-10,579
2023-05-11,561
2023-05-12,553
2023-05-13,580
2023-05-14,613
2023-05-15,659
2023-05-16,642
2023-05-17,541
2023-05-18,554
2023-05-19,517
2023-05-20,570
2023-05-21,617
2023-05-22,630
2023-05-23,563
2023-05-24,587
2023-05-25,549
2023-05-26,553
2023-05-27,565
2023-05-28,614
2023-05-31,682
2023-06-01,640
2023-06-02,602
2023-06-03,684
2023-06-04,646
2023-06-05,793
2023-06-06,865
2023-06-07,744
2023-06-08,756
2023-06-09,679
2023-06-10,570
2023-06-11,603
2023-06-12,595
2023-06-13,623
2023-06-14,500
2023-06-15,604
2023-06-16,622
2023-06-17,607
2023-06-18,610
2023-06-19,634
2023-06-20,680
2023-06-21,676
2023-06-22,642
2023-06-23,579
2023-06-24,522
2023-06-25,543
2023-06-26,556
2023-06-27,576
2023-06-28,599
2023-06-29,670
2023-06-30,547
2023-07-01,581
2023-07-02,621
2023-07-03,635
2023-07-04,628
2023-07-05,595
2023-07-06,554
2023-07-07,553
2023-07-08,577
2023-07-09,657
2023-07-10,668
2023-07-11,979
2023-07-12,1001
2023-07-13,923
2023-07-14,798
2023-07-15,784
2023-07-16,723
2023-07-17,693
2023-07-18,704
2023-07-19,643
2023-07-20,616
2023-07-21,590
2023-07-22,655
2023-07-23,624
2023-07-24,599
2023-07-25,651
2023-07-26,569
2023-07-27,589
2023-07-28,571
2023-07-29,610
2023-07-30,603
2023-07-31,580
2023-08-01,627
2023-08-02,687
2023-08-03,597
2023-08-04,621
2023-08-05,611
2023-08-06,653
2023-08-07,680
2023-08-08,677
2023-08-09,619
2023-08-10,615
2023-08-11,678
2023-08-12,627
2023-08-13,752
2023-08-14,714
2023-08-15,792
2023-08-16,658
2023-08-17,697
2023-08-18,687
2023-08-19,663
2023-08-20,762
2023-08-21,756
2023-08-22,802
2023-08-23,678
2023-08-24,644
2023-08-25,686
2023-08-26,659
2023-08-27,725
2023-08-28,766
2023-08-29,780
2023-08-30,696
2023-08-31,689
2023-09-01,653
2023-09-02,646
2023-09-03,717
2023-09-04,724
2023-09-05,814
2023-09-06,673
2023-09-07,674
2023-09-08,681
2023-09-09,748
2023-09-10,765
2023-09-11,761
2023-09-12,750
2023-09-13,608
2023-09-14,639
2023-09-15,686
2023-09-16,651
2023-09-17,674
2023-09-18,713
2023-09-19,743
2023-09-20,672
2023-09-21,704
2023-09-22,681
2023-09-23,659
2023-09-24,595
2023-09-25,614
2023-09-26,597
2023-09-27,535
2023-09-28,582
2023-09-29,601
2023-09-30,589
2023-10-01,571
2023-10-02,623
2023-10-03,665
2023-10-04,554
2023-10-05,601
2023-10-06,588
2023-10-07,583
2023-10-08,610
2023-10-09,657
2023-10-10,264
2023-10-11,288
2023-10-12,352
2023-10-13,989
2023-10-14,1723
2023-10-15,2102
2023-10-16,255
2023-10-17,188
2023-10-18,433
2023-10-19,574
2023-10-20,703
2023-10-21,823
2023-10-22,677
2023-10-24,614
2023-10-25,586
2023-10-26,534
2023-10-27,522
2023-10-28,518
2023-10-29,561
2023-10-30,612
2023-10-31,631
2023-11-01,553
2023-11-02,600
2023-11-03,627
