,Sales Rank
2022-12-14,260
2022-12-15,252
2022-12-16,287
2022-12-17,315
2022-12-18,339
2022-12-19,340
2022-12-20,285
2022-12-21,282
2022-12-22,254
2022-12-23,218
2022-12-24,227
2022-12-25,214
2022-12-26,178
2022-12-27,177
2022-12-28,168
2022-12-29,178
2022-12-30,176
2022-12-31,197
2023-01-01,205
2023-01-02,173
2023-01-03,171
2023-01-04,180
2023-01-05,184
2023-01-06,183
2023-01-07,193
2023-01-08,179
2023-01-09,181
2023-01-10,185
2023-01-11,193
2023-01-12,188
2023-01-13,183
2023-01-14,224
2023-01-15,220
2023-01-16,201
2023-01-17,221
2023-01-18,216
2023-01-19,220
2023-01-20,216
2023-01-21,246
2023-01-22,259
2023-01-23,184
2023-01-24,222
2023-01-25,208
2023-01-26,194
2023-01-27,178
2023-01-28,201
2023-01-29,211
2023-01-30,167
2023-01-31,162
2023-02-01,179
2023-02-02,188
2023-02-03,179
2023-02-04,231
2023-02-05,241
2023-02-06,183
2023-02-07,196
2023-02-08,176
2023-02-09,193
2023-02-10,201
2023-02-11,214
2023-02-12,227
2023-02-13,199
2023-02-14,212
2023-02-15,194
2023-02-16,186
2023-02-17,184
2023-02-18,234
2023-02-19,241
2023-02-20,184
2023-02-21,144
2023-02-22,162
2023-02-23,172
2023-02-24,171
2023-02-25,213
2023-02-26,253
2023-02-27,194
2023-02-28,164
2023-03-01,175
2023-03-02,170
2023-03-03,159
2023-03-04,154
2023-03-05,254
2023-03-06,211
2023-03-07,167
2023-03-08,151
2023-03-09,209
2023-03-10,168
2023-03-11,190
2023-03-12,215
2023-03-13,196
2023-03-14,194
2023-03-15,188
2023-03-16,180
2023-03-17,175
2023-03-18,209
2023-03-19,256
2023-03-20,158
2023-03-21,168
2023-03-22,194
2023-03-23,170
2023-03-24,216
2023-03-25,228
2023-03-26,269
2023-03-27,180
2023-03-28,172
2023-03-29,168
2023-03-30,183
2023-03-31,188
2023-04-01,211
2023-04-02,239
2023-04-03,208
2023-04-04,164
2023-04-05,184
2023-04-06,193
2023-04-07,168
2023-04-08,192
2023-04-09,222
2023-04-10,169
2023-04-11,179
2023-04-12,174
2023-04-13,171
2023-04-14,171
2023-04-15,206
2023-04-16,227
2023-04-17,171
2023-04-18,524
2023-04-19,672
2023-04-20,808
2023-04-21,998
2023-04-22,1343
2023-04-23,2205
2023-04-24,2149
2023-04-25,27
2023-04-26,91
2023-04-27,248
2023-04-28,330
2023-04-29,353
2023-04-30,439
2023-05-01,346
2023-05-02,287
2023-05-03,223
2023-05-04,186
2023-05-05,177
2023-05-06,210
2023-05-07,217
2023-05-08,174
2023-05-09,183
2023-05-10,183
2023-05-11,183
2023-05-12,212
2023-05-13,209
2023-05-14,274
2023-05-15,186
2023-05-16,209
2023-05-17,231
2023-05-18,244
2023-05-19,210
2023-05-20,222
2023-05-21,264
2023-05-22,185
2023-05-23,202
2023-05-24,229
2023-05-25,216
2023-05-26,191
2023-05-27,213
2023-05-28,240
2023-05-30,193
2023-05-31,191
2023-06-01,177
2023-06-02,170
2023-06-03,185
2023-06-04,219
2023-06-05,219
2023-06-06,179
2023-06-07,203
2023-06-08,193
2023-06-09,181
2023-06-10,220
2023-06-11,259
2023-06-12,247
2023-06-13,203
2023-06-14,227
2023-06-15,234
2023-06-16,216
2023-06-17,220
2023-06-18,239
2023-06-19,176
2023-06-20,201
2023-06-21,202
2023-06-22,194
2023-06-23,186
2023-06-24,177
2023-06-25,193
2023-06-26,186
2023-06-27,197
2023-06-28,188
2023-06-29,221
2023-06-30,177
2023-07-01,206
2023-07-02,235
2023-07-03,184
2023-07-04,191
2023-07-05,184
2023-07-06,184
2023-07-07,188
2023-07-08,206
2023-07-09,233
2023-07-10,188
2023-07-11,334
2023-07-12,446
2023-07-13,323
2023-07-14,243
2023-07-15,261
2023-07-16,246
2023-07-17,195
2023-07-18,180
2023-07-19,193
2023-07-20,169
2023-07-21,160
2023-07-22,205
2023-07-23,218
2023-07-24,194
2023-07-25,166
2023-07-26,188
2023-07-27,193
2023-07-28,182
2023-07-29,199
2023-07-30,228
2023-07-31,208
2023-08-01,187
2023-08-02,189
2023-08-04,193
2023-08-05,188
2023-08-06,223
2023-08-07,202
2023-08-08,211
2023-08-09,202
2023-08-10,188
2023-08-11,170
2023-08-12,198
2023-08-13,222
2023-08-14,165
2023-08-15,170
2023-08-16,168
2023-08-17,171
2023-08-18,174
2023-08-19,178
2023-08-20,193
2023-08-21,177
2023-08-22,153
2023-08-23,152
2023-08-24,174
2023-08-25,163
2023-08-26,183
2023-08-27,220
2023-08-28,156
2023-08-29,173
2023-08-30,179
2023-08-31,177
2023-09-01,174
2023-09-02,219
2023-09-03,241
2023-09-04,176
2023-09-05,185
2023-09-06,214
2023-09-07,199
2023-09-08,179
2023-09-09,223
2023-09-10,247
2023-09-11,183
2023-09-12,169
2023-09-13,192
2023-09-14,193
2023-09-15,192
2023-09-16,220
2023-09-17,236
2023-09-18,176
2023-09-19,170
2023-09-20,189
2023-09-21,187
2023-09-22,183
2023-09-23,197
2023-09-24,210
2023-09-25,172
2023-09-26,174
2023-09-27,182
2023-09-28,177
2023-09-29,161
2023-09-30,204
2023-10-01,217
2023-10-02,186
2023-10-03,191
2023-10-04,196
2023-10-05,200
