,Sales Rank
2022-12-14,265651
2022-12-15,266656
2022-12-17,266775
2022-12-18,266808
2022-12-19,266683
2022-12-20,266627
2022-12-21,266865
2022-12-22,266673
2022-12-23,266726
2022-12-24,266589
2022-12-25,266399
2022-12-26,266478
2022-12-27,266637
2022-12-28,267144
2022-12-30,265528
2022-12-31,266371
2023-01-01,266239
2023-01-02,266128
2023-01-04,266414
2023-01-06,265658
2023-01-07,264594
2023-01-08,264161
2023-01-09,263171
2023-01-10,262976
2023-01-11,261938
2023-01-12,262373
2023-01-13,263106
2023-01-15,265787
2023-01-16,266194
2023-01-17,266451
2023-01-18,266335
2023-01-19,266522
2023-01-20,266619
2023-01-21,266999
2023-01-22,266981
2023-01-23,267164
2023-01-24,267088
2023-01-26,267534
2023-01-27,267578
2023-01-29,267625
2023-01-30,267945
2023-01-31,268278
2023-02-02,268581
2023-02-03,268778
2023-02-04,269339
2023-02-05,269232
2023-02-06,269501
2023-02-07,269571
2023-02-08,269534
2023-02-09,269830
2023-02-10,269709
2023-02-12,269931
2023-02-13,270074
2023-02-14,270032
2023-02-15,270250
2023-02-16,270309
2023-02-17,270496
2023-02-18,270804
2023-02-19,270985
2023-02-20,271039
2023-02-21,271251
2023-02-22,271417
2023-02-23,271803
2023-02-24,272034
2023-02-25,272135
2023-02-26,272339
2023-02-27,272789
2023-02-28,273040
2023-03-01,273389
2023-03-02,273460
2023-03-03,273553
2023-03-04,273622
2023-03-05,274125
2023-03-06,274233
2023-03-07,274349
2023-03-08,274305
2023-03-09,274603
2023-03-10,274832
2023-03-11,274930
2023-03-12,275502
2023-03-13,275783
2023-03-14,275781
2023-03-15,276160
2023-03-16,276342
2023-03-17,276414
2023-03-19,276626
2023-03-20,276953
2023-03-21,276957
2023-03-22,276984
2023-03-23,277101
2023-03-24,276979
2023-03-25,277086
2023-03-26,277029
2023-03-27,277022
2023-03-28,276734
2023-03-29,276906
2023-03-30,276917
2023-03-31,277001
2023-04-01,276979
2023-04-02,277108
2023-04-03,277498
2023-04-04,53909
2023-04-05,95581
2023-04-06,116857
2023-04-07,121114
2023-04-08,142403
2023-04-09,160373
2023-04-10,177086
2023-04-11,182488
2023-04-12,86772
2023-04-13,104290
2023-04-14,82666
2023-04-15,98765
2023-04-16,113471
2023-04-17,130651
2023-04-18,140380
2023-04-19,152919
2023-04-20,161680
2023-04-21,87405
2023-04-22,106370
2023-04-23,123087
2023-04-24,132252
2023-04-25,142940
2023-04-26,153479
2023-04-27,161411
2023-04-28,174417
2023-04-29,176487
2023-04-30,183499
2023-05-01,186720
2023-05-02,192089
2023-05-03,196451
2023-05-04,200472
2023-05-05,202199
2023-05-06,205575
2023-05-07,78695
2023-05-08,109915
2023-05-09,126832
2023-05-10,138737
2023-05-11,150651
2023-05-12,166670
2023-05-13,177961
2023-05-14,183577
2023-05-15,192145
2023-05-16,196773
2023-05-17,200601
2023-05-18,205734
2023-05-19,208060
2023-05-20,210867
2023-05-21,63928
2023-05-22,94281
2023-05-23,104471
2023-05-24,138967
2023-05-25,151227
2023-05-26,88682
2023-05-27,100801
2023-05-28,115275
2023-05-31,161095
2023-06-02,187738
2023-06-03,196701
2023-06-04,202380
2023-06-05,207690
2023-06-06,209461
2023-06-07,80993
2023-06-08,108471
2023-06-09,89485
2023-06-10,105726
2023-06-12,133864
2023-06-13,156256
2023-06-14,170214
2023-06-15,181407
2023-06-16,190596
2023-06-17,197508
2023-06-18,199838
2023-06-19,206979
2023-06-20,211110
2023-06-21,213096
2023-06-22,215225
2023-06-23,88714
2023-06-24,112697
2023-06-25,119135
2023-06-26,140223
2023-06-27,155414
2023-06-28,97997
2023-06-29,114830
2023-06-30,132982
2023-07-01,144961
2023-07-02,158198
2023-07-03,163199
2023-07-04,178122
2023-07-05,182931
2023-07-06,186928
2023-07-07,193280
2023-07-08,197053
2023-07-09,201963
2023-07-10,203083
2023-07-11,209059
2023-07-12,214561
2023-07-13,218573
2023-07-15,224992
2023-07-17,231275
2023-07-19,236619
2023-07-20,239025
2023-07-21,240198
2023-07-22,242424
2023-07-23,245110
2023-07-24,247531
2023-07-25,248187
2023-07-26,250913
2023-07-27,252603
2023-07-28,254100
2023-07-29,68153
2023-07-30,102034
2023-07-31,122266
2023-08-06,198352
2023-08-07,201948
2023-08-08,213926
2023-08-09,215859
2023-08-10,222325
2023-08-11,225970
2023-08-12,229289
2023-08-13,230551
2023-08-14,103464
2023-08-15,110372
2023-08-16,131423
2023-08-17,91068
2023-08-18,74698
2023-08-19,76174
2023-08-20,102814
2023-08-21,76679
2023-08-22,91697
2023-08-23,71358
