,Sales Rank
2022-12-14,1937
2022-12-15,2092
2022-12-16,2119
2022-12-17,1935
2022-12-18,1941
2022-12-19,1950
2022-12-20,1890
2022-12-21,2049
2022-12-22,1824
2022-12-23,1753
2022-12-24,1613
2022-12-25,1424
2022-12-26,1552
2022-12-27,1488
2022-12-28,1315
2022-12-29,1313
2022-12-30,1428
2022-12-31,1187
2023-01-01,1261
2023-01-02,1204
2023-01-03,1330
2023-01-04,1264
2023-01-05,1331
2023-01-06,1260
2023-01-07,1233
2023-01-08,1193
2023-01-09,1129
2023-01-10,1056
2023-01-11,1018
2023-01-12,1049
2023-01-13,1153
2023-01-14,1416
2023-01-15,1503
2023-01-16,1729
2023-01-17,1551
2023-01-18,1515
2023-01-19,1350
2023-01-20,1446
2023-01-21,1236
2023-01-22,1352
2023-01-23,1520
2023-01-24,1699
2023-01-25,1695
2023-01-26,1563
2023-01-27,1504
2023-01-28,1362
2023-01-29,1353
2023-01-30,1553
2023-01-31,1366
2023-02-01,1270
2023-02-02,1304
2023-02-03,1228
2023-02-04,907
2023-02-05,935
2023-02-06,1061
2023-02-07,986
2023-02-08,1050
2023-02-09,1031
2023-02-10,924
2023-02-11,1033
2023-02-12,875
2023-02-13,1015
2023-02-14,1061
2023-02-15,1049
2023-02-16,1125
2023-02-17,1260
2023-02-18,1175
2023-02-19,885
2023-02-20,1024
2023-02-21,839
2023-02-22,967
2023-02-23,990
2023-02-24,963
2023-02-25,1006
2023-02-26,904
2023-02-27,954
2023-02-28,1038
2023-03-01,1072
2023-03-02,1117
2023-03-03,1103
2023-03-04,868
2023-03-05,755
2023-03-06,801
2023-03-07,832
2023-03-08,912
2023-03-09,775
2023-03-10,836
2023-03-11,783
2023-03-12,553
2023-03-13,714
2023-03-14,815
2023-03-15,921
2023-03-16,738
2023-03-17,792
2023-03-18,651
2023-03-19,749
2023-03-20,903
2023-03-21,925
2023-03-22,850
2023-03-23,775
2023-03-24,783
2023-03-25,721
2023-03-26,568
2023-03-27,653
2023-03-28,770
2023-03-29,923
2023-03-30,885
2023-03-31,836
2023-04-01,660
2023-04-02,467
2023-04-03,542
2023-04-04,657
2023-04-05,694
2023-04-06,541
2023-04-07,519
2023-04-08,568
2023-04-09,269
2023-04-10,312
2023-04-11,322
2023-04-12,358
2023-04-13,451
2023-04-14,448
2023-04-15,334
2023-04-16,291
2023-04-17,365
2023-04-18,418
2023-04-19,482
2023-04-20,416
2023-04-21,447
2023-04-22,330
2023-04-23,370
2023-04-24,403
2023-04-25,442
2023-04-26,390
2023-04-27,425
2023-04-28,391
2023-04-29,278
2023-04-30,268
2023-05-01,352
2023-05-02,530
2023-05-03,587
2023-05-04,654
2023-05-05,477
2023-05-06,345
2023-05-07,239
2023-05-08,339
2023-05-09,373
2023-05-10,329
2023-05-11,355
2023-05-12,347
2023-05-13,260
2023-05-14,260
2023-05-15,285
2023-05-16,311
2023-05-17,301
2023-05-18,309
2023-05-19,341
2023-05-20,239
2023-05-21,221
2023-05-22,288
2023-05-23,353
2023-05-24,361
2023-05-25,384
2023-05-26,370
2023-05-27,251
2023-05-28,284
2023-05-30,284
2023-05-31,331
2023-06-01,355
2023-06-02,348
2023-06-03,277
2023-06-04,266
2023-06-05,300
2023-06-06,329
2023-06-07,323
2023-06-08,393
2023-06-09,341
2023-06-10,297
2023-06-11,267
2023-06-12,305
2023-06-13,346
2023-06-14,333
2023-06-15,343
2023-06-16,322
2023-06-17,255
2023-06-18,253
2023-06-19,323
2023-06-20,318
2023-06-21,350
2023-06-22,370
2023-06-23,394
2023-06-24,385
2023-06-25,331
2023-06-26,292
2023-06-27,325
2023-06-28,351
2023-06-29,314
2023-06-30,318
2023-07-01,234
2023-07-02,221
2023-07-03,237
2023-07-04,254
2023-07-05,308
2023-07-06,334
2023-07-07,298
2023-07-08,269
2023-07-09,275
2023-07-10,329
2023-07-11,579
2023-07-12,636
2023-07-13,607
2023-07-14,484
2023-07-15,359
2023-07-16,243
2023-07-17,290
2023-07-18,285
2023-07-19,342
2023-07-20,324
2023-07-21,353
2023-07-22,328
2023-07-23,249
2023-07-24,313
2023-07-25,374
2023-07-26,396
2023-07-27,415
2023-07-28,450
2023-07-29,408
2023-07-30,354
2023-07-31,459
2023-08-02,480
2023-08-03,522
2023-08-04,585
2023-08-05,584
2023-08-06,507
2023-08-07,518
