,Sales Rank
2022-12-14,244
2022-12-15,235
2022-12-16,288
2022-12-17,278
2022-12-18,290
2022-12-19,268
2022-12-20,287
2022-12-21,288
2022-12-22,278
2022-12-23,240
2022-12-24,258
2022-12-25,193
2022-12-26,192
2022-12-27,188
2022-12-28,182
2022-12-29,206
2022-12-30,192
2022-12-31,200
2023-01-01,171
2023-01-02,179
2023-01-03,180
2023-01-04,182
2023-01-05,188
2023-01-06,181
2023-01-07,182
2023-01-08,183
2023-01-09,181
2023-01-10,189
2023-01-11,187
2023-01-12,186
2023-01-13,191
2023-01-14,186
2023-01-15,186
2023-01-16,168
2023-01-17,155
2023-01-18,165
2023-01-19,180
2023-01-20,197
2023-01-21,199
2023-01-22,184
2023-01-23,199
2023-01-24,259
2023-01-25,273
2023-01-26,289
2023-01-27,319
2023-01-28,297
2023-01-29,248
2023-01-30,242
2023-01-31,240
2023-02-01,247
2023-02-02,240
2023-02-03,254
2023-02-04,228
2023-02-05,232
2023-02-06,194
2023-02-07,226
2023-02-08,210
2023-02-09,218
2023-02-10,207
2023-02-11,183
2023-02-12,175
2023-02-13,164
2023-02-14,177
2023-02-15,166
2023-02-16,171
2023-02-17,173
2023-02-18,160
2023-02-19,169
2023-02-20,165
2023-02-21,150
2023-02-22,152
2023-02-23,172
2023-02-24,183
2023-02-25,171
2023-02-26,173
2023-02-27,165
2023-02-28,170
2023-03-01,155
2023-03-02,161
2023-03-03,161
2023-03-04,159
2023-03-05,190
2023-03-06,174
2023-03-07,152
2023-03-08,165
2023-03-09,165
2023-03-10,164
2023-03-11,180
2023-03-12,172
2023-03-13,177
2023-03-14,169
2023-03-15,171
2023-03-16,203
2023-03-17,189
2023-03-18,204
2023-03-19,187
2023-03-20,201
2023-03-21,203
2023-03-22,202
2023-03-23,200
2023-03-24,216
2023-03-25,232
2023-03-26,219
2023-03-27,200
2023-03-28,200
2023-03-29,200
2023-03-30,213
2023-03-31,197
2023-04-01,220
2023-04-02,203
2023-04-03,193
2023-04-04,183
2023-04-05,189
2023-04-06,198
2023-04-07,187
2023-04-08,172
2023-04-09,187
2023-04-10,186
2023-04-11,190
2023-04-12,192
2023-04-13,186
2023-04-14,183
2023-04-15,193
2023-04-16,180
2023-04-17,182
2023-04-18,182
2023-04-19,182
2023-04-20,195
2023-04-21,173
2023-04-22,207
2023-04-23,184
2023-04-24,184
2023-04-25,190
2023-04-26,186
2023-04-27,344
2023-04-28,461
2023-04-29,569
2023-04-30,277
2023-05-01,225
2023-05-02,224
2023-05-03,234
2023-05-04,221
2023-05-05,199
2023-05-06,210
2023-05-07,194
2023-05-08,174
2023-05-09,175
2023-05-10,159
2023-05-11,160
2023-05-12,176
2023-05-13,171
2023-05-14,174
2023-05-15,168
2023-05-16,172
2023-05-17,191
2023-05-18,188
2023-05-19,195
2023-05-20,195
2023-05-21,187
2023-05-22,172
2023-05-23,183
2023-05-24,207
2023-05-25,207
2023-05-26,196
2023-05-27,215
2023-05-28,222
2023-05-30,196
2023-05-31,202
2023-06-01,189
2023-06-02,189
2023-06-03,209
2023-06-04,213
2023-06-05,198
2023-06-06,195
2023-06-07,183
2023-06-08,171
