,Sales Rank
2022-12-14,341
2022-12-15,425
2022-12-16,540
2022-12-17,545
2022-12-18,694
2022-12-19,610
2022-12-20,595
2022-12-21,559
2022-12-22,532
2022-12-23,409
2022-12-24,477
2022-12-25,446
2022-12-26,278
2022-12-27,345
2022-12-28,421
2022-12-29,421
2022-12-30,506
2022-12-31,567
2023-01-01,473
2023-01-02,401
2023-01-03,483
2023-01-04,422
2023-01-05,456
2023-01-06,406
2023-01-07,415
2023-01-08,378
2023-01-09,385
2023-01-10,401
2023-01-11,404
2023-01-12,408
2023-01-13,389
2023-01-14,642
2023-01-15,579
2023-01-16,509
2023-01-17,469
2023-01-18,489
2023-01-19,411
2023-01-20,475
2023-01-21,571
2023-01-22,588
2023-01-23,441
2023-01-24,534
2023-01-25,471
2023-01-26,496
2023-01-27,596
2023-01-28,797
2023-01-29,640
2023-01-30,580
2023-01-31,544
2023-02-01,564
2023-02-02,643
2023-02-03,586
2023-02-04,780
2023-02-05,687
2023-02-06,514
2023-02-07,511
2023-02-08,483
2023-02-09,500
2023-02-10,611
2023-02-11,777
2023-02-12,669
2023-02-13,498
2023-02-14,582
2023-02-15,504
2023-02-16,520
2023-02-17,650
2023-02-18,750
2023-02-19,773
2023-02-20,562
2023-02-21,355
2023-02-22,424
2023-02-23,387
2023-02-24,467
2023-02-25,707
2023-02-26,691
2023-02-27,463
2023-02-28,536
2023-03-01,448
2023-03-02,394
2023-03-03,303
2023-03-04,389
2023-03-05,428
2023-03-06,377
2023-03-07,280
2023-03-08,334
2023-03-09,355
2023-03-10,414
2023-03-11,455
2023-03-12,446
2023-03-13,362
2023-03-14,362
2023-03-15,404
2023-03-16,373
2023-03-17,419
2023-03-18,474
2023-03-19,516
2023-03-20,405
2023-03-21,393
2023-03-22,427
2023-03-23,419
2023-03-24,685
2023-03-25,667
2023-03-26,998
2023-03-27,537
2023-03-28,609
2023-03-29,582
2023-03-30,414
2023-03-31,345
2023-04-01,415
2023-04-02,383
2023-04-03,512
2023-04-04,463
2023-04-05,548
2023-04-06,579
2023-04-07,625
2023-04-08,722
2023-04-09,721
2023-04-10,550
2023-04-11,629
2023-04-12,711
2023-04-13,663
2023-04-14,561
2023-04-15,826
2023-04-16,1066
2023-04-17,647
2023-04-18,732
2023-04-19,794
2023-04-20,786
2023-04-21,635
2023-04-22,1050
2023-04-23,816
2023-04-24,474
2023-04-25,582
2023-04-26,448
2023-04-27,643
2023-04-28,651
2023-04-29,911
2023-04-30,1044
2023-05-01,829
2023-05-02,523
2023-05-03,567
2023-05-04,624
2023-05-05,380
2023-05-06,598
2023-05-07,812
2023-05-08,524
2023-05-09,659
2023-05-10,656
2023-05-11,512
2023-05-12,685
2023-05-13,757
2023-05-14,771
2023-05-15,676
2023-05-16,715
2023-05-17,707
2023-05-18,733
2023-05-19,692
2023-05-20,931
2023-05-21,991
2023-05-22,746
2023-05-23,654
2023-05-24,611
2023-05-25,605
2023-05-26,658
2023-05-27,624
2023-05-28,918
2023-05-30,606
2023-05-31,683
2023-06-01,464
2023-06-02,436
2023-06-03,421
2023-06-04,420
2023-06-05,334
2023-06-06,319
2023-06-07,325
2023-06-08,513
2023-06-09,608
2023-06-10,451
2023-06-11,400
2023-06-12,315
2023-06-13,307
2023-06-14,236
2023-06-15,190
2023-06-16,189
2023-06-17,278
2023-06-18,384
2023-06-19,342
2023-06-20,369
2023-06-21,358
2023-06-22,401
2023-06-23,394
2023-06-24,328
2023-06-25,273
2023-06-26,259
2023-06-27,232
2023-06-28,292
2023-06-29,386
2023-06-30,313
2023-07-01,383
2023-07-02,481
2023-07-03,354
2023-07-04,315
2023-07-05,416
2023-07-06,369
2023-07-07,358
2023-07-08,402
2023-07-09,386
2023-07-10,303
2023-07-11,797
2023-07-12,953
2023-07-13,750
2023-07-14,674
2023-07-15,928
2023-07-16,1025
2023-07-17,457
2023-07-18,655
2023-07-19,753
2023-07-20,792
2023-07-21,781
2023-07-22,928
2023-07-23,1005
2023-07-24,698
2023-07-25,566
2023-07-26,627
2023-07-27,507
2023-07-28,440
2023-07-29,455
2023-07-30,504
2023-07-31,417
2023-08-01,375
2023-08-02,405
2023-08-03,403
2023-08-04,410
2023-08-05,441
2023-08-06,504
2023-08-07,653
2023-08-08,638
2023-08-09,705
2023-08-10,723
2023-08-11,695
2023-08-12,885
2023-08-13,1023
2023-08-14,707
2023-08-15,682
2023-08-16,802
2023-08-17,804
2023-08-18,774
2023-08-19,1013
2023-08-20,1260
2023-08-21,595
2023-08-22,719
2023-08-23,690
2023-08-24,740
2023-08-25,547
2023-08-26,744
2023-08-27,1131
2023-08-28,646
2023-08-29,658
2023-08-30,748
2023-08-31,762
2023-09-01,749
2023-09-02,1630
2023-09-03,429
2023-09-04,579
2023-09-05,704
2023-09-06,1171
2023-09-07,944
2023-09-08,770
2023-09-09,1038
2023-09-10,1167
2023-09-11,744
2023-09-12,773
2023-09-13,815
2023-09-14,803
2023-09-15,725
2023-09-16,941
2023-09-17,1056
2023-09-18,674
2023-09-19,762
2023-09-20,820
2023-09-21,470
2023-09-22,458
2023-09-23,606
2023-09-24,645
2023-09-25,643
2023-09-26,663
2023-09-27,773
2023-09-28,842
2023-09-29,1575
2023-09-30,956
2023-10-01,2218
2023-10-02,2994
2023-10-03,3756
2023-10-04,515
2023-10-05,549
2023-10-06,1322
2023-10-07,2200
2023-10-08,3337
2023-10-09,4094
2023-10-10,954
2023-10-11,1063
2023-10-12,1993
2023-10-13,2772
2023-10-14,3319
2023-10-15,3812
2023-10-16,4743
2023-10-17,1275
2023-10-18,528
2023-10-19,768
2023-10-20,1721
2023-10-21,1977
2023-10-22,494
2023-10-23,421
2023-10-24,807
2023-10-25,1605
2023-10-26,2314
2023-10-27,2543
2023-10-28,2127
2023-10-29,2698
2023-10-30,3320
2023-10-31,2017
2023-11-01,793
2023-11-02,1009
2023-11-03,565
2023-11-04,988
2023-11-05,501
2023-11-06,734
2023-11-07,281
2023-11-08,417
2023-11-09,575
2023-11-10,639
2023-11-11,661
2023-11-12,670
2023-11-13,1537
2023-11-14,1576
2023-11-15,181
2023-11-16,598
2023-11-17,729
2023-11-18,1350
2023-11-19,2019
2023-11-20,2048
2023-11-21,656
2023-11-22,541
2023-11-23,521
2023-11-24,638
2023-11-25,689
2023-11-26,487
2023-11-27,574
2023-11-28,550
2023-11-29,519
2023-11-30,548
2023-12-01,581
2023-12-02,651
2023-12-03,452
2023-12-04,520
2023-12-05,467
2023-12-06,479
2023-12-07,507
2023-12-08,542
2023-12-09,619
2023-12-10,497
2023-12-11,552
2023-12-12,903
2023-12-13,1119
2023-12-14,1164
2023-12-15,1419
2023-12-16,1430
2023-12-17,1442
2023-12-18,1651
2023-12-19,1152
2023-12-20,856
2023-12-21,749
2023-12-22,745
2023-12-23,700
2023-12-24,761
2023-12-25,352
2023-12-26,423
2023-12-27,438
2023-12-28,428
2023-12-29,381
2023-12-30,533
2023-12-31,482
2024-01-01,404
2024-01-02,400
2024-01-03,442
2024-01-04,428
2024-01-05,447
2024-01-06,571
2024-01-07,536
2024-01-08,409
2024-01-09,431
2024-01-10,509
