,Sales Rank
2022-12-14,7226
2022-12-15,2691
2022-12-16,4953
2022-12-17,1589
2022-12-18,2321
2022-12-19,3323
2022-12-20,5595
2022-12-21,6516
2022-12-22,7448
2022-12-23,7629
2022-12-24,8165
2022-12-25,6858
2022-12-26,7360
2022-12-27,7890
2022-12-28,10368
2022-12-29,10522
2022-12-30,9682
2022-12-31,10353
2023-01-01,12903
2023-01-02,13460
2023-01-03,10501
2023-01-04,11617
2023-01-05,10613
2023-01-06,9663
2023-01-07,10357
2023-01-08,10098
2023-01-09,8893
2023-01-10,8791
2023-01-11,8438
2023-01-12,9510
2023-01-13,8802
2023-01-14,9741
2023-01-15,7391
2023-01-16,9779
2023-01-17,7812
2023-01-18,8303
2023-01-19,8084
2023-01-20,12117
2023-01-21,8694
2023-01-22,13367
2023-01-23,11555
2023-01-24,9399
2023-01-25,9282
2023-01-26,12056
2023-01-27,11619
2023-01-28,12982
2023-01-29,10058
2023-01-30,8684
2023-01-31,10100
2023-02-01,9486
2023-02-02,10852
2023-02-03,3715
2023-02-04,904
2023-02-05,2732
2023-02-06,4759
2023-02-07,5488
2023-02-08,6354
2023-02-09,6536
2023-02-10,6404
2023-02-11,4804
2023-02-12,5969
2023-02-13,5849
2023-02-14,6266
2023-02-15,7774
2023-02-16,8442
2023-02-17,8766
2023-02-18,10659
2023-02-19,9390
2023-02-20,9138
2023-02-21,6548
2023-02-22,7648
2023-02-23,7750
2023-02-24,9793
2023-02-25,11510
2023-02-26,10036
2023-02-27,9517
2023-02-28,9074
2023-03-01,8792
2023-03-02,10466
2023-03-03,6923
2023-03-04,793
2023-03-05,1430
2023-03-06,4388
2023-03-07,4617
2023-03-08,7876
2023-03-09,6257
2023-03-10,7264
2023-03-11,11472
2023-03-12,10143
2023-03-13,7775
2023-03-14,8417
2023-03-15,11030
2023-03-16,8343
2023-03-17,8333
2023-03-18,9272
2023-03-19,12015
2023-03-20,518
2023-03-21,2127
2023-03-22,3335
2023-03-23,4309
2023-03-24,6275
2023-03-25,7114
2023-03-26,8340
2023-03-27,6855
2023-03-28,8540
2023-03-29,8424
2023-03-30,8009
2023-03-31,7608
2023-04-01,9985
2023-04-02,9866
2023-04-03,8398
2023-04-04,6658
2023-04-05,8568
2023-04-06,8609
2023-04-07,10108
2023-04-08,11197
