,Sales Rank
2022-12-14,15500
2022-12-15,17174
2022-12-16,14520
2022-12-17,18863
2022-12-18,25662
2022-12-19,29286
2022-12-20,16045
2022-12-21,18373
2022-12-22,17539
2022-12-23,16824
2022-12-24,18236
2022-12-25,21798
2022-12-26,21830
2022-12-27,19350
2022-12-28,16467
2022-12-29,18271
2022-12-30,15427
2022-12-31,21128
2023-01-01,18290
2023-01-02,16799
2023-01-03,16261
2023-01-04,18327
2023-01-05,16579
2023-01-06,17814
2023-01-07,18309
2023-01-08,18159
2023-01-09,18183
2023-01-10,19019
2023-01-11,20865
2023-01-12,20985
2023-01-13,19965
2023-01-14,26268
2023-01-15,31652
2023-01-16,35114
2023-01-17,50250
2023-01-18,57324
2023-01-19,65989
2023-01-20,45949
2023-01-21,50064
2023-01-22,52682
2023-01-23,36251
2023-01-24,62857
2023-01-25,43264
2023-01-26,30852
2023-01-27,37194
2023-01-28,46780
2023-01-29,52821
2023-01-30,59625
2023-01-31,47317
2023-02-01,53962
2023-02-02,33156
2023-02-03,47622
2023-02-04,21659
2023-02-05,18532
2023-02-06,22379
2023-02-07,22951
2023-02-08,21659
2023-02-09,14536
2023-02-10,14066
2023-02-11,18768
2023-02-12,19042
2023-02-13,15681
2023-02-14,17212
2023-02-15,17114
2023-02-16,13419
2023-02-17,18207
2023-02-18,27203
2023-02-19,26170
2023-02-20,19521
2023-02-21,23050
2023-02-22,17769
2023-02-23,17721
2023-02-24,19272
2023-02-25,26990
2023-02-26,19654
2023-02-27,17591
2023-02-28,19900
2023-03-01,17106
2023-03-02,16233
2023-03-03,14551
2023-03-04,19849
2023-03-05,18568
2023-03-06,18719
2023-03-07,12435
2023-03-08,18339
2023-03-09,17270
2023-03-10,16817
2023-03-11,17920
2023-03-12,17811
2023-03-13,16906
2023-03-14,18054
2023-03-15,17688
2023-03-16,24572
2023-03-17,20102
2023-03-18,17503
2023-03-19,18701
2023-03-20,23005
2023-03-21,19117
2023-03-22,14959
2023-03-23,13794
2023-03-24,15217
2023-03-25,19719
2023-03-26,17301
2023-03-27,14760
2023-03-28,18191
2023-03-29,13927
2023-03-30,14694
2023-03-31,14597
2023-04-01,15636
2023-04-02,21641
2023-04-03,16381
2023-04-04,16626
2023-04-05,13094
2023-04-06,12553
2023-04-07,14706
2023-04-08,14534
2023-04-10,22179
