,Sales Rank
2022-12-14,848
2022-12-15,907
2022-12-16,894
2022-12-17,882
2022-12-18,1039
2022-12-19,933
2022-12-20,955
2022-12-21,865
2022-12-22,847
2022-12-23,824
2022-12-24,763
2022-12-25,635
2022-12-26,681
2022-12-27,859
2022-12-28,793
2022-12-29,816
2022-12-30,906
2022-12-31,833
2023-01-01,1213
2023-01-02,1364
2023-01-03,1703
2023-01-04,1219
2023-01-05,1230
2023-01-06,1164
2023-01-07,1261
2023-01-08,1188
2023-01-09,1157
2023-01-10,1119
2023-01-11,1100
2023-01-12,1104
2023-01-13,928
2023-01-14,759
2023-01-15,735
2023-01-16,797
2023-01-17,709
2023-01-18,766
2023-01-19,865
2023-01-20,829
2023-01-21,962
2023-01-22,1249
2023-01-23,986
2023-01-24,989
2023-01-25,841
2023-01-26,883
2023-01-27,1033
2023-01-28,947
2023-01-29,881
2023-01-30,858
2023-01-31,819
2023-02-01,877
2023-02-02,902
2023-02-03,1193
2023-02-04,1648
2023-02-05,1635
2023-02-06,1613
2023-02-07,2147
2023-02-08,1983
2023-02-09,1624
2023-02-10,1160
2023-02-11,1200
2023-02-12,964
2023-02-13,796
2023-02-14,853
2023-02-15,809
2023-02-16,842
2023-02-17,1005
2023-02-18,892
2023-02-19,968
2023-02-20,938
2023-02-21,746
2023-02-22,764
2023-02-23,794
2023-02-24,808
2023-02-25,789
2023-02-26,930
2023-02-27,848
2023-02-28,854
2023-03-01,851
2023-03-02,842
2023-03-03,864
2023-03-04,964
2023-03-05,1000
2023-03-06,948
2023-03-07,870
2023-03-08,872
2023-03-09,891
2023-03-10,906
2023-03-11,949
2023-03-12,968
2023-03-13,857
2023-03-14,819
2023-03-15,841
2023-03-16,745
2023-03-17,852
2023-03-18,835
2023-03-19,1034
2023-03-20,974
2023-03-21,857
2023-03-22,784
2023-03-23,821
2023-03-24,850
2023-03-25,995
2023-03-26,949
2023-03-27,877
2023-03-28,967
2023-03-29,876
2023-03-30,793
2023-03-31,823
2023-04-01,812
2023-04-02,976
2023-04-03,831
2023-04-04,820
2023-04-05,758
2023-04-06,754
2023-04-07,811
2023-04-08,851
2023-04-09,904
2023-04-10,898
2023-04-11,840
2023-04-12,939
2023-04-13,860
2023-04-14,859
2023-04-15,741
2023-04-16,814
2023-04-17,723
2023-04-18,733
2023-04-19,702
2023-04-20,720
2023-04-21,731
2023-04-22,747
2023-04-23,737
2023-04-24,749
2023-04-25,749
2023-04-26,772
2023-04-27,701
2023-04-28,760
2023-04-29,800
2023-04-30,810
2023-05-01,803
2023-05-02,870
2023-05-03,920
2023-05-04,837
2023-05-05,814
2023-05-06,931
2023-05-07,933
2023-05-08,812
2023-05-09,800
2023-05-10,745
2023-05-11,726
2023-05-12,797
2023-05-13,817
2023-05-14,932
2023-05-15,836
2023-05-16,691
2023-05-17,718
2023-05-18,681
2023-05-19,646
2023-05-20,659
2023-05-21,700
2023-05-22,701
2023-05-23,630
2023-05-24,579
2023-05-25,609
2023-05-26,714
2023-05-27,641
2023-05-28,721
2023-05-30,721
2023-05-31,499
2023-06-01,562
2023-06-02,534
2023-06-03,541
2023-06-04,588
2023-06-05,541
2023-06-06,567
2023-06-07,473
2023-06-08,502
2023-06-09,511
2023-06-10,573
2023-06-11,635
2023-06-12,582
2023-06-13,565
2023-06-14,581
2023-06-15,543
2023-06-16,520
2023-06-17,987
2023-06-18,1209
2023-06-19,1273
2023-06-20,952
2023-06-21,1040
2023-06-22,1041
2023-06-23,818
2023-06-24,700
2023-06-25,727
2023-06-26,801
2023-06-27,818
2023-06-28,775
2023-06-29,902
2023-06-30,755
2023-07-01,845
2023-07-02,922
2023-07-03,768
2023-07-04,814
2023-07-05,803
2023-07-06,784
2023-07-07,741
2023-07-08,808
2023-07-09,855
2023-07-10,797
2023-07-11,1337
2023-07-12,661
2023-07-13,842
2023-07-14,782
2023-07-15,831
2023-07-16,800
2023-07-17,743
2023-07-18,721
2023-07-19,831
2023-07-20,730
2023-07-21,768
2023-07-22,824
2023-07-23,931
2023-07-24,811
2023-07-25,713
2023-07-26,779
2023-07-27,842
2023-07-28,897
2023-07-29,841
2023-07-30,917
2023-07-31,948
2023-08-01,822
2023-08-02,651
2023-08-03,643
2023-08-04,630
2023-08-05,621
2023-08-06,618
2023-08-07,606
2023-08-08,574
2023-08-09,526
2023-08-10,578
2023-08-11,542
2023-08-12,590
2023-08-13,588
2023-08-14,555
2023-08-15,524
2023-08-16,530
2023-08-17,584
2023-08-18,524
2023-08-19,529
2023-08-20,525
2023-08-21,465
2023-08-22,533
2023-08-23,514
2023-08-24,514
2023-08-25,512
2023-08-26,529
2023-08-27,614
2023-08-28,605
2023-08-29,545
2023-08-30,526
2023-08-31,502
2023-09-01,469
2023-09-02,535
2023-09-03,561
2023-09-04,533
2023-09-05,530
2023-09-06,510
2023-09-07,476
2023-09-08,534
2023-09-09,567
2023-09-10,548
2023-09-11,567
2023-09-12,488
2023-09-13,520
2023-09-14,481
2023-09-15,487
2023-09-16,602
2023-09-17,577
2023-09-18,563
2023-09-19,644
2023-09-20,634
2023-09-21,621
2023-09-22,602
2023-09-23,594
2023-09-24,597
2023-09-25,600
2023-09-26,597
2023-09-27,605
2023-09-28,553
2023-09-29,561
2023-09-30,564
2023-10-01,607
2023-10-02,540
2023-10-03,475
2023-10-04,537
2023-10-05,562
2023-10-06,532
2023-10-07,540
2023-10-08,619
2023-10-09,517
2023-10-10,738
2023-10-11,827
2023-10-12,723
2023-10-13,572
2023-10-14,495
2023-10-15,585
2023-10-16,581
2023-10-17,617
2023-10-18,586
2023-10-19,557
2023-10-20,519
2023-10-21,567
2023-10-22,557
2023-10-23,604
2023-10-24,555
2023-10-25,546
2023-10-26,557
2023-10-27,647
2023-10-28,634
2023-10-29,636
2023-10-30,604
2023-10-31,568
2023-11-01,570
2023-11-02,603
2023-11-03,536
2023-11-04,619
2023-11-05,692
2023-11-06,559
2023-11-07,556
2023-11-08,532
2023-11-09,535
2023-11-10,571
2023-11-11,598
2023-11-12,608
2023-11-13,603
2023-11-14,567
2023-11-15,556
2023-11-16,547
2023-11-17,563
2023-11-18,665
2023-11-19,666
2023-11-20,671
2023-11-21,662
2023-11-22,684
2023-11-23,666
2023-11-24,854
2023-11-25,918
2023-11-26,953
2023-11-27,899
2023-11-28,814
2023-11-29,723
2023-11-30,724
2023-12-01,695
2023-12-02,788
2023-12-03,824
2023-12-04,778
2023-12-05,699
2023-12-06,722
2023-12-07,775
2023-12-08,709
2023-12-09,830
2023-12-10,898
2023-12-11,782
2023-12-12,819
2023-12-13,847
2023-12-14,788
2023-12-15,904
2023-12-16,884
2023-12-17,998
2023-12-18,863
2023-12-19,836
2023-12-20,837
2023-12-21,833
2023-12-22,718
2023-12-23,623
2023-12-24,641
2023-12-25,452
2023-12-26,492
2023-12-27,482
2023-12-28,456
2023-12-29,442
2023-12-30,484
2023-12-31,455
2024-01-01,397
2024-01-02,494
2024-01-03,456
2024-01-04,465
2024-01-05,442
2024-01-06,502
2024-01-07,506
2024-01-08,485
2024-01-09,569
2024-01-10,571
2024-01-11,632
2024-01-12,593
2024-01-13,639
2024-01-14,705
2024-01-15,664
2024-01-16,656
2024-01-17,674
2024-01-18,687
2024-01-19,704
2024-01-20,689
2024-01-21,684
2024-01-22,600
2024-01-23,573
2024-01-24,663
2024-01-25,633
2024-01-26,609
2024-01-27,653
2024-01-28,696
2024-01-29,526
2024-01-30,601
2024-01-31,557
2024-02-01,556
2024-02-02,535
2024-02-03,572
2024-02-04,618
2024-02-05,517
2024-02-06,544
2024-02-07,584
2024-02-08,598
2024-02-09,606
2024-02-10,520
2024-02-11,475
2024-02-12,461
2024-02-13,524
2024-02-14,608
2024-02-15,622
2024-02-16,655
2024-02-17,723
2024-02-18,648
2024-02-19,609
2024-02-20,584
2024-02-21,619
2024-02-22,530
2024-02-23,532
2024-02-24,620
2024-02-25,699
2024-02-26,634
2024-02-27,581
2024-02-28,585
2024-02-29,580
2024-03-01,560
2024-03-02,639
2024-03-03,664
2024-03-04,590
2024-03-05,638
2024-03-06,641
2024-03-07,643
2024-03-08,622
2024-03-09,660
2024-03-10,679
2024-03-11,654
2024-03-12,655
2024-03-13,616
2024-03-14,599
2024-03-15,583
2024-03-16,676
2024-03-17,698
2024-03-18,619
2024-03-19,692
2024-03-20,631
2024-03-21,727
2024-03-22,689
2024-03-23,727
2024-03-24,835
2024-03-25,635
2024-03-26,566
2024-03-27,684
2024-03-28,592
2024-03-29,691
2024-03-30,675
2024-03-31,658
2024-04-01,627
2024-04-02,606
2024-04-03,612
2024-04-04,577
2024-04-05,608
2024-04-06,652
2024-04-07,735
2024-04-08,578
2024-04-09,583
2024-04-10,596
2024-04-11,577
2024-04-12,618
2024-04-13,641
2024-04-14,671
2024-04-15,573
2024-04-16,680
2024-04-17,598
2024-04-18,602
2024-04-19,553
2024-04-20,743
2024-04-21,753
2024-04-22,554
2024-04-23,588
2024-04-24,549
2024-04-25,602
2024-04-26,644
2024-04-27,617
2024-04-28,701
2024-04-29,565
2024-04-30,553
2024-05-01,601
2024-05-02,555
2024-05-03,548
2024-05-04,614
2024-05-05,576
2024-05-06,520
2024-05-07,666
2024-05-08,648
2024-05-09,700
2024-05-10,581
2024-05-11,695
2024-05-12,742
2024-05-13,619
2024-05-14,605
2024-05-15,577
2024-05-16,576
2024-05-17,555
2024-05-18,660
2024-05-19,649
2024-05-20,588
2024-05-21,548
2024-05-22,580
2024-05-23,516
2024-05-24,534
2024-05-25,580
2024-05-26,567
2024-05-27,590
2024-05-28,588
2024-05-29,603
2024-05-30,542
2024-05-31,527
2024-06-01,550
2024-06-02,647
2024-06-03,552
2024-06-04,616
2024-06-05,627
2024-06-06,613
2024-06-07,580
2024-06-08,681
2024-06-09,798
2024-06-10,625
2024-06-11,617
2024-06-12,625
2024-06-13,613
2024-06-14,625
2024-06-15,651
2024-06-16,720
2024-06-17,666
2024-06-18,573
2024-06-19,571
2024-06-20,642
2024-06-21,580
2024-06-22,676
2024-06-23,668
2024-06-24,554
2024-06-25,581
2024-06-26,612
2024-06-27,604
2024-06-28,553
2024-06-29,576
2024-06-30,673
2024-07-01,624
2024-07-02,643
2024-07-03,605
2024-07-04,581
2024-07-05,584
2024-07-06,658
2024-07-07,646
2024-07-08,560
2024-07-09,568
2024-07-10,563
2024-07-11,629
2024-07-12,671
2024-07-13,698
2024-07-14,753
2024-07-15,606
2024-07-16,1111
2024-07-17,1095
2024-07-18,951
2024-07-19,813
2024-07-20,786
2024-07-21,743
2024-07-22,644
2024-07-23,615
2024-07-24,661
2024-07-25,607
2024-07-26,583
2024-07-27,685
2024-07-28,738
2024-07-29,576
2024-07-30,565
2024-07-31,527
2024-08-01,604
2024-08-02,608
2024-08-03,642
2024-08-04,686
2024-08-05,592
2024-08-06,604
2024-08-07,621
2024-08-09,557
2024-08-10,559
2024-08-11,681
2024-08-12,601
2024-08-13,605
2024-08-14,611
2024-08-15,645
2024-08-16,598
2024-08-17,691
2024-08-18,775
2024-08-19,626
2024-08-20,696
2024-08-21,692
2024-08-22,733
2024-08-23,637
2024-08-24,794
2024-08-25,755
2024-08-26,658
2024-08-27,636
2024-08-28,615
2024-08-29,577
2024-08-30,654
2024-08-31,689
2024-09-01,796
2024-09-02,689
2024-09-03,692
2024-09-04,594
2024-09-05,602
2024-09-06,615
2024-09-07,657
2024-09-08,730
2024-09-09,608
2024-09-10,583
2024-09-11,572
2024-09-12,596
2024-09-13,787
2024-09-14,1678
2024-09-15,1912
2024-09-16,3060
2024-09-17,3436
2024-09-18,3384
2024-09-19,3490
2024-09-20,3864
2024-09-21,3484
2024-09-22,3966
2024-09-23,3949
2024-09-24,4501
2024-09-25,4236
2024-09-26,4323
2024-09-27,4399
2024-09-28,4331
2024-09-29,4424
2024-09-30,4457
2024-10-01,4191
2024-10-02,4356
2024-10-03,4295
2024-10-04,5272
2024-10-05,4337
2024-10-06,4500
2024-10-07,238
2024-10-08,110
2024-10-09,370
2024-10-10,448
2024-10-11,517
2024-10-12,539
2024-10-13,692
2024-10-14,593
2024-10-15,610
2024-10-16,577
2024-10-17,507
2024-10-18,490
2024-10-19,536
2024-10-20,541
2024-10-21,571
2024-10-22,581
2024-10-23,583
2024-10-24,598
2024-10-25,606
2024-10-26,702
2024-10-27,757
2024-10-28,691
2024-10-29,616
2024-10-30,675
2024-10-31,589
2024-11-01,555
2024-11-02,607
2024-11-03,606
2024-11-04,526
2024-11-05,585
2024-11-06,544
2024-11-07,512
2024-11-08,536
2024-11-09,581
2024-11-10,639
2024-11-11,573
2024-11-12,543
2024-11-13,543
2024-11-14,549
2024-11-15,556
2024-11-16,638
2024-11-17,642
2024-11-18,586
2024-11-19,619
2024-11-20,581
2024-11-21,719
2024-11-22,721
2024-11-23,718
2024-11-24,809
2024-11-25,808
2024-11-26,779
2024-11-27,858
2024-11-28,754
2024-11-29,827
2024-11-30,972
2024-12-01,958
2024-12-02,1014
2024-12-03,802
2024-12-04,703
2024-12-05,718
2024-12-06,661
2024-12-07,795
2024-12-08,764
2024-12-09,623
2024-12-10,586
2024-12-11,635
2024-12-12,726
2024-12-13,699
2024-12-14,815
2024-12-15,906
2024-12-16,791
2024-12-17,826
2024-12-18,744
2024-12-19,720
2024-12-20,747
2024-12-21,888
2024-12-22,951
2024-12-23,711
2024-12-24,673
2024-12-25,650
2024-12-26,666
2024-12-27,615
2024-12-28,591
2024-12-29,648
2024-12-30,557
2024-12-31,551
2025-01-01,645
2025-01-02,586
2025-01-03,593
2025-01-04,622
2025-01-05,629
2025-01-06,554
2025-01-07,558
2025-01-08,520
2025-01-09,537
2025-01-10,526
2025-01-11,616
2025-01-12,563
