,Sales Rank
2022-12-14,846
2022-12-15,830
2022-12-16,861
2022-12-17,847
2022-12-18,953
2022-12-19,885
2022-12-20,873
2022-12-21,834
2022-12-22,831
2022-12-23,796
2022-12-24,824
2022-12-25,868
2022-12-26,692
2022-12-27,779
2022-12-28,810
2022-12-29,845
2022-12-30,832
2022-12-31,880
2023-01-01,741
2023-01-02,768
2023-01-03,845
2023-01-04,786
2023-01-05,807
2023-01-06,800
2023-01-07,833
2023-01-08,826
2023-01-09,833
2023-01-10,841
2023-01-11,832
2023-01-12,822
2023-01-13,813
2023-01-14,910
2023-01-15,852
2023-01-16,795
2023-01-17,773
2023-01-18,801
2023-01-19,776
2023-01-20,798
2023-01-21,904
2023-01-22,836
2023-01-23,701
2023-01-24,796
2023-01-25,804
2023-01-26,844
2023-01-27,858
2023-01-28,801
2023-01-29,924
2023-01-30,756
2023-01-31,752
2023-02-01,616
2023-02-02,394
2023-02-03,692
2023-02-04,782
2023-02-05,809
2023-02-06,813
2023-02-07,749
2023-02-08,753
2023-02-09,786
2023-02-10,797
2023-02-11,857
2023-02-12,795
2023-02-13,730
2023-02-14,635
2023-02-15,664
2023-02-16,730
2023-02-17,747
2023-02-18,835
2023-02-19,863
2023-02-20,752
2023-02-21,624
2023-02-22,605
2023-02-23,643
2023-02-24,764
2023-02-25,642
2023-02-26,840
2023-02-27,687
2023-02-28,693
2023-03-01,659
2023-03-02,698
2023-03-03,577
2023-03-04,609
2023-03-05,590
2023-03-06,556
2023-03-07,456
2023-03-08,479
2023-03-09,490
2023-03-10,517
2023-03-11,523
2023-03-12,542
2023-03-13,508
2023-03-14,469
2023-03-15,506
2023-03-16,512
2023-03-17,554
2023-03-18,540
2023-03-19,557
2023-03-20,522
2023-03-21,469
2023-03-22,531
2023-03-23,540
2023-03-24,502
2023-03-25,497
2023-03-26,530
2023-03-27,506
2023-03-28,416
2023-03-29,450
2023-03-30,469
2023-03-31,525
2023-04-01,447
2023-04-02,506
2023-04-03,492
2023-04-04,462
2023-04-05,480
2023-04-06,474
2023-04-07,452
2023-04-08,544
2023-04-09,575
2023-04-10,517
2023-04-11,497
2023-04-12,508
2023-04-13,530
2023-04-14,509
2023-04-15,547
2023-04-16,555
