,Sales Rank
2022-12-14,544
2022-12-15,617
2022-12-16,632
2022-12-17,550
2022-12-18,467
2022-12-19,401
2022-12-20,454
2022-12-21,478
2022-12-22,433
2022-12-23,443
2022-12-24,436
2022-12-25,472
2022-12-26,555
2022-12-27,519
2022-12-28,429
2022-12-29,413
2022-12-30,372
2022-12-31,506
2023-01-01,505
2023-01-02,402
2023-01-03,432
2023-01-04,429
2023-01-05,451
2023-01-06,459
2023-01-07,452
2023-01-08,440
2023-01-09,453
2023-01-10,443
2023-01-11,457
2023-01-12,465
2023-01-13,463
2023-01-14,428
2023-01-15,385
2023-01-16,468
2023-01-17,525
2023-01-18,470
2023-01-19,424
2023-01-20,405
2023-01-21,381
2023-01-22,324
2023-01-23,365
2023-01-24,424
2023-01-25,459
2023-01-26,450
2023-01-27,459
2023-01-28,432
2023-01-29,486
2023-01-30,639
2023-01-31,774
2023-02-01,789
2023-02-02,846
2023-02-03,22685
2023-02-04,794
2023-02-05,725
2023-02-06,709
2023-02-07,706
2023-02-08,701
2023-02-09,607
2023-02-10,583
2023-02-11,515
2023-02-12,453
2023-02-13,394
2023-02-14,298
2023-02-15,313
2023-02-16,255
2023-02-17,265
2023-02-18,276
2023-02-19,281
2023-02-20,341
2023-02-21,394
2023-02-22,425
2023-02-23,401
2023-02-24,412
2023-02-25,428
2023-02-27,416
2023-02-28,449
2023-03-01,314
2023-03-02,269
2023-03-03,212
2023-03-04,311
2023-03-05,498
2023-03-06,574
2023-03-07,647
2023-03-08,608
2023-03-09,605
2023-03-10,570
2023-03-11,540
2023-03-12,566
2023-03-13,567
2023-03-14,537
2023-03-15,503
2023-03-16,380
2023-03-17,356
2023-03-18,378
2023-03-19,364
2023-03-20,418
2023-03-21,514
2023-03-22,502
2023-03-23,525
2023-03-24,445
2023-03-25,514
2023-03-26,517
2023-03-27,532
2023-03-28,505
2023-03-29,425
2023-03-30,378
2023-03-31,387
2023-04-01,281
2023-04-02,197
2023-04-03,232
2023-04-04,300
2023-04-05,290
2023-04-06,295
2023-04-07,264
2023-04-08,268
2023-04-09,271
2023-04-10,287
2023-04-11,284
2023-04-12,277
2023-04-13,234
2023-04-14,269
2023-04-15,279
2023-04-16,258
2023-04-17,364
2023-04-18,402
2023-04-19,402
2023-04-20,315
2023-04-21,320
2023-04-22,345
2023-04-23,426
2023-04-24,528
2023-04-25,551
2023-04-26,602
2023-04-27,590
2023-04-28,615
2023-04-29,596
2023-04-30,632
2023-05-01,547
2023-05-02,420
2023-05-03,372
2023-05-04,274
2023-05-05,268
2023-05-06,208
2023-05-07,204
2023-05-08,276
2023-05-09,281
2023-05-10,289
2023-05-11,300
2023-05-12,311
2023-05-13,291
2023-05-14,286
2023-05-15,325
2023-05-16,317
2023-05-17,303
2023-05-18,297
2023-05-19,303
2023-05-20,280
2023-05-21,237
2023-05-22,270
2023-05-23,256
2023-05-24,285
2023-05-25,322
2023-05-26,340
2023-05-27,331
2023-05-28,279
2023-05-30,328
2023-05-31,312
2023-06-01,308
2023-06-02,282
2023-06-03,299
2023-06-04,290
2023-06-05,328
2023-06-06,351
2023-06-07,349
2023-06-08,345
2023-06-09,352
2023-06-10,338
2023-06-11,325
2023-06-12,296
2023-06-13,340
2023-06-14,372
2023-06-15,344
2023-06-16,370
2023-06-17,378
2023-06-18,376
2023-06-19,361
2023-06-20,332
2023-06-21,325
2023-06-22,335
2023-06-23,364
2023-06-24,413
2023-06-25,388
2023-06-26,360
2023-06-27,344
2023-06-28,327
2023-06-29,324
2023-06-30,341
2023-07-01,321
2023-07-02,295
2023-07-03,336
2023-07-04,380
