,Sales Rank
2022-12-14,37866
2022-12-15,40190
2022-12-16,43885
2022-12-17,33610
2022-12-18,40720
2022-12-19,36314
2022-12-20,35619
2022-12-21,35383
2022-12-22,38448
2022-12-23,37345
2022-12-24,35654
2022-12-25,32461
2022-12-26,32926
2022-12-27,31720
2022-12-28,32836
2022-12-29,27089
2022-12-30,29335
2022-12-31,19013
2023-01-01,33855
2023-01-02,27560
2023-01-03,30588
2023-01-04,27144
2023-01-05,25941
2023-01-06,24901
2023-01-07,22342
2023-01-08,22677
2023-01-09,21775
2023-01-10,20806
2023-01-11,19897
2023-01-12,22026
2023-01-13,24124
2023-01-14,33063
2023-01-15,32456
2023-01-16,38418
2023-01-17,23451
2023-01-18,37314
2023-01-19,43776
2023-01-20,37873
2023-01-21,34375
2023-01-22,26665
2023-01-23,35559
2023-01-24,29137
2023-01-25,16187
2023-01-26,23521
2023-01-27,25503
2023-01-28,30797
2023-01-29,44057
2023-01-30,31633
2023-01-31,30073
2023-02-01,33791
2023-02-02,34569
2023-02-03,30642
2023-02-04,34220
2023-02-05,26277
2023-02-06,32693
2023-02-07,36589
2023-02-08,32428
2023-02-09,33948
2023-02-10,30144
2023-02-11,30700
2023-02-12,29216
2023-02-13,29433
2023-02-14,28107
2023-02-15,27135
2023-02-16,29344
2023-02-17,30267
2023-02-18,23071
2023-02-19,26344
2023-02-20,29430
2023-02-21,37801
2023-02-22,30177
2023-02-23,21095
2023-02-24,27643
2023-02-25,37557
2023-02-26,31272
2023-02-27,30941
2023-02-28,33896
2023-03-01,30154
2023-03-02,26224
2023-03-03,25223
2023-03-04,28697
2023-03-05,23932
2023-03-06,35545
2023-03-07,16510
2023-03-08,19216
2023-03-09,18415
2023-03-10,28940
2023-03-11,24005
2023-03-12,23034
2023-03-13,21062
2023-03-14,22474
2023-03-15,19657
2023-03-16,24974
2023-03-17,26429
2023-03-18,21629
2023-03-19,31628
2023-03-20,23333
2023-03-21,25419
2023-03-22,27681
2023-03-23,18690
2023-03-24,25891
2023-03-25,24233
2023-03-26,27000
2023-03-27,26564
2023-03-28,34655
2023-03-29,35029
2023-03-30,21635
2023-03-31,36522
2023-04-01,18245
2023-04-02,23831
2023-04-03,24856
2023-04-04,17712
2023-04-05,23447
2023-04-06,19853
2023-04-07,27251
2023-04-08,23305
2023-04-09,18635
2023-04-10,26938
2023-04-11,26085
2023-04-12,18408
2023-04-13,18700
2023-04-14,15405
2023-04-15,15962
2023-04-16,17385
2023-04-17,16709
2023-04-18,14013
2023-04-19,20158
2023-04-20,15209
2023-04-21,17412
2023-04-22,21298
2023-04-23,19845
2023-04-24,17729
2023-04-25,15202
2023-04-26,12721
2023-04-27,13349
2023-04-28,13091
2023-04-29,16835
2023-04-30,19780
2023-05-01,16775
2023-05-02,15870
2023-05-03,17135
2023-05-04,14133
2023-05-05,13483
2023-05-06,14764
2023-05-07,18020
2023-05-08,14463
2023-05-09,16556
2023-05-10,14890
2023-05-11,19010
2023-05-12,13830
2023-05-13,16032
2023-05-14,14636
2023-05-15,14538
2023-05-16,18243
2023-05-17,15031
2023-05-18,13809
2023-05-19,16455
2023-05-20,19722
2023-05-21,17411
2023-05-22,13875
2023-05-23,14701
2023-05-24,17591
2023-05-25,15930
2023-05-26,15332
2023-05-27,25390
2023-05-28,19650
2023-05-30,15808
2023-05-31,15534
2023-06-01,22368
2023-06-02,13524
2023-06-03,18372
2023-06-04,17588
2023-06-05,13530
2023-06-06,12858
2023-06-07,14802
2023-06-08,16399
2023-06-09,15324
2023-06-10,19374
2023-06-11,20066
2023-06-12,21592
2023-06-13,18819
2023-06-14,15413
2023-06-15,18961
2023-06-16,16846
2023-06-17,20212
2023-06-18,19679
2023-06-19,16537
2023-06-20,20339
2023-06-21,21846
2023-06-22,21133
2023-06-23,19769
2023-06-24,16142
2023-06-25,18357
2023-06-26,16734
2023-06-27,18958
