,Sales Rank
2022-12-14,914
2022-12-15,979
2022-12-16,1101
2022-12-17,1088
2022-12-18,1176
2022-12-19,1271
2022-12-20,1299
2022-12-21,1158
2022-12-22,1135
2022-12-23,1187
2022-12-24,1186
2022-12-25,1229
2022-12-26,1207
2022-12-27,1386
2022-12-28,1379
2022-12-29,1165
2022-12-30,1135
2022-12-31,1137
2023-01-01,1252
2023-01-02,1164
2023-01-03,997
2023-01-04,944
2023-01-05,978
2023-01-06,891
2023-01-07,871
2023-01-08,831
2023-01-09,813
2023-01-10,2826
2023-01-11,734
2023-01-12,810
2023-01-13,920
2023-01-14,1266
2023-01-15,1360
2023-01-16,1457
2023-01-17,1238
2023-01-18,1384
2023-01-19,1468
2023-01-20,1450
2023-01-21,1504
2023-01-22,1469
2023-01-23,1657
2023-01-24,1563
2023-01-25,1615
2023-01-26,1354
2023-01-27,1703
2023-01-28,1397
2023-01-29,1694
2023-01-30,1622
2023-01-31,1521
2023-02-01,1519
2023-02-02,1646
2023-02-03,1483
2023-02-04,1723
2023-02-05,1821
2023-02-06,1578
2023-02-07,1405
2023-02-08,1433
2023-02-09,-1
2023-02-15,1531
2023-02-16,1372
2023-02-17,1355
2023-02-18,1426
2023-02-19,1437
2023-02-20,1052
2023-02-21,1176
2023-02-22,1147
2023-02-23,1030
2023-02-24,1020
2023-02-25,1024
2023-02-26,1057
2023-02-27,941
2023-02-28,918
2023-03-01,897
2023-03-02,789
2023-03-03,868
2023-03-04,869
2023-03-05,865
2023-03-06,848
2023-03-07,761
2023-03-08,732
2023-03-09,901
2023-03-10,942
2023-03-11,856
2023-03-12,883
2023-03-13,997
2023-03-14,749
2023-03-15,748
2023-03-16,805
2023-03-17,815
2023-03-18,762
2023-03-19,826
2023-03-20,806
2023-03-21,799
2023-03-22,698
2023-03-23,653
2023-03-24,595
2023-03-25,603
2023-03-26,598
2023-03-27,521
2023-03-28,498
2023-03-29,488
2023-03-30,456
2023-03-31,443
2023-04-01,440
2023-04-02,433
2023-04-03,398
