,Sales Rank
2022-12-14,2332
2022-12-15,2451
2022-12-16,2605
2022-12-17,3095
2022-12-18,3703
2022-12-19,4180
2022-12-20,4368
2022-12-21,3694
2022-12-22,3715
2022-12-23,2764
2022-12-24,3184
2022-12-25,2127
2022-12-26,2935
2022-12-27,3668
2022-12-28,5691
2022-12-29,8685
2022-12-30,3206
2022-12-31,6676
2023-01-01,9898
2023-01-02,4207
2023-01-03,2468
2023-01-04,2523
2023-01-05,3163
2023-01-06,3088
2023-01-07,3038
2023-01-08,2898
2023-01-09,2424
2023-01-10,2315
2023-01-11,2349
2023-01-12,2682
2023-01-13,2853
2023-01-14,5030
2023-01-15,5230
2023-01-16,7013
2023-01-17,7798
2023-01-18,1817
2023-01-19,3355
2023-01-20,5643
2023-01-21,8800
2023-01-22,9652
2023-01-23,7295
2023-01-24,5025
2023-01-25,4930
2023-01-26,4337
2023-01-27,2363
2023-01-28,2497
2023-01-29,3063
2023-01-30,1607
2023-01-31,3633
2023-02-01,4330
2023-02-02,787
2023-02-03,2293
2023-02-04,2906
2023-02-05,3309
2023-02-06,3332
2023-02-07,2784
2023-02-08,2620
2023-02-09,2926
2023-02-10,2894
2023-02-11,2739
2023-02-12,2738
2023-02-13,2443
2023-02-14,1978
2023-02-15,1778
2023-02-16,1965
2023-02-17,2010
2023-02-18,2170
2023-02-19,2260
2023-02-20,2114
2023-02-21,1969
2023-02-22,1744
2023-02-23,2303
2023-02-24,2497
2023-02-25,2539
2023-02-26,2409
2023-02-27,2200
2023-02-28,2182
2023-03-01,2242
2023-03-02,2446
2023-03-03,1993
2023-03-04,2650
2023-03-05,2715
2023-03-06,2287
2023-03-07,1785
2023-03-08,1818
2023-03-09,2106
2023-03-10,2196
2023-03-11,2331
2023-03-12,2194
2023-03-13,2139
2023-03-14,2228
2023-03-15,2284
2023-03-16,2377
2023-03-17,2025
2023-03-18,2417
2023-03-19,2217
2023-03-20,2131
2023-03-21,1986
2023-03-22,1835
2023-03-23,2053
2023-03-24,2312
2023-03-25,2191
2023-03-26,2629
2023-03-27,2195
2023-03-28,3191
2023-03-29,2422
2023-03-30,3278
2023-03-31,3820
2023-04-01,4500
2023-04-02,4707
2023-04-03,4093
2023-04-04,3131
2023-04-05,2320
2023-04-06,2181
2023-04-07,2200
2023-04-08,2152
2023-04-09,2378
2023-04-10,1922
2023-04-11,1888
2023-04-12,2057
2023-04-13,1944
2023-04-14,2088
2023-04-15,1976
2023-04-16,2208
2023-04-17,2191
2023-04-18,1863
2023-04-19,1960
2023-04-20,1640
2023-04-21,1910
2023-04-22,2084
2023-04-23,1977
2023-04-24,1778
2023-04-25,1961
2023-04-26,2105
2023-04-27,2225
2023-04-28,2125
2023-04-29,2226
2023-04-30,2277
2023-05-01,2227
2023-05-02,2159
2023-05-03,1981
2023-05-04,1961
2023-05-05,1980
2023-05-06,2188
2023-05-07,2927
2023-05-08,2334
2023-05-09,2697
2023-05-10,2656
2023-05-11,2653
2023-05-12,2786
2023-05-13,3377
2023-05-14,2495
