,Sales Rank
2022-12-14,483
2022-12-15,511
2022-12-16,529
2022-12-17,606
2022-12-18,683
2022-12-19,661
2022-12-20,624
2022-12-21,615
2022-12-22,531
2022-12-23,515
2022-12-24,554
2022-12-25,627
2022-12-26,558
2022-12-27,625
2022-12-28,628
2022-12-29,605
2022-12-30,653
2022-12-31,633
2023-01-01,625
2023-01-02,503
2023-01-03,495
2023-01-04,484
2023-01-05,447
2023-01-06,444
2023-01-07,446
2023-01-08,469
2023-01-09,463
2023-01-10,458
2023-01-11,448
2023-01-12,485
2023-01-13,431
2023-01-14,425
2023-01-15,435
2023-01-16,415
2023-01-17,422
2023-01-18,412
2023-01-19,403
2023-01-20,402
2023-01-21,454
2023-01-22,459
2023-01-23,423
2023-01-24,442
2023-01-25,406
2023-01-26,426
2023-01-27,404
2023-01-28,467
2023-01-29,473
2023-01-30,379
2023-01-31,375
2023-02-01,384
2023-02-02,362
2023-02-03,348
2023-02-04,402
2023-02-05,445
2023-02-06,351
2023-02-07,339
2023-02-08,338
2023-02-09,321
2023-02-10,320
2023-02-11,390
2023-02-12,528
2023-02-13,481
2023-02-14,516
2023-02-15,335
2023-02-16,421
2023-02-17,464
2023-02-18,578
2023-02-19,681
2023-02-20,578
2023-02-21,465
2023-02-22,365
2023-02-23,431
2023-02-24,483
2023-02-25,640
2023-02-26,659
2023-02-27,541
2023-02-28,508
2023-03-01,583
2023-03-02,350
2023-03-03,338
2023-03-04,388
2023-03-05,478
2023-03-06,416
2023-03-07,317
2023-03-08,280
2023-03-09,366
2023-03-10,371
2023-03-11,433
2023-03-12,458
2023-03-13,434
2023-03-14,465
2023-03-15,311
2023-03-16,388
2023-03-17,410
2023-03-18,495
2023-03-19,490
2023-03-20,415
2023-03-21,483
2023-03-22,536
2023-03-23,296
2023-03-24,438
2023-03-25,492
2023-03-26,546
2023-03-27,447
2023-03-28,484
2023-03-29,477
2023-03-30,404
2023-03-31,422
2023-04-01,440
2023-04-02,416
2023-04-03,451
2023-04-04,482
2023-04-05,473
2023-04-06,364
2023-04-07,434
2023-04-08,454
2023-04-09,469
2023-04-10,444
2023-04-11,398
2023-04-12,524
2023-04-13,390
2023-04-14,388
2023-04-15,434
2023-04-16,536
2023-04-17,481
2023-04-18,441
2023-04-19,363
2023-04-20,394
2023-04-21,399
2023-04-22,514
2023-04-23,563
2023-04-24,478
2023-04-25,445
2023-04-26,436
2023-04-27,376
2023-04-28,421
2023-04-29,486
2023-04-30,489
2023-05-01,419
2023-05-02,480
2023-05-03,530
2023-05-04,471
2023-05-05,467
2023-05-06,499
2023-05-07,557
2023-05-08,467
2023-05-09,435
2023-05-10,447
2023-05-11,466
2023-05-12,432
2023-05-13,409
2023-05-14,441
2023-05-15,421
2023-05-16,462
2023-05-17,438
2023-05-18,450
2023-05-19,450
2023-05-20,468
2023-05-21,561
2023-05-22,482
2023-05-23,461
2023-05-24,467
2023-05-25,512
2023-05-26,443
2023-05-27,445
2023-05-28,521
2023-05-30,445
2023-05-31,462
2023-06-01,404
2023-06-02,373
2023-06-03,459
2023-06-04,478
2023-06-05,404
2023-06-06,448
2023-06-07,323
2023-06-08,291
2023-06-09,365
2023-06-10,475
2023-06-11,462
2023-06-12,408
2023-06-13,402
2023-06-14,427
2023-06-15,441
2023-06-16,382
2023-06-17,471
2023-06-18,531
2023-06-19,423
2023-06-20,209
2023-06-21,209
2023-06-22,205
2023-06-23,205
2023-06-24,71
2023-06-25,89
2023-06-26,98
2023-06-27,94
2023-06-28,87
2023-06-29,85
2023-06-30,72
2023-07-01,83
2023-07-02,108
2023-07-03,57
2023-07-04,82
2023-07-05,81
2023-07-06,69
2023-07-07,62
2023-07-08,83
2023-07-09,105
2023-07-10,89
2023-07-11,157
2023-07-12,203
2023-07-13,140
2023-07-14,127
2023-07-15,125
2023-07-16,125
2023-07-17,84
2023-07-18,78
2023-07-19,106
2023-07-20,69
2023-07-21,71
2023-07-22,80
2023-07-23,102
2023-07-24,91
2023-07-25,87
2023-07-26,90
2023-07-27,86
2023-07-28,77
2023-07-29,87
2023-07-30,109
2023-07-31,101
2023-08-01,78
2023-08-02,68
2023-08-03,74
2023-08-04,72
2023-08-05,74
2023-08-06,87
2023-08-07,87
2023-08-08,72
2023-08-09,75
2023-08-10,82
2023-08-11,85
2023-08-12,105
2023-08-13,109
2023-08-14,81
2023-08-15,83
2023-08-16,83
2023-08-17,91
2023-08-18,84
2023-08-19,96
2023-08-20,105
2023-08-21,89
2023-08-22,88
2023-08-23,93
2023-08-24,84
2023-08-25,77
2023-08-26,92
2023-08-27,113
2023-08-28,88
2023-08-29,90
2023-08-30,90
2023-08-31,85
2023-09-01,76
2023-09-02,94
2023-09-03,98
2023-09-04,77
2023-09-05,82
2023-09-06,81
2023-09-07,81
2023-09-08,73
2023-09-09,110
2023-09-10,108
2023-09-11,92
2023-09-12,107
2023-09-13,90
2023-09-14,85
2023-09-15,85
2023-09-16,111
2023-09-17,111
2023-09-18,90
2023-09-19,87
2023-09-20,91
2023-09-21,89
2023-09-22,81
2023-09-23,87
2023-09-24,105
2023-09-25,82
2023-09-26,82
2023-09-27,96
2023-09-28,84
2023-09-29,77
2023-09-30,95
2023-10-01,104
2023-10-02,82
2023-10-03,72
2023-10-04,85
2023-10-05,25
2023-10-06,26
2023-10-07,51
2023-10-08,52
2023-10-09,44
2023-10-10,48
2023-10-11,89
2023-10-12,97
2023-10-13,67
2023-10-14,8575
2023-10-15,7348
2023-10-16,7778
2023-10-17,10329
2023-10-18,8823
2023-10-19,10335
2023-10-20,10775
2023-10-21,11890
2023-10-22,9346
2023-10-23,8671
2023-10-24,11559
2023-10-25,8681
2023-10-26,9197
2023-10-27,9418
2023-10-28,10653
2023-10-29,11498
2023-10-30,9616
2023-10-31,8864
2023-11-01,8115
2023-11-02,9149
2023-11-03,9227
2023-11-04,10419
2023-11-05,11366
2023-11-06,10964
2023-11-07,9841
2023-11-08,8081
2023-11-09,10721
2023-11-10,8238
2023-11-11,9077
2023-11-12,10172
2023-11-13,8241
2023-11-14,9103
2023-11-15,7722
2023-11-16,7063
2023-11-17,8118
2023-11-18,9539
2023-11-19,10852
2023-11-20,9871
2023-11-21,8451
