,Sales Rank
2022-12-14,529
2022-12-15,487
2022-12-16,532
2022-12-17,492
2022-12-18,511
2022-12-19,533
2022-12-20,509
2022-12-21,484
2022-12-22,436
2022-12-23,417
2022-12-24,413
2022-12-25,467
2022-12-26,332
2022-12-27,306
2022-12-28,290
2022-12-29,310
2022-12-30,321
2022-12-31,327
2023-01-01,352
2023-01-02,353
2023-01-03,329
2023-01-04,343
2023-01-05,324
2023-01-06,348
2023-01-07,359
2023-01-08,371
2023-01-09,394
2023-01-10,413
2023-01-11,422
2023-01-12,416
2023-01-13,378
2023-01-14,360
2023-01-15,395
2023-01-16,398
2023-01-17,371
2023-01-18,324
2023-01-19,324
2023-01-20,351
2023-01-21,388
2023-01-22,350
2023-01-23,340
2023-01-24,368
2023-01-25,274
2023-01-26,313
2023-01-27,313
2023-01-28,346
2023-01-29,389
2023-01-30,375
2023-01-31,353
2023-02-01,377
2023-02-02,348
2023-02-03,372
2023-02-04,410
2023-02-05,440
2023-02-06,392
2023-02-07,346
2023-02-08,362
2023-02-09,354
2023-02-10,339
2023-02-11,348
2023-02-12,356
2023-02-13,316
2023-02-14,330
2023-02-15,357
2023-02-16,346
2023-02-17,339
2023-02-18,343
2023-02-19,358
2023-02-20,377
2023-02-21,360
2023-02-22,352
2023-02-23,370
2023-02-24,384
2023-02-25,388
2023-02-26,416
2023-02-27,388
2023-02-28,355
2023-03-01,362
2023-03-02,325
2023-03-03,402
2023-03-04,423
2023-03-05,439
2023-03-06,380
2023-03-07,356
2023-03-08,400
2023-03-09,315
2023-03-10,359
2023-03-11,376
2023-03-12,407
2023-03-13,360
2023-03-14,356
2023-03-15,359
2023-03-16,365
2023-03-17,329
2023-03-18,351
2023-03-19,401
2023-03-20,382
2023-03-21,386
2023-03-22,367
2023-03-23,343
2023-03-24,393
2023-03-25,430
2023-03-26,435
2023-03-27,406
2023-03-28,381
2023-03-29,355
2023-03-30,376
2023-03-31,378
2023-04-01,376
2023-04-02,391
2023-04-03,370
2023-04-04,361
2023-04-05,354
2023-04-06,370
2023-04-07,297
2023-04-08,376
2023-04-09,408
2023-04-10,357
2023-04-11,355
2023-04-12,330
2023-04-13,324
2023-04-14,334
2023-04-15,357
2023-04-16,357
2023-04-17,338
2023-04-18,348
2023-04-19,342
2023-04-20,326
2023-04-21,318
2023-04-22,362
2023-04-23,371
2023-04-24,370
2023-04-25,352
2023-04-26,348
2023-04-27,356
2023-04-28,340
2023-04-29,352
2023-04-30,366
2023-05-01,335
2023-05-02,438
2023-05-03,435
2023-05-04,407
2023-05-05,376
2023-05-06,391
2023-05-07,409
2023-05-08,391
