,Sales Rank
2022-12-14,57
2022-12-15,52
2022-12-16,52
2022-12-17,50
2022-12-18,45
2022-12-19,44
2022-12-20,48
2022-12-21,53
2022-12-22,49
2022-12-23,60
2022-12-24,73
2022-12-25,83
2022-12-26,90
2022-12-27,104
2022-12-28,97
2022-12-29,98
2022-12-30,103
2022-12-31,92
2023-01-01,90
2023-01-02,105
2023-01-03,99
2023-01-04,90
2023-01-05,87
2023-01-06,87
2023-01-07,88
2023-01-08,87
2023-01-09,88
2023-01-10,87
2023-01-11,89
2023-01-12,88
2023-01-13,86
2023-01-14,95
2023-01-15,88
2023-01-16,96
2023-01-17,85
2023-01-18,84
2023-01-19,86
2023-01-20,92
2023-01-21,86
2023-01-22,75
2023-01-23,82
2023-01-24,83
2023-01-25,72
2023-01-26,70
2023-01-27,62
2023-01-28,60
2023-01-29,64
2023-01-30,65
2023-01-31,67
2023-02-01,72
2023-02-02,71
2023-02-03,72
2023-02-04,77
2023-02-05,71
2023-02-06,80
2023-02-07,76
2023-02-08,77
2023-02-09,78
2023-02-10,87
2023-02-11,92
2023-02-12,91
2023-02-13,90
2023-02-14,92
2023-02-15,88
2023-02-16,88
2023-02-17,96
2023-02-18,95
2023-02-19,94
2023-02-20,87
2023-02-21,81
2023-02-22,79
2023-02-23,85
2023-02-24,87
2023-02-25,91
2023-02-26,94
2023-02-27,91
2023-02-28,79
2023-03-01,75
2023-03-02,75
2023-03-03,79
2023-03-04,78
2023-03-05,89
2023-03-06,79
2023-03-07,77
2023-03-08,78
2023-03-09,80
2023-03-10,84
2023-03-11,86
2023-03-12,93
2023-03-13,80
2023-03-14,73
2023-03-15,70
2023-03-16,74
2023-03-17,76
2023-03-18,83
2023-03-19,77
2023-03-20,80
2023-03-21,74
2023-03-22,80
2023-03-23,81
2023-03-24,91
2023-03-25,90
2023-03-26,104
2023-03-27,80
2023-03-28,73
2023-03-29,72
2023-03-30,76
2023-03-31,69
2023-04-01,73
2023-04-02,79
2023-04-03,69
2023-04-04,70
2023-04-05,65
2023-04-06,66
2023-04-07,70
2023-04-08,71
2023-04-09,83
2023-04-10,76
2023-04-11,75
2023-04-12,81
2023-04-13,82
2023-04-14,83
2023-04-15,74
2023-04-16,76
2023-04-17,71
2023-04-18,66
2023-04-19,66
2023-04-20,72
2023-04-21,73
2023-04-22,86
2023-04-23,77
2023-04-24,76
2023-04-25,76
2023-04-26,78
2023-04-27,82
2023-04-28,77
2023-04-29,72
2023-04-30,85
2023-05-01,74
2023-05-02,91
2023-05-03,92
2023-05-04,80
2023-05-05,79
2023-05-06,84
2023-05-07,81
2023-05-08,80
2023-05-09,78
2023-05-10,78
2023-05-11,78
2023-05-12,80
2023-05-13,78
2023-05-14,87
2023-05-15,74
2023-05-16,75
2023-05-17,80
2023-05-18,76
2023-05-19,77
2023-05-20,83
2023-05-21,79
2023-05-22,71
2023-05-23,64
2023-05-24,66
2023-05-25,69
2023-05-26,70
2023-05-27,65
2023-05-28,67
2023-05-30,63
2023-05-31,56
2023-06-01,55
2023-06-02,58
2023-06-03,75
2023-06-04,75
2023-06-05,61
2023-06-06,66
2023-06-07,59
2023-06-08,50
2023-06-09,48
2023-06-10,52
2023-06-11,67
2023-06-12,55
2023-06-13,59
2023-06-14,66
2023-06-15,70
2023-06-16,70
2023-06-17,75
2023-06-18,71
2023-06-19,65
2023-06-20,64
2023-06-21,64
2023-06-22,67
