,Sales Rank
2022-12-14,1250
2022-12-15,1238
2022-12-16,1229
2022-12-17,1264
2022-12-18,1371
2022-12-19,1423
2022-12-20,1302
2022-12-21,1385
2022-12-22,1281
2022-12-23,1186
2022-12-24,1166
2022-12-25,1068
2022-12-26,1070
2022-12-27,1008
2022-12-28,1049
2022-12-29,907
2022-12-30,983
2022-12-31,910
2023-01-01,1025
2023-01-02,1246
2023-01-03,1302
2023-01-04,1085
2023-01-05,1070
2023-01-06,1021
2023-01-07,1029
2023-01-08,1041
2023-01-09,1049
2023-01-10,1050
2023-01-11,1104
2023-01-12,1051
2023-01-13,958
2023-01-14,1382
2023-01-15,1128
2023-01-16,928
2023-01-17,938
2023-01-18,889
2023-01-19,887
2023-01-20,858
2023-01-21,846
2023-01-22,867
2023-01-23,764
2023-01-24,817
2023-01-25,802
2023-01-26,796
2023-01-27,851
2023-01-28,804
2023-01-29,817
2023-01-30,794
2023-01-31,708
2023-02-01,696
2023-02-02,783
2023-02-03,659
2023-02-04,787
2023-02-05,788
2023-02-06,661
2023-02-07,691
2023-02-08,717
2023-02-09,696
2023-02-10,592
2023-02-11,638
2023-02-12,463
2023-02-13,501
2023-02-14,400
2023-02-15,106
2023-02-16,291
2023-02-17,568
2023-02-18,867
2023-02-19,1145
2023-02-20,891
2023-02-21,545
2023-02-22,663
2023-02-23,734
2023-02-24,818
2023-02-25,889
2023-02-26,760
2023-02-27,731
2023-02-28,600
2023-03-01,699
2023-03-02,855
2023-03-03,799
2023-03-04,861
2023-03-05,633
2023-03-06,747
2023-03-07,725
2023-03-08,750
2023-03-09,856
2023-03-10,910
2023-03-11,888
2023-03-12,899
2023-03-13,932
2023-03-14,847
2023-03-15,843
2023-03-16,962
2023-03-17,916
2023-03-18,900
2023-03-19,935
2023-03-20,862
2023-03-21,768
2023-03-22,681
2023-03-23,716
2023-03-24,680
2023-03-25,801
2023-03-26,828
2023-03-27,840
2023-03-28,855
2023-03-29,795
2023-03-30,772
2023-03-31,752
2023-04-01,779
2023-04-02,916
2023-04-03,680
2023-04-04,635
2023-04-05,722
2023-04-06,696
2023-04-07,604
2023-04-08,735
2023-04-09,712
2023-04-10,622
2023-04-11,588
2023-04-12,537
2023-04-13,596
2023-04-14,645
2023-04-15,613
2023-04-16,624
2023-04-17,565
2023-04-18,526
2023-04-19,492
2023-04-20,498
2023-04-21,513
2023-04-22,595
2023-04-23,643
2023-04-24,513
2023-04-25,538
2023-04-26,551
2023-04-27,522
2023-04-28,554
2023-04-29,605
2023-04-30,635
2023-05-01,574
2023-05-02,486
2023-05-03,463
2023-05-04,462
2023-05-05,518
2023-05-06,542
2023-05-07,704
2023-05-08,608
2023-05-09,634
2023-05-10,650
2023-05-11,622
2023-05-12,553
2023-05-13,585
2023-05-14,532
2023-05-15,485
2023-05-16,470
2023-05-17,535
2023-05-18,489
2023-05-19,526
2023-05-20,582
2023-05-21,614
2023-05-22,583
2023-05-23,558
2023-05-24,549
2023-05-25,527
2023-05-26,579
2023-05-27,539
2023-05-28,580
2023-05-30,580
2023-05-31,506
2023-06-01,522
2023-06-02,568
2023-06-03,646
2023-06-04,670
2023-06-05,745
2023-06-06,592
2023-06-07,614
2023-06-08,589
2023-06-09,549
2023-06-10,516
2023-06-11,558
2023-06-12,541
2023-06-13,582
2023-06-14,606
2023-06-15,633
2023-06-16,634
2023-06-17,635
2023-06-18,582
2023-06-19,544
2023-06-20,538
2023-06-21,545
2023-06-22,523
2023-06-23,513
2023-06-24,482
2023-06-25,538
2023-06-26,553
2023-06-27,527
2023-06-28,553
2023-06-29,544
2023-06-30,529
2023-07-01,598
2023-07-02,616
2023-07-03,452
2023-07-04,498
2023-07-05,546
2023-07-06,515
2023-07-07,522
2023-07-08,586
2023-07-09,636
2023-07-10,533
2023-07-11,629
2023-07-12,1002
2023-07-13,818
2023-07-14,641
2023-07-15,657
2023-07-16,676
2023-07-17,633
2023-07-18,549
2023-07-19,601
2023-07-20,603
2023-07-21,606
2023-07-22,632
2023-07-23,696
2023-07-24,600
2023-07-25,527
2023-07-26,548
2023-07-27,539
2023-07-28,541
2023-07-29,591
2023-07-30,664
2023-07-31,536
2023-08-01,565
2023-08-02,587
2023-08-03,577
