,Sales Rank
2022-12-14,52466
2022-12-15,56386
2022-12-16,54661
2022-12-17,39050
2022-12-18,33068
2022-12-19,29973
2022-12-20,32854
2022-12-21,35765
2022-12-22,37377
2022-12-23,32792
2022-12-24,29433
2022-12-25,26515
2022-12-26,26079
2022-12-27,24989
2022-12-28,41734
2022-12-29,29530
2022-12-30,31524
2022-12-31,29752
2023-01-01,33823
2023-01-02,32957
2023-01-03,30025
2023-01-04,26227
2023-01-05,18260
2023-01-06,16717
2023-01-07,2456
2023-01-08,2255
2023-01-09,1777
2023-01-10,1387
2023-01-11,1589
2023-01-12,1934
2023-01-13,1218
2023-01-14,598
2023-01-15,669
2023-01-16,802
2023-01-17,823
2023-01-18,1382
2023-01-19,1816
2023-01-20,1956
2023-01-21,952
2023-01-22,1370
2023-01-23,1677
2023-01-24,2167
2023-01-25,1736
2023-01-26,1067
2023-01-27,898
2023-01-28,1092
2023-01-29,1654
2023-01-30,727
2023-01-31,733
2023-02-01,551
2023-02-02,578
2023-02-03,1259
2023-02-04,1722
2023-02-05,2481
2023-02-06,1166
2023-02-07,1718
2023-02-08,977
2023-02-09,1856
2023-02-10,1810
2023-02-11,1153
2023-02-12,920
2023-02-13,1445
2023-02-14,1667
2023-02-15,1958
2023-02-16,1787
2023-02-17,1970
2023-02-18,933
2023-02-19,1021
2023-02-20,1485
2023-02-21,760
2023-02-22,754
2023-02-23,1335
2023-02-24,1581
2023-02-25,1928
2023-02-26,2305
2023-02-27,1822
2023-02-28,1905
2023-03-01,1893
2023-03-02,1669
2023-03-03,1833
2023-03-04,2196
2023-03-05,2672
2023-03-06,2422
2023-03-07,1796
2023-03-08,2104
2023-03-09,1834
2023-03-10,809
2023-03-11,597
2023-03-12,406
2023-03-13,477
2023-03-14,526
2023-03-15,501
2023-03-16,450
2023-03-17,1019
2023-03-18,1488
2023-03-19,1983
2023-03-20,2117
2023-03-21,2469
2023-03-22,2226
2023-03-23,2144
2023-03-24,2333
2023-03-25,3124
2023-03-26,3429
2023-03-27,2075
2023-03-28,1444
2023-03-29,2112
2023-03-30,2328
2023-03-31,1918
2023-04-01,2413
2023-04-02,3024
2023-04-03,2062
2023-04-04,1914
2023-04-05,1973
2023-04-06,2330
2023-04-07,2156
2023-04-08,3059
2023-04-09,3068
2023-04-10,2385
2023-04-11,2379
2023-04-12,2538
2023-04-13,2095
2023-04-14,1132
2023-04-15,1244
2023-04-16,1222
2023-04-17,868
2023-04-18,887
2023-04-19,772
2023-04-20,729
2023-04-21,699
2023-04-22,732
