,Sales Rank
2022-12-14,756
2022-12-15,725
2022-12-16,852
2022-12-17,1097
2022-12-18,1430
2022-12-19,1144
2022-12-20,1005
2022-12-21,1184
2022-12-22,1360
2022-12-23,1503
2022-12-24,1562
2022-12-25,1564
2022-12-26,1588
2022-12-27,1626
2022-12-28,1759
2022-12-29,1601
2022-12-30,1470
2022-12-31,1315
2023-01-01,1438
2023-01-02,1351
2023-01-03,1255
2023-01-04,1190
2023-01-05,1256
2023-01-06,1179
2023-01-07,1201
2023-01-08,1213
2023-01-09,1239
2023-01-10,1259
2023-01-11,1291
2023-01-12,1249
2023-01-13,1192
2023-01-14,989
2023-01-15,1454
2023-01-16,1941
2023-01-17,2341
2023-01-18,3061
2023-01-19,1827
2023-01-20,1441
2023-01-21,1525
2023-01-22,1486
2023-01-23,1766
2023-01-24,1622
2023-01-25,1386
2023-01-26,1331
2023-01-27,1261
2023-01-28,1633
2023-01-29,1578
2023-01-30,1412
2023-01-31,1294
2023-02-01,999
2023-02-02,772
2023-02-03,797
2023-02-04,792
2023-02-05,809
2023-02-06,856
2023-02-07,990
2023-02-08,999
2023-02-09,1203
2023-02-10,1249
2023-02-11,1489
2023-02-12,1388
2023-02-13,1174
2023-02-14,1386
2023-02-15,1223
2023-02-16,1120
2023-02-17,1397
2023-02-18,1574
2023-02-19,1537
2023-02-20,1445
2023-02-21,1422
2023-02-22,1339
2023-02-23,1361
2023-02-24,1339
2023-02-25,1392
2023-02-26,1776
2023-02-27,1550
2023-02-28,1401
2023-03-01,1119
2023-03-02,1355
2023-03-03,1343
2023-03-04,1400
2023-03-05,1759
2023-03-06,1864
2023-03-07,1590
2023-03-08,1707
2023-03-09,1659
2023-03-10,1596
2023-03-11,1811
2023-03-12,1722
2023-03-13,1509
2023-03-14,1627
2023-03-15,1734
2023-03-16,1556
2023-03-17,1337
2023-03-18,1607
2023-03-19,1505
2023-03-20,1527
2023-03-21,1418
2023-03-22,829
2023-03-23,1321
2023-03-24,1278
2023-03-25,1293
2023-03-26,1426
2023-03-27,1192
2023-03-28,1285
2023-03-29,1082
2023-03-30,1158
2023-03-31,1111
2023-04-01,1369
2023-04-02,1406
2023-04-03,1412
2023-04-04,1298
2023-04-05,1155
2023-04-06,1266
2023-04-07,1387
2023-04-08,1361
2023-04-09,1556
2023-04-10,1488
2023-04-11,1527
2023-04-12,1679
2023-04-13,1554
2023-04-14,1426
2023-04-15,1479
2023-04-16,1657
2023-04-17,1601
2023-04-18,1735
2023-04-19,1472
2023-04-20,1593
2023-04-21,1425
2023-04-22,1730
2023-04-23,1624
2023-04-24,1624
2023-04-25,1577
2023-04-26,1586
2023-04-27,1585
2023-04-28,1502
2023-04-29,1696
2023-04-30,1940
2023-05-01,1656
2023-05-02,1426
2023-05-03,1415
2023-05-04,1586
2023-05-05,1444
2023-05-06,1852
2023-05-07,1903
2023-05-08,1704
2023-05-09,1776
2023-05-10,1648
2023-05-11,1769
2023-05-12,1597
2023-05-13,1822
2023-05-14,2097
2023-05-15,1697
2023-05-16,1626
2023-05-17,1401
2023-05-18,888
2023-05-19,798
2023-05-20,57116
2023-05-21,59935
2023-05-22,88040
2023-05-23,74309
2023-05-24,43017
2023-05-25,59139
2023-05-26,53309
2023-05-27,73454
2023-05-28,82093
2023-05-30,102665
2023-05-31,107578
2023-06-01,63351
2023-06-02,90392
2023-06-03,79978
2023-06-04,56822
2023-06-05,83567
2023-06-06,94473
2023-06-07,69617
2023-06-08,54116
2023-06-09,71778
2023-06-10,82698
2023-06-11,97931
2023-06-12,105633
2023-06-13,108452
2023-06-14,109310
2023-06-15,113851
2023-06-16,115620
2023-06-17,41959
2023-06-18,53275
2023-06-19,67607
2023-06-20,79240
2023-06-21,85094
2023-06-22,97028
2023-06-23,103011
2023-06-24,68752
2023-06-25,55335
2023-06-26,78549
2023-06-27,48300
2023-06-28,66467
2023-06-29,76728
2023-06-30,95795
2023-07-01,101857
2023-07-02,83832
2023-07-03,100358
2023-07-04,101876
2023-07-05,68617
2023-07-06,97807
2023-07-07,106272
2023-07-08,109489
2023-07-09,114328
2023-07-10,116232
2023-07-11,120840
2023-07-12,126627
2023-07-13,95538
2023-07-14,101666
2023-07-15,98485
2023-07-16,57125
2023-07-17,83479
2023-07-18,97484
2023-07-20,46410
2023-07-21,70220
2023-07-22,46346
2023-07-23,76570
2023-07-24,75381
2023-07-25,68602
2023-07-26,43310
2023-07-27,62627
2023-07-28,51507
2023-07-29,69351
2023-07-30,64994
2023-07-31,82600
2023-08-01,93393
2023-08-02,80190
2023-08-03,57905
2023-08-05,82659
2023-08-06,91367
2023-08-08,99356
2023-08-10,48306
2023-08-11,56101
2023-08-12,71466
2023-08-13,56484
2023-08-14,55835
2023-08-15,55853
2023-08-16,74952
2023-08-17,90964
2023-08-18,64797
2023-08-19,80946
2023-08-20,80366
2023-08-21,58395
2023-08-23,81180
2023-08-24,68194
2023-08-25,63925
2023-08-26,50041
2023-08-27,69596
2023-08-28,86452
2023-08-29,95303
2023-08-30,53264
2023-08-31,74245
2023-09-01,90904
2023-09-02,54439
2023-09-03,82932
2023-09-04,89119
2023-09-05,43508
2023-09-06,54808
2023-09-07,77296
2023-09-08,81722
2023-09-09,92087
2023-09-10,105078
2023-09-11,111795
2023-09-12,113780
2023-09-13,55993
2023-09-14,66320
2023-09-16,109800
2023-09-17,116875
2023-09-19,123376
2023-09-20,124286
2023-09-21,69089
2023-09-22,68974
2023-09-23,86191
2023-09-24,80282
2023-09-25,63721
2023-09-26,86091
2023-09-27,92311
2023-09-28,1303
2023-09-29,1516
2023-09-30,1665
2023-10-01,1756
2023-10-02,1793
2023-10-03,1699
2023-10-04,1874
2023-10-05,1905
2023-10-06,1779
2023-10-07,1993
2023-10-09,1946
2023-10-10,1881
2023-10-11,2336
2023-10-12,2596
2023-10-13,1994
2023-10-14,1806
2023-10-15,1751
2023-10-16,1821
2023-10-17,1943
2023-10-18,1458
2023-10-19,1654
2023-10-20,1689
2023-10-21,1656
2023-10-22,1808
2023-10-23,1591
2023-10-24,1531
2023-10-25,1375
2023-10-26,1627
2023-10-27,15
2023-10-28,22
2023-10-29,26
2023-10-30,23
2023-10-31,49
2023-11-01,63
2023-11-02,313
2023-11-03,320
2023-11-04,431
2023-11-05,51
2023-11-06,50
2023-11-07,62
2023-11-08,83
2023-11-09,46
2023-11-10,40
2023-11-11,41
2023-11-12,48
2023-11-13,46
2023-11-14,47
2023-11-15,1217
2023-11-16,1353
2023-11-17,1433
2023-11-18,1912
2023-11-19,2397
2023-11-20,2062
2023-11-21,2079
2023-11-22,2139
2023-11-23,2032
2023-11-24,2760
2023-11-25,3063
2023-11-26,1553
2023-11-27,1132
2023-11-28,1072
2023-11-29,690
2023-11-30,704
2023-12-01,656
2023-12-02,1031
2023-12-03,1476
2023-12-04,1555
2023-12-05,2038
2023-12-06,1702
2023-12-07,1598
2023-12-08,1826
2023-12-09,2030
2023-12-10,2568
2023-12-11,2238
2023-12-12,1950
2023-12-13,1836
2023-12-14,1822
2023-12-15,1887
2023-12-16,2156
2023-12-17,2438
2023-12-18,2278
2023-12-19,2360
2023-12-20,1424
2023-12-21,1556
2023-12-22,1355
2023-12-23,1427
2023-12-24,1482
2023-12-25,1321
2023-12-26,1219
2023-12-27,1197
2023-12-28,1264
2023-12-29,112969
2023-12-30,72748
2023-12-31,105914
2024-01-01,61663
2024-01-02,42431
2024-01-03,76134
2024-01-04,99344
2024-01-05,115169
2024-01-06,66413
2024-01-07,102051
2024-01-08,115063
2024-01-09,51458
2024-01-10,189
2024-01-11,98479
2024-01-12,110829
2024-01-13,127301
2024-01-14,131056
2024-01-15,59537
2024-01-16,100040
2024-01-17,111669
2024-01-18,121757
2024-01-19,128809
2024-01-20,135354
2024-01-21,138444
2024-01-22,141599
2024-01-23,143065
2024-01-24,143866
2024-01-25,144386
2024-01-26,44193
2024-01-27,63723
2024-01-28,70860
2024-01-29,68428
2024-01-30,90078
2024-01-31,104283
2024-02-01,114684
2024-02-02,88507
2024-02-03,92697
2024-02-04,66181
2024-02-05,87363
2024-02-06,107161
2024-02-07,113124
2024-02-08,82559
2024-02-09,103450
2024-02-10,61343
2024-02-11,80601
2024-02-12,97371
2024-02-13,104615
2024-02-14,45226
2024-02-15,58384
2024-02-16,182
2024-02-17,223
2024-02-18,266
2024-02-19,229
2024-02-20,225
2024-02-21,225
2024-02-22,185
2024-02-23,203
2024-02-24,241
2024-02-25,284
2024-02-26,230
2024-02-27,229
2024-02-28,182
2024-02-29,226
2024-03-01,202
2024-03-02,273
2024-03-03,296
2024-03-04,221
2024-03-05,245
2024-03-06,269
2024-03-07,283
2024-03-08,255
2024-03-09,296
2024-03-10,295
2024-03-11,241
2024-03-12,259
2024-03-13,263
2024-03-14,262
2024-03-15,231
2024-03-16,298
2024-03-17,315
2024-03-18,261
2024-03-19,262
2024-03-20,256
2024-03-21,278
2024-03-22,237
2024-03-23,297
2024-03-24,309
2024-03-25,231
2024-03-26,228
2024-03-27,230
2024-03-28,246
2024-03-29,250
2024-03-30,247
2024-03-31,286
2024-04-01,229
2024-04-02,235
2024-04-03,226
2024-04-04,213
2024-04-05,231
2024-04-06,260
2024-04-07,276
2024-04-08,232
2024-04-09,248
2024-04-10,259
2024-04-11,262
2024-04-12,219
2024-04-13,257
2024-04-14,273
2024-04-15,248
2024-04-16,254
2024-04-17,237
2024-04-18,225
2024-04-19,200
2024-04-20,215
2024-04-21,238
2024-04-22,203
2024-04-23,190
2024-04-24,207
2024-04-25,206
2024-04-26,210
2024-04-27,228
2024-04-28,237
2024-04-29,203
2024-04-30,220
2024-05-01,211
2024-05-02,254
2024-05-03,204
2024-05-04,213
2024-05-05,247
2024-05-06,226
2024-05-07,253
2024-05-08,272
2024-05-09,260
2024-05-10,212
2024-05-11,220
2024-05-12,218
2024-05-13,198
2024-05-14,208
2024-05-15,209
2024-05-16,195
2024-05-17,223
2024-05-18,251
2024-05-19,277
2024-05-20,219
2024-05-21,239
2024-05-22,221
2024-05-23,211
2024-05-24,207
2024-05-25,226
2024-05-26,243
2024-05-27,211
2024-05-28,227
2024-05-29,231
2024-05-30,233
2024-05-31,214
2024-06-01,228
2024-06-02,226
2024-06-03,191
2024-06-04,209
2024-06-05,239
2024-06-06,229
2024-06-07,230
2024-06-08,217
2024-06-09,279
2024-06-10,228
2024-06-11,232
2024-06-12,209
2024-06-13,216
2024-06-14,206
2024-06-15,230
2024-06-16,238
2024-06-17,208
2024-06-18,216
2024-06-19,208
2024-06-20,207
2024-06-21,215
2024-06-22,264
2024-06-23,222
2024-06-24,200
2024-06-25,209
2024-06-26,207
2024-06-27,214
2024-06-28,202
2024-06-29,227
2024-06-30,223
2024-07-01,206
2024-07-02,205
2024-07-03,206
2024-07-04,205
2024-07-05,200
2024-07-06,226
2024-07-07,253
2024-07-08,205
2024-07-09,236
2024-07-10,235
2024-07-11,220
2024-07-12,226
2024-07-13,244
2024-07-14,248
2024-07-15,217
2024-07-16,71
2024-07-17,49
2024-07-18,62
2024-07-19,89
2024-07-20,113
2024-07-21,173
2024-07-22,180
2024-07-23,175
2024-07-24,200
2024-07-25,176
2024-07-26,193
2024-07-27,203
2024-07-28,223
2024-07-29,180
2024-07-30,190
