,Sales Rank
2022-12-14,1450
2022-12-15,1513
2022-12-16,1478
2022-12-17,1529
2022-12-18,1623
2022-12-19,1577
2022-12-20,1713
2022-12-21,1605
2022-12-22,1658
2022-12-23,1700
2022-12-24,1742
2022-12-25,1585
2022-12-26,1629
2022-12-27,1462
2022-12-28,1587
2022-12-29,1619
2022-12-30,1669
2022-12-31,1336
2023-01-01,1294
2023-01-02,1185
2023-01-03,1541
2023-01-04,1470
2023-01-05,1373
2023-01-06,1513
2023-01-07,1432
2023-01-08,1330
2023-01-09,1342
2023-01-10,1314
2023-01-11,1309
2023-01-12,1330
2023-01-13,1287
2023-01-14,1468
2023-01-15,1235
2023-01-16,1366
2023-01-17,1442
2023-01-18,1251
2023-01-19,1211
2023-01-20,1381
2023-01-21,1494
2023-01-22,1334
2023-01-23,1400
2023-01-24,1384
2023-01-25,1415
2023-01-26,1429
2023-01-27,1494
2023-01-28,1504
2023-01-29,1338
2023-01-30,1350
2023-01-31,1314
2023-02-01,1321
2023-02-02,1346
2023-02-03,1538
2023-02-04,1526
2023-02-05,1405
2023-02-06,1413
2023-02-07,1415
2023-02-08,1276
2023-02-09,1343
2023-02-10,1368
2023-02-11,1600
2023-02-12,1320
2023-02-13,1075
2023-02-14,1159
2023-02-15,1031
2023-02-16,1205
2023-02-17,1359
2023-02-18,1303
2023-02-19,1292
2023-02-20,1233
2023-02-21,1219
2023-02-22,1264
2023-02-23,1275
2023-02-24,1227
2023-02-25,1365
2023-02-26,1473
2023-02-27,1425
2023-02-28,1337
2023-03-01,1178
2023-03-02,1266
2023-03-03,1312
2023-03-04,1514
2023-03-05,1228
2023-03-06,1480
2023-03-07,1273
2023-03-08,1420
2023-03-09,1276
2023-03-10,1522
2023-03-11,1387
2023-03-12,1282
2023-03-13,1152
2023-03-14,1286
2023-03-15,1130
2023-03-16,6880
2023-03-17,1267
2023-03-19,1463
2023-03-20,1327
2023-03-21,1325
2023-03-22,1364
2023-03-23,1380
2023-03-24,1496
2023-03-25,1748
2023-03-26,1270
2023-03-27,1404
