,Sales Rank
2023-11-23,423
2023-11-24,498
2023-11-25,537
2023-11-26,481
2023-11-27,461
2023-11-28,1281
2023-11-29,2102
2023-11-30,592
2023-12-01,383
2023-12-02,520
2023-12-03,679
2023-12-04,809
2023-12-05,726
2023-12-06,737
2023-12-07,621
2023-12-08,607
2023-12-09,647
2023-12-10,669
2023-12-11,693
2023-12-12,629
2023-12-13,632
2023-12-14,683
2023-12-15,628
2023-12-16,743
2023-12-17,787
2023-12-18,759
2023-12-19,681
2023-12-20,696
2023-12-21,667
2023-12-22,660
2023-12-23,564
2023-12-24,541
2023-12-25,496
2023-12-26,456
2023-12-27,487
2023-12-28,481
2023-12-29,531
2023-12-30,549
2023-12-31,516
2024-01-01,404
2024-01-02,507
2024-01-03,517
2024-01-04,483
2024-01-05,476
2024-01-06,462
2024-01-07,510
2024-01-08,459
2024-01-09,788
2024-01-10,1038
2024-01-11,1212
2024-01-12,1159
2024-01-13,2000
2024-01-14,3102
2024-01-15,2725
2024-01-16,1446
2024-01-17,780
2024-01-18,1496
2024-01-19,1519
2024-01-20,1507
2024-01-21,1594
2024-01-22,1210
2024-01-23,1179
2024-01-24,1270
2024-01-25,1162
2024-01-26,1178
2024-01-27,1338
2024-01-28,1561
2024-01-29,1208
2024-01-30,1149
2024-01-31,567
2024-02-01,523
2024-02-02,488
2024-02-03,513
2024-02-04,419
2024-02-05,346
2024-02-06,347
2024-02-07,310
2024-02-08,355
2024-02-09,403
2024-02-10,456
2024-02-11,427
2024-02-12,392
2024-02-13,434
2024-02-14,510
2024-02-15,489
2024-02-16,470
2024-02-17,421
2024-02-18,472
2024-02-19,406
2024-02-20,623
2024-02-21,763
2024-02-22,550
2024-02-23,441
2024-02-24,582
2024-02-25,562
2024-02-26,481
2024-02-27,438
2024-02-28,489
2024-02-29,470
2024-03-01,472
2024-03-02,497
2024-03-03,504
2024-03-04,451
2024-03-05,442
2024-03-06,444
2024-03-07,456
2024-03-08,498
2024-03-09,496
2024-03-10,473
2024-03-11,503
2024-03-12,495
2024-03-13,524
2024-03-14,512
2024-03-15,557
2024-03-16,555
2024-03-17,526
2024-03-18,489
2024-03-19,462
2024-03-20,493
2024-03-21,543
2024-03-22,546
2024-03-23,462
2024-03-24,468
2024-03-25,431
2024-03-26,436
2024-03-27,463
2024-03-28,454
