,Sales Rank
2022-12-14,59
2022-12-15,64
2022-12-16,71
2022-12-17,74
2022-12-18,83
2022-12-19,80
2022-12-20,78
2022-12-21,83
2022-12-22,82
2022-12-23,80
2022-12-24,76
2022-12-25,74
2022-12-26,71
2022-12-27,75
2022-12-28,74
2022-12-29,65
2022-12-30,78
2022-12-31,78
2023-01-01,75
2023-01-02,89
2023-01-03,76
2023-01-04,76
2023-01-05,75
2023-01-06,76
2023-01-07,77
2023-01-08,85
2023-01-09,84
2023-01-10,85
2023-01-11,88
2023-01-12,83
2023-01-13,1360
2023-01-14,1532
2023-01-15,1252
2023-01-16,1166
2023-01-17,1253
2023-01-18,1119
2023-01-19,1081
2023-01-20,1157
2023-01-21,1095
2023-01-22,1065
2023-01-23,930
2023-01-24,919
2023-01-25,2254
2023-01-26,1295
2023-01-27,1724
2023-01-28,1296
2023-01-29,1196
2023-01-30,1141
2023-01-31,136
2023-02-01,114
2023-02-02,130
2023-02-03,55
2023-02-04,59
2023-02-05,58
2023-02-06,64
2023-02-07,63
2023-02-08,63
2023-02-09,60
2023-02-10,64
2023-02-11,61
2023-02-12,64
2023-02-13,60
2023-02-14,56
2023-02-15,55
2023-02-16,66
2023-02-17,65
2023-02-18,66
2023-02-19,59
2023-02-20,60
2023-02-21,51
2023-02-22,47
2023-02-23,52
2023-02-24,50
2023-02-25,50
2023-02-26,54
2023-02-27,60
2023-02-28,50
2023-03-01,50
2023-03-02,54
2023-03-03,103
2023-03-04,105
2023-03-05,138
2023-03-06,129
2023-03-07,125
2023-03-08,59
2023-03-09,60
2023-03-10,60
2023-03-11,58
2023-03-12,63
2023-03-13,58
2023-03-14,63
2023-03-15,62
2023-03-16,62
2023-03-17,65
2023-03-18,61
2023-03-19,57
2023-03-20,60
2023-03-21,57
2023-03-22,55
2023-03-23,64
2023-03-24,62
2023-03-25,58
2023-03-26,71
2023-03-27,62
2023-03-28,58
2023-03-29,52
2023-03-30,54
2023-03-31,48
2023-04-01,58
2023-04-02,59
2023-04-03,55
2023-04-04,59
2023-04-05,55
2023-04-06,56
2023-04-07,57
2023-04-08,58
2023-04-09,63
2023-04-10,64
2023-04-11,51
2023-04-12,52
2023-04-13,57
2023-04-14,49
2023-04-15,61
2023-04-16,70
2023-04-17,62
2023-04-18,58
2023-04-19,54
2023-04-20,62
2023-04-21,53
2023-04-22,59
2023-04-23,57
2023-04-24,49
2023-04-25,58
2023-04-26,58
2023-04-27,59
2023-04-28,56
2023-04-29,47
2023-04-30,65
2023-05-01,63
2023-05-02,61
2023-05-03,68
2023-05-04,68
2023-05-05,55
2023-05-06,57
2023-05-07,57
2023-05-08,57
2023-05-09,53
2023-05-10,55
2023-05-11,112
2023-05-12,105
2023-05-13,138
2023-05-14,162
2023-05-15,118
2023-05-16,111
2023-05-17,103
2023-05-18,90
2023-05-19,86
2023-05-20,96
2023-05-21,95
2023-05-22,89
2023-05-23,99
2023-05-24,95
2023-05-25,100
2023-05-26,94
2023-05-27,107
2023-05-28,108
2023-05-30,102
2023-05-31,102
2023-06-01,108
2023-06-02,99
2023-06-03,126
2023-06-04,115
2023-06-05,100
2023-06-06,97
2023-06-07,101
2023-06-08,100
2023-06-09,97
2023-06-10,104
2023-06-11,106
2023-06-12,90
2023-06-13,85
2023-06-14,84
2023-06-15,83
2023-06-16,87
2023-06-17,78
2023-06-18,81
2023-06-19,73
2023-06-20,85
2023-06-21,79
2023-06-22,79
2023-06-23,82
2023-06-24,83
2023-06-25,95
2023-06-26,103
2023-06-27,102
2023-06-28,51
2023-06-29,52
2023-06-30,16
2023-07-01,14
2023-07-02,50
2023-07-03,82
2023-07-04,96
2023-07-05,102
2023-07-06,121
2023-07-07,103
2023-07-08,43
2023-07-09,53
2023-07-10,56
2023-07-11,132
2023-07-12,154
2023-07-13,129
2023-07-14,129
2023-07-15,132
2023-07-16,129
2023-07-17,118
2023-07-18,115
2023-07-19,94
2023-07-20,101
2023-07-21,106
2023-07-22,117
2023-07-23,118
2023-07-24,105
2023-07-25,46
2023-07-26,49
2023-07-27,49
2023-07-28,49
2023-07-29,47
2023-07-30,48
2023-07-31,49
2023-08-01,44
2023-08-02,41
2023-08-03,44
2023-08-04,40
2023-08-05,42
2023-08-06,43
2023-08-07,48
2023-08-08,80
2023-08-09,87
2023-08-10,93
2023-08-11,93
2023-08-12,93
2023-08-13,100
2023-08-14,80
2023-08-15,85
2023-08-16,76
2023-08-17,92
2023-08-18,92
2023-08-19,85
2023-08-20,100
2023-08-21,92
2023-08-22,93
2023-08-23,85
2023-08-24,89
2023-08-25,80
2023-08-26,83
2023-08-27,98
2023-08-28,92
2023-08-29,90
2023-08-30,93
2023-08-31,96
2023-09-01,85
2023-09-02,94
2023-09-03,106
2023-09-04,100
2023-09-05,108
2023-09-06,119
2023-09-07,139
2023-09-08,130
2023-09-09,136
2023-09-10,151
2023-09-11,132
2023-09-12,130
2023-09-13,119
2023-09-14,136
2023-09-15,136
2023-09-16,62
2023-09-17,59
2023-09-18,50
2023-09-19,49
2023-09-20,51
2023-09-21,50
2023-09-22,50
2023-09-23,52
2023-09-24,59
2023-09-25,61
2023-09-26,56
2023-09-27,50
2023-09-28,48
2023-09-29,45
2023-09-30,47
2023-10-01,63
2023-10-02,57
2023-10-03,52
2023-10-04,55
2023-10-05,57
2023-10-06,52
2023-10-07,54
2023-10-08,57
2023-10-09,49
2023-10-10,58
2023-10-11,68
2023-10-12,613
2023-10-13,568
2023-10-14,57
2023-10-15,56
2023-10-16,612
2023-10-17,646
2023-10-18,60
2023-10-19,62
2023-10-20,60
2023-10-21,70
2023-10-22,2040
2023-10-23,1720
2023-10-24,1779
2023-10-25,1910
2023-10-26,414
2023-10-27,1646
2023-10-28,317
2023-10-29,340
2023-10-30,288
2023-10-31,283
2023-11-01,1804
2023-11-02,92
2023-11-03,87
2023-11-04,92
2023-11-05,104
2023-11-06,106
2023-11-07,94
2023-11-08,92
2023-11-09,560
2023-11-10,517
2023-11-11,2169
2023-11-12,95
2023-11-13,92
2023-11-14,85
2023-11-15,92
2023-11-16,94
2023-11-17,92
2023-11-18,90
2023-11-19,517
2023-11-20,543
2023-11-21,89
2023-11-22,95
2023-11-23,102
2023-11-24,161
2023-11-25,92
2023-11-26,93
2023-11-27,80
2023-11-28,61
2023-11-29,57
2023-11-30,47
2023-12-01,43
2023-12-02,48
2023-12-03,46
2023-12-04,46
2023-12-05,50
2023-12-06,50
2023-12-07,51
2023-12-08,50
2023-12-09,55
2023-12-10,57
2023-12-11,48
2023-12-12,54
2023-12-13,53
2023-12-14,55
2023-12-15,61
2023-12-16,69
2023-12-17,80
2023-12-18,62
2023-12-19,1953
2023-12-20,1952
2023-12-21,1828
2023-12-22,1850
2023-12-23,1953
2023-12-24,2118
2023-12-25,1595
2023-12-26,1772
2023-12-27,1748
2023-12-28,1540
2023-12-29,1724
2023-12-30,1782
2023-12-31,2009
2024-01-01,1653
2024-01-02,50
2024-01-03,1704
2024-01-04,1572
2024-01-05,1762
2024-01-06,1967
2024-01-07,2174
2024-01-08,1626
2024-01-09,1834
2024-01-10,1888
2024-01-11,1731
2024-01-12,1817
2024-01-13,1924
2024-01-14,2043
2024-01-15,1847
2024-01-16,1878
2024-01-17,2010
2024-01-18,1652
2024-01-19,1997
2024-01-20,1837
2024-01-21,1944
2024-01-22,1636
2024-01-23,1611
2024-01-24,1914
2024-01-25,1806
2024-01-26,1790
2024-01-27,2082
2024-01-28,2204
2024-01-29,1534
2024-01-30,1798
2024-01-31,1580
2024-02-01,1684
2024-02-02,1182
2024-02-03,1043
2024-02-04,1109
2024-02-05,928
2024-02-06,943
2024-02-07,923
2024-02-08,922
2024-02-09,913
2024-02-10,934
2024-02-11,1183
2024-02-12,988
2024-02-13,1018
2024-02-14,885
2024-02-15,919
2024-02-16,1080
2024-02-17,1258
2024-02-18,1286
2024-02-19,1141
2024-02-20,1189
2024-02-21,1223
2024-02-22,1172
2024-02-23,1094
2024-02-24,1412
2024-02-25,1685
2024-02-26,1477
2024-02-27,1431
2024-02-28,42
2024-02-29,45
2024-03-01,68
2024-03-02,76
2024-03-03,79
2024-03-04,77
2024-03-05,79
2024-03-06,86
2024-03-07,87
2024-03-08,83
2024-03-09,93
2024-03-10,103
2024-03-11,87
2024-03-12,91
2024-03-13,85
2024-03-14,1641
2024-03-15,83
2024-03-16,93
2024-03-17,89
2024-03-18,1514
2024-03-19,1437
2024-03-20,1291
2024-03-21,55
2024-03-22,56
2024-03-23,60
2024-03-24,70
2024-03-25,62
2024-03-26,60
2024-03-27,60
2024-03-28,57
2024-03-29,55
2024-03-30,65
2024-03-31,69
2024-04-01,61
2024-04-02,60
2024-04-03,61
2024-04-04,61
2024-04-05,59
2024-04-06,61
2024-04-07,75
2024-04-08,71
2024-04-09,73
2024-04-10,70
2024-04-11,73
2024-04-12,77
2024-04-13,81
2024-04-14,89
2024-04-15,78
2024-04-16,81
2024-04-17,91
2024-04-18,90
2024-04-19,80
2024-04-20,83
2024-04-21,100
2024-04-22,1703
2024-04-23,1843
2024-04-24,1458
2024-04-25,1698
2024-04-26,1545
2024-04-27,1820
2024-04-28,1790
2024-04-29,1569
2024-04-30,1700
2024-05-01,1606
2024-05-02,1632
2024-05-03,1567
2024-05-04,1701
2024-05-05,2031
2024-05-06,1441
2024-05-07,1495
2024-05-08,1585
2024-05-09,1611
2024-05-10,64
2024-05-11,62
2024-05-12,61
2024-05-13,54
2024-05-14,53
2024-05-15,51
2024-05-16,47
2024-05-17,51
2024-05-18,61
2024-05-19,67
2024-05-20,56
2024-05-21,54
2024-05-22,59
2024-05-23,58
2024-05-24,56
2024-05-25,62
2024-05-26,69
2024-05-27,61
2024-05-28,55
2024-05-29,54
2024-05-30,52
2024-05-31,48
2024-06-01,57
2024-06-02,66
2024-06-03,55
2024-06-04,54
2024-06-05,53
2024-06-06,46
2024-06-07,54
2024-06-08,62
2024-06-09,66
2024-06-10,57
2024-06-11,56
2024-06-12,52
2024-06-13,50
2024-06-14,51
2024-06-15,57
2024-06-16,65
2024-06-17,56
2024-06-18,45
2024-06-19,45
2024-06-20,55
2024-06-21,50
2024-06-22,51
2024-06-23,52
2024-06-24,48
2024-06-25,50
2024-06-26,56
2024-06-27,80
2024-06-28,82
2024-06-29,85
2024-06-30,99
2024-07-01,80
2024-07-02,74
2024-07-03,77
2024-07-04,67
2024-07-05,65
2024-07-06,71
2024-07-07,82
2024-07-08,69
2024-07-09,69
2024-07-10,62
2024-07-11,64
2024-07-12,62
2024-07-13,68
2024-07-14,71
2024-07-15,63
2024-07-16,148
2024-07-17,156
2024-07-18,118
2024-07-19,86
2024-07-20,77
2024-07-21,83
2024-07-22,66
2024-07-23,62
2024-07-24,57
2024-07-25,52
2024-07-26,53
2024-07-27,77
2024-07-28,62
2024-07-29,53
2024-07-30,53
2024-07-31,60
2024-08-01,58
2024-08-02,58
2024-08-03,52
2024-08-04,57
2024-08-05,53
2024-08-06,52
2024-08-07,39
2024-08-09,32
2024-08-10,37
2024-08-11,42
2024-08-12,35
2024-08-13,35
2024-08-14,40
2024-08-15,41
2024-08-16,40
2024-08-17,44
2024-08-18,43
2024-08-19,35
2024-08-20,43
2024-08-21,40
2024-08-22,36
2024-08-23,40
2024-08-24,46
2024-08-25,44
2024-08-26,40
2024-08-27,42
2024-08-28,42
2024-08-29,44
2024-08-30,42
2024-08-31,43
2024-09-01,45
2024-09-02,41
2024-09-03,41
2024-09-04,41
2024-09-05,42
2024-09-06,41
2024-09-07,42
2024-09-08,42
2024-09-09,44
2024-09-10,39
2024-09-11,41
2024-09-12,44
2024-09-13,47
2024-09-14,44
2024-09-15,52
2024-09-16,46
2024-09-17,37
2024-09-18,36
2024-09-19,40
2024-09-20,40
2024-09-21,45
2024-09-22,48
2024-09-23,40
2024-09-24,33
2024-09-25,46
2024-09-26,44
2024-09-27,43
2024-09-28,43
2024-09-29,47
2024-09-30,37
2024-10-01,38
2024-10-02,41
