,Sales Rank
2022-12-14,936
2022-12-15,911
2022-12-16,1033
2022-12-17,1019
2022-12-18,1032
2022-12-19,1118
2022-12-20,1045
2022-12-21,1030
2022-12-22,936
2022-12-23,821
2022-12-24,746
2022-12-25,702
2022-12-26,639
2022-12-27,609
2022-12-28,615
2022-12-29,543
2022-12-30,515
2022-12-31,550
2023-01-01,623
2023-01-02,544
2023-01-03,522
2023-01-04,540
2023-01-05,577
2023-01-06,565
2023-01-07,589
2023-01-08,588
2023-01-09,598
2023-01-10,622
2023-01-11,640
2023-01-12,658
2023-01-13,574
2023-01-14,511
2023-01-15,473
2023-01-16,455
2023-01-17,502
2023-01-18,470
2023-01-19,473
2023-01-20,461
2023-01-21,441
2023-01-22,507
2023-01-23,442
2023-01-24,455
2023-01-25,421
2023-01-26,452
2023-01-27,432
2023-01-28,493
2023-01-29,415
2023-01-30,385
2023-01-31,435
2023-02-01,406
2023-02-02,352
2023-02-03,318
2023-02-04,354
2023-02-05,355
2023-02-06,327
2023-02-07,350
2023-02-08,394
2023-02-09,393
2023-02-10,416
2023-02-11,449
2023-02-12,409
2023-02-13,417
2023-02-14,411
2023-02-15,441
2023-02-16,395
2023-02-17,410
2023-02-18,465
2023-02-19,444
2023-02-20,429
2023-02-21,415
2023-02-22,465
2023-02-23,525
2023-02-24,632
2023-02-25,540
2023-02-26,589
2023-02-27,457
2023-02-28,443
2023-03-01,424
2023-03-02,423
2023-03-03,351
2023-03-04,382
2023-03-05,325
2023-03-06,309
2023-03-07,259
2023-03-08,223
2023-03-09,256
2023-03-10,261
2023-03-11,268
2023-03-12,358
2023-03-13,372
2023-03-14,440
2023-03-15,449
2023-03-16,501
2023-03-17,554
2023-03-18,553
2023-03-19,354
2023-03-20,253
2023-03-21,319
2023-03-22,351
2023-03-23,344
2023-03-24,462
2023-03-25,327
2023-03-26,292
2023-03-27,351
2023-03-28,545
2023-03-29,604
2023-03-30,495
2023-03-31,368
2023-04-01,361
2023-04-02,381
2023-04-03,343
2023-04-04,312
2023-04-05,323
2023-04-06,322
2023-04-07,330
2023-04-08,340
2023-04-09,383
2023-04-10,342
2023-04-11,368
2023-04-12,379
2023-04-13,360
2023-04-14,374
2023-04-15,380
2023-04-16,421
2023-04-17,372
2023-04-18,381
2023-04-19,393
2023-04-20,405
2023-04-21,384
2023-04-22,449
2023-04-23,433
2023-04-24,349
2023-04-25,402
2023-04-26,468
2023-04-27,406
2023-04-28,454
2023-04-29,571
2023-04-30,532
2023-05-01,464
2023-05-02,466
2023-05-03,525
2023-05-04,454
2023-05-05,403
2023-05-06,413
2023-05-07,424
2023-05-08,368
2023-05-09,339
2023-05-10,368
2023-05-11,343
2023-05-12,338
2023-05-13,383
2023-05-14,371
2023-05-15,363
2023-05-16,353
2023-05-17,361
2023-05-18,359
2023-05-19,366
2023-05-20,369
2023-05-21,385
2023-05-22,351
2023-05-23,371
2023-05-24,359
2023-05-25,369
2023-05-26,392
2023-05-27,396
2023-05-28,454
2023-05-30,454
2023-05-31,387
2023-06-01,352
2023-06-02,372
2023-06-03,394
2023-06-04,398
2023-06-05,370
2023-06-06,373
2023-06-07,308
2023-06-08,315
2023-06-09,317
2023-06-10,325
2023-06-11,340
2023-06-12,334
2023-06-13,319
2023-06-14,284
2023-06-15,290
2023-06-16,262
2023-06-17,315
2023-06-18,380
2023-06-19,366
2023-06-20,353
2023-06-21,328
2023-06-22,322
2023-06-23,346
2023-06-24,303
2023-06-25,304
2023-06-26,320
2023-06-27,336
2023-06-28,382
2023-06-29,406
2023-06-30,345
2023-07-01,388
2023-07-02,391
2023-07-03,404
2023-07-04,415
2023-07-05,417
2023-07-06,415
2023-07-07,381
2023-07-08,409
2023-07-09,425
2023-07-10,384
2023-07-11,655
2023-07-12,776
2023-07-13,655
2023-07-14,519
2023-07-15,460
2023-07-16,433
2023-07-17,387
2023-07-18,383
2023-07-19,372
2023-07-20,332
2023-07-21,321
2023-07-22,360
2023-07-23,357
2023-07-24,330
2023-07-25,340
2023-07-26,331
2023-07-27,321
2023-07-28,324
2023-07-29,403
2023-07-30,416
2023-07-31,395
2023-08-01,379
2023-08-02,339
2023-08-03,353
2023-08-04,339
2023-08-05,333
2023-08-06,402
2023-08-07,415
2023-08-08,405
2023-08-09,410
2023-08-10,398
2023-08-11,394
2023-08-12,347
2023-08-13,373
2023-08-14,416
2023-08-15,350
2023-08-16,316
2023-08-17,370
2023-08-18,332
2023-08-19,359
2023-08-20,409
2023-08-21,350
2023-08-22,360
2023-08-23,330
2023-08-24,326
2023-08-25,326
2023-08-26,373
2023-08-27,380
2023-08-28,380
2023-08-29,350
2023-08-30,355
2023-08-31,354
2023-09-01,318
2023-09-02,367
2023-09-03,360
2023-09-04,341
2023-09-05,352
2023-09-06,352
2023-09-07,374
2023-09-08,325
2023-09-09,425
2023-09-10,373
2023-09-11,391
2023-09-12,420
2023-09-13,378
2023-09-14,389
2023-09-15,379
2023-09-16,434
2023-09-17,442
2023-09-18,398
2023-09-19,372
2023-09-20,349
2023-09-21,373
2023-09-22,376
2023-09-23,422
2023-09-24,418
2023-09-25,377
2023-09-26,352
2023-09-27,340
2023-09-28,367
2023-09-29,343
2023-09-30,361
2023-10-01,440
2023-10-02,380
2023-10-03,372
2023-10-04,325
2023-10-05,356
2023-10-06,370
2023-10-07,432
2023-10-08,419
2023-10-09,386
2023-10-10,587
2023-10-11,595
2023-10-12,530
2023-10-13,396
2023-10-14,456
2023-10-15,367
2023-10-16,372
2023-10-17,379
2023-10-18,365
2023-10-19,343
2023-10-20,387
2023-10-21,418
2023-10-22,424
2023-10-23,387
2023-10-24,445
2023-10-25,347
2023-10-26,387
2023-10-27,382
2023-10-28,371
2023-10-29,428
2023-10-30,414
2023-10-31,372
2023-11-01,321
2023-11-02,373
2023-11-03,338
2023-11-04,431
2023-11-05,461
2023-11-06,399
2023-11-07,387
2023-11-08,381
2023-11-09,362
2023-11-10,335
2023-11-11,409
2023-11-12,403
2023-11-13,350
2023-11-14,354
2023-11-15,351
2023-11-16,375
2023-11-17,346
2023-11-18,415
2023-11-19,431
2023-11-20,429
2023-11-21,443
2023-11-22,441
