,Sales Rank
2022-12-14,674
2022-12-15,667
2022-12-16,721
2022-12-17,638
2022-12-18,655
2022-12-19,658
2022-12-20,703
2022-12-21,759
2022-12-22,649
2022-12-23,661
2022-12-24,640
2022-12-25,550
2022-12-26,453
2022-12-27,465
2022-12-28,396
2022-12-29,412
2022-12-30,427
2022-12-31,409
2023-01-01,375
2023-01-02,323
2023-01-03,356
2023-01-04,399
2023-01-05,427
2023-01-06,430
2023-01-07,444
2023-01-08,450
2023-01-09,466
2023-01-10,464
2023-01-11,462
2023-01-12,465
2023-01-13,481
2023-01-14,567
2023-01-15,473
2023-01-16,460
2023-01-17,403
2023-01-18,468
2023-01-19,471
2023-01-20,483
2023-01-21,430
2023-01-22,400
2023-01-23,430
2023-01-24,504
2023-01-25,528
2023-01-26,493
2023-01-27,537
2023-01-28,574
2023-01-29,479
2023-01-30,574
2023-01-31,557
2023-02-01,525
2023-02-02,540
2023-02-03,544
2023-02-04,496
2023-02-05,435
2023-02-06,482
2023-02-07,494
2023-02-08,487
2023-02-09,582
2023-02-10,561
2023-02-11,509
2023-02-12,430
2023-02-13,416
2023-02-14,508
2023-02-15,559
2023-02-16,530
2023-02-17,615
2023-02-18,523
2023-02-19,469
2023-02-20,508
2023-02-21,535
2023-02-22,501
2023-02-23,510
2023-02-24,518
2023-02-25,493
2023-02-26,472
2023-02-27,524
2023-02-28,526
2023-03-01,496
2023-03-02,546
2023-03-03,538
2023-03-04,508
2023-03-05,470
2023-03-06,496
2023-03-07,506
2023-03-08,575
2023-03-09,599
2023-03-10,588
2023-03-11,581
2023-03-12,474
2023-03-13,500
2023-03-14,551
2023-03-15,596
2023-03-16,607
2023-03-17,597
2023-03-18,574
2023-03-19,518
2023-03-20,520
2023-03-21,546
2023-03-22,572
2023-03-23,586
2023-03-24,582
2023-03-25,496
2023-03-26,475
2023-03-27,518
2023-03-28,591
2023-03-29,584
2023-03-30,575
2023-03-31,643
2023-04-01,544
2023-04-02,462
2023-04-03,512
2023-04-04,529
2023-04-05,542
2023-04-06,557
2023-04-07,534
2023-04-08,548
2023-04-09,497
2023-04-10,535
2023-04-11,541
2023-04-12,559
2023-04-13,539
2023-04-14,551
2023-04-15,544
2023-04-16,460
2023-04-17,511
2023-04-18,501
2023-04-19,576
2023-04-20,570
2023-04-21,563
2023-04-22,449
2023-04-23,447
2023-04-24,447
2023-04-25,460
2023-04-26,578
2023-04-27,563
2023-04-28,546
2023-04-29,499
2023-04-30,449
2023-05-01,449
2023-05-02,510
2023-05-03,538
2023-05-04,538
2023-05-05,511
2023-05-06,491
2023-05-07,450
2023-05-08,501
2023-05-09,517
2023-05-10,601
2023-05-11,549
2023-05-12,513
2023-05-13,500
2023-05-14,482
2023-05-15,486
2023-05-16,516
2023-05-17,551
2023-05-18,550
2023-05-19,542
2023-05-20,500
2023-05-21,575
2023-05-22,525
2023-05-23,515
2023-05-24,524
2023-05-25,540
2023-05-26,505
2023-05-27,532
2023-05-28,516
2023-05-30,494
2023-05-31,551
2023-06-01,549
2023-06-02,553
2023-06-03,502
2023-06-04,465
2023-06-05,401
2023-06-06,480
2023-06-07,547
2023-06-08,507
2023-06-09,580
2023-06-10,630
2023-06-11,571
2023-06-12,638
2023-06-13,578
2023-06-14,637
2023-06-15,699
2023-06-16,605
2023-06-17,630
2023-06-18,671
2023-06-19,647
2023-06-20,756
2023-06-21,786
2023-06-22,742
2023-06-23,742
2023-06-24,668
2023-06-25,620
2023-06-26,586
2023-06-27,583
2023-06-28,659
2023-06-29,724
2023-06-30,619
2023-07-01,613
2023-07-02,492
2023-07-03,478
2023-07-04,493
2023-07-05,520
2023-07-06,454
2023-07-07,488
2023-07-08,518
2023-07-09,510
2023-07-10,543
2023-07-11,679
2023-07-12,800
2023-07-13,665
2023-07-14,584
2023-07-15,519
2023-07-16,509
2023-07-17,473
2023-07-18,487
2023-07-19,510
2023-07-20,513
2023-07-21,522
2023-07-22,511
2023-07-23,506
2023-07-24,506
2023-07-25,466
2023-07-26,503
2023-07-27,474
2023-07-28,505
2023-07-29,475
2023-07-30,426
2023-07-31,452
2023-08-01,460
2023-08-02,476
2023-08-03,498
2023-08-04,510
2023-08-05,492
2023-08-06,453
2023-08-07,447
2023-08-08,459
