,Sales Rank
2022-12-14,51117
2022-12-15,64806
2022-12-16,73164
2022-12-17,56068
2022-12-18,58555
2022-12-19,54719
2022-12-20,52939
2022-12-21,67211
2022-12-22,62724
2022-12-23,62499
2022-12-24,74579
2022-12-25,34734
2022-12-26,60743
2022-12-27,63261
2022-12-28,52560
2022-12-29,44150
2022-12-30,43005
2022-12-31,65334
2023-01-01,76289
2023-01-02,51122
2023-01-03,62418
2023-01-04,48950
2023-01-05,60736
2023-01-06,64772
2023-01-07,57479
2023-01-08,61166
2023-01-09,64940
2023-01-10,56490
2023-01-11,54771
2023-01-12,53594
2023-01-13,53900
2023-01-14,52952
2023-01-15,73176
2023-01-16,83565
2023-01-17,93511
2023-01-18,98058
2023-01-19,76953
2023-01-20,91355
2023-01-21,101126
2023-01-22,107787
2023-01-23,111186
2023-01-24,53965
2023-01-25,80025
2023-01-26,52549
2023-01-27,60399
2023-01-28,80264
2023-01-29,95377
2023-01-30,103602
2023-01-31,83382
2023-02-01,98673
2023-02-02,74704
2023-02-03,92240
2023-02-04,102129
2023-02-05,82256
2023-02-06,99075
2023-02-07,107149
2023-02-08,54788
2023-02-09,67685
2023-02-10,47049
2023-02-11,78396
2023-02-12,51816
2023-02-13,80568
2023-02-14,92412
2023-02-15,101727
2023-02-16,108742
2023-02-17,85103
2023-02-18,99547
2023-02-19,109150
2023-02-20,63388
2023-02-21,88755
2023-02-22,101256
2023-02-23,110982
2023-02-24,117612
2023-02-25,62463
2023-02-26,64788
2023-02-27,89181
2023-02-28,70867
2023-03-01,67365
2023-03-02,67859
2023-03-03,63941
2023-03-04,49278
2023-03-05,80840
2023-03-06,48071
2023-03-07,75793
2023-03-08,62408
2023-03-09,84205
2023-03-10,53823
2023-03-11,63378
2023-03-12,81040
2023-03-13,94308
2023-03-14,58361
2023-03-15,80113
2023-03-16,92706
2023-03-17,102338
2023-03-18,63788
2023-03-19,73782
2023-03-20,61743
2023-03-21,67434
2023-03-22,83478
2023-03-23,90185
2023-03-24,103246
2023-03-25,109301
2023-03-26,114045
2023-03-27,70456
2023-03-28,74208
2023-03-29,48200
2023-03-30,50205
2023-03-31,78882
2023-04-01,92995
2023-04-02,66462
2023-04-03,89533
2023-04-04,100837
2023-04-05,79638
2023-04-06,95696
2023-04-07,103908
2023-04-08,111738
2023-04-09,115710
2023-04-10,119026
2023-04-11,121273
2023-04-12,122836
2023-04-13,125030
2023-04-14,126516
2023-04-15,60656
2023-04-16,89500
2023-04-17,105544
2023-04-18,113629
2023-04-19,119237
2023-04-20,123903
2023-04-21,77415
2023-04-22,99795
2023-04-23,110088
2023-04-24,118321
2023-04-25,124075
2023-04-26,81360
2023-04-27,63925
2023-04-28,72383
2023-04-29,90913
2023-04-30,102670
2023-05-01,40934
2023-05-02,76866
2023-05-03,89263
2023-05-04,102222
2023-05-05,109701
2023-05-06,115481
2023-05-07,68867
2023-05-08,38183
2023-05-09,40441
2023-05-10,68846
2023-05-11,60572
2023-05-12,62129
2023-05-13,77544
2023-05-14,92400
2023-05-15,52169
2023-05-16,82906
2023-05-17,97479
2023-05-18,103931
2023-05-19,111148
2023-05-20,116919
2023-05-21,119377
2023-05-22,122931
2023-05-23,83098
2023-05-24,76844
2023-05-25,92212
2023-05-26,63080
2023-05-27,85632
2023-05-28,93140
2023-05-30,89222
2023-05-31,103140
2023-06-01,113433
2023-06-02,120629
2023-06-03,67521
2023-06-04,91585
2023-06-05,107056
2023-06-06,53671
2023-06-07,83566
2023-06-08,76780
2023-06-09,94639
2023-06-10,103869
2023-06-11,71046
2023-06-12,92697
2023-06-13,105274
2023-06-14,115018
2023-06-15,67355
2023-06-16,93036
2023-06-17,106132
2023-06-18,113867
2023-06-19,88520
2023-06-20,101268
2023-06-21,107744
2023-06-22,114820
2023-06-23,120432
2023-06-24,82911
2023-06-25,99760
2023-06-26,111044
2023-06-27,67836
2023-06-28,78569
2023-06-29,93998
2023-06-30,104392
2023-07-01,109799
2023-07-02,115126
2023-07-03,120864
2023-07-04,86403
2023-07-05,80195
2023-07-06,99129
2023-07-07,109714
2023-07-08,115495
2023-07-09,70972
2023-07-10,97420
2023-07-11,112530
2023-07-12,66733
2023-07-13,91508
2023-07-14,98462
2023-07-15,104904
2023-07-16,90222
2023-07-17,68854
2023-07-18,94525
2023-07-19,86347
2023-07-20,58715
2023-07-21,70267
2023-07-22,90820
2023-07-23,98047
2023-07-24,80250
2023-07-25,94640
2023-07-26,67964
2023-07-27,65084
2023-07-28,779
2023-07-29,788
2023-07-30,846
2023-07-31,716
2023-08-01,669
2023-08-02,798
2023-08-03,1143
2023-08-04,1244
2023-08-05,1129
2023-08-06,699
2023-08-07,537
2023-08-08,479
2023-08-09,485
2023-08-10,443
2023-08-11,473
2023-08-12,533
2023-08-13,569
2023-08-14,502
2023-08-15,390
2023-08-16,366
2023-08-17,403
2023-08-18,570
2023-08-19,822
2023-08-20,594
2023-08-21,498
2023-08-22,446
2023-08-23,446
2023-08-24,482
2023-08-25,458
2023-08-26,460
2023-08-27,490
2023-08-28,467
2023-08-29,477
2023-08-30,458
2023-08-31,420
2023-09-01,392
2023-09-02,399
2023-09-03,481
2023-09-04,403
2023-09-05,381
2023-09-06,367
2023-09-07,344
2023-09-08,327
2023-09-09,329
2023-09-10,368
2023-09-11,348
2023-09-12,373
2023-09-13,345
2023-09-14,336
2023-09-15,475
2023-09-16,445
2023-09-17,600
2023-09-18,701
2023-09-19,763
2023-09-20,849
2023-09-21,883
2023-09-22,859
2023-09-23,856
2023-09-24,847
2023-09-25,803
2023-09-26,646
2023-09-27,617
2023-09-28,604
2023-09-29,553
2023-09-30,581
2023-10-01,655
2023-10-02,555
2023-10-03,521
2023-10-04,558
2023-10-05,624
2023-10-06,592
2023-10-07,633
2023-10-08,699
2023-10-09,571
2023-10-10,870
2023-10-11,906
2023-10-12,877
2023-10-13,720
2023-10-14,787
2023-10-15,791
2023-10-16,673
2023-10-17,718
2023-10-18,646
2023-10-19,650
2023-10-20,649
2023-10-21,743
2023-10-22,759
2023-10-23,605
2023-10-24,684
2023-10-25,651
2023-10-26,616
2023-10-27,642
2023-10-28,699
2023-10-29,665
2023-10-30,560
2023-10-31,615
2023-11-01,612
2023-11-02,607
2023-11-03,602
2023-11-04,663
2023-11-05,756
2023-11-06,607
2023-11-07,600
2023-11-08,572
2023-11-09,600
2023-11-10,599
2023-11-11,637
2023-11-12,669
2023-11-13,583
2023-11-14,547
2023-11-15,643
2023-11-16,669
2023-11-17,706
2023-11-18,637
2023-11-19,763
2023-11-20,730
2023-11-21,756
2023-11-22,748
2023-11-23,736
2023-11-24,892
2023-11-25,1084
2023-11-26,995
2023-11-27,1009
2023-11-28,861
2023-11-29,797
2023-11-30,796
2023-12-01,665
2023-12-02,826
2023-12-03,791
2023-12-04,763
2023-12-05,770
2023-12-06,795
2023-12-07,784
2023-12-08,666
2023-12-09,793
2023-12-10,879
2023-12-11,782
2023-12-12,853
2023-12-13,853
2023-12-14,811
2023-12-15,923
2023-12-16,971
2023-12-17,1087
2023-12-18,859
2023-12-19,867
