,Sales Rank
2022-12-14,829
2022-12-15,762
2022-12-16,793
2022-12-17,756
2022-12-18,860
2022-12-19,838
2022-12-20,836
2022-12-21,855
2022-12-22,763
2022-12-23,768
2022-12-24,719
2022-12-25,534
2022-12-26,519
2022-12-27,590
2022-12-28,620
2022-12-29,580
2022-12-30,613
2022-12-31,607
2023-01-01,540
2023-01-02,569
2023-01-03,558
2023-01-04,566
2023-01-05,593
2023-01-06,569
2023-01-07,589
2023-01-08,598
2023-01-09,608
2023-01-10,618
2023-01-11,630
2023-01-12,609
2023-01-13,600
2023-01-14,604
2023-01-15,512
2023-01-16,559
2023-01-17,534
2023-01-18,588
2023-01-19,544
2023-01-20,581
2023-01-21,574
2023-01-22,571
2023-01-23,565
2023-01-24,558
2023-01-25,536
2023-01-26,531
2023-01-27,573
2023-01-28,652
2023-01-29,554
2023-01-30,640
2023-01-31,665
2023-02-01,613
2023-02-02,608
2023-02-03,559
2023-02-04,613
2023-02-05,606
2023-02-06,612
2023-02-07,622
2023-02-08,923
2023-02-09,1877
2023-02-10,2471
2023-02-11,3181
2023-02-12,3787
2023-02-13,3810
2023-02-14,83
2023-02-15,382
2023-02-16,581
2023-02-17,678
2023-02-18,797
2023-02-19,783
2023-02-20,761
2023-02-21,706
2023-02-22,595
2023-02-23,604
2023-02-24,540
2023-02-25,637
2023-02-26,616
2023-02-27,610
2023-02-28,562
2023-03-01,606
2023-03-02,617
2023-03-03,520
2023-03-04,550
2023-03-05,625
2023-03-06,564
2023-03-07,575
2023-03-08,644
2023-03-09,684
2023-03-10,648
2023-03-11,674
2023-03-12,678
2023-03-13,558
2023-03-14,569
2023-03-15,579
2023-03-16,593
2023-03-17,600
2023-03-18,682
2023-03-19,665
2023-03-20,646
2023-03-21,575
2023-03-22,634
2023-03-23,584
2023-03-24,619
2023-03-25,611
2023-03-26,669
2023-03-27,575
2023-03-28,590
2023-03-29,618
2023-03-30,618
2023-03-31,649
2023-04-01,631
2023-04-02,635
2023-04-03,583
2023-04-04,563
2023-04-05,613
2023-04-06,581
2023-04-07,584
2023-04-08,592
2023-04-09,538
2023-04-10,524
2023-04-11,543
2023-04-12,567
2023-04-13,580
2023-04-14,607
2023-04-15,565
2023-04-16,602
2023-04-17,583
2023-04-18,527
2023-04-19,555
2023-04-20,521
2023-04-21,539
2023-04-22,535
2023-04-23,556
2023-04-24,498
2023-04-25,541
2023-04-26,828
2023-04-27,1116
2023-04-28,1096
2023-04-29,864
2023-04-30,732
2023-05-01,642
2023-05-02,655
2023-05-03,651
2023-05-04,680
2023-05-05,648
2023-05-06,680
2023-05-07,676
2023-05-08,652
2023-05-09,583
2023-05-10,601
2023-05-11,592
2023-05-12,590
2023-05-13,647
2023-05-14,637
2023-05-15,541
2023-05-16,561
2023-05-17,642
2023-05-18,614
2023-05-19,576
2023-05-20,681
2023-05-21,620
2023-05-22,637
2023-05-23,645
2023-05-24,646
2023-05-25,645
2023-05-26,652
2023-05-27,704
2023-05-28,673
2023-05-30,647
2023-05-31,629
2023-06-01,606
2023-06-02,610
2023-06-03,659
2023-06-04,615
2023-06-05,606
2023-06-06,531
2023-06-07,540
2023-06-08,585
2023-06-09,536
2023-06-10,600
2023-06-11,627
2023-06-12,516
2023-06-13,523
2023-06-14,530
2023-06-15,598
2023-06-16,570
2023-06-17,632
2023-06-18,667
2023-06-19,680
2023-06-20,596
2023-06-21,603
2023-06-22,617
2023-06-23,616
2023-06-24,545
2023-06-25,588
2023-06-26,622
2023-06-27,570
2023-06-28,609
2023-06-29,620
2023-06-30,623
2023-07-01,653
2023-07-02,694
2023-07-03,632
2023-07-04,569
2023-07-05,601
2023-07-06,530
2023-07-07,512
2023-07-08,591
2023-07-09,586
2023-07-10,527
2023-07-11,848
2023-07-12,861
2023-07-13,739
2023-07-14,647
2023-07-15,610
2023-07-16,611
2023-07-17,540
2023-07-18,568
2023-07-19,547
2023-07-20,590
2023-07-21,612
2023-07-22,669
2023-07-23,624
2023-07-24,625
2023-07-25,551
2023-07-26,556
2023-07-27,551
2023-07-28,558
2023-07-29,559
2023-07-30,624
2023-07-31,586
2023-08-01,602
2023-08-02,616
2023-08-03,565
2023-08-04,593
2023-08-05,551
2023-08-06,586
2023-08-07,533
2023-08-08,516
2023-08-09,536
2023-08-10,506
2023-08-11,584
2023-08-12,552
2023-08-13,499
2023-08-14,541
2023-08-15,483
2023-08-16,536
2023-08-17,537
2023-08-18,548
2023-08-19,548
2023-08-20,627
2023-08-21,522
2023-08-22,531
2023-08-23,529
2023-08-24,515
2023-08-25,436
2023-08-26,533
2023-08-27,539
2023-08-28,495
2023-08-29,524
2023-08-30,507
2023-08-31,580
2023-09-01,495
2023-09-02,582
2023-09-03,601
2023-09-04,580
2023-09-05,586
2023-09-06,582
2023-09-07,592
