,Sales Rank
2022-12-14,1355
2022-12-15,1544
2022-12-16,1601
2022-12-17,1591
2022-12-18,1503
2022-12-19,1588
2022-12-20,1557
2022-12-21,1516
2022-12-22,1827
2022-12-23,1704
2022-12-24,1538
2022-12-25,1524
2022-12-26,1641
2022-12-27,1519
2022-12-28,1716
2022-12-29,1775
2022-12-30,1877
2022-12-31,1369
2023-01-01,1532
2023-01-02,1723
2023-01-03,1792
2023-01-04,1598
2023-01-05,1658
2023-01-06,1579
2023-01-07,1556
2023-01-08,1524
2023-01-09,1468
2023-01-10,1361
2023-01-11,1332
2023-01-12,1300
2023-01-13,1251
2023-01-14,1366
2023-01-15,1189
2023-01-16,1318
2023-01-17,1462
2023-01-18,1599
2023-01-19,1698
2023-01-20,1639
2023-01-21,1690
2023-01-22,1856
2023-01-23,1752
2023-01-24,1905
2023-01-25,1587
2023-01-26,1725
2023-01-27,1593
2023-01-28,1438
2023-01-29,1656
2023-01-30,1556
2023-01-31,1617
2023-02-01,1678
2023-02-02,1741
2023-02-03,1564
2023-02-04,1512
2023-02-05,1742
2023-02-06,1611
2023-02-07,1422
2023-02-08,1789
2023-02-09,1716
2023-02-10,1629
2023-02-11,1848
2023-02-12,1647
2023-02-13,1951
2023-02-14,1867
2023-02-15,1649
2023-02-16,1753
2023-02-17,1608
2023-02-18,1631
2023-02-19,1646
2023-02-20,1596
2023-02-21,1723
2023-02-22,1732
2023-02-23,1743
2023-02-24,1793
2023-02-25,1810
2023-02-26,1815
2023-02-27,1954
2023-02-28,1927
2023-03-01,1818
2023-03-02,1793
2023-03-03,2122
2023-03-04,1909
2023-03-05,1992
2023-03-06,1824
2023-03-07,2281
2023-03-08,2376
2023-03-09,2207
2023-03-10,2062
2023-03-11,2118
2023-03-12,2064
2023-03-13,1909
2023-03-14,1847
2023-03-15,2106
2023-03-16,2009
2023-03-17,1960
2023-03-18,1765
2023-03-19,1701
2023-03-20,1864
2023-03-21,1774
2023-03-22,1820
2023-03-23,1927
2023-03-24,1876
2023-03-25,1763
2023-03-26,1714
2023-03-27,1805
2023-03-28,1787
2023-03-29,1947
2023-03-30,1883
2023-03-31,1707
2023-04-01,1629
2023-04-02,1585
2023-04-03,1699
2023-04-04,1647
2023-04-05,1729
2023-04-06,1895
2023-04-07,1702
2023-04-08,1660
2023-04-09,1680
2023-04-10,1729
2023-04-11,1858
2023-04-12,1997
2023-04-13,1992
2023-04-14,1788
2023-04-15,1712
2023-04-16,1718
2023-04-17,1603
2023-04-18,1595
2023-04-19,1706
2023-04-20,1698
2023-04-21,1823
2023-04-22,1682
2023-04-23,1752
2023-04-24,1687
2023-04-25,1725
2023-04-26,1816
2023-04-27,1756
2023-04-28,1626
2023-04-29,1709
