,Sales Rank
2022-12-14,256
2022-12-15,255
2022-12-16,292
2022-12-17,305
2022-12-18,334
2022-12-19,330
2022-12-20,285
2022-12-21,286
2022-12-22,267
2022-12-23,253
2022-12-24,238
2022-12-25,238
2022-12-26,204
2022-12-27,240
2022-12-28,233
2022-12-29,251
2022-12-30,246
2022-12-31,250
2023-01-01,242
2023-01-02,214
2023-01-03,258
2023-01-04,308
2023-01-05,325
2023-01-06,336
2023-01-07,337
2023-01-08,326
2023-01-09,327
2023-01-10,323
2023-01-11,317
2023-01-12,325
2023-01-13,183
2023-01-14,254
2023-01-15,238
2023-01-16,249
2023-01-17,237
2023-01-18,226
2023-01-19,201
2023-01-20,201
2023-01-21,251
2023-01-22,266
2023-01-23,227
2023-01-24,226
2023-01-25,237
2023-01-26,190
2023-01-27,236
2023-01-28,274
2023-01-29,273
2023-01-30,256
2023-01-31,279
2023-02-01,265
2023-02-02,280
2023-02-03,252
2023-02-04,237
2023-02-05,271
2023-02-06,249
2023-02-07,245
2023-02-08,182
2023-02-09,193
2023-02-10,224
2023-02-11,231
2023-02-12,239
2023-02-13,196
2023-02-14,231
2023-02-15,212
2023-02-16,219
2023-02-17,212
2023-02-18,232
2023-02-19,251
2023-02-20,214
2023-02-21,173
2023-02-22,195
2023-02-23,190
2023-02-24,204
2023-02-25,190
2023-02-26,212
2023-02-27,182
2023-02-28,183
2023-03-01,203
2023-03-02,216
2023-03-03,193
2023-03-04,216
2023-03-05,231
2023-03-06,251
2023-03-07,168
2023-03-08,209
2023-03-09,201
2023-03-10,206
2023-03-11,236
2023-03-12,232
2023-03-13,216
2023-03-14,201
2023-03-15,189
2023-03-16,217
2023-03-17,229
2023-03-18,237
2023-03-19,244
2023-03-20,186
2023-03-21,178
2023-03-22,175
2023-03-23,186
2023-03-24,180
2023-03-25,201
2023-03-26,258
2023-03-27,223
2023-03-28,188
2023-03-29,185
2023-03-30,223
2023-03-31,215
2023-04-01,236
2023-04-02,244
2023-04-03,221
2023-04-04,185
2023-04-05,182
2023-04-06,176
2023-04-07,184
2023-04-08,194
2023-04-09,207
2023-04-10,177
2023-04-11,170
2023-04-12,187
2023-04-13,184
2023-04-14,210
2023-04-15,234
2023-04-16,242
2023-04-17,168
2023-04-18,168
2023-04-19,180
2023-04-20,197
2023-04-21,178
2023-04-22,190
2023-04-23,195
2023-04-24,167
2023-04-25,170
2023-04-26,175
2023-04-27,195
2023-04-28,194
2023-04-29,204
2023-04-30,244
2023-05-01,194
2023-05-02,204
2023-05-03,207
2023-05-04,210
2023-05-05,203
2023-05-06,223
2023-05-07,211
2023-05-08,198
2023-05-09,185
2023-05-10,175
2023-05-11,187
2023-05-12,185
2023-05-13,191
2023-05-14,190
2023-05-15,166
2023-05-16,180
2023-05-17,161
2023-05-18,185
2023-05-19,179
2023-05-20,205
2023-05-21,197
2023-05-22,200
2023-05-23,166
2023-05-24,186
2023-05-25,187
2023-05-26,168
2023-05-27,183
2023-05-28,210
2023-05-31,195
2023-06-01,195
2023-06-02,200
2023-06-03,210
2023-06-04,208
2023-06-05,230
2023-06-06,200
2023-06-07,190
2023-06-08,171
2023-06-09,190
2023-06-10,203
2023-06-11,223
2023-06-12,195
2023-06-13,187
2023-06-14,192
2023-06-15,192
2023-06-16,207
2023-06-17,201
2023-06-18,207
2023-06-19,165
2023-06-20,173
2023-06-21,189
2023-06-22,177
2023-06-23,116
2023-06-24,111
2023-06-25,137
2023-06-26,125
2023-06-27,143
2023-06-28,141
2023-06-29,162
2023-06-30,142
2023-07-01,159
2023-07-02,161
2023-07-03,121
2023-07-04,117
2023-07-05,136
2023-07-06,136
2023-07-07,144
2023-07-08,181
2023-07-09,197
2023-07-10,165
2023-07-11,283
2023-07-12,353
2023-07-13,302
2023-07-14,212
2023-07-15,213
2023-07-16,216
2023-07-17,188
2023-07-18,198
2023-07-19,183
2023-07-20,214
2023-07-21,180
2023-07-22,201
2023-07-23,212
2023-07-24,181
2023-07-25,178
2023-07-26,192
2023-07-27,184
2023-07-28,193
2023-07-29,195
2023-07-30,216
2023-07-31,209
2023-08-01,183
2023-08-02,188
2023-08-03,178
2023-08-04,186
2023-08-05,180
2023-08-06,194
2023-08-07,218
2023-08-08,183
2023-08-09,184
2023-08-10,197
2023-08-11,189
2023-08-12,202
2023-08-13,208
2023-08-14,175
2023-08-15,181
2023-08-16,179
2023-08-17,174
2023-08-18,179
2023-08-19,214
2023-08-20,209
2023-08-21,165
2023-08-22,164
2023-08-23,163
2023-08-24,11197
2023-08-25,10532
2023-08-26,12445
2023-08-27,13202
2023-08-28,166
2023-08-29,165
2023-08-30,175
2023-08-31,188
2023-09-01,171
2023-09-02,201
2023-09-03,214
2023-09-04,186
2023-09-05,178
2023-09-06,186
2023-09-07,186
2023-09-08,187
2023-09-09,205
2023-09-10,225
2023-09-11,169
2023-09-12,178
2023-09-13,168
2023-09-14,182
2023-09-15,187
2023-09-16,217
2023-09-17,207
2023-09-18,189
2023-09-19,192
2023-09-20,186
2023-09-21,189
2023-09-22,206
2023-09-23,183
2023-09-24,212
2023-09-25,191
2023-09-26,174
2023-09-27,187
2023-09-28,199
2023-09-29,201
2023-09-30,202
2023-10-01,220
2023-10-02,202
2023-10-03,181
2023-10-04,183
2023-10-05,171
2023-10-06,179
2023-10-07,179
2023-10-08,206
2023-10-09,202
2023-10-10,198
2023-10-11,321
2023-10-12,140
2023-10-13,126
2023-10-14,99
2023-10-15,123
2023-10-16,94
2023-10-17,92
2023-10-18,92
2023-10-19,93
2023-10-20,94
2023-10-21,90
2023-10-22,109
2023-10-23,77
2023-10-24,87
2023-10-25,99
2023-10-26,92
2023-10-27,65
2023-10-28,113
2023-10-29,131
2023-10-30,107
2023-10-31,115
2023-11-01,115
2023-11-02,124
2023-11-03,104
2023-11-04,132
2023-11-05,153
2023-11-06,108
2023-11-07,105
2023-11-08,107
2023-11-10,100
2023-11-11,118
2023-11-12,141
2023-11-13,111
2023-11-14,118
2023-11-15,217
2023-11-16,175
2023-11-17,199
2023-11-18,14589
2023-11-19,11206
2023-11-20,10620
2023-11-21,11456
2023-11-22,10803
2023-11-23,15491
2023-11-24,14676
2023-11-25,15353
2023-11-26,14808
2023-11-27,14343
2023-11-28,14537
2023-11-29,13754
2023-11-30,12053
2023-12-01,11049
2023-12-02,11009
2023-12-03,13607
2023-12-04,12190
2023-12-05,12330
2023-12-06,12538
2023-12-07,14551
2023-12-08,14142
2023-12-09,14284
2023-12-10,14200
2023-12-11,14985
2023-12-12,13571
2023-12-13,13267
2023-12-14,352
2023-12-15,402
2023-12-16,453
2023-12-17,420
2023-12-18,443
2023-12-19,438
2023-12-20,475
2023-12-21,421
2023-12-22,395
2023-12-23,342
2023-12-24,404
2023-12-25,334
2023-12-26,281
2023-12-27,272
2023-12-28,275
2023-12-29,278
2023-12-30,288
2023-12-31,350
2024-01-01,269
2024-01-02,271
2024-01-03,296
2024-01-04,13812
2024-01-05,11272
2024-01-06,14859
2024-01-07,16333
2024-01-08,16700
2024-01-09,10840
2024-01-10,11194
2024-01-11,183
2024-01-12,191
2024-01-13,199
2024-01-14,224
2024-01-15,199
2024-01-16,211
2024-01-17,219
2024-01-18,219
2024-01-19,252
2024-01-20,231
2024-01-21,233
2024-01-22,186
2024-01-23,172
2024-01-24,182
2024-01-25,13788
2024-01-26,12774
2024-01-27,16917
2024-01-28,16057
2024-01-29,17087
2024-01-30,15119
2024-01-31,12722
2024-02-01,14685
2024-02-02,14375
2024-02-03,13928
2024-02-04,15135
2024-02-05,9848
2024-02-06,12379
2024-02-07,11956
2024-02-08,12968
2024-02-09,13215
2024-02-10,11421
2024-02-11,12254
2024-02-12,12267
2024-02-13,15263
2024-02-14,15534
2024-02-15,13568
2024-02-16,16103
2024-02-17,15453
2024-02-18,13078
2024-02-19,14001
2024-02-20,15949
2024-02-21,13655
2024-02-22,157
2024-02-23,160
2024-02-24,15305
2024-02-25,14002
2024-02-26,15747
2024-02-27,15782
2024-02-28,13507
2024-02-29,10307
2024-03-01,11299
2024-03-02,16809
2024-03-03,13393
2024-03-04,13325
2024-03-05,16030
2024-03-06,21209
2024-03-07,15434
2024-03-08,11848
2024-03-09,14072
2024-03-10,16290
2024-03-11,16249
2024-03-12,17612
2024-03-13,15626
2024-03-14,16474
2024-03-15,16453
2024-03-16,18683
2024-03-17,21153
2024-03-18,19948
2024-03-19,19147
2024-03-20,15711
2024-03-21,17461
2024-03-22,13987
2024-03-23,178
2024-03-24,203
2024-03-25,160
2024-03-26,163
2024-03-27,155
2024-03-28,180
2024-03-29,197
2024-03-30,207
2024-03-31,203
2024-04-01,167
2024-04-02,147
2024-04-03,155
2024-04-04,146
2024-04-05,146
2024-04-06,152
2024-04-07,171
2024-04-08,155
2024-04-09,151
2024-04-10,172
2024-04-11,179
2024-04-12,159
2024-04-13,172
2024-04-14,203
2024-04-15,182
2024-04-16,181
2024-04-17,180
2024-04-18,169
2024-04-19,135
2024-04-20,169
2024-04-21,180
2024-04-22,163
2024-04-23,146
2024-04-24,154
2024-04-25,163
2024-04-26,166
2024-04-27,180
2024-04-28,209
2024-04-29,149
2024-04-30,148
2024-05-01,156
2024-05-02,158
2024-05-03,158
2024-05-04,179
2024-05-05,176
2024-05-06,164
2024-05-07,200
2024-05-08,244
2024-05-09,211
2024-05-10,199
2024-05-11,185
2024-05-12,185
2024-05-13,146
2024-05-14,140
2024-05-15,155
2024-05-16,158
2024-05-17,166
2024-05-18,192
2024-05-19,196
2024-05-20,145
2024-05-21,146
2024-05-22,167
2024-05-23,153
2024-05-24,152
2024-05-25,193
2024-05-26,193
2024-05-27,165
2024-05-28,157
2024-05-29,155
2024-05-30,164
2024-05-31,163
2024-06-01,181
2024-06-02,210
2024-06-03,186
2024-06-04,182
2024-06-05,188
2024-06-06,178
2024-06-07,180
2024-06-08,197
2024-06-09,217
2024-06-10,189
2024-06-11,202
2024-06-12,180
2024-06-13,200
2024-06-14,180
2024-06-15,188
2024-06-16,213
2024-06-17,175
2024-06-18,178
2024-06-19,200
2024-06-20,171
2024-06-21,182
2024-06-22,199
2024-06-23,209
2024-06-24,188
2024-06-25,214
2024-06-26,224
2024-06-27,217
2024-06-28,222
2024-06-29,241
2024-06-30,264
2024-07-01,222
2024-07-02,208
2024-07-03,205
2024-07-04,199
2024-07-05,214
2024-07-06,210
2024-07-07,224
2024-07-08,209
2024-07-09,206
2024-07-10,203
2024-07-11,199
2024-07-12,205
2024-07-13,214
2024-07-14,232
2024-07-15,205
2024-07-16,306
2024-07-17,413
2024-07-18,340
2024-07-19,258
2024-07-20,236
2024-07-21,255
2024-07-22,230
2024-07-23,218
2024-07-24,211
2024-07-25,196
2024-07-26,192
2024-07-27,215
2024-07-28,213
2024-07-29,200
2024-07-30,193
2024-07-31,200
2024-08-01,87
2024-08-02,45
2024-08-03,124
2024-08-04,141
2024-08-05,148
2024-08-06,153
2024-08-07,152
2024-08-11,182
2024-08-12,160
2024-08-13,145
