,Sales Rank
2022-12-14,177
2022-12-15,212
2022-12-16,246
2022-12-17,233
2022-12-18,237
2022-12-19,221
2022-12-20,223
2022-12-21,224
2022-12-22,199
2022-12-23,203
2022-12-24,213
2022-12-25,182
2022-12-26,166
2022-12-27,168
2022-12-28,158
2022-12-29,166
2022-12-30,147
2022-12-31,136
2023-01-01,145
2023-01-02,137
2023-01-03,146
2023-01-04,151
2023-01-05,131
2023-01-06,133
2023-01-07,126
2023-01-08,125
2023-01-09,122
2023-01-10,113
2023-01-11,111
2023-01-12,113
2023-01-13,129
2023-01-14,153
2023-01-15,137
2023-01-16,143
2023-01-17,122
2023-01-18,132
2023-01-19,143
2023-01-20,176
2023-01-21,151
2023-01-22,156
2023-01-23,160
2023-01-24,134
2023-01-25,130
2023-01-26,140
2023-01-27,140
2023-01-28,131
2023-01-29,132
2023-01-30,136
2023-01-31,133
2023-02-01,140
2023-02-02,137
2023-02-03,140
2023-02-04,133
2023-02-05,134
2023-02-06,116
2023-02-07,123
2023-02-08,122
2023-02-09,134
2023-02-10,132
2023-02-11,110
2023-02-12,109
2023-02-13,117
2023-02-14,107
2023-02-15,121
2023-02-16,130
2023-02-17,122
2023-02-18,116
2023-02-19,97
2023-02-20,107
2023-02-21,120
2023-02-22,122
2023-02-23,134
2023-02-24,133
2023-02-26,113
2023-02-27,126
2023-02-28,119
2023-03-01,114
2023-03-02,138
2023-03-03,137
2023-03-04,131
2023-03-05,130
2023-03-06,128
2023-03-07,145
2023-03-08,155
2023-03-09,160
2023-03-10,169
2023-03-11,158
2023-03-12,146
2023-03-13,156
2023-03-14,155
2023-03-15,158
2023-03-16,163
2023-03-17,147
2023-03-18,149
2023-03-19,164
2023-03-20,146
2023-03-21,153
2023-03-22,145
2023-03-23,149
2023-03-24,210
2023-03-25,189
2023-03-26,209
2023-03-27,175
2023-03-28,187
2023-03-29,202
2023-03-30,219
2023-03-31,178
2023-04-01,184
2023-04-02,182
2023-04-03,197
2023-04-04,193
2023-04-05,173
2023-04-06,168
2023-04-07,156
2023-04-08,135
2023-04-09,142
2023-04-10,120
2023-04-11,117
2023-04-12,136
2023-04-13,146
2023-04-14,162
2023-04-15,161
2023-04-16,147
2023-04-17,152
2023-04-18,167
2023-04-19,171
2023-04-20,174
2023-04-21,188
2023-04-22,174
2023-04-23,157
2023-04-24,171
2023-04-25,172
2023-04-26,133
2023-04-27,109
2023-04-28,102
2023-04-29,107
2023-04-30,94
2023-05-01,92
2023-05-02,95
2023-05-03,120
2023-05-04,115
2023-05-05,94
2023-05-06,73
2023-05-07,59
2023-05-08,66
2023-05-09,62
2023-05-10,65
2023-05-11,56
2023-05-12,71
2023-05-13,68
2023-05-14,74
2023-05-15,84
2023-05-16,85
2023-05-17,92
2023-05-18,97
2023-05-19,99
2023-05-20,102
2023-05-21,91
2023-05-22,99
2023-05-23,102
2023-05-24,107
2023-05-25,106
2023-05-26,119
2023-05-27,107
2023-05-28,99
2023-05-30,99
2023-05-31,88
2023-06-01,88
2023-06-02,90
2023-06-03,101
2023-06-04,99
2023-06-05,95
2023-06-06,92
2023-06-07,90
2023-06-08,94
2023-06-09,93
2023-06-10,110
2023-06-11,126
2023-06-12,133
2023-06-13,110
2023-06-14,101
2023-06-15,109
2023-06-16,111
2023-06-17,98
2023-06-18,93
2023-06-19,82
2023-06-20,80
2023-06-21,87
2023-06-22,89
2023-06-23,99
2023-06-24,105
2023-06-25,112
2023-06-26,107
2023-06-27,104
2023-06-28,92
2023-06-29,89
2023-06-30,99
2023-07-01,99
2023-07-02,91
2023-07-03,100
2023-07-04,80
2023-07-05,76
2023-07-06,78
2023-07-07,70
2023-07-08,79
2023-07-09,73
2023-07-10,80
2023-07-11,92
2023-07-12,65
2023-07-13,70
2023-07-14,83
2023-07-15,88
2023-07-16,75
2023-07-17,80
2023-07-18,68
2023-07-19,78
2023-07-20,85
2023-07-21,86
2023-07-22,88
2023-07-23,76
2023-07-24,77
2023-07-25,75
2023-07-26,91
2023-07-27,96
2023-07-28,94
2023-07-29,98
2023-07-30,88
2023-07-31,84
2023-08-01,84
2023-08-02,90
2023-08-03,85
2023-08-04,89
2023-08-05,90
2023-08-06,73
2023-08-07,66
2023-08-08,56
2023-08-09,60
2023-08-10,72
2023-08-11,66
2023-08-12,52
2023-08-13,65
2023-08-14,45
2023-08-15,52
2023-08-16,47
2023-08-17,50
2023-08-18,36
2023-08-19,31
2023-08-20,22
2023-08-21,20
2023-08-22,17
2023-08-23,19
2023-08-24,24
2023-08-25,26
2023-08-26,15
2023-08-27,16
2023-08-28,12
2023-08-29,20
2023-08-30,26
2023-08-31,36
2023-09-01,32
2023-09-02,34
2023-09-03,36
2023-09-04,31
2023-09-05,25
2023-09-06,36
2023-09-07,45
2023-09-08,43
2023-09-09,41
2023-09-10,41
2023-09-11,42
2023-09-12,43
2023-09-13,42
2023-09-14,43
2023-09-15,41
2023-09-16,43
2023-09-17,43
2023-09-18,40
2023-09-19,43
2023-09-20,49
2023-09-21,61
2023-09-22,51
2023-09-23,50
2023-09-24,49
2023-09-25,48
2023-09-26,55
2023-09-27,43
2023-09-28,47
2023-09-29,40
2023-09-30,41
2023-10-01,46
2023-10-02,43
2023-10-03,46
2023-10-04,43
2023-10-05,46
2023-10-06,47
2023-10-08,39
2023-10-09,32
2023-10-10,22
2023-10-11,28
2023-10-12,31
2023-10-13,40
2023-10-14,32
2023-10-15,33
2023-10-16,27
2023-10-17,29
2023-10-18,29
2023-10-19,32
2023-10-20,31
2023-10-21,25
2023-10-22,29
2023-10-23,21
2023-10-24,19
2023-10-25,27
2023-10-26,29
2023-10-27,34
2023-10-28,35
2023-10-29,39
2023-10-30,42
2023-10-31,38
2023-11-01,37
2023-11-02,36
2023-11-03,38
2023-11-04,34
2023-11-05,29
2023-11-06,23
2023-11-07,26
2023-11-08,32
2023-11-09,33
2023-11-10,35
2023-11-11,33
2023-11-12,33
2023-11-13,29
2023-11-14,33
2023-11-15,37
2023-11-16,40
2023-11-17,40
2023-11-18,35
2023-11-19,27
2023-11-20,29
2023-11-21,36
2023-11-22,52
2023-11-23,52
2023-11-24,71
2023-11-25,59
2023-11-26,60
2023-11-27,75
2023-11-28,58
2023-11-29,59
2023-11-30,49
2023-12-01,48
2023-12-02,42
2023-12-03,45
2023-12-04,41
2023-12-05,42
