,Sales Rank
2022-12-14,78
2022-12-15,93
2022-12-16,87
2022-12-17,87
2022-12-18,101
2022-12-19,116
2022-12-20,120
2022-12-21,118
2022-12-22,107
2022-12-23,88
2022-12-24,79
2022-12-25,75
2022-12-26,52
2022-12-27,45
2022-12-28,35
2022-12-29,35
2022-12-30,39
2022-12-31,36
2023-01-01,41
2023-01-02,34
2023-01-03,34
2023-01-04,37
2023-01-05,35
2023-01-06,37
2023-01-07,38
2023-01-08,40
2023-01-09,40
2023-01-10,41
2023-01-11,42
2023-01-12,42
2023-01-13,43
2023-01-14,57
2023-01-15,100
2023-01-16,91
2023-01-17,113
2023-01-18,110
2023-01-19,123
2023-01-20,121
2023-01-21,81
2023-01-22,92
2023-01-23,81
2023-01-24,72
2023-01-25,72
2023-01-26,75
2023-01-27,60
2023-01-28,97
2023-01-29,108
2023-01-30,102
2023-01-31,108
2023-02-01,111
2023-02-02,86
2023-02-03,81
2023-02-04,41
2023-02-05,70
2023-02-06,58
2023-02-07,59
2023-02-08,54
2023-02-09,43
2023-02-10,28
2023-02-11,28
2023-02-12,44
2023-02-13,48
2023-02-14,25
2023-02-15,22
2023-02-16,24
2023-02-17,28
2023-02-18,36
2023-02-19,48
2023-02-20,58
2023-02-21,32
2023-02-22,35
2023-02-23,63
2023-02-24,39
2023-02-25,51
2023-02-26,57
2023-02-27,48
2023-02-28,45
2023-03-01,66
2023-03-02,75
2023-03-03,60
2023-03-04,49
2023-03-05,53
2023-03-06,40
2023-03-07,33
2023-03-08,28
2023-03-09,66
2023-03-10,71
2023-03-11,29
2023-03-12,36
2023-03-13,52
2023-03-14,53
2023-03-15,66
2023-03-16,84
2023-03-17,89
2023-03-18,107
2023-03-19,249
2023-03-20,187
2023-03-21,116
2023-03-22,124
2023-03-23,217
2023-03-24,252
2023-03-25,118
2023-03-26,127
2023-03-27,56
2023-03-28,58
2023-03-29,43
2023-03-30,35
2023-03-31,32
2023-04-01,33
2023-04-02,86
2023-04-03,76
2023-04-04,116
2023-04-05,96
2023-04-06,80
2023-04-07,63
2023-04-08,54
2023-04-09,61
2023-04-10,51
2023-04-11,81
2023-04-12,96
2023-04-13,91
2023-04-14,70
2023-04-15,109
2023-04-16,114
2023-04-17,63
2023-04-18,62
2023-04-19,59
2023-04-20,60
2023-04-21,56
2023-04-22,65
2023-04-23,61
2023-04-24,60
2023-04-25,56
2023-04-26,58
2023-04-27,61
2023-04-28,51
2023-04-29,74
2023-04-30,86
2023-05-01,67
2023-05-02,84
2023-05-03,81
2023-05-04,77
2023-05-05,74
2023-05-06,81
2023-05-07,91
2023-05-08,76
2023-05-09,68
2023-05-10,73
2023-05-11,72
2023-05-12,84
2023-05-13,96
2023-05-14,93
2023-05-15,89
2023-05-16,86
2023-05-17,81
2023-05-18,79
2023-05-19,67
2023-05-20,79
2023-05-21,86
2023-05-22,99
2023-05-23,118
2023-05-24,108
2023-05-25,131
2023-05-26,133
2023-05-27,134
2023-05-28,148
2023-05-30,148
2023-05-31,176
2023-06-01,124
2023-06-02,112
2023-06-03,134
2023-06-04,103
2023-06-05,82
2023-06-06,77
2023-06-07,75
2023-06-08,76
2023-06-09,66
2023-06-10,95
2023-06-11,95
2023-06-12,99
2023-06-13,86
2023-06-14,74
2023-06-15,81
2023-06-16,76
2023-06-17,177
2023-06-18,226
2023-06-19,284
2023-06-20,157
2023-06-21,143
2023-06-22,102
