,Sales Rank
2022-12-14,1265
2022-12-15,1197
2022-12-16,1216
2022-12-17,1069
2022-12-18,1107
2022-12-19,1153
2022-12-20,1159
2022-12-21,1170
2022-12-22,1155
2022-12-23,1129
2022-12-24,1074
2022-12-25,1070
2022-12-26,1232
2022-12-27,1242
2022-12-28,1188
2022-12-29,1377
2022-12-30,1243
2022-12-31,1341
2023-01-01,1179
2023-01-02,1182
2023-01-03,1098
2023-01-04,1104
2023-01-05,1066
2023-01-06,1097
2023-01-07,1053
2023-01-08,1051
2023-01-09,1040
2023-01-10,1088
2023-01-11,1131
2023-01-12,1178
2023-01-13,1164
2023-01-14,2641
2023-01-15,2346
2023-01-16,2817
2023-01-17,3033
2023-01-18,2833
2023-01-19,2697
2023-01-20,2688
2023-01-21,2500
2023-01-22,2807
2023-01-23,2355
2023-01-24,2485
2023-01-25,2444
2023-01-26,2838
2023-01-27,3125
2023-01-28,3683
2023-01-29,3780
2023-01-30,2301
2023-01-31,2927
2023-02-01,2828
2023-02-02,2923
2023-02-03,2540
2023-02-04,2842
2023-02-05,2821
2023-02-06,1854
2023-02-07,2142
2023-02-08,2065
2023-02-09,2009
2023-02-10,1803
2023-02-11,5345
2023-02-12,6075
2023-02-13,6220
2023-02-14,3634
2023-02-15,2348
2023-02-16,2935
2023-02-17,4934
2023-02-18,5561
2023-02-19,6106
2023-02-20,7014
2023-02-21,7458
2023-02-22,3109
2023-02-23,3836
2023-02-24,4441
2023-02-25,8381
2023-02-26,4145
2023-02-27,4162
2023-02-28,6617
2023-03-01,8071
2023-03-02,6293
2023-03-03,9034
2023-03-04,8062
2023-03-05,5570
2023-03-06,2722
2023-03-07,2038
2023-03-08,2113
2023-03-09,2109
2023-03-10,1858
2023-03-11,2020
2023-03-12,1957
2023-03-13,1783
2023-03-14,1680
2023-03-15,1749
2023-03-16,1916
2023-03-17,1763
2023-03-18,1891
2023-03-19,1930
2023-03-20,1715
2023-03-21,1598
2023-03-22,1626
2023-03-23,1390
2023-03-24,1590
2023-03-25,1529
2023-03-26,1679
2023-03-27,1724
2023-03-28,1691
2023-03-29,1616
2023-03-30,1615
2023-03-31,1782
2023-04-01,1860
2023-04-02,1908
2023-04-03,1699
2023-04-04,1602
2023-04-05,1737
2023-04-06,1516
2023-04-07,1658
2023-04-08,1811
2023-04-09,1956
2023-04-10,1732
2023-04-11,1609
2023-04-12,1603
2023-04-13,1387
2023-04-14,1540
2023-04-15,1396
2023-04-16,1765
2023-04-17,1463
2023-04-18,1458
2023-04-19,1521
2023-04-20,1352
2023-04-21,1422
2023-04-22,1550
2023-04-23,1457
2023-04-24,1308
2023-04-25,1427
2023-04-26,1475
2023-04-27,1514
2023-04-28,1374
2023-04-29,1526
2023-04-30,1390
2023-05-01,1431
2023-05-02,1356
2023-05-03,1431
2023-05-04,1556
2023-05-05,1593
2023-05-06,1629
2023-05-07,1621
2023-05-08,1509
2023-05-09,1813
2023-05-10,1670
2023-05-11,1661
2023-05-12,1570
2023-05-13,1506
2023-05-14,1421
2023-05-15,1508
2023-05-16,1529
2023-05-17,1419
2023-05-18,1378
2023-05-19,1373
2023-05-20,1569
2023-05-21,1752
2023-05-22,1758
2023-05-23,1853
2023-05-24,1511
2023-05-25,1811
2023-05-26,1815
2023-05-27,1891
2023-05-28,1987
2023-05-30,1870
2023-05-31,1762
2023-06-01,1782
2023-06-02,1727
